utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotation2	annotator_name2	Diff_annotations	keychild	speaker	role_adressee
34643	SIS	sister	xxx tu vas trouver tout ce qui est jaune				Theotime/2422a.cha	1	c				Theotime	other child	Keychild
34651	SIS	sister	Tim tu peux trouver?				Theotime/2422a.cha	1	c				Theotime	other child	Keychild
34682	SIS	sister	ça c'est une chaussette				Theotime/2422a.cha	1	c				Theotime	other child	Keychild
34693	SIS	sister	non				Theotime/2422a.cha	1	c				Theotime	other child	Keychild
34712	SIS	sister	déjeuner				Theotime/2422a.cha	1	clara				Theotime	other child	Keychild
34724	SIS	sister	www				Theotime/2422a.cha	1	clara				Theotime	other child	Keychild
34728	SIS	sister	oui				Theotime/2422a.cha	1	clara				Theotime	other child	Keychild
34742	SIS	sister	tout c'qu'est là				Theotime/2422a.cha	1	c				Theotime	other child	Keychild
34754	SIS	sister	où y a le sceau dans cette image				Theotime/2422a.cha	1	clara				Theotime	other child	Keychild
34755	SIS	sister	hein				Theotime/2422a.cha	1	clara				Theotime	other child	Keychild
34760	SIS	sister	bravo				Theotime/2422a.cha	1	clara				Theotime	other child	Keychild
34763	SIS	sister	la brouette où elle est?				Theotime/2422a.cha	1	clara				Theotime	other child	Keychild
34780	SIS	sister	rateau				Theotime/2422a.cha	1	clara				Theotime	other child	Keychild
34803	SIS	sister	il faut bien qu'on t'entend				Theotime/2422a.cha	1	c				Theotime	other child	Keychild
35844	SIS	sister	oh oh				Theotime/252a.cha	1	clara				Theotime	other child	Keychild
35906	SIS	sister	non				Theotime/252a.cha	1	clara				Theotime	other child	Keychild
35907	SIS	sister	ça c'est				Theotime/252a.cha	1	clara				Theotime	other child	Keychild
35908	SIS	sister	non				Theotime/252a.cha	1	clara				Theotime	other child	Keychild
35909	SIS	sister	ah oui			%sit  la mère de Tim parle à Ame /Theotime/252a.cha	Theotime/252a.cha	1	clara				Theotime	other child	Keychild
35983	SIS	sister	tu veux qu'on joue au garage?			%sit  Tim regarde sa soeur s'amuser et parler avec sa peluche 18577481922853/Theotime/252acha	Theotime/252a.cha	1	clara				Theotime	other child	Keychild
36095	SIS	sister	oh mais Tim regarde				Theotime/252a.cha	1	clara				Theotime	other child	Keychild
36176	SIS	sister	tiens				Theotime/252a.cha	1	clara				Theotime	other child	Keychild
36177	SIS	sister	xxx hop là				Theotime/252a.cha	1	clara				Theotime	other child	Keychild
36503	SIS	sister	c'est à moi				Theotime/263a.cha	1	clara				Theotime	other child	Keychild
36504	SIS	sister	c'est mon livre				Theotime/263a.cha	1	clara				Theotime	other child	Keychild
36506	SIS	sister	xxx				Theotime/263a.cha	1	clara				Theotime	other child	Keychild
36509	SIS	sister	non c'est à moi				Theotime/263a.cha	1	clara				Theotime	other child	Keychild
36511	SIS	sister	à moi				Theotime/263a.cha	1	clara				Theotime	other child	Keychild
36513	SIS	sister	à moi				Theotime/263a.cha	1	clara				Theotime	other child	Keychild
36523	SIS	sister	j'avais rangé toute ma chambre et voilà qu'elle est encore en bazar				Theotime/263a.cha	1	clara				Theotime	other child	Keychild
38352	SIS	sister	tu me donnes ça				Theotime/2112a.cha	1	clara	1	Lara		Theotime	other child	Keychild
38354	SIS	sister	tout de suite				Theotime/2112a.cha	1	clara	1	Lara		Theotime	other child	Keychild
38356	SIS	sister	c'est fragile ça				Theotime/2112a.cha	1	clara	1	Lara		Theotime	other child	Keychild
