NAME	ROLE	UTTERANCE	COMMENT	DIRECTED	keychild	gender	speaker
NIC	Nicola  Sister	0 [=! singing Happy Birthday] .		?	benjamin	M	sibling
NIC	Nicola  Sister	xxx (5.) ?		?	benjamin	M	sibling
NIC	Nicola  Sister	a little gun ?		?	benjamin	M	sibling
NIC	Nicola  Sister	huh ?		?	benjamin	M	sibling
NIC	Nicola  Sister	xxx .		?	benjamin	M	sibling
NIC	Nicola  Sister	is this one for Benjamin ?		MOT	benjamin	M	sibling
MOT	Mother	mhm .		NIC	benjamin	M	mother
CHI	Benjamin Target_Child	xxx .		NA	benjamin	M	Target_Child
NIC	Nicola  Sister	xxx (3.) .		NA	benjamin	M	sibling
NIC	Nicola  Sister	I've nearly finished mine (9.) .	%com: scraping of plates	?	benjamin	M	sibling
FAT	Father	stand up Benjamin (4.) .		CHI	benjamin	M	adult
FAT	Father	have this piece of toast (2.) .		CHI	benjamin	M	adult
CHI	Benjamin Target_Child	thank_you (5.) .		FAT	benjamin	M	Target_Child
CHI	Benjamin Target_Child	xxx .		NA	benjamin	M	Target_Child
CHI	Benjamin Target_Child	I'm not hungry enough (6.) .		FAT	benjamin	M	Target_Child
CHI	Benjamin Target_Child	I don't have toast (3.) .		FAT	benjamin	M	Target_Child
MOT	Mother	here you are young lady .		NIC	benjamin	M	mother
NIC	Nicola  Sister	xxx .		NA	benjamin	M	sibling
MOT	Mother	here's some .		CHI	benjamin	M	mother
CHI	Benjamin Target_Child	that's [/] that's like yours [= piece of toast] .		MOT	benjamin	M	Target_Child
MOT	Mother	xxx .		NA	benjamin	M	mother
CHI	Benjamin Target_Child	yes .		MOT	benjamin	M	Target_Child
CHI	Benjamin Target_Child	I like them .		MOT	benjamin	M	Target_Child
MOT	Mother	oh .		CHI	benjamin	M	mother
MOT	Mother	you're being good (2.) .		CHI	benjamin	M	mother
MOT	Mother	xxx .		NA	benjamin	M	mother
MOT	Mother	hurry up Benjamin Gregory .		CHI	benjamin	M	mother
CHI	Benjamin Target_Child	you wanted those shoes .		MOT	benjamin	M	Target_Child
MOT	Mother	mhm (14.) ?		CHI	benjamin	M	mother
MOT	Mother	xxx (2.) .		FAT	benjamin	M	mother
FAT	Father	yes xxx .		MOT	benjamin	M	adult
MOT	Mother	mhm (3.) ?		?	benjamin	M	mother
CHI	Benjamin Target_Child	careful (7.) .		SELF	benjamin	M	Target_Child
MOT	Mother	put the pram away in the hall (8.) .		NIC	benjamin	M	mother
CHI	Benjamin Target_Child	juice (11.) .		SELF	benjamin	M	Target_Child
CHI	Benjamin Target_Child	car .		SELF	benjamin	M	Target_Child
CHI	Benjamin Target_Child	car (7.) .		SELF	benjamin	M	Target_Child
CHI	Benjamin Target_Child	nice (2.) .		SELF	benjamin	M	Target_Child
CHI	Benjamin Target_Child	it [//] its (1.) dirty (4.) .		SELF	benjamin	M	Target_Child
NIC	Nicola  Sister	lets [/] lets go out in the mud .		CHI	benjamin	M	sibling
NIC	Nicola  Sister	lets go out in the mud .		CHI	benjamin	M	sibling
CHI	Benjamin Target_Child	its (1.) not dried (2.) .		NIC	benjamin	M	Target_Child
CHI	Benjamin Target_Child	not dried (2.) .		SELF	benjamin	M	Target_Child
CHI	Benjamin Target_Child	not dried (4.) .		SELF	benjamin	M	Target_Child
CHI	Benjamin Target_Child	not dried (5.) .		SELF	benjamin	M	Target_Child
MOT	Mother	0 .		NA	benjamin	M	mother
CHI	Benjamin Target_Child	0 .		NA	benjamin	M	Target_Child
NIC	Nicola  Sister	its [/] its still very dry Mummy .		MOT	benjamin	M	sibling
MOT	Mother	I told you xxx (3.) .		NIC	benjamin	M	mother
NIC	Nicola  Sister	that ones dry xxx (3.) .		MOT	benjamin	M	sibling
CHI	Benjamin Target_Child	it is dried (2.) .		SELF	benjamin	M	Target_Child
CHI	Benjamin Target_Child	it is dried (8.) .		SELF	benjamin	M	Target_Child
CHI	Benjamin Target_Child	digger (13.) .		SELF	benjamin	M	Target_Child
CHI	Benjamin Target_Child	that does work .		SELF	benjamin	M	Target_Child
CHI	Benjamin Target_Child	train (15.) .		SELF	benjamin	M	Target_Child
CHI	Benjamin Target_Child	xxx .		NA	benjamin	M	Target_Child
NIC	Nicola  Sister	xxx .		NA	benjamin	M	sibling
NIC	Nicola  Sister	I found another balloon didn't I (4.) ?		SELF	benjamin	M	sibling
NIC	Nicola  Sister	found another balloon (3.) .		SELF	benjamin	M	sibling
NIC	Nicola  Sister	that's Slinky [= toy] isn't it (8.) ?		SELF	benjamin	M	sibling
NIC	Nicola  Sister	xxx (4.) .		SELF	benjamin	M	sibling
NIC	Nicola  Sister	that socks your xxx isn't it (2.) ?		SELF	benjamin	M	sibling
NIC	Nicola  Sister	you've another one to wear haven't you ?		SELF	benjamin	M	sibling
NIC	Nicola  Sister	and some tights .		SELF	benjamin	M	sibling
NIC	Nicola  Sister	xxx (3.) .		SELF	benjamin	M	sibling
CHI	Benjamin Target_Child	my ball .		SELF	benjamin	M	Target_Child
NIC	Nicola  Sister	what (1.) is (1.) this (1.) sock doing in here (3.) ?		SELF	benjamin	M	sibling
NIC	Nicola  Sister	xxx sock (3.) .		SELF	benjamin	M	sibling
CHI	Benjamin Target_Child	silly sock .		NIC	benjamin	M	Target_Child
NIC	Nicola  Sister	I found a sock in the toy cupboard (13.) .		SELF	benjamin	M	sibling
NIC	Nicola  Sister	I just want to sort my toys out (3.) .		SELF	benjamin	M	sibling
NIC	Nicola  Sister	my toysiepoysies@c (2.) .		SELF	benjamin	M	sibling
NIC	Nicola  Sister	toysiepoysies@c.		SELF	benjamin	M	sibling
NIC	Nicola  Sister	toysiepoysies@c (3.) .		SELF	benjamin	M	sibling
CHI	Benjamin Target_Child	0 .		NA	benjamin	M	Target_Child
NIC	Nicola  Sister	toysiepoysies@c.		SELF	benjamin	M	sibling
CHI	Benjamin Target_Child	I'm going to get wood .		SELF	benjamin	M	Target_Child
CHI	Benjamin Target_Child	and chop (5.) .		SELF	benjamin	M	Target_Child
CHI	Benjamin Target_Child	its birthday time (3.) .		SELF	benjamin	M	Target_Child
CHI	Benjamin Target_Child	no (5.) .		SELF	benjamin	M	Target_Child
CHI	Benjamin Target_Child	Dougal (4.) .		SELF	benjamin	M	Target_Child
CHI	Benjamin Target_Child	I do it (18.) .		SELF	benjamin	M	Target_Child
CHI	Benjamin Target_Child	co(ke) coke (4.) .		SELF	benjamin	M	Target_Child
CHI	Benjamin Target_Child	money (9.) .		SELF	benjamin	M	Target_Child
CHI	Benjamin Target_Child	daddy gives me lots_of money (4.) .		SELF	benjamin	M	Target_Child
CHI	Benjamin Target_Child	xxx (3.) .		SELF	benjamin	M	Target_Child
CHI	Benjamin Target_Child	diggers (3.) .		SELF	benjamin	M	Target_Child
CHI	Benjamin Target_Child	car in the garage (3.) .		SELF	benjamin	M	Target_Child
CHI	Benjamin Target_Child	xxx (3.) .		SELF	benjamin	M	Target_Child
CHI	Benjamin Target_Child	where's (1.) the paint gone ?		SELF	benjamin	M	Target_Child
CHI	Benjamin Target_Child	where's paint (11.) ?		SELF	benjamin	M	Target_Child
NIC	Nicola  Sister	0 [=! sings] .		NA	benjamin	M	sibling
CHI	Benjamin Target_Child	I don't know <where my car> [/] where my car is (9.) .		SELF	benjamin	M	Target_Child
CHI	Benjamin Target_Child	I'm bringing my car .		SELF	benjamin	M	Target_Child
CHI	Benjamin Target_Child	xxx .		NA	benjamin	M	Target_Child
CHI	Benjamin Target_Child	I'm bringing your car in .		NIC	benjamin	M	Target_Child
NIC	Nicola  Sister	but I don't want it in .		CHI	benjamin	M	sibling
CHI	Benjamin Target_Child	wheel mine in (4.) .		NIC	benjamin	M	Target_Child
NIC	Nicola  Sister	get in [= into the pedal car] (4.) .		CHI	benjamin	M	sibling
CHI	Benjamin Target_Child	that's your +/.		NIC	benjamin	M	Target_Child
NIC	Nicola  Sister	xxx bring it in (3.) .		CHI	benjamin	M	sibling
CHI	Benjamin Target_Child	0 [=! raspberry] (6.) .		NIC	benjamin	M	Target_Child
NIC	Nicola  Sister	0 [=! shouts] (4.) .		CHI	benjamin	M	sibling
CHI	Benjamin Target_Child	0 [=! raspberry] .		NIC	benjamin	M	Target_Child
NIC	Nicola  Sister	you cant see my new xxx .		CHI	benjamin	M	sibling
CHI	Benjamin Target_Child	its in there .		NIC	benjamin	M	Target_Child
CHI	Benjamin Target_Child	its there (3.) .		NIC	benjamin	M	Target_Child
NIC	Nicola  Sister	where's Dougal ?		CHI	benjamin	M	sibling
CHI	Benjamin Target_Child	there .		NIC	benjamin	M	Target_Child
NIC	Nicola  Sister	is he lost in there ?		CHI	benjamin	M	sibling
CHI	Benjamin Target_Child	he's there (25.) .		NIC	benjamin	M	Target_Child
NIC	Nicola  Sister	0 .		NA	benjamin	M	sibling
MOT	Mother	get down .		?	benjamin	M	mother
MOT	Mother	xxx .		NA	benjamin	M	mother
MOT	Mother	xxx .		NA	benjamin	M	mother
CHI	Benjamin Target_Child	xxx (1.) .		NA	benjamin	M	Target_Child
CHI	Benjamin Target_Child	look (5.) .		?	benjamin	M	Target_Child
CHI	Benjamin Target_Child	xxx (4.) .		NA	benjamin	M	Target_Child
CHI	Benjamin Target_Child	look .		NIC	benjamin	M	Target_Child
NIC	Nicola  Sister	there's an airplane [>] .		CHI	benjamin	M	sibling
CHI	Benjamin Target_Child	look [<] .		NIC	benjamin	M	Target_Child
NIC	Nicola  Sister	there .		CHI	benjamin	M	sibling
NIC	Nicola  Sister	in the sky .		CHI	benjamin	M	sibling
CHI	Benjamin Target_Child	look Suzanne (4.) .	%com: suzanne must be a friend	SUZ	benjamin	M	Target_Child
NIC	Nicola  Sister	look (9.) .		SUZ	benjamin	M	sibling
CHI	Benjamin Target_Child	cuckoo .		?	benjamin	M	Target_Child
CHI	Benjamin Target_Child	look look (2.) .		SUZ	benjamin	M	Target_Child
CHI	Benjamin Target_Child	look (2.) .		SUZ	benjamin	M	Target_Child
CHI	Benjamin Target_Child	look .		SUZ	benjamin	M	Target_Child
CHI	Benjamin Target_Child	look Suzanne (3.) .		SUZ	benjamin	M	Target_Child
CHI	Benjamin Target_Child	look Suzanne (3.) .		SUZ	benjamin	M	Target_Child
CHI	Benjamin Target_Child	look Suzanne .		SUZ	benjamin	M	Target_Child
NIC	Nicola  Sister	did you see the airplane ?		SUZ	benjamin	M	sibling
SUZ	Suzanne Family_Friend	hm: ?		NIC	benjamin	M	adult
NIC	Nicola  Sister	did you see the airplane ?		SUZ	benjamin	M	sibling
CHI	Benjamin Target_Child	look (2.) .		SUZ	benjamin	M	Target_Child
CHI	Benjamin Target_Child	look (2.) .		SUZ	benjamin	M	Target_Child
NIC	Nicola  Sister	did you (2.) ?		SUZ	benjamin	M	sibling
SUZ	Suzanne Family_Friend	what's that (4.) ?		NIC	benjamin	M	adult
NIC	Nicola  Sister	don't say if you did .		SUZ	benjamin	M	sibling
CHI	Benjamin Target_Child	look .		SUZ	benjamin	M	Target_Child
SUZ	Suzanne Family_Friend	I'm going in the house .		NIC	benjamin	M	adult
NIC	Nicola  Sister	goodbye (2.) .		SUZ	benjamin	M	sibling
CHI	Benjamin Target_Child	look .		SUZ	benjamin	M	Target_Child
CHI	Benjamin Target_Child	look .		SUZ	benjamin	M	Target_Child
CHI	Benjamin Target_Child	look Suzanne .		SUZ	benjamin	M	Target_Child
NIC	Nicola  Sister	look Suzanne (12.) .		SUZ	benjamin	M	sibling
NIC	Nicola  Sister	0 [=! shouts] .		NA	benjamin	M	sibling
CHI	Benjamin Target_Child	xxx .		NA	benjamin	M	Target_Child
CHI	Benjamin Target_Child	xxx .		NA	benjamin	M	Target_Child
NIC	Nicola  Sister	there's a wasp in your house (16.) .		?	benjamin	M	sibling
NIC	Nicola  Sister	0 [=! sings hums] [>] (8.) .		?	benjamin	M	sibling
NIC	Nicola  Sister	0 [=! sings Happy Birthday] .		?	benjamin	M	sibling
CHI	Benjamin Target_Child	there's stairs .		?	benjamin	M	Target_Child
CHI	Benjamin Target_Child	xxx (5.) .		NA	benjamin	M	Target_Child
NIC	Nicola  Sister	stones (3.) ?		?	benjamin	M	sibling
NIC	Nicola  Sister	that's all (4.) .		?	benjamin	M	sibling
NIC	Nicola  Sister	my Grandma (i)s coming tomorrow (3.) .	%com: trying to interrupt	A	benjamin	M	sibling
NIC	Nicola  Sister	isn't she ?		A	benjamin	M	sibling
NIC	Nicola  Sister	my Grandma (i)s coming (5.) .	%com: mother and Visitor continue chatting	A	benjamin	M	sibling
NIC	Nicola  Sister	my Grandma (i)s going to come .		A	benjamin	M	sibling
MOT	Mother	we've got a_lot_of these +/.		VIS	benjamin	M	mother
NIC	Nicola  Sister	when is my Grandma coming ?		MOT	benjamin	M	sibling
MOT	Mother	in two weeks time love .		NIC	benjamin	M	mother
NIC	Nicola  Sister	my Grandma (i)s going to come .		?	benjamin	M	sibling
MOT	Mother	Benjamin .		CHI	benjamin	M	mother
CHI	Benjamin Target_Child	0 .		NA	benjamin	M	Target_Child
VIS	Visitor	your mum or his mum (4.) ?		MOT	benjamin	M	adult
MOT	Mother	johns mum (14.) .		VIS	benjamin	M	mother
MOT	Mother	xxx (2.) .		VIS	benjamin	M	mother
VIS	Visitor	tata then children .		VIS	benjamin	M	adult
MOT	Mother	xxx .		VIS	benjamin	M	mother
MOT	Mother	I've got one or two actually .		VIS	benjamin	M	mother
MOT	Mother	beautiful shapes .		VIS	benjamin	M	mother
MOT	Mother	xxx at all .		VIS	benjamin	M	mother
VIS	Visitor	when its a bit nearer Christmas . .		MOT	benjamin	M	adult
VIS	Visitor	ill come and give you my order (2.) .		MOT	benjamin	M	adult
CHI	Benjamin Target_Child	that ones wet .		?	benjamin	M	Target_Child
MOT	Mother	xxx .		NA	benjamin	M	mother
CHI	Benjamin Target_Child	that ones wet .		?	benjamin	M	Target_Child
MOT	Mother	<where's your pottie> [>] ?		CHI	benjamin	M	mother
VIS	Visitor	xxx [<] .		NA	benjamin	M	adult
MOT	Mother	don't stand there .		CHI	benjamin	M	mother
MOT	Mother	go upstairs (3.) .		CHI	benjamin	M	mother
CHI	Benjamin Target_Child	0 .		NA	benjamin	M	Target_Child
VIS	Visitor	don't trip over the train (4.) .		CHI	benjamin	M	adult
CHI	Benjamin Target_Child	0 .		NA	benjamin	M	Target_Child
NIC	Nicola  Sister	xxx (3.) .		NA	benjamin	M	sibling
VIS	Visitor	what did she say ?		MOT	benjamin	M	adult
VIS	Visitor	she cant go (2.) ?		MOT	benjamin	M	adult
VIS	Visitor	go on .		CHI	benjamin	M	adult
VIS	Visitor	off you go then .		CHI	benjamin	M	adult
VIS	Visitor	byebye then Benjamin .		CHI	benjamin	M	adult
MOT	Mother	ill be up in two minutes .		CHI	benjamin	M	mother
CHI	Benjamin Target_Child	0 [=! whimpers] .		NA	benjamin	M	Target_Child
VIS	Visitor	go on hurry up and xxx .		CHI	benjamin	M	adult
MOT	Mother	ill be up in two minutes .		CHI	benjamin	M	mother
MOT	Mother	go on .		CHI	benjamin	M	mother
MOT	Mother	mummie will come up with you .		CHI	benjamin	M	mother
VIS	Visitor	ill go on home .		MOT	benjamin	M	adult
CHI	Benjamin Target_Child	I want a sweet .	%com: wants Smarties from Visitor	VIS	benjamin	M	Target_Child
NIC	Nicola  Sister	0 [=! cries] .		NA	benjamin	M	sibling
VIS	Visitor	want a sweet ?		CHI	benjamin	M	adult
MOT	Mother	I beg your pardon .		VIS	benjamin	M	mother
MOT	Mother	what a whiny little voice .		?	benjamin	M	mother
VIS	Visitor	are they all_gone then (2.) ?		MOT	benjamin	M	adult
VIS	Visitor	they're all_gone they're all_gone .		MOT	benjamin	M	adult
MOT	Mother	xxx I shall have a girl xxx .		?	benjamin	M	mother
VIS	Visitor	one yellow one .		CHI	benjamin	M	adult
VIS	Visitor	<all_gone now> [>] .		CHI	benjamin	M	adult
MOT	Mother	xxx [<] .		NA	benjamin	M	mother
VIS	Visitor	I'd better save some for Matty and Robert .		CHI	benjamin	M	adult
VIS	Visitor	there you are (2.) .		CHI	benjamin	M	adult
VIS	Visitor	byebye .		CHI	benjamin	M	adult
MOT	Mother	xxx .		NA	benjamin	M	mother
MOT	Mother	take it .		CHI	benjamin	M	mother
VIS	Visitor	ill bring the xxx to you later on .		MOT	benjamin	M	adult
MOT	Mother	xxx .		NA	benjamin	M	mother
VIS	Visitor	tata .		MOT	benjamin	M	adult
MOT	Mother	kill that wasp .		?	benjamin	M	mother
MOT	Mother	want you (10.) ?		CHI	benjamin	M	mother
MOT	Mother	go on .		CHI	benjamin	M	mother
MOT	Mother	upstairs .		CHI	benjamin	M	mother
MOT	Mother	ill come with you .		CHI	benjamin	M	mother
MOT	Mother	mind that (2.) .		CHI	benjamin	M	mother
MOT	Mother	Nicola .		NIC	benjamin	M	mother
MOT	Mother	indoors (2.) .		NIC	benjamin	M	mother
NIC	Nicola  Sister	xxx (5.) .		NA	benjamin	M	sibling
NIC	Nicola  Sister	smarties .	%com: watching the advertisement on TV	?	benjamin	M	sibling
CHI	Benjamin Target_Child	smarties (2.) .		?	benjamin	M	Target_Child
CHI	Benjamin Target_Child	smarties .		?	benjamin	M	Target_Child
CHI	Benjamin Target_Child	like (1.) Smarties (4.) .		?	benjamin	M	Target_Child
CHI	Benjamin Target_Child	smarties (14.) .		?	benjamin	M	Target_Child
NIC	Nicola  Sister	smarties (2.) .		?	benjamin	M	sibling
CHI	Benjamin Target_Child	smarties (30.) .		?	benjamin	M	Target_Child
NIC	Nicola  Sister	I don't want this one [= TV program] .		MOT	benjamin	M	sibling
NIC	Nicola  Sister	can I change over the picture ?		MOT	benjamin	M	sibling
NIC	Nicola  Sister	please (3.) ?		MOT	benjamin	M	sibling
NIC	Nicola  Sister	I don't want this one .		MOT	benjamin	M	sibling
MOT	Mother	xxx .		NA	benjamin	M	mother
NIC	Nicola  Sister	xxx .		NA	benjamin	M	sibling
MOT	Mother	xxx .		NA	benjamin	M	mother
NIC	Nicola  Sister	I want Play_School .		MOT	benjamin	M	sibling
MOT	Mother	Play_Schools not on now darling .		NIC	benjamin	M	mother
MOT	Mother	its too late (3.) .		NIC	benjamin	M	mother
CHI	Benjamin Target_Child	0 [=! whimpers] .		NA	benjamin	M	Target_Child
MOT	Mother	Benjamin .		CHI	benjamin	M	mother
MOT	Mother	don't kick me (2.) .		CHI	benjamin	M	mother
MOT	Mother	big fat bully (3.) .		CHI	benjamin	M	mother
CHI	Benjamin Target_Child	0 [=! whimpers] .		MOT	benjamin	M	Target_Child
MOT	Mother	what's this fat leg for anyway ?		CHI	benjamin	M	mother
CHI	Benjamin Target_Child	0 [=! squeals like a dog] .		MOT	benjamin	M	Target_Child
MOT	Mother	what's it for ?		CHI	benjamin	M	mother
CHI	Benjamin Target_Child	0 [=! squeals] .		MOT	benjamin	M	Target_Child
MOT	Mother	what's it for ?		CHI	benjamin	M	mother
CHI	Benjamin Target_Child	0 [=! squeals] [>] .		MOT	benjamin	M	Target_Child
MOT	Mother	<what's it for> [<] ?		CHI	benjamin	M	mother
CHI	Benjamin Target_Child	zzz [>] .		MOT	benjamin	M	Target_Child
MOT	Mother	<what's it for> [<] ?		CHI	benjamin	M	mother
MOT	Mother	<tickle^lickle^lickle [: tickle]> [>] (8.) .		CHI	benjamin	M	mother
CHI	Benjamin Target_Child	0 [=! laughs and squeals] [<] .		MOT	benjamin	M	Target_Child
MOT	Mother	what's this ?		CHI	benjamin	M	mother
MOT	Mother	oh .		CHI	benjamin	M	mother
CHI	Benjamin Target_Child	&=laughs .		MOT	benjamin	M	Target_Child
MOT	Mother	oh tickle him .		CHI	benjamin	M	mother
MOT	Mother	oh tickle him (5.) .		CHI	benjamin	M	mother
MOT	Mother	what's this ?		CHI	benjamin	M	mother
MOT	Mother	big fat bottom (2.) .		CHI	benjamin	M	mother
CHI	Benjamin Target_Child	&=laughs .		MOT	benjamin	M	Target_Child
MOT	Mother	big fat leg .		CHI	benjamin	M	mother
MOT	Mother	and a skinny little knee (6.) .		CHI	benjamin	M	mother
MOT	Mother	no .		CHI	benjamin	M	mother
MOT	Mother	you're not going to kick anyway .		CHI	benjamin	M	mother
MOT	Mother	are you (2.) .		CHI	benjamin	M	mother
MOT	Mother	you're too grown up to kick (4.) .		CHI	benjamin	M	mother
MOT	Mother	so (i)s Benjamin really (21.) .		CHI	benjamin	M	mother
CHI	Benjamin Target_Child	0 .		MOT	benjamin	M	Target_Child
MOT	Mother	xxx (10.) .		NA	benjamin	M	mother
CHI	Benjamin Target_Child	0 [=! whimpers] .		NA	benjamin	M	Target_Child
FAT	Father	d(o) you like that ?		NIC	benjamin	M	adult
NIC	Nicola  Sister	I used to like that but I don't think Ill have any more .		FAT	benjamin	M	sibling
NIC	Nicola  Sister	(be)cause I like these [= vegetables] now (2.) .		FAT	benjamin	M	sibling
NIC	Nicola  Sister	I like these now (11.) .		FAT	benjamin	M	sibling
MOT	Mother	what are you wanting Benjamin ?		CHI	benjamin	M	mother
CHI	Benjamin Target_Child	I want this .		MOT	benjamin	M	Target_Child
MOT	Mother	come on .		CHI	benjamin	M	mother
CHI	Benjamin Target_Child	no (3.) .		MOT	benjamin	M	Target_Child
MOT	Mother	xxx (2.) .		NA	benjamin	M	mother
NIC	Nicola  Sister	I've eat [= eaten] all that up (6.) .		?	benjamin	M	sibling
MOT	Mother	xxx (4.) .		NA	benjamin	M	mother
NIC	Nicola  Sister	that's mine [= plate] isn't it (5.) ?		?	benjamin	M	sibling
CHI	Benjamin Target_Child	I don't like that (6.) .		?	benjamin	M	Target_Child
CHI	Benjamin Target_Child	I don't like it (2.) .		?	benjamin	M	Target_Child
NIC	Nicola  Sister	xxx it (10.) ?		NA	benjamin	M	sibling
NIC	Nicola  Sister	xxx (2.) .		NA	benjamin	M	sibling
NIC	Nicola  Sister	look [= at the TV] .		CHI	benjamin	M	sibling
NIC	Nicola  Sister	look (14.) .		CHI	benjamin	M	sibling
CHI	Benjamin Target_Child	0 [=! giggles and roars] [>] .		NIC	benjamin	M	Target_Child
NIC	Nicola  Sister	0 [=! giggles and roars] [<] .		CHI	benjamin	M	sibling
NIC	Nicola  Sister	have you seen my bone ?		CHI	benjamin	M	sibling
CHI	Benjamin Target_Child	no .		NIC	benjamin	M	Target_Child
CHI	Benjamin Target_Child	no (2.) .		NIC	benjamin	M	Target_Child
NIC	Nicola  Sister	xxx .		CHI	benjamin	M	sibling
CHI	Benjamin Target_Child	xxx (2.) .		NIC	benjamin	M	Target_Child
CHI	Benjamin Target_Child	xxx .		NIC	benjamin	M	Target_Child
NIC	Nicola  Sister	be a doggie (7.) .		CHI	benjamin	M	sibling
NIC	Nicola  Sister	0 [=! giggles] (2.) .		CHI	benjamin	M	sibling
NIC	Nicola  Sister	xxx [>] .		CHI	benjamin	M	sibling
CHI	Benjamin Target_Child	<where's my bone> [<] ?		NIC	benjamin	M	Target_Child
NIC	Nicola  Sister	yours is stink bomb .		CHI	benjamin	M	sibling
NIC	Nicola  Sister	yours is stink pot .		CHI	benjamin	M	sibling
CHI	Benjamin Target_Child	where's my bone ?		NIC	benjamin	M	Target_Child
NIC	Nicola  Sister	xxx .		CHI	benjamin	M	sibling
MOT	Mother	where's his bone .		NIC	benjamin	M	mother
MOT	Mother	xxx .		NA	benjamin	M	mother
MOT	Mother	oh .		?	benjamin	M	mother
NIC	Nicola  Sister	0 [=! giggles] .		NA	benjamin	M	sibling
MOT	Mother	xxx .		NA	benjamin	M	mother
NIC	Nicola  Sister	0 [=! squeals] .		NA	benjamin	M	sibling
NIC	Nicola  Sister	0 [=! giggles] (2.) .		NA	benjamin	M	sibling
NIC	Nicola  Sister	where's my bone ?		MOT	benjamin	M	sibling
CHI	Benjamin Target_Child	xxx (6.) .		NA	benjamin	M	Target_Child
NIC	Nicola  Sister	0 [=! squeals] .		NA	benjamin	M	sibling
CHI	Benjamin Target_Child	where's my bone (10.) ?		?	benjamin	M	Target_Child
CHI	Benjamin Target_Child	here's my bone .		?	benjamin	M	Target_Child
NIC	Nicola  Sister	I like big bones (2.) .		CHI	benjamin	M	sibling
NIC	Nicola  Sister	be a doggie (3.) .		CHI	benjamin	M	sibling
NIC	Nicola  Sister	do you want these [= pens] (2.) ?	%com: they intend drawing	CHI	benjamin	M	sibling
CHI	Benjamin Target_Child	yes .		NIC	benjamin	M	Target_Child
NIC	Nicola  Sister	what (5.) ?		CHI	benjamin	M	sibling
CHI	Benjamin Target_Child	xxx .		NA	benjamin	M	Target_Child
NIC	Nicola  Sister	xxx .		NA	benjamin	M	sibling
NIC	Nicola  Sister	I've got all sorts of colors (2.) .		CHI	benjamin	M	sibling
CHI	Benjamin Target_Child	want these colors (4.) .		NIC	benjamin	M	Target_Child
CHI	Benjamin Target_Child	this one doesn't work (2.) .		NIC	benjamin	M	Target_Child
CHI	Benjamin Target_Child	got blue (4.) .		NIC	benjamin	M	Target_Child
CHI	Benjamin Target_Child	this blue doesn't work (2.) .		NIC	benjamin	M	Target_Child
NIC	Nicola  Sister	yes it does .		CHI	benjamin	M	sibling
NIC	Nicola  Sister	I've used mine .		CHI	benjamin	M	sibling
NIC	Nicola  Sister	blue does work .		CHI	benjamin	M	sibling
NIC	Nicola  Sister	that blue does work (4.) .		CHI	benjamin	M	sibling
NIC	Nicola  Sister	I like this one .		CHI	benjamin	M	sibling
NIC	Nicola  Sister	black .		CHI	benjamin	M	sibling
NIC	Nicola  Sister	xxx (3.) .		CHI	benjamin	M	sibling
NIC	Nicola  Sister	xxx (5.) .		CHI	benjamin	M	sibling
CHI	Benjamin Target_Child	that pen wont .		NIC	benjamin	M	Target_Child
CHI	Benjamin Target_Child	it wont work .		NIC	benjamin	M	Target_Child
