%mor:	det:art|un&m&sg n|deux&m n|trois&m
%mor:	v|tenir-IMP&2s pro:dem|ça pro:refl|se re#v|mettre-PRES&3s prep|en
%mor:	pro:sub|ils pro:refl|se v|mettre-PRES&SUB&3p adv:place|là prep|pour
	v|dormir-INF
%mor:	det:art|la&f&sg n|nuit&f v:aux|être&PRES&3s part|tomber-PP&f
%mor:	v|regarder-IMP&2s
%mor:	adv:place|là pro:dem|ce$v:exist|être&PRES&3s det:art|la&f&sg
	n|nuit&f
%mor:	prep|sur det:art|la&f&sg n|ferme&f prep|de&le n|bout&m prep|de&le
	n|bois&m
%mor:	adv|presque pro|tous&m&pl det:art|les&pl n|animal&m&pl
	v:aux|être&PRES&3p n|endormi&m-PL
%mor:	adv|alors pro:int|qui v|dormir-PRES&3s ?
%mor:	det:art|les&pl n|chien&m-PL
%mor:	co|mh
%mor:	det:art|la&f&sg n|poule&f
%mor:	co|mh
%mor:	conj|et adv|puis det:art|les&pl adj|petit&m-PL n|veau&m-PL
%mor:	det:art|la&f&sg n|vache&f
%mor:	adv:place|là ?|qu'estce prep|que pro:dem|ce$v:aux|être&PRES&3s
	pro:dem|ça ?
%mor:	pro:dem|ce v:aux|être&PRES&3p prep|de&les n|oiseau&m-PL
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas prep|de&les
	n|tourterelle&f-PL n|tourterelle&f-PL ?|peutêtre
%mor:	n|tout&m v:aux|être&PRES&3s n|calme&m conj|et adj|tranquille
%mor:	det:art|les&pl n|vache&f-PL v|ronfler-PRES&3p prep|sur
	det:art|la&f&sg n|paille&f
%mor:	adv|ben pro:sub|elles v|dormir-PRES&SUB&3p prep|sur det:art|la&f&sg
	n|paille&f det:art|les&pl n|vache&f-PL
%mor:	det:art|les&pl adj|petit&f-PL n|souris&f pro:sub|elles
	v:exist|être&PRES&3p neg|pas n|endormi&m-PL co|hein
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|voir&PP&m ?
%mor:	pro:sub|elles prep|par n|contre&m pro:sub|elles v|grimper-PRES&3p
	adv|partout pro:sub|elles pro:y|en v|profiter-PRES&3p prep|pour
	v:mdl|aller&INF v:mdl|faire-INF det:art|une&f&sg adj|petit&f
	n|inspection&f prep|pour v|regarder-INF n|si&m pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s n|rien&m prep|à v|manger-INF
%mor:	part|taire-PP&m v|croire&IMP&2s pro:rel|que$pro:sub|elles
	v|manger-PRES&3p prep|de det:art|la&f&sg n|paille&f ?
%mor:	co|eh
%mor:	?|peutêtre prep|de&les adj|petit&m-PL prep|de&les n|ail&m&pl
	n|vache&f-PL
%mor:	co|mh
%mor:	det:art|les&pl n|poule&f-PL v:aux|être&PRES&3p part|blottir-PP&m&pl
	prep|dans det:poss|leur&sg n|nid&m-PL
%mor:	part|taire-PP&m v|voir&IMP&PRES&12s pro:sub|elles
	v:aux|être&PRES&3p adv|bien
%mor:	det:art|les&pl pro|uns&m&pl det:art|les&pl pro|uns&m&pl
	pro|unes&f&pl prep|contre det:art|les&pl pro|autres&pl
	det:art|les&pl pro|uns&m&pl n|contre&m prep|contre det:art|les&pl
	pro|autres&pl
%mor:	conj|et co|oui=yes
%mor:	?|qu'estce pro:rel|que$pro:sub|elle v:aux|avoir&PRES&3s prep|sur
	det:poss|sa&f&sg n|tête&f ?
%mor:	det:art|une&f&sg n|touffe&f prep|de n|poil&m-PL
%mor:	adv|mais co|non=no neg|pas prep|sur det:poss|sa&f&sg n|tête&f
%mor:	?|celuilà pro:sub|on v|voir&PRES&3s neg|pas det:poss|ses&pl
	n|corne&f-PL adv|mais prep|de&les n|fois&f pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s prep|de&les n|corne&f-PL pro:int|qui
	v|sortir&PRES&3p adv:place|dessous adv:place|là conj|ou adv|alors
	pro:sub|elles v:aux|avoir&PRES&3p n|été&m n|coupé&f-PL
%mor:	co|mh
%mor:	v:aux|être&PRES&2s n|canard&m-PL=duck v|rêver-PRES&3p prep|à&le
	n|milieu&m prep|de&les n|roseau&m-PL
%mor:	adv|quand adj|tout_à_coup&m=suddenly sing|tchoubidouhou prep|sur
	det:art|le&m&sg ?|toît prep|de det:art|la&f&sg n|vieille&f
	n|étable&f ?|hector_le_hibou
%mor:	pro:refl|se re#v|veiller-PRES&SUB&13s
%mor:	pro:sub|il v|secouer-IMP&2s det:poss|ses&pl ?
%mor:	conj|et v|pousser-PRES&SUB&13s det:art|un&m&sg ?
%mor:	?|qu'estce pro:rel|que$pro:sub|il part|dire-PP&m ?
%mor:	n|comment&m pro:sub|il part|dire-PP&m det:art|le&m&sg ?|hector ?
%mor:	sing|tchoubidouhou
%mor:	co|chut
%mor:	adv|alors co|meuh=cow v|meugler-IMP&2s n|maman&f n|vache&f
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s det:art|une&f&sg n|toile&f
	prep|de$n|araignée&f
%mor:	co|ah co|oui=yes
%mor:	det:art|une&f&sg n|araignée&f adj|même&m=same conj|et
	det:art|la&f&sg n|toile&f pro:sub|elle v:aux|être&PRES&3s
	adv:place|là pro:sub|tu v:aux|avoir&PRES&2s part|voir&PP&m
%mor:	co|chut neg|pas co|si n|fort&m ?|hector det:poss|mes&pl n|veau&m-PL
	v:aux|avoir&PRES&3p n|besoin&m prep|de n|repos&m
%mor:	co|ah adv|mais ?|emi pro:sub|elle v:aux|avoir&PRES&3s pro:sub|elle
	v:aux|avoir&PRES&3s det:art|le&m&sg n|pied&m-PL det:art|les&pl
	n|pied&m-PL prep|dans det:art|le$n|eau&f adv:place|là
%mor:	det:art|les&pl n|inondation&f-PL v:aux|être&PRES&3p
	part|venir-PP&m&pl prep|jusque$adv:place|ici
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|dans det:art|le$n|eau&f
	adv|aussi det:art|le&m&sg n|pied&m-PL prep|de det:art|la&f&sg
	n|caméra&f ?
%mor:	?|oïe ?|oïe ?|oïe ?|oïe ?|oïe
%mor:	det:gen|quel&m&sg n|messieur&m=monsieur ?
%mor:	det:gen|quel&m&sg n|messieur&m=monsieur ?
%mor:	det:gen|quel&m&sg n|messieur&m=monsieur ?
%mor:	det:art|la&f&sg n|caméra&f pro:dem|ce$v:exist|être&PRES&3s
	det:art|un&m&sg n|messieur&m=monsieur ?
%mor:	conj|et adv:place|là co|ben pro:dem|ce$v:exist|être&PRES&3s neg|pas
	det:art|un&m&sg n|messieur&m=monsieur adv|alors
%mor:	co|ah co|bon
%mor:	pro:sub|je v|croire&IMP&2s adv|que part|taire-PP&m
	pro:obj|te$v|amuser-PRES&SUB&2s det:art|un&m&sg n|peu&m adv:place|là
	co|hein
%mor:	pro:sub|on pro:sub|on
%mor:	?|tim
%mor:	?|qu'estce prep|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	adv|ben v|prendre-PRES&IMP&12s det:art|une&f&sg n|voiture&f
	prep|pour v:mdllex|faire-INF
%mor:	co|oh adv|d'ailleurs pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg
	n|locomotive&f adv|mais co|bon
%mor:	adv|alors
%mor:	pro:sub|on pro:sub|on det:art|le&m&sg pro:sub|on v|finir-PASS&3s
	neg|pas prep|de v|lire-INF det:art|le$n|histoire&f ?
%mor:	pro:sub|on v|finir-PASS&3s prep|de v|lire-INF
	det:art|le$n|histoire&f pro:sub|je v:mdl|vouloir&PRES&12s v|dire-INF
	?
%mor:	part|taire-PP&m det:art|le&m&sg v|ranger-PRES&SUB&2s ?
%mor:	co|attention adv:place|là
%mor:	adv|doucement
%mor:	adv|alors ?|hector part|faire-PP&m det:art|un&m&sg n|effort&m
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|changer-PP&m
	prep|de$n|avis&m
%mor:	co|bon
%mor:	prep|de det:poss|sa&f&sg n|voix&f co|la adv|plus adj|douce&f
	pro:sub|il v|chanter-PRES&SUB&13s prep|à n|nouveau&m
	?|tchoubidouhouhou
%mor:	on|kotkodk v|caqueter-IMP&2s n|maman&f n|poule&f
%mor:	co|chut neg|pas co|si n|fort&m ?|hector det:poss|mes&pl
	n|poussin&m-PL v:aux|avoir&PRES&3p n|école&f n|demain&m
%mor:	part|taire-PP&m v|croire&PRES&12s pro:rel|que$pro:sub|ils
	v:mdl|aller&PRES&3p prep|à det:art|le$n|école&f det:art|les&pl
	n|poussin&m-PL ?
%mor:	co|non=no ?
%mor:	co|ah co|bon ?
%mor:	pro:sub|ils v:aux|être&PRES&3p adv|trop adj|petit&m-PL
%mor:	pro:dem|ça v:mdl|devoir&PRES&3s v:aux|être&INF conj|pour pro:dem|ça
	adv|alors adv|que pro:y|y pro:y|en v:aux|avoir&PRES&3s neg|pas
	prep|à det:art|le$n|école&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:sub|ils v:aux|être&PRES&3p
	adv|trop adj|petit&m-PL det:art|les&pl n|poussin&m-PL
%mor:	pro:sub|elle v:mdl|aller&PRES&3s prep|à det:art|le$n|école&f ?
%mor:	prep|à det:art|le$n|école&f prep|de&les n|poule&f-PL adv|alors
%mor:	co|mh
%mor:	pro:int|qui ?
%mor:	det:art|les&pl n|fille&f-PL ?
%mor:	adv|mais pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg n|poule&f
	co|la co|heuh co|la
%mor:	co|pfff
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg n|fille&f
	det:art|la&f&sg n|poule&f
%mor:	co|ah ?|peutêtre pro:rel|que$pro:sub|il pro:y|y v:aux|avoir&PRES&3s
	prep|de$pro|autres&pl n|enfant-PL part|coucher-PP&m&pl prep|dans
	det:art|la&f&sg n|ferme&f
%mor:	adv|alors ?|hector v|murmurer-PRES&SUB&13s adv|encore
	det:art|une&f&sg n|fois&f prep|de co|la adv|plus adj|petit&f
	n|voix&f pro:int|qui adv|soit ?|tchoubidou
%mor:	adv|mais on|coin on|coin v|cancaner-IMP&2s n|maman&f n|canne&f
%mor:	co|chut neg|pas co|si n|fort&m ?|hector prep|pour det:poss|mes&pl
	n|caneton&m-PL n|baisse&f prep|de$v|unir n|ton&m=tone
%mor:	pro:dem|ça v:mdl|vouloir&PRES&3s v|dire-INF part|faire-PP&m
	det:art|un&m&sg adj|petit&m n|peu&m prep|moins adj|fort&m
%mor:	v|chanter-PRES&SUB&13s det:art|un&m&sg n|peu&m prep|moins
	adj|fort&m
%mor:	adv|même det:art|les&pl adj|petit&m-PL n|lapin&m-PL pro:sub|ils
	v:aux|être&PRES&3p re#part|veiller-PP&m&pl
%mor:	adj|désolé&m conj|et pro:refl|se$v|envoler-IMP&2s
	prep|jusque$prep|à&le adj|vieux n|chêne&m
%mor:	pro:int|qui pro:dem|ce$v:exist|être&PRES&3s pro:dem|ça ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|loup&m
	part|taire-PP&m v|croire&PRES&12s ?
%mor:	v:aux|être&PRES&2s part|taire-PP&m n|bien&m adv|sûr ?
%mor:	?|qu'estce pro:int|que pro:dem|ce$v:exist|être&PRES&3s pro:rel|qui
%mor:	co|ouais=yes
%mor:	adv:place|voilà
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|renard&m
%mor:	adv:place|là
%mor:	co|oui=yes pro:sub|elles v:aux|être&PRES&3p prep|dans prep|dans
	det:art|un&m&sg n|trou&m
%mor:	pro:sub|il pro:refl|se
%mor:	adv|alors
%mor:	adv|tout det:art|le&m&sg n|monde&m pro:refl|se v|rendormir-PRES&3s
%mor:	adv|mais det:gen|quelle&f&sg v:aux|être&PRES&3s det:dem|cette&f&sg
	n|ombre&f v|sombrer-IMP&2s pro:int|qui v|roder-IMP&2s conj|et
	n|rampe&f prep|à adj|ras&m prep|de n|terre&f n|ver&m-PL co|la
	n|ferme&f prep|de&le n|bout&m prep|de&le n|bois&m
%mor:	pro:int|qui pro:dem|ce$v:exist|être&PRES&3s ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|trouver-PP&m pro|toi&sg
	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|renard&m pro:int|qui
	v|arriver-PRES&SUB&13s
%mor:	co|ouille co|ouille co|ouille co|ouille co|ouille
%mor:	pro:dem|ce$v:aux|être&PRES&3s n|roublard&m det:art|le&m&sg n|rusé&m
	n|renard&m
%mor:	n|renard&m adj|malin&m n|rusé&m
%mor:	pro:int|qui v|venir-PRES&3s dé#v|rober-INF det:poss|son&m&sg
	n|repas&m prep|de&le n|soir&m
%mor:	pro:sub|il v|venir-PRES&3s v|voler-INF pro:sub|il v|venir-PRES&3s
	n|manger&m=food n|son&m=sound
%mor:	co|oh co|oui=yes pro:sub|il pro:y|y v:aux|avoir&PRES&3s
	det:art|un&m&sg adj|petit&m n|trou&m prep|dans det:art|le&m&sg
	n|poulailler&m adv:place|là co|hein
%mor:	conj|et det:art|le&m&sg adj|petit&m n|poussin&m pro:sub|il
	v|commencer-PRES&SUB&13s prep|à v|regarder-INF pro:dem|ce
	pro:int|qui pro:refl|se v|passer-PRES&SUB&13s
%mor:	pro:sub|il v:aux|avoir&PRES&3s prep|vu part|luire&PP&m pro:sub|il
	pro:refl|se n|doute&m pro:rel|que$pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s det:art|un&m&sg n|problème&m co|hein pro:sub|il
	v|commencer-IMP&2s v:aux|avoir&PRES&3s v|voir&INF
	v:aux|avoir&PRES&3s v|concevoir-INF det:art|le&m&sg n|renard&m
%mor:	adv|alors pro:sub|il pro:refl|se$v|approcher-IMP&2s prep|à neg|pas
	adj|feutré&m-PL v|passer-IMP&2s n|devant&m co|la adv|marre conj|et
	adj|long&m det:art|le$n|étable&f conj|et
	pro:refl|se$v|arrêter-IMP&2s adv|pile_poil=exactly co|aïe co|aïe
	co|aïe n|devant&m det:art|le&m&sg n|logis&m prep|de&les
	n|volaille&f-PL
%mor:	det:art|le&m&sg n|logis&m prep|de&les n|volaille&f-PL co|la
	n|maison&f prep|de&les n|volaille&f-PL
	pro:dem|ce$v:exist|être&PRES&3s det:art|le&m&sg n|poulailler&m
%mor:	co|mh
%mor:	co|ouais=yes
%mor:	det:art|la&f&sg n|porte&f=door pro:sub|elle v:aux|être&PRES&3s
	neg|pas part|fermer-PP&f
%mor:	pro:sub|tu v|voir&IMP&PRES&12s det:art|le&m&sg n|renard&m prep|à&le
	n|milieu&m prep|de det:art|la&f&sg n|ferme&f prep|de det:art|la&f&sg
	n|cour&f prep|de det:art|la&f&sg n|ferme&f
%mor:	co|oh co|la co|la co|la co|la
%mor:	conj|et ?|qu'estce pro:rel|que$pro:sub|il part|faire-PP&m
	adv:place|là ?
%mor:	co|ouh
%mor:	adv|tout det:art|le&m&sg n|monde&m adv|debout
%mor:	pro:sub|il v|hululer-PRES&SUB&13s adv|si adj|fort&m
	pro:rel|que$pro:sub|il re#v|veiller-IMP&2s n|maman&f n|vache&f
	pro:int|qui pro:refl|se v|mettre-PRES&3s prep|à v|meugler-INF
%mor:	adv|comment pro:sub|elle part|faire-PP&m ?
%mor:	pro:sub|il v|hululer-PRES&SUB&13s adv|si adj|fort&m
	pro:rel|que$pro:sub|il re#v|veiller-IMP&2s n|maman&f n|poule&f
%mor:	co|ah co|bon ?
%mor:	pro:int|où pro:dem|ce$v:exist|être&PRES&3s adv|que part|taire-PP&m
	v:aux|avoir&PRES&2s prep|vu prep|de&les n|vache&f-PL prep|dans
	det:art|le&m&sg n|bus&m pro|toi&sg ?
%mor:	co|ah prep|dans det:art|le&m&sg n|livre prep|de n|mimi&m=baby
%mor:	prep|dans det:art|la&f&sg n|mimi&m=baby v|prendre-PRES&3s
	det:art|le&m&sg n|bus&m co|mimi n|conducteur&m prep|de n|bus&m
	pro:dem|ce$v:aux|être&PRES&3s pro:dem|ça
%mor:	co|ah adv|quand pro:sub|on v:aux|être&PRES&3s part|aller&PP&m&sg
%mor:	co|ah pro:sub|on v:aux|avoir&PRES&3s part|prendre-PP&m
	det:art|le&m&sg n|bus&m prep|pour v:mdl|aller&INF prep|à
	det:art|la&f&sg n|ferme&f v|voir&INF prep|de&les n|vache&f-PL
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:dem|ça ?
%mor:	adv|mais pro:y|y v:aux|avoir&IMPF&3s neg|pas prep|de&les
	n|vache&f-PL prep|dans det:art|le&m&sg n|bus&m
%mor:	co|mh ?
%mor:	adv|quand part|aller&PP&m&sg prep|à det:art|la&f&sg n|ferme&f
%mor:	co|mh ?
%mor:	prep|avec ?|amé co|oui=yes
%mor:	co|oui=yes
%mor:	part|taire-PP&m pro:obj|te$pro:y|en v|rappeler-PRES&SUB&2s ?
%mor:	pro:sub|on v:aux|avoir&IMPF&3s neg|pas v|emmener-INF ?|babar
	co|non=no
%mor:	adv|alors pro:sub|il v|hululer-PRES&SUB&13s adv|si adj|fort&m
	pro:rel|que$pro:sub|il re#v|veiller-IMP&2s n|maman&f n|poule&f
	pro:int|qui pro:refl|se v|mettre-PRES&3s prep|à v|caqueter-INF
%mor:	adv|comment pro:sub|elle part|faire-PP&m adv|quand pro:sub|elle
	v|caqueter-PRES&SUB&13s det:art|la&f&sg n|poule&f ?
%mor:	adv|comment pro:sub|elle part|faire-PP&m
%mor:	co|ah pro:sub|on v:mdl|aller&PRES&3s v:mdl|aller&INF v|chercher-INF
	det:art|un&m&sg n|mouchoir&m v|tenir-IMP&2s
%mor:	co|allez n|souffle&m
%mor:	n|souffle&m
%mor:	co|ah co|oui=yes
%mor:	part|taire-PP&m
%mor:	v:mdl|faire-PRES&12s v|voir&INF
%mor:	pro:sub|il v:aux|avoir&PRES&3s det:art|un&m&sg n|nom&m
%mor:	v|attendre-IMP&2s
%mor:	pro:sub|je pro:obj|me$pro:y|en v|rappeler-PRES&SUB&13s qn|plus
	prep|de det:poss|son&m&sg n|nom&m
%mor:	v:mdl|faire-PRES&12s v|voir&INF
%mor:	pro:sub|je v:mdl|aller&PRES&1s pro:obj|te re#v|dire-INF
	det:poss|ton&m&sg det:poss|son&m&sg n|nom&m
%mor:	pro:dem|ça pro:sub|il pro:refl|se$v|appeler-PRES&SUB&13s
%mor:	pro:sub|il v:aux|avoir&PRES&3s det:poss|son&m&sg n|passeport&m
