%mor:	part|taire-PP&m v:aux|avoir&PRES&2s n|marché&m adv:place|dessous ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s n|marché&m adv:place|dessous ?
%mor:	co|ohlàlà
%mor:	adv:place|là adv|aussi part|taire-PP&m v:aux|avoir&PRES&2s
%mor:	pro:sub|il v|arriver-PRES&SUB&13s ?
%mor:	co|ah
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|finir-PP&m ?
%mor:	co|stop co|stop co|stop
%mor:	co|non=no pro:dem|ce$v:exist|être&PRES&3s co|bon
	pro:dem|ce$v:exist|être&PRES&3s co|bon
%mor:	n|laisse&f det:art|le&m&sg n|papier&m
%mor:	n|laisse&f det:art|le&m&sg n|papier&m
%mor:	pro:y|y pro:y|en v:aux|avoir&PRES&3s adv|assez
%mor:	co|non=no
%mor:	co|non=no
%mor:	part|taire-PP&m v:aux|être&PRES&2s
%mor:	co|oui=yes
%mor:	v|tirer-INF det:art|la&f&sg n|chasse&f
%mor:	pro:sub|je pro:obj|te n|porte&f=door
%mor:	adv:place|voilà
%mor:	co|oui=yes
%mor:	pro:sub|on re#v|monter-PRES&SUB&13s det:art|le&m&sg n|collant&m
%mor:	det:art|le$pro|autre&sg adv|aussi ?
%mor:	adv|d'accord
%mor:	co|bon
%mor:	conj|et adv:place|là pro:sub|il pro:obj|te$v|arriver-PRES&SUB&13s
	prep|à&le
%mor:	co|non=no pro:sub|on neg|ne v:mdl|pouvoir&PRES&3s neg|pas
	pro:obj|le v|monter-INF qn|plus n|dommage&m
%mor:	v:mdl|aller&INF v|tirer-PRES&SUB&13s det:art|la&f&sg n|chasse&f
	prep|de$n|eau&f
%mor:	co|ah
%mor:	co|oui=yes adj|exact&m
%mor:	pro:sub|il v:aux|être&PRES&3s adj|vert&m
%mor:	pro:sub|je v|croire&IMPF&12s adv|que part|taire-PP&m
	v|préférer-IMPF&12s det:art|le&m&sg n|violet&m pro|toi&sg prep|à&le
	adj|vert&m
%mor:	co|ah co|bon
%mor:	pro:sub|il pro:obj|me v|sembler-IMPF&3s adv|aussi adv|que
	part|taire-PP&m v|préférer-IMPF&12s det:art|le&m&sg n|violet&m
%mor:	n|doudou&m=blankie det:poss|sa&f&sg n|doudou&m=blankie
	det:poss|sa&f&sg
%mor:	co|hein ?
%mor:	det:art|le&m&sg n|doudou&m=blankie n|cheval&m&sg pro:sub|il
	v:exist|être&PRES&3s ?|làhaut ?
%mor:	pro:int|où pro:dem|ça ?|làhaut ?
%mor:	?|làhaut ?|làhaut
%mor:	co|oui=yes
%mor:	v:mdl|aller&PRES&3s pro:obj|le v|chercher-INF
%mor:	det:art|le&m&sg n|chapeau&m adv|aussi
%mor:	pro:sub|tu pro:y|y v|voir&IMP&PRES&12s prep|plus n|rien&m ?
%mor:	neg|pas adv|comme pro:dem|ça ?
%mor:	prep|à pro|moi&sg ?
%mor:	part|taire-PP&m pro:obj|me$pro:y|en v|donner-PRES&SUB&2s
	det:art|une&f&sg prep|de n|casquette&f co|hein prep|à pro|moi&sg ?
%mor:	conj|et pro|moi&sg ?
%mor:	conj|et adj|bien pro:dem|ce$v:aux|être&PRES&3s adv|bien
%mor:	adv|parce prep|que pro:rel|quoi ?
%mor:	chi|pake
%mor:	pro:sub|je$pro:y|en v:aux|avoir&PRES&1s neg|pas pro|moi&sg
%mor:	part|taire-PP&m neg|ne v:mdllex|vouloir&PRES&12s neg|pas pro:obj|me
	v|donner-INF det:poss|ta&f&sg n|casquette&f ?
%mor:	co|non=no ?
%mor:	part|taire-PP&m pro:obj|me$pro:y|en v|donner-PRES&SUB&2s
	det:art|une&f&sg pro|autre&sg ?
%mor:	part|marquer-PP&m ?|shakespeare adv:place|dessus
%mor:	v:mdllex|aller&PRES&2p v|donner-PRES&SUB&2s pro|moi&sg prep|en
	det:art|une&f&sg
%mor:	n|si&m
%mor:	neg|pas part|trouver-PP&f ?
%mor:	co|heuh
%mor:	v|regarder-PRES&SUB&13s ?|làhaut ?|làhaut prep|sur det:art|le&m&sg
	n|nounours&m=teddy_bear pro:int|qui part|faire-PP&m prep|de&le
	n|bruit&m
%mor:	n|tout&m ?|làhaut ?|làhaut prep|sur det:art|le&m&sg n|fauteuil&m
	adj|bleu&m
%mor:	det:art|le&m&sg n|fauteuil&m adj|bleu&m
%mor:	adv:place|là pro:int|où part|taire-PP&m v:aux|avoir&PRES&2s
	part|trouver-PP&m det:art|la&f&sg n|casquette&f
%mor:	co|ah
%mor:	part|taire-PP&m pro:obj|me v|donner-PRES&SUB&2s det:art|la&f&sg
	adj|tien&f ?
%mor:	conj|et pro:sub|je$pro:y|en v:mdl|faire-PRES&12s pro:int|quoi ?
%mor:	det:art|la&f&sg n|tête&f ?
%mor:	adv|comme pro:dem|ça ?
%mor:	co|ah adv|d'accord pro:sub|je$v:aux|avoir&PRES&1s n|rien&m
	part|dire-PP&m
%mor:	co|non=no co|non=no neg|pas adv|comme pro:dem|ça
	pro:dem|ce$v:aux|être&PRES&3s
%mor:	adv|comme pro:dem|ça v:mdl|falloir&PRES&3s v|mettre-INF adv|comme
	pro:dem|ça
%mor:	adv|comme pro:dem|ça
%mor:	adv|comme pro:dem|ça
%mor:	co|voilà adv|comme pro:dem|ça
%mor:	adv:place|voilà
%mor:	prep|avec det:art|la&f&sg n|visière&f ?
%mor:	conj|et pro|toi&sg part|taire-PP&m pro:obj|le$v:poss|avoir&PRES&3s
	n|mise&f prep|à det:art|le$n|envers&m
%mor:	conj|et co|si pro:sub|elle
%mor:	prep|pour pro:obj|te v|protéger-INF det:art|le&m&sg n|cou&m
%mor:	co|ouais=yes
%mor:	co|oh
%mor:	co|oh adv|comme pro:dem|ça ?
%mor:	part|taire-PP&m v:aux|être&PRES&2s adj|sûr&f ?
%mor:	co|non=no
%mor:	part|taire-PP&m pro:obj|le$v:poss|avoir&PRES&2s n|mise&f
	part|taire-PP&m pro:obj|le$v:poss|avoir&PRES&2s n|mise&f adv|comme
	pro:dem|ça pro|toi&sg
%mor:	adv|comme pro:dem|ça ?
%mor:	co|ah co|non=no neg|pas adv|comme pro:dem|ça ?
%mor:	n|comment&m adv|comme pro:dem|ça ?
%mor:	pro:sub|tu v:mdl|vouloir&PRES&12s prep|que pro:sub|je
	pro:obj|te$v|aider-PRES&SUB&13s ?
%mor:	co|ah co|non=no
%mor:	co|ah co|ouais=yes adv|comme pro:dem|ça
%mor:	adv|alors v:mdl|falloir&PRES&3s v|prendre-INF adv|comme pro:dem|ça
%mor:	co|hop conj|et adv|comme pro:dem|ça
%mor:	co|oh adv|très adj|joli&f
%mor:	conj|et pro|moi&sg adv|aussi ?
%mor:	co|non=no
%mor:	neg|pas pro|moi&sg
%mor:	n|si&m ?
%mor:	adv|comme pro:dem|ça ?
%mor:	adv|comme pro:dem|ça ?
%mor:	conj|et ?|qu'estce pro:rel|que$pro:sub|on part|faire-PP&m prep|avec
	pro:dem|ça ?
%mor:	co|ah
%mor:	pro:sub|on v:aux|être&PRES&3s det:art|le&m&sg n|capitaine&m
	prep|avec pro:dem|ça ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:dem|ça adv|que part|taire-PP&m
	v:mdl|vouloir&PRES&12s v|dire-INF ?
%mor:	n|capitaine&m ?
%mor:	pro:sub|on v|sauter-PRES&SUB&13s ?
%mor:	co|hum v|sauter-INF
%mor:	adv|ben v:mdl|aller&PRES&2s pro:y|y
%mor:	v|sauter-PRES&SUB&13s adv|alors
%mor:	co|ouais=yes
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	v|dire-PRES&PASS&12s det:poss|leur&sg n|ail&m&pl n|voisin&m-PL
	prep|que pro:sub|tu v:aux|être&PRES&2s adv:place|là
%mor:	adv|encore
%mor:	pro:sub|ils v:aux|avoir&PRES&3p neg|pas part|entendre-PP&m
%mor:	part|taire-PP&m v:aux|être&PRES&2s part|tomber-PP&f
%mor:	n|papa&m
%mor:	co|oui=yes
%mor:	pro:int|quoi ?
%mor:	pro:int|quoi ?
%mor:	pro:int|quoi ?
%mor:	adv|encore det:art|les&pl n|collant&m-PL
%mor:	adv|ben re#v|monter-PRES&SUB&13s
%mor:	co|ben pro:int|que$v:exist|être&PRES&3s adv|que part|taire-PP&m
	v:mdl|vouloir&PRES&12s prep|que pro:sub|je pro:obj|te
	v|dire-PRES&SUB&13s
%mor:	part|taire-PP&m pro:y|y v|arriver-PRES&SUB&2s neg|pas
%mor:	adv|mais pro|moi&sg adv|aussi conj|et pro:sub|je
	v:mdl|faire-PRES&12s prep|comme pro|toi&sg conj|et pro:sub|je
	re#v|monter-PRES&SUB&13s prep|comme pro|toi&sg pro|moi&sg
%mor:	pro:int|quoi ?
%mor:	co|bah
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s adv|encore
	det:art|le$n|impression&f pro:rel|que$pro:sub|on
	pro:obj|te$v:poss|avoir&PRES&3s n|marché&m prep|dessus co|hein
%mor:	pro:dem|ce$v:aux|être&PRES&3s n|canaille&f=scoundrel
%mor:	co|oui=yes
%mor:	adv|comment part|taire-PP&m v|dire-PRES&PASS&12s ?
%mor:	co|ah co|bon pro:dem|ce$v:exist|être&PRES&3s ?|chl pro:int|qui
	pro:obj|te$v:poss|avoir&PRES&3s n|marché&m adv:place|dessus
%mor:	co|non=no
%mor:	co|non=no
%mor:	adv|mais ?|chl pro:sub|elle neg|ne v:aux|avoir&PRES&3s neg|pas
	det:art|les&pl adj|même&m-PL=same n|patte&f-PL adv|que
	n|canaille&f=scoundrel
%mor:	pro:sub|elle v:aux|être&PRES&3s pro:rel|où n|canaille&f=scoundrel
	adv|d'ailleurs ?
%mor:	?|làhaut
%mor:	pro:dem|ça v:mdl|aller&PRES&3s adv|alors
%mor:	pro:sub|elle v:exist|être&PRES&3s ?|làhaut ?
%mor:	part|taire-PP&m pro:ind|lui v|ouvrir-PRES&SUB&2s det:art|la&f&sg
	n|porte&f=door ?
%mor:	co|non=no part|taire-PP&m n|laisse&f-PL det:art|la&f&sg
	n|porte&f=door adj|fermé&f ?
%mor:	n|si&m
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	v|tirer-IMP&2s
%mor:	v|tirer-PRES&SUB&13s prep|sur det:art|la&f&sg n|porte&f=door
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	v|tirer-IMP&2s
%mor:	co|ah co|non=no pro:sub|elle v:aux|être&PRES&3s n|bien&m
	adj|fermé&f adv|aujourd'hui
%mor:	co|ah adv|mais co|non=no part|taire-PP&m v:mdl|pouvoir&FUT&2s
	neg|pas pro:sub|elle v:aux|être&PRES&3s part|fermer-PP&f
%mor:	co|euh pro:sub|il v:mdl|falloir&IMPF&3s v:mdl|pouvoir&PRES&3s
	neg|pas v|proposer-INF pro:dem|ça adv|alors
%mor:	co|voilà adv|comme pro:dem|ça adv|comme pro:dem|ça n|si&m
	pro:sub|elle v:mdl|vouloir&PRES&3s v|descendre-INF pro:sub|elle
	v:mdl|pouvoir&PRES&3s
%mor:	part|taire-PP&m n|laisse&f-PL part|fermer-PP&m adv|maintenant
%mor:	part|taire-PP&m n|laisse&f-PL adv|comme pro:dem|ça
%mor:	co|allez
%mor:	co|si n|si&m
%mor:	adv|comme pro:dem|ça n|si&m pro:sub|elle v:mdl|vouloir&PRES&3s
	v|descendre-INF pro:sub|elle v|descendre-PRES&3s
%mor:	v|pousser-PRES&SUB&13s det:art|la&f&sg n|porte&f=door
%mor:	co|oui=yes
%mor:	adv|comme pro:dem|ça
%mor:	adv|si part|taire-PP&m v:mdl|vouloir&PRES&12s
%mor:	pro:int|quoi co|ah
%mor:	pro:int|quoi ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	co|hein
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	prep|de&les adj|petit&m-PL n|poids&m ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|pour pro:rel|qui ?
%mor:	co|hein
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|pour pro|moi&sg ?
%mor:	part|taire-PP&m v|prendre-PRES&IMP&12s neg|pas
%mor:	co|ah pro:dem|ce$v:aux|être&PRES&3s prep|pour pro|moi&sg
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|pour pro|moi&sg ?
%mor:	co|oui=yes pro:y|y pro:y|en v:aux|avoir&PRES&3s adv|encore
%mor:	co|ouais=yes
%mor:	co|hein part|taire-PP&m n|tombe&f-PL
%mor:	pro:sub|je pro:obj|te$v|aider-IMP&2s
%mor:	pro:sub|je pro:obj|te$v|aider-IMP&2s
%mor:	co|poum
%mor:	co|allez pro:sub|je pro:obj|te$v|aider-IMP&2s
%mor:	co|ah co|bon
%mor:	co|voilà part|taire-PP&m v:aux|être&PRES&2s adv|debout
%mor:	co|oh det:poss|ton&m&sg n|pied&m v:aux|être&PRES&3s adv|encore
	prep|de n|travers&m
%mor:	conj|et adj|bien re#v|dresser-PRES&SUB&13s det:art|le&m&sg
%mor:	re#v|dresser-IMP&2s
%mor:	pro:int|quoi ?
%mor:	n|bijou&m n|bijou&m
%mor:	?|qu'estce pro:rel|que$pro:sub|il pro:y|y v:aux|avoir&PRES&3s ?
%mor:	co|ouais=yes
%mor:	co|oui=yes
%mor:	pro:int|quoi ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s pro:obj|me v:mdl|faire-INF
	det:art|un&m&sg n|bisou&m ?
%mor:	v:mdl|faire-PRES&12s pro|moi&sg det:art|un&m&sg n|bisou&m-PL
	adv|alors
%mor:	part|taire-PP&m pro:obj|me v:mdl|faire-PRES&12s det:art|un&m&sg
	n|bisou&m ?
%mor:	n|comment&m pro:dem|ça ?
%mor:	adv|ben part|taire-PP&m
%mor:	n|bisou&m
%mor:	co|oh
%mor:	?|qu'estce pro:int|qui pro:dem|ce$v:exist|être&PRES&3s n|passé&m ?
