%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|short&m n|jupe&f
%mor:	v|tenir-IMP&2s part|taire-PP&m n|mets&m det:poss|ta&f&sg
%mor:	n|demain&m adv|demain part|taire-PP&m v:mdl|aller&PRES&2s prep|chez
	n|mamy&f part|taire-PP&m v:mdl|pouvoir&FUT&2s re#v|prendre-INF
	?|kirikou
%mor:	adv|mais pro:sub|je v:mdl|savoir&PRES&12s neg|pas pro:int|où
	part|taire-PP&m pro:obj|le$v:poss|avoir&PRES&2s n|mise&f n|chéri&f
%mor:	pro:sub|il v:aux|être&PRES&3s pro:int|où det:art|le&m&sg
	pro:sub|elle v:aux|être&PRES&3s pro:int|où det:art|la&f&sg
	adj|petit&f n|valise&f adj|bleu&f pro:rel|où part|taire-PP&m
	n|mets&m det:art|les&pl n|affaire&f-PL prep|de&les n|bébé&m-PL ?
%mor:	co|ouais=yes pro:sub|on v:mdl|aller&PRES&3s v:mdl|aller&INF
	pro:obj|la v|chercher-INF
%mor:	v:int|est–ce adv|que part|taire-PP&m v:mdl|vouloir&IMP&2s
	pro:rel|que$pro:sub|on v|regarder-PRES&SUB&13s det:poss|ton&m&sg
	n|livre prep|de n|jeu&m-PL ?
%mor:	part|taire-PP&m v:mdl|vouloir&IMP&2s pro:rel|que$pro:sub|on
	v|regarder-PRES&SUB&13s adv|ensemble v|regarder-PRES&SUB&13s
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|les&pl n|animal&m&pl
	prep|de&le n|zoo&m prep|avec det:art|les&pl
	n|autocollant&m-PL=sticker v|regarder-PRES&SUB&13s
%mor:	co|allez
%mor:	part|taire-PP&m v|dire-PRES&PASS&12s det:art|le&m&sg n|nom&m
	prep|de&les n|animal&m&pl prep|à ?|aliyah ?
%mor:	v|venir-IMP&2s pro:obj|te$v|asseoir&INF adv:place|à–côté=aside
	prep|de pro|moi&sg
%mor:	adv|alors pro:rel|que$v:int|est–ce conj|que
	pro:dem|ce$v:exist|être&PRES&3s det:dem|cet&m&sg n|animal&m&sg ?
%mor:	v:mdl|aller&PRES&2s pro:y|y pro:dem|ce$v:aux|être&PRES&3s
	pro|toi&sg pro:int|qui v|dire-PRES&PASS&12s
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	adv|alors pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg
	n|girafe&f
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|cheval&m&sg
%mor:	adv|ben pro:sub|je v:mdl|savoir&PRES&12s neg|pas pro:rel|ce–que
	pro:dem|ce$v:aux|être&PRES&3s
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg
%mor:	co|oui=yes conj|et pro:dem|ça
%mor:	pro:dem|ça ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s
	pro:dem|ça ?
%mor:	conj|et pro:dem|ce$v:exist|être&PRES&3s pro:rel|quoi ?
%mor:	adv:place|à–côté=aside prep|de&le n|lion&m pro:rel|que$v:int|est–ce
	adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	co|oui=yes
%mor:	conj|et adv:place|au–dessus prep|de&le n|singe&m
	pro:rel|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	co|oui=yes conj|et adv:place|à–côté=aside prep|de&le n|crocodile&m
	?
%mor:	conj|et adv:place|au–dessus prep|de det:art|le$n|éléphant&m ?
%mor:	adv:place|là
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas det:gen|quel&m&sg n|âge&m
	pro:sub|il v:aux|avoir&PRES&3s n|mai&m-PL
	pro:dem|ce$v:aux|être&PRES&3s
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg n|panthère&f
	pro:dem|ce$v:exist|être&PRES&3s det:art|un&m&sg n|bébé&m
	n|panthère&f adv|peut–être
%mor:	conj|et pro:ind|lui
%mor:	co|han pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s pro:dem|ça ?
%mor:	conj|et pro:dem|ça pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg
%mor:	n|comment&m pro:dem|ça pro:refl|se$v|appeler-PRES&SUB&13s ?
%mor:	pro:sub|je v|penser-IMP&2s pro:rel|que$pro:sub|il
	v:aux|avoir&PRES&3s num|trois n|an&m-PL
%mor:	adv|comme ?|anaé
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|zèbre&m
%mor:	det:art|un&m&sg pro:int|quoi ?
%mor:	det:art|un&m&sg n|zèbre&m
%mor:	pro:sub|il v|manger-PRES&SUB&13s prep|de&les n|feuille&f-PL
	co|oui=yes
%mor:	part|taire-PP&m pro:y|en v:aux|avoir&PRES&2s adv|déjà prep|vu
	prep|en adj|vrai&m ?
%mor:	pro:rel|où pro:dem|ça ?
%mor:	co|ah co|bon
%mor:	co|ah adv|comme pro|toi&sg
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s num|deux n|an&m-PL pro|toi&sg ?
%mor:	conj|et pro|toi&sg part|taire-PP&m v:aux|avoir&IMPF&12s
	det:gen|quel&m&sg n|âge&m adv|quand part|taire-PP&m n|étai&m-PL
	adj|petit&f ?
%mor:	conj|et adv|maintenant part|taire-PP&m neg|ne v:aux|être&PRES&2s
	part|plaire-PP&m&pl adj|petit&f
%mor:	adv|maintenant part|taire-PP&m v:aux|être&PRES&2s adj|grand&f ?
%mor:	co|oui=yes ?
%mor:	adv|alors adv:place|là pro:sub|il v:mdl|falloir&PRES&3s pro:rel|que
	part|taire-PP&m n|aide-PL det:art|les&pl n|enfant-PL prep|à
	v|trouver-INF det:art|le&m&sg n|chemin&m prep|de&le n|zoo&m
%mor:	part|taire-PP&m v|voir&IMP&PRES&12s pro:sub|il
	v:mdl|falloir&PRES&3s pro:rel|que$pro:sub|ils v|prendre-PRES&SUB&3p
	det:art|le&m&sg n|chemin&m v:mdl|falloir&PRES&3s
	pro:rel|que$pro:sub|ils v|prendre-PRES&SUB&3p det:art|le&m&sg
	adj|bon&m n|chemin&m prep|pour v:mdl|aller&INF prep|à&le n|zoo&m
%mor:	co|ouais=yes
%mor:	adv|alors det:gen|quel&m&sg n|chemin&m pro:sub|ils
	v:mdl|devoir&PRES&SUB&3p v|prendre-INF ?
%mor:	part|taire-PP&m v:mdl|faire-PRES&12s prep|avec det:poss|ton&m&sg
	n|doigt&m adv|comme pro:dem|ça
%mor:	pro:sub|ils v|passer-PRES&3p adv:place|par–là co|oh pro:sub|ils
	v:mdl|pouvoir&PRES&3p neg|pas v|passer-INF pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s det:art|un&m&sg n|caillou&m
%mor:	adv|alors v:mdl|falloir&PRES&3s v|prendre-INF det:art|un&m&sg
	pro|autre&sg n|chemin&m
%mor:	co|ouais=yes
%mor:	adv|mais pro:sub|il pro:y|y v:aux|avoir&PRES&3s det:art|un&m&sg
	n|caillou&m
%mor:	co|oh co|ben n|si&m pro:sub|ils v|sauter-PRES&3p
	adv:place|par–dessus det:art|les&pl n|arbre&m-PL pro:dem|ça
	v:mdl|aller&PRES&3s qn|plus adv|vite
%mor:	conj|et pro:sub|ils v|arriver-PRES&3p prep|à&le n|zoo&m
%mor:	co|bravo
%mor:	adv|alors
%mor:	adv:place|là pro:sub|il v:mdl|falloir&PRES&3s v|dire-INF prep|à
	pro:rel|qui det:art|les&pl n|gardien&m-PL prep|de&le n|zoo&m
	v|apporter-PRES&3p pro:sub|ils det:poss|leurs&pl n|repas&m
%mor:	pro:sub|il v:mdl|falloir&PRES&3s v|donner-INF det:art|la&f&sg
	n|nourriture&f prep|à det:gen|chaque n|animal&m&sg
%mor:	pro:int|qui v:int|est–ce pro:int|qui v|manger-PRES&SUB&13s
	prep|de&les n|banane&f-PL ?
%mor:	adv|comment pro:sub|il pro:refl|se$v|appeler-PRES&SUB&13s ?
%mor:	co|oui=yes
%mor:	pro:int|qui v:int|est–ce pro:int|qui v|manger-PRES&SUB&13s
	prep|de&le n|bambou&m ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|animal&m&sg
	pro:int|qui v:aux|être&PRES&3s adj|blanc conj|et adj|noir&m
%mor:	v:int|est–ce adv|que part|taire-PP&m v|voir&IMP&PRES&12s
	det:art|un&m&sg n|animal&m&sg adv:place|ici pro:int|qui
	v:aux|être&PRES&3s adj|blanc conj|et n|noir&m ?
%mor:	co|oui=yes pro:dem|ça pro:refl|se$v|appeler-PRES&SUB&13s
	n|comment&m ?
%mor:	part|taire-PP&m v|connaître-PRES&IMP&12s ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|panda
%mor:	co|oui=yes
%mor:	adv|alors det:art|le&m&sg n|panda pro:sub|il v|manger-PRES&SUB&13s
	prep|de&le n|bambou&m
%mor:	conj|et adv|alors pro:sub|il n|reste&m det:art|la&f&sg n|viande&f
	pro:int|qui v:int|est–ce pro:int|qui v|manger-PRES&SUB&13s prep|de
	det:art|la&f&sg n|viande&f pro:sub|tu v|croire&PRES&12s ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|animal&m&sg
	pro:int|qui v:aux|avoir&PRES&3s prep|de&les adj|grand&f-PL
	n|dent&f-PL
%mor:	prep|pour v|manger-INF prep|de det:art|la&f&sg n|viande&f
%mor:	co|attention det:poss|ton&m&sg n|doigt&m
%mor:	co|ah co|non=no
%mor:	adv:int|pourquoi pro:sub|il v:mdl|pouvoir&PRES&3s neg|pas ?
%mor:	conj|et pro:sub|il v|manger-IMP&2s neg|pas det:art|les&pl
	n|doigt&m-PL prep|de&les adj|petit&m-PL n|enfant-PL ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|qui pro:ind|lui ?
%mor:	part|taire-PP&m det:art|les&pl v:aux|avoir&PRES&2s det:dem|ces&m&pl
	n|bonhomme&m-PL adv:place|là co|non=no prep|dans det:poss|tes&pl
	n|lego&m-PL=toy ?
%mor:	adv|alors pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg adj|petit&m
	n|peu&m adj|difficile pro:dem|ça pro:sub|il v:mdl|falloir&PRES&3s
	v|colorier-INF det:art|les&pl n|animal&m&pl pro:int|qui neg|ne
	v|manger-PRES&3p neg|pas prep|de n|viande&f
%mor:	pro:int|qui v:int|est–ce pro:int|qui v|manger-IMP&2s neg|pas
	prep|de n|viande&f ?
%mor:	co|hum co|hum pro|moi&sg pro:sub|je v|croire&IMP&2s prep|que
	det:art|le&m&sg n|lion&m conj|et det:art|le&m&sg n|crocodile&m
	pro:sub|ils v|manger-PRES&3p prep|de det:art|la&f&sg n|viande&f
%mor:	adv|alors adv:place|là pro:sub|il v:mdl|falloir&PRES&3s
	v|compter-INF det:art|les&pl n|animal&m&pl
%mor:	pro:sub|il v:mdl|falloir&PRES&3s v|compter-INF adv|combien
	pro:sub|il pro:y|y v:aux|avoir&PRES&3s adv|de n|ours&m
	n|polaire&f-PL
%mor:	pro:sub|il v:aux|être&PRES&3s pro:int|où det:art|le$n|ours&m ?
%mor:	co|voilà pro:sub|il pro:y|y pro:y|en v:aux|avoir&PRES&3s
	adv|combien ?
%mor:	pro:sub|il pro:y|y pro:y|en v:aux|avoir&PRES&3s det:art|un&m&sg
	adj|seul&m
%mor:	adv|combien pro:y|y v:aux|avoir&PRES&3s~pro|il prep|de
	n|girafe&f-PL ?
%mor:	conj|et co|oui=yes pro:dem|ce$v:exist|être&PRES&3s adv|parce
	pro:rel|que$pro:sub|elle v:aux|être&PRES&3s adv:place|loin
	adv:place|loin adv:place|loin
%mor:	co|hum
%mor:	pro:sub|elle v|attendre-PRES&3s det:poss|sa&f&sg n|maman&f
	part|taire-PP&m v|croire&PRES&12s ?
%mor:	adv|comment part|taire-PP&m det:art|le&m&sg v:mdl|savoir&PRES&12s ?
%mor:	co|ah adv|d'accord
%mor:	conj|et adv|alors adv|maintenant adv|combien pro:y|y
	v:aux|avoir&PRES&3s~pro|il adv|de n|éléphant&m-PL
%mor:	part|taire-PP&m v|croire&PRES&12s ?
%mor:	part|taire-PP&m v|croire&PRES&12s adv|que det:art|le&m&sg n|lion&m
	pro:dem|ce$v:exist|être&PRES&3s det:art|le&m&sg n|papa&m prep|de
	co|la n|girafe&f ?
%mor:	co|ah co|bon
%mor:	adv|pourtant det:art|la&f&sg n|girafe&f pro:sub|elle
	v:aux|être&PRES&3s adv|beaucoup adv|plus adj|grand&f prep|que
	det:art|le&m&sg n|lion&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s n|possible&m ?
%mor:	co|hum conj|et det:art|les&pl n|girafe&f-PL
	pro:dem|ce$v:exist|être&PRES&3s n|comment&m ?
%mor:	co|hum co|ah pro:dem|ce$v:aux|être&PRES&3s prep|pour pro:dem|ça
%mor:	pro:dem|ce$v:aux|être&PRES&3s adv|parce pro:rel|que$pro:sub|ils
	v:aux|être&PRES&3p adj|petit&m-PL pro|tous&m&pl det:art|les&pl
	num|deux ?
%mor:	adv|combien pro:sub|il pro:y|y v:aux|avoir&PRES&3s~pro|il adv|de
	n|éléphant&m-PL ?
%mor:	v|regarder-PRES&SUB&13s adv|bien pro:sub|je$pro:y|en
	v|voir&IMP&PRES&12s det:art|un&m&sg pro|autre&sg pro|moi&sg
%mor:	det:art|un&m&sg n|tout&m adj|petit&m pro:int|qui v:aux|être&PRES&3s
	part|cacher-PP&m
%mor:	adv|alors pro:dem|ça part|faire-PP&m adv|combien ?
%mor:	pro:int|que$v:int|est–ce prep|que pro:dem|ce$v:aux|être&PRES&3s
	prep|comme n|animal&m&sg ?
%mor:	adv|donc part|taire-PP&m v|dire-PRES&PASS&12s pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s
%mor:	pro:rel|ce–qui pro:obj|nous part|faire-PP&m n|trois&m
%mor:	adv|d'accord conj|et adv|combien pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s~pro|il prep|de n|lion&m-PL ?
%mor:	v|regarder-PRES&SUB&13s pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s
	prep|de&les n|bébé&m-PL n|lion&m-PL
%mor:	adv|donc pro:sub|il pro:y|y v:aux|avoir&PRES&3s det:art|le&m&sg
	n|papa&m n|lion&m conj|et num|deux n|bébé&m-PL n|lion&m-PL
%mor:	adv|alors det:art|la&f&sg n|question&f adj|suivante&m
	pro:dem|ce$v:aux|être&PRES&3s det:gen|quelle&f&sg n|espèce&f
	v:aux|être&PRES&3s det:art|la&f&sg n|moins&m adj|nombreux&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg part|taire-PP&m
	v|voir&IMP&PRES&12s adv:place|là pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s prep|de&les n|éléphant&m-PL prep|de&les
	n|lion&m-PL prep|de&les n|girafe&f-PL prep|de&les n|ours&m
%mor:	adv|mais pro:sub|il pro:y|y v:aux|avoir&PRES&3s det:art|un&m&sg
	n|animal&m&sg pro:int|qui v:aux|être&PRES&3s n|tout&m adv|seul
	prep|de det:poss|sa&f&sg n|famille&f pro:dem|ce$v:exist|être&PRES&3s
	pro:rel|lequel&m&sg ?
%mor:	part|taire-PP&m v|voir&IMP&PRES&12s det:art|les&pl n|girafe&f-PL
	pro:sub|elles v:aux|être&PRES&3p n|trois&m det:art|les&pl
	n|lion&m-PL pro:sub|ils v:aux|être&PRES&3p n|trois&m det:art|les&pl
	n|éléphant&m-PL pro:sub|ils v:aux|être&PRES&3p n|trois&m
%mor:	conj|et pro:int|lequel&m&sg n|tout&m adv|seul
%mor:	pro:dem|celui–ci pro:sub|il v:aux|être&PRES&3s n|tout&m adv|seul
%mor:	adv|comment pro:sub|il pro:refl|se$v|appeler-IMP&2s
	pro:dem|celui–ci ?
%mor:	co|oui=yes
%mor:	pro:sub|il v:aux|être&PRES&3s prep|de det:gen|quelle&f&sg
	n|couleur&f ?
%mor:	adv|alors pro:sub|on pro:obj|le$v|appeler-IMP&2s
	det:art|le$n|ours&m n|polaire&f
%mor:	co|oui=yes
%mor:	adv|alors co|oh v|regarder-PRES&SUB&13s
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il
	conj|si$v:aux|être&PRES&3s n|passé&m adv:place|là ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il
	conj|si$v:aux|être&PRES&3s n|passé&m ?
%mor:	adv|mais co|non=no adv|mais v|regarder-PRES&SUB&13s pro:sub|il
	v:aux|être&PRES&3s prep|de det:gen|quelle&f&sg n|couleur&f
	pro:ind|lui ?
%mor:	v:int|est–ce adv|que pro:dem|ce$v:exist|être&PRES&3s adj|jaune
	det:art|un&m&sg n|zèbre&m prep|de$n|habitude&f
%mor:	co|ah co|bon ?
%mor:	conj|et det:art|un&m&sg n|crocodile&m
	pro:dem|ce$v:exist|être&PRES&3s adv|comme pro:dem|ça ?
%mor:	conj|et det:art|un&m&sg n|éléphant&m
	pro:dem|ce$v:exist|être&PRES&3s adj|vert&m
%mor:	adv|alors pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|il
	conj|si$v:aux|être&PRES&3s n|passé&m ?
%mor:	prep|pour part|luire&PP&m v|mettre-INF pro:int|quoi ?
%mor:	co|ah adv|d'accord
%mor:	conj|et adv|alors conj|et prep|à pro:ind|lui pro:sub|on
	v:mdl|aller&PRES&3s part|luire&PP&m v|mettre-INF det:poss|son&m&sg
	n|truc&m pro:int|quoi ?
%mor:	pro:sub|il v:aux|être&PRES&3s prep|de det:gen|quelle&f&sg
	n|couleur&f det:art|le&m&sg n|zèbre&m adv|normalement ?
%mor:	pro:sub|il v:aux|avoir&PRES&3s prep|de&les n|rayure&f-PL
%mor:	prep|de det:gen|quelle&f&sg n|couleur&f ?
%mor:	n|noir&f-PL conj|et
%mor:	adj|blanc
%mor:	n|noir&m conj|et adj|blanc
%mor:	conj|et det:art|le$n|éléphant&m pro:sub|il v:aux|être&PRES&3s
	prep|de det:gen|quelle&f&sg n|couleur&f ?
%mor:	pro:sub|il v:aux|être&PRES&3s n|gris&m
%mor:	det:art|le&m&sg n|crocodile&m pro:sub|il v:aux|être&PRES&3s
	adj|vert&m
%mor:	v:int|est–ce adv|que part|taire-PP&m v:mdl|savoir&COND&12s n|dire&m
	adv|si det:dem|ces&m&pl adj|animal&m&pl v|habiter-PRES&3p prep|dans
	det:art|un&m&sg n|pays&m pro:int|où pro:sub|il part|faire-PP&m
