%mor:	adv|comme pro:dem|ça
%mor:	co|non=no ?
%mor:	co|non=no ?
%mor:	pro:sub|on pro:obj|le v|jeter-PRES&SUB&13s adv|alors
%mor:	co|bon pro:sub|on v:mdl|aller&PRES&3s v:mdl|aller&INF prep|dans
%mor:	co|bah v:mdl|falloir&FUT&3s v|trouver-INF prep|de det:art|la&f&sg
	n|colle&f co|ouais=yes adv|mais
%mor:	co|mh
%mor:	co|ouais=yes co|bah pro:sub|on v|chercher-FUT&3s conj|après co|hein
%mor:	co|non=no
%mor:	co|non=no part|taire-PP&m v:mdl|savoir&PRES&12s neg|pas pro:int|où
	pro:sub|elle v:aux|être&PRES&3s ?|tim
%mor:	pro:sub|je$v|espérer-IMP&2s adv|que part|taire-PP&m
	v:mdl|savoir&PRES&12s neg|pas
%mor:	co|non=no adv|mais pro:sub|on co|la
%mor:	pro:sub|on re#v:mdl|faire-FUT&3s pro:dem|ça det:art|une&f&sg
	n|fois&f
%mor:	part|taire-PP&m v|voir&IMP&PRES&12s ?
%mor:	v|regarder-IMP&2s v|regarder-IMP&2s
%mor:	adv:place|là pro:dem|ça v|tenir-PRES&3s prep|pour
	det:art|le$n|instant&m
%mor:	co|hein v|regarder-IMP&2s
%mor:	adv|alors pro:dem|ce n|château&m ?
%mor:	co|ouh
%mor:	adv|alors
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas adj|facile prep|sinon
%mor:	pro:sub|je v|trouver-PRES&SUB&13s
%mor:	co|euh co|euh co|bon
%mor:	co|euh
%mor:	co|non=no co|non=no co|non=no
%mor:	pro:sub|elle v:mdl|pouvoir&PRES&3s neg|pas v|jouer-INF prep|avec
	pro:obj|nous
%mor:	adv|alors v|regarder-PRES&SUB&13s
%mor:	co|toc
%mor:	v:mdl|pouvoir&PRES&3s v|mettre-INF pro|tous&m&pl det:art|les&pl
	adj|bleu&m-PL adv|comme pro:dem|ça
%mor:	pro:y|y pro:y|en v:aux|avoir&PRES&3s det:art|un&m&sg
	pro:int|que$v:aux|être&PRES&3s adv|comme pro:dem|ça
%mor:	co|oh pro:dem|ce$v:exist|être&PRES&3s neg|pas adj|vrai&m
%mor:	part|taire-PP&m v|arriver-PRES&SUB&2s neg|pas prep|à
	v:mdl|faire-INF det:art|le&m&sg n|château&m ?
%mor:	adv|alors
%mor:	pro:dem|ce$v:exist|être&PRES&3s adj|vrai&m adv|que
%mor:	?|qu'estce pro:rel|que$pro:sub|on v:mdl|pouvoir&PRES&3s
	v:mdllex|faire-INF ?
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas v:mdl|falloir&PRES&3s
	v|essayer-INF prep|de v|mettre-INF prep|de&les n|chose-PL=thing
	co|euh
%mor:	co|oh co|euh part|taire-PP&m v:aux|avoir&PRES&2s part|voir&PP&m
	pro:dem|ça ?
%mor:	co|oh
%mor:	?|tim
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas adj|évident&m=obvioius
%mor:	co|non=no pro:dem|ce$v:exist|être&PRES&3s neg|pas
	adj|évident&m=obvioius
%mor:	pro:dem|ce$v:aux|être&PRES&3s adv|trop adj|compliqué&m
%mor:	co|oh pro:dem|ce$v:aux|être&PRES&3s prep|pour v:mdl|faire-INF
	det:art|un&m&sg adj|petit&m n|toit&m pro:dem|ça
%mor:	v|regarder-IMP&2s
%mor:	co|hop
%mor:	det:art|une&f&sg adj|petit&f n|maison&f v|regarder-PRES&SUB&13s
%mor:	co|ouh det:art|une&f&sg adj|petit&f n|tour
%mor:	co|ouais=yes pro:sub|on v:mdl|pouvoir&PRES&3s v:mdl|faire-INF
	det:art|un&m&sg n|peu&m prep|plus adj|haut&m
%mor:	v|regarder-IMP&2s
%mor:	co|non=no v:mdl|aller&PRES&2s pro:y|y n|mets&m det:art|le&m&sg
	?|audessus
%mor:	adv:place|là adv:place|là n|pose&f det:art|le&m&sg
%mor:	n|pose&f det:art|le&m&sg adv:place|dessus
%mor:	co|ouais=yes
%mor:	conj|et adv|après ?
%mor:	part|taire-PP&m n|mets&m det:art|le&m&sg n|toit&m
%mor:	adv:place|voilà
%mor:	adv:place|là pro:sub|il pro:y|y v:aux|avoir&PRES&3s det:art|le&m&sg
	n|roi&m
%mor:	co|mh
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|roi&m pro:dem|ça
%mor:	prep|avec det:poss|son&m&sg n|cheval&m&sg
%mor:	conj|et adv:place|là pro:dem|ce v:aux|être&PRES&3p
%mor:	det:poss|son&m&sg n|garde
%mor:	det:art|les&pl n|garde-PL conj|ou det:art|les&pl n|chevalier&m-PL
%mor:	n|chevalier&m
%mor:	co|non=no det:art|un&m&sg n|chevalier&m
%mor:	n|chevalier&m
%mor:	n|chevalier&m n|chevalier&m
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas n|dire&m pro|moi&sg
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s neg|pas
%mor:	n|chevalier&m co|ben n|si&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s co|bon
%mor:	?|vlt
%mor:	v|regarder-IMP&2s
%mor:	co|hop
%mor:	adv|que pro:dem|ça v|ressembler-PRES&SUB&13s prep|à n|cheval&m&sg
	co|oui=yes
%mor:	co|bah co|oui=yes
%mor:	n|chevalier&m pro:sub|il v:aux|être&PRES&3s prep|sur
	det:poss|son&m&sg n|cheval&m&sg
%mor:	pro:sub|il v:aux|avoir&PRES&3s det:art|un&m&sg n|cheval&m&sg
%mor:	co|bah co|oui=yes pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s
	det:art|un&m&sg n|cheval&m&sg co|oui=yes pro:dem|ça
%mor:	?|peutêtre pro:rel|que$pro:sub|il adv:place|dessus
%mor:	co|eh adj|haut&m
%mor:	v|regarder-IMP&2s
%mor:	co|oui=yes pro:sub|il v:aux|être&PRES&3s part|monter-PP&m prep|sur
	det:poss|son&m&sg n|cheval&m&sg
%mor:	adv|alors
%mor:	?|qu'estce pro:rel|que$pro:sub|on v:aux|avoir&PRES&3s adv|encore
	adv:place|là ?
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg
	pro|autre&sg det:art|un&m&sg pro|autre&sg n|garde co|euh pro:dem|ça
%mor:	part|taire-PP&m v|voir&IMP&PRES&12s pro:sub|il v:mdl|aller&PRES&3s
	neg|pas prep|sur det:art|le&m&sg n|cheval&m&sg
%mor:	?|celuilà co|non=no qn|plus
%mor:	conj|et pro:ind|lui ?
%mor:	co|non=no qn|plus
%mor:	pro:sub|il sur#v|veiller-PRES&SUB&13s
%mor:	pro:sub|il n|garde det:art|le&m&sg n|château&m
%mor:	adv|puis adv:place|ici pro:sub|on v:mdl|pouvoir&PRES&3s
	v:mdl|faire-INF adv:place|là–dessus
%mor:	co|mh
%mor:	co|non=no co|non=no
%mor:	co|hop
%mor:	co|hum
%mor:	pro:sub|on v:mdl|aller&PRES&3s v|regarder-INF det:art|le&m&sg
	n|dessin&m adv:place|là
%mor:	pro:sub|on v:mdl|aller&PRES&3s part|essayer-PP&m prep|de
	v|copier-INF adv:place|là
%mor:	co|ah pro:obj|te$v:poss|avoir&PRES&2s part|voir&PP&m pro:dem|ça ?
%mor:	pro:obj|nous pro:sub|on prep|à part|faire-PP&m pro:dem|ça
%mor:	co|ah co|oui=yes pro:sub|on v:mdl|pouvoir&PRES&3s prep|en
	v|mettre-INF prep|de&les adj|droit&m-PL adv:place|là adv|comme
	pro:dem|ça
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:dem|ça pro:rel|que$pro:sub|il
	v:mdl|falloir&PRES&3s
%mor:	det:art|un&m&sg n|tunnel&m ?
%mor:	part|taire-PP&m v|compliquer-PRES&SUB&2s adv:place|là co|hein ?
%mor:	part|taire-PP&m pro:obj|nous v|compliquer-PRES&SUB&2s adv:place|là
	co|hein
%mor:	det:art|un&m&sg chi|tigtig
%mor:	v|regarder-IMP&2s
%mor:	det:art|les&pl adj|petit&m-PL n|trou&m-PL adv:place|là
%mor:	conj|et n|thé&m n|thé&m
%mor:	conj|et adv|puis adv|après
%mor:	co|tut=train co|tut=train co|tut=train
%mor:	co|ouais=yes v|regarder-IMP&2s
%mor:	co|ouais=yes co|bravo
%mor:	v|regarder-IMP&2s adv:place|là
%mor:	?|ceuxlà v|regarder-PRES&SUB&13s
%mor:	adv|par n|exemple&m part|taire-PP&m v:mdllex|pouvoir&IMP&2s
	pro:obj|les v|mettre-INF adv:place|ici
%mor:	co|mh adv|comme pro:dem|ça
%mor:	part|taire-PP&m v|voir&IMP&PRES&12s ?
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s det:art|une&f&sg adj|petit&f
	det:art|une&f&sg adj|petit&f n|rainure&f co|hein
%mor:	conj|et adv:place|là pro:sub|il pro:y|y v:aux|avoir&PRES&3s
	prep|de&les adj|petit&f-PL n|bosse&f-PL adv:place|dessus
%mor:	det:art|un&m&sg n|plateau&m ?
%mor:	det:art|un&m&sg n|toit&m
%mor:	co|oui=yes
%mor:	pro:int|où ?|estce pro:rel|que$pro:sub|on v:mdl|pouvoir&COND&3s
	pro:obj|le v|mettre-INF ?
%mor:	v:mdl|falloir&PRES&3s pro:rel|que$pro:sub|on
	v:mdl|faire-PRES&SUB&13s co|euh det:gen|quelque n|chose=thing
	prep|pour det:art|le&m&sg v|mettre-INF
%mor:	co|euh co|non=no pro:dem|ça v:mdl|aller&PRES&3s neg|pas
%mor:	co|ah co|bon
%mor:	co|ouais=yes n|pourquoi&m neg|pas ?
%mor:	adv:place|là co|hein pro:dem|ça v|ressembler-PRES&SUB&13s qn|plus
	prep|à det:art|un&m&sg n|canapé&m=canape adv:place|là
%mor:	conj|ou adv|comme pro:dem|ça v|regarder-PRES&SUB&13s
%mor:	v|regarder-IMP&2s
%mor:	adv:place|là
%mor:	v|regarder-IMP&2s det:art|le&m&sg adj|beau&m&sg=pretty
	n|canapé&m=canape adv:place|là
%mor:	det:art|le&m&sg n|garde pro:sub|il v:mdl|aller&PRES&3s
	pro:refl|se$v|asseoir&INF prep|sur det:art|le&m&sg n|canapé&m=canape
%mor:	co|hop adv:place|là
%mor:	det:art|un&m&sg n|toboggan&m co|non=no ?
%mor:	adv|comme pro:dem|ça n|oui&m
%mor:	v|mettre-INF adv|comme pro:dem|ça
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s prep|de det:art|le$n|eau&f
	prep|dans det:art|le&m&sg n|tuyau&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:dem|ça pro:rel|que$pro:sub|elle
	part|dire-PP&m ?|amé
%mor:	co|oh co|bah pro:dem|ça n|caca&m=poopoo
	pro:dem|ce$v:exist|être&PRES&3s neg|pas
%mor:	co|hein
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas adj|obligatoire co|hein
	prep|dans det:art|la&f&sg n|formule&f
%mor:	co|mh ?
%mor:	adv|vaut n|mieux&m neg|pas det:art|le&m&sg n|dire&m n|caca&m=poopoo
%mor:	adv|alors
%mor:	?|qu'estce pro:rel|que$pro:sub|on v:mdl|aller&PRES&3s v|trouver-INF
	adv:place|là ?
%mor:	co|oh adv|encore det:art|un&m&sg pro|autre&sg
%mor:	co|oh pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg
	n|rein&f pro:dem|ça
%mor:	conj|et co|oui=yes
%mor:	v|regarder-IMP&2s
%mor:	det:art|une&f&sg n|dame&f=lady
%mor:	co|mh
%mor:	det:art|le&m&sg n|roi&m
%mor:	det:art|le&m&sg n|roi&m conj|et det:art|la&f&sg n|rein&f
%mor:	co|mhm
%mor:	pro:sub|on v:mdl|aller&PRES&3s v|baisser-INF v|fermer-INF
	det:art|la&f&sg n|porte&f=door co|hein
%mor:	co|euh
%mor:	?|qu'estce part|taire-PP&m v:mdllex|faire-PRES&12s ?
%mor:	adv|alors
%mor:	co|oh n|tien&m-PL ?|celuilà pro:sub|il v:aux|avoir&PRES&3s
	det:art|une&f&sg adj|drôle prep|de n|forme&f
%mor:	?|peutêtre
%mor:	?|qu'estce pro:rel|que$pro:sub|on v:mdl|pouvoir&PRES&3s
	v:mdl|faire-INF prep|avec pro:dem|ça ?
%mor:	co|ouh co|la co|la adv:place|là
%mor:	part|taire-PP&m v:aux|être&PRES&2s prep|en n|train&m prep|de
%mor:	co|hein
%mor:	?|qu'estce part|taire-PP&m v:mdllex|faire-PRES&12s adv:place|là ?
%mor:	co|oui=yes
%mor:	adv:int|pourquoi v:mdl|faire-INF part|taire-PP&m
	v:aux|avoir&PRES&2s part|renverser-PP&m ?
%mor:	prep|pour ?
%mor:	det:art|un&m&sg chi|blato
%mor:	?|qu'estce prep|que pro:dem|ce$v:aux|être&PRES&3s pro:dem|ça ?
%mor:	prep|pour v:mdl|faire-INF det:art|un&m&sg n|château&m
%mor:	co|mh
%mor:	adv:int|pourquoi part|taire-PP&m v|parler-PRES&SUB&2s prep|de
	pro:dem|ça ?
%mor:	part|taire-PP&m v|penser-PRES&SUB&2s prep|à pro:rel|quoi
	adv:place|là ?
%mor:	v:mdl|aller&PRES&3s v:mdl|aller&INF v|voir&INF pro:int|quoi
	pro:obj|nous ?
%mor:	co|ah co|non=no co|non=no
%mor:	pro|moi&sg pro:dem|ça v:mdl|aller&PRES&3s neg|pas co|hein
%mor:	pro:sub|ils v:aux|être&PRES&3p adv|trop adj|gros&m det:poss|mes&pl
	n|pied&m-PL
%mor:	adv|mais pro:dem|ce$v:exist|être&PRES&3s neg|pas prep|de&les
	n|chausson&m-PL part|taire-PP&m v:mdl|savoir&PRES&12s adv|bien
%mor:	pro:obj|vous pro:obj|vous v|amuser-PRES&2p prep|à pro:dem|ça
	adv|mais
%mor:	adv|après pro:dem|ça v|salir-PRES&3s adv|tout
%mor:	co|non=no co|non=no co|non=no co|non=no adv|mais
%mor:	co|ah co|la co|la v|regarder-IMP&2s det:art|le&m&sg n|château&m
%mor:	pro:sub|il pro:refl|se$v|écrouler-PRES&SUB&13s
%mor:	pro:sub|il conj|si$v:aux|être&PRES&3s part|écrouler-PP&m
%mor:	co|non=no co|non=no
%mor:	neg|pas prep|à&le n|bout&m prep|de&le
%mor:	adv|mais co|non=no
%mor:	v|regarder-IMP&2s
%mor:	v|regarder-IMP&2s det:poss|mes&pl n|pied&m-PL
%mor:	pro:sub|ils v:aux|être&PRES&3p adv|trop adj|grand&m-PL
%mor:	conj|et pro|toi&sg v|essayer-PRES&SUB&13s prep|avec
	det:poss|ton&m&sg n|pied&m
%mor:	v|enlever-IMP&2s det:poss|ton&m&sg n|chausson&m
%mor:	pro|toi&sg ?
%mor:	pro:sub|elles v:aux|être&PRES&3p neg|pas adv|trop adj|grand&f-PL
%mor:	v|enlever-IMP&2s det:poss|ton&m&sg n|chausson&m adv|puis
	v|essayer-PRES&SUB&13s prep|de det:art|le&m&sg v|mettre-INF
%mor:	conj|et co|ben
%mor:	co|allez
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v|jouer-INF adv|encore
	prep|à&le n|château&m ?
%mor:	pro:int|où pro:sub|on v|ranger-PRES&SUB&13s ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v:mdl|faire-INF
	det:art|un&m&sg n|canapé&m=canape
%mor:	co|bah v:mdl|faire-PRES&12s det:art|un&m&sg n|canapé&m=canape
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|fauteuil&m
	adv|aussi
%mor:	v|regarder-IMP&2s
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg
	n|fauteuil&m
%mor:	det:art|un&m&sg n|fauteuil&m prep|comme ?|làbas ?
%mor:	co|ah co|bon ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|quoi n|comment&m
	det:art|un&m&sg n|fauteuil&m prep|comme ?|làbas ?
%mor:	v|regarder-IMP&2s
%mor:	pro:dem|ce$v:aux|être&PRES&3s adv|comme pro:dem|ça ?
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg
	n|canapé&m=canape ?
%mor:	co|non=no ?
%mor:	n|deux&m n|place&f-PL
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s num|deux n|place&f-PL
%mor:	conj|et adv:place|après co|hop
%mor:	num|deux n|fauteuil&m-PL
%mor:	prep|avec
%mor:	co|bah pro:sub|on v:mdl|pouvoir&PRES&3s v:mdl|faire-INF adv|encore
	det:art|un&m&sg n|canapé&m=canape co|euh
%mor:	n|si&m adv|encore det:art|un&m&sg
%mor:	co|euh
%mor:	pro:int|où pro:dem|ce$v:exist|être&PRES&3s pro:rel|que$pro:sub|il
	v:aux|être&PRES&3s det:art|le&m&sg
%mor:	co|ah pro:y|y v:aux|avoir&PRES&3s det:art|les&pl adj|bleu&m-PL
	adv:place|là
%mor:	prep|de adj|bleu&m-PL
%mor:	part|taire-PP&m part|taire-PP&m pro:obj|me v|donner-PRES&SUB&2s
	det:art|un&m&sg pro|autre&sg adv|comme pro:dem|ça ?|tim ?
%mor:	pro:y|y pro:y|en v:aux|avoir&PRES&3s neg|pas det:art|un&m&sg
	?|làbas adv:place|là ?
%mor:	adv|comme pro:dem|ça
%mor:	co|béh
%mor:	co|non=no adv|comme pro:dem|ça
%mor:	co|non=no pro:y|y pro:y|en v:aux|avoir&PRES&3s qn|plus
%mor:	adv|si ?|làbas
%mor:	v|regarder-IMP&2s pro:y|y pro:y|en v:aux|avoir&PRES&3s
	det:art|un&m&sg ?|làbas adv|comme pro:dem|ça
%mor:	v|regarder-IMP&2s
%mor:	adv:place|là
%mor:	det:art|la&f&sg adj|bleu&f adv:place|là
%mor:	v|regarder-IMP&2s
%mor:	v:mdl|faire-PRES&12s neg|pas det:art|le&m&sg n|couillon&m
	adv:place|là
%mor:	v|tenir-IMP&2s
%mor:	v|regarder-IMP&2s
%mor:	conj|et v|regarder-PRES&SUB&13s
%mor:	adv|mais n|si&m pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s
	det:art|un&m&sg n|canapé&m=canape adv|puis pro:dem|ça
	pro:dem|ce$v:aux|être&PRES&3s num|deux n|fauteuil&m-PL
%mor:	adv|comme pro:dem|ça prep|dans pro:dem|ce n|sens&m adv:place|là
%mor:	co|mh
%mor:	adv|alors adv:place|là pro:sub|on v:mdl|pouvoir&PRES&3s
	v|mettre-INF ?|celuilà v|regarder-PRES&SUB&13s
%mor:	co|ohlàlà co|bah adv|alors adv:place|là pro:sub|il
	v:exist|être&PRES&3s det:art|un&m&sg adj|grand&m n|dossier&m co|hein
%mor:	adv:place|là pro:sub|on v:mdl|pouvoir&PRES&3s
	pro:refl|se$v|appuyer-INF co|euh
%mor:	pro:sub|on v|trouver-PRES&SUB&13s det:art|un&m&sg pro|autre&sg
	prep|pour v|mettre-INF adv:place|là ?
%mor:	co|bah pro:sub|il v:mdl|falloir&PRES&3s v|chercher-INF
%mor:	pro:dem|ce$v:aux|être&PRES&3s adv|comme pro:dem|ça adv|que
	part|taire-PP&m v|chercher-PRES&SUB&2s pro|toi&sg ?
%mor:	?|tim ?|tim ?|tim ?|tim
%mor:	v|attendre-IMP&2s
%mor:	adv:place|après prep|pour v|ramasser-INF pro:sub|on
	v:mdl|aller&PRES&3s v|courir-INF prep|dans adv|toute det:art|la&f&sg
	n|pièce&f co|hein
%mor:	pro:dem|ça pro:dem|ça n|marche&f neg|pas co|non=no
%mor:	co|euh
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas n|si&m
%mor:	adv|mais v:mdl|devoir&PRES&3s pro:sub|il pro:y|y pro:y|en
	v:aux|avoir&INF prep|de$pro|autres&pl
%mor:	co|mh
%mor:	pro:sub|on re#v|mettre-PRES&3s prep|dans det:art|le&m&sg n|carton&m
	?
%mor:	prep|dans det:art|la&f&sg v|boiter-PRES&SUB&13s ?
%mor:	co|allez v:mdl|aller&PRES&2s pro:y|y
%mor:	pro:dem|ce$v:aux|être&PRES&3s adv|bien
%mor:	part|taire-PP&m v|ranger-PRES&SUB&2s det:art|le&m&sg adj|petit&f-PL
	n|oui&m conj|et det:art|les&pl adj|gros&m
%mor:	co|allez
%mor:	n|maman&f pro:sub|elle pro:obj|te$v|aider-IMP&2s det:art|un&m&sg
	adj|petit&m n|peu&m ?
%mor:	pro:sub|on part|faire-PP&m pro|tous&m&pl det:art|les&pl num|deux ?
%mor:	co|allez
%mor:	pro|toi&sg part|taire-PP&m v:aux|avoir&PRES&2s part|mettre-PP&m
	pro|tous&m&pl det:art|les&pl adj|bleu&m-PL pro|toi&sg
%mor:	co|mh
%mor:	co|ouh co|la co|la
%mor:	co|ouh co|la
%mor:	co|éh co|éh co|éh
%mor:	adv|doucement adv|quand adv|même
%mor:	part|taire-PP&m v|dire-PRES&PASS&12s neg|ne$v|importer-IMP&2s
	pro:int|quoi adv:place|là co|hein
%mor:	co|mh
%mor:	co|oh co|bah co|non=no
%mor:	part|taire-PP&m v:mdl|faire-PRES&12s prep|de&le n|bruit&m
%mor:	v|attendre-IMP&2s
%mor:	co|éh
%mor:	v|arrêter-IMP&2s ?|tim
%mor:	pro:dem|ça part|faire-PP&m prep|de&le n|bruit&m
%mor:	det:art|les&pl n|voisin&m-PL prep|en prep|dessous co|euh
%mor:	co|hein
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas n|agréable&m
%mor:	co|hein
%mor:	prep|de$v|entendre-INF v|tomber-INF prep|de&les n|chose-PL=thing
	adv|comme pro:dem|ça
%mor:	co|pardon
%mor:	co|oui=yes pro:dem|ce$v:exist|être&PRES&3s adj|gentil&m adv|mais
%mor:	adv|mais pro:sub|je v|penser-IMP&2s neg|pas adv|que
%mor:	pro:dem|ce$v:aux|être&PRES&3s adv|bien
%mor:	co|allez
