%mor:	v|lâcher-IMP&2p pro|moi&sg n|papa&m
%mor:	co|non=no neg|pas det:art|les&pl n|pied&m-PL ?|ana
%mor:	neg|pas det:art|les&pl n|pied&m-PL neg|pas det:art|les&pl
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas adj|vrai&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas adj|vrai&m
%mor:	co|non=no
%mor:	pro:int|quoi ?
%mor:	co|non=no
%mor:	v|arrêter-IMP&2s
%mor:	v|arrêter-IMP&2s
%mor:	co|non=no co|non=no
%mor:	co|non=no n|pourquoi&m part|taire-PP&m
%mor:	adv:int|pourquoi pro:sub|tu v:mdl|vouloir&PRES&12s prep|que
	pro:sub|je pro:obj|me n|couche&f ?
%mor:	adv:int|pourquoi pro:sub|je v:mdl|devoir&PRES&12s pro:obj|me
	n|coucher&m ?
%mor:	pro:sub|je v:aux|être&PRES&1s n|malade ?
%mor:	adv:int|pourquoi ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|quoi prep|comme n|maladie&f ?
%mor:	co|ah
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg n|maladie&f ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|qui prep|comme n|maladie&f ?
%mor:	n|aide pro|moi&sg prep|à pro:obj|me re#v|lever-INF
%mor:	n|aide pro|moi&sg prep|à pro:obj|me re#v|lever-INF
%mor:	v|donner-IMP&2s pro|moi&sg det:art|les&pl n|main&f-PL
%mor:	co|éh re#v|venir-IMP&2s
%mor:	pro:sub|je n|peu&m-PL prep|plus pro:obj|me re#v|lever-INF
%mor:	n|aide pro|moi&sg
%mor:	n|aide pro|moi&sg
%mor:	co|non=no pro:sub|je v:exist|être&PRES&1s neg|pas n|malade
%mor:	pro:sub|je v:exist|être&PRES&1s neg|pas n|malade
%mor:	n|aide pro|moi&sg
%mor:	v|soigner-IMP&2s pro|moi&sg
%mor:	co|oh co|oui=yes
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas adv|comme pro:dem|ça
	pro:rel|que$pro:sub|on v|soigner-IMP&2s co|hein
%mor:	co|non=no
%mor:	pro:dem|ça v:mdl|vouloir&PRES&3s v|dire-INF pro:int|quoi ?
%mor:	det:art|une&f&sg n|radio&f ?
%mor:	co|oh prep|pour n|savoir&m pro:dem|ce adv|que
	pro:sub|je$v:aux|avoir&PRES&1s part|manger-PP&m
%mor:	conj|et pro:int|que$v:aux|être&PRES&3s pro:dem|ce adv|que
	pro:sub|je$v:aux|avoir&PRES&1s part|manger-PP&m co|hein ?
%mor:	prep|de&le n|poisson&m ?
%mor:	prep|de&le n|chat&m ?
%mor:	prep|de&le n|chien&m ?
%mor:	pro:sub|je$v:aux|avoir&PRES&1s part|manger-PP&m prep|de&le
	n|chien&m ?
%mor:	conj|et pro:int|que$v:aux|être&PRES&3s pro:dem|ce
	pro:rel|que$pro:sub|il v:aux|avoir&PRES&3s part|manger-PP&m
	det:art|le&m&sg n|chien&m ?
%mor:	co|bah n|mets&m det:art|le&m&sg adv:place|dedans part|taire-PP&m
	v:mdl|savoir&FUT&2s
%mor:	pro:dem|ce$v:aux|être&PRES&3s adj|magique adv|quand pro:sub|on
	v|mettre-PRES&3s adv:place|dedans pro:dem|ça n|marche&f
%mor:	adv|alors
%mor:	co|ah pro:dem|ce$v:exist|être&PRES&3s adj|bizarre co|hein
%mor:	pro:dem|ça v:mdl|pouvoir&PRES&3s neg|pas re#v|sortir&INF conj|sinon
%mor:	det:art|un&m&sg n|os&m=bone ?
%mor:	pro:rel|où pro:dem|ça
%mor:	co|ah adv|si part|taire-PP&m v:aux|avoir&PRES&2s part|réussir-PP&m
%mor:	conj|et co|oui=yes det:art|un&m&sg n|os&m=bone
%mor:	pro:int|qui pro:dem|ce$v:exist|être&PRES&3s pro:rel|qui
	v:aux|avoir&PRES&3s part|manger-PP&m det:art|le$n|os&m=bone
%mor:	det:art|le&m&sg n|chat&m ?
%mor:	det:art|le&m&sg n|chien&m conj|ou det:art|le&m&sg n|chat&m ?
%mor:	det:art|le&m&sg n|chien&m v:aux|avoir&PRES&3s part|manger-PP&m
	det:art|le&m&sg n|chat&m
%mor:	pro:sub|il n|reste&m prep|plus pro:rel|que$det:art|un&m&sg
	n|os&m=bone
%mor:	det:art|le&m&sg n|chien&m v:aux|avoir&PRES&3s part|manger-PP&m
	det:art|le&m&sg n|chat&m ?
%mor:	co|ah co|bon
%mor:	co|oh
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s adv|encore adj|mi&m-PL=half
	prep|de det:art|le$n|encre&f prep|à n|côté&m ?
%mor:	co|ah co|bon
%mor:	n|laisse&f det:art|le&m&sg n|bien&m prep|à n|plat&m adv|alors
%mor:	pro:sub|il v:aux|être&PRES&3s pro:int|où ?
%mor:	pro:sub|je pro:obj|le$v:poss|avoir&PRES&1s pro:sub|je
	pro:obj|le$v:poss|avoir&PRES&1s part|ranger-PP&m
%mor:	co|mm
%mor:	co|mh prep|pour neg|pas v:mdl|faire-INF prep|de n|bêtise&f
	prep|avec
%mor:	prep|sinon pro:sub|je$v:mdllex|aller&IMPF&12s prep|en v|mettre-INF
	prep|de adv|partout
%mor:	part|taire-PP&m pro:obj|me$v|aider-PRES&SUB&2s prep|à pro:obj|me
	re#v|lever-INF ?
%mor:	co|non=no pro:sub|je v:aux|être&PRES&1s prep|plus n|malade
	adv:place|là
%mor:	pro:sub|je v:aux|être&PRES&1s prep|plus n|malade
%mor:	pro:sub|je neg|ne v:aux|être&PRES&1s prep|plus n|malade
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg pro:int|qui
	v:aux|être&PRES&3s n|malade
%mor:	co|attention
%mor:	pro:obj|vous v:aux|être&PRES&2p n|malade n|mademoiselle&f
%mor:	pro:obj|vous v:aux|être&PRES&2p n|malade
%mor:	co|attention n|mademoiselle&f pro:obj|vous v:aux|être&PRES&2p
	n|malade
%mor:	v|dire-PRES&PASS&12s adv|donc part|taire-PP&m v:aux|avoir&PRES&2s
	neg|pas part|manger-PP&m co|la n|mousse pro|toi&sg
	adj|pendant&m=pending adv|que part|taire-PP&m pro:y|y n|étai&m-PL
%mor:	co|attention
%mor:	co|attention
%mor:	v|ouvrir-PRES&SUB&13s det:art|la&f&sg n|bouche&f ?
%mor:	co|hein co|hein
%mor:	v|dire-PRES&PASS&12s co|ah
%mor:	co|oh co|oui=yes pro:sub|je$v|écouter-IMP&2s
%mor:	v|dire-PRES&PASS&12s n|trente&m n|trois&m
%mor:	co|non=no
%mor:	part|taire-PP&m v|dire-PRES&PASS&12s n|trente&m n|trois&m
%mor:	n|trente&m n|trois&m
%mor:	adv|encore
%mor:	adv|encore
%mor:	adv|très adv|bien
%mor:	conj|et det:art|les&pl n|réflexe&m-PL
%mor:	v:aux|être&PRES&3s pro:dem|ce pro:rel|que$pro:sub|ils
	v|marcher-PRES&3p det:art|les&pl n|réflexe&m-PL ?
%mor:	part|taire-PP&m n|bouge&m-PL neg|pas co|hein
%mor:	co|non=no
%mor:	part|taire-PP&m v|plier-PRES&SUB&2s det:art|la&f&sg n|jambe&f
%mor:	conj|et pro:sub|on v|tapoter-IMP&2s adv:place|ici
%mor:	on|touc
%mor:	on|touc
%mor:	co|aïe co|ah
%mor:	pro:dem|ça n|marche&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas adv|comme pro:dem|ça adv|mais
	pro:dem|ça n|marche&f
%mor:	co|ouais=yes adv|mais pro:dem|ce$v:exist|être&PRES&3s neg|pas
	adv|comme pro:dem|ça adv|normalement
%mor:	co|ah part|taire-PP&m v|entendre-IMP&2s
%mor:	co|bah det:art|le&m&sg n|matin&m pro:dem|ce$v:exist|être&PRES&3s
	det:art|les&pl n|poubelle&f-PL adv|mais adv:place|là
%mor:	det:art|un&m&sg n|orage&m ?
%mor:	pro:sub|il v:mdl|aller&PRES&3s v|pleuvoir&INF pro:dem|ce n|soir&m ?
%mor:	co|éh co|oh v|manger-IMP&2s neg|pas det:art|le&m&sg n|fil&m=thread
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|les&pl n|souris&f pro:int|qui
	v|manger-PRES&3p det:art|le&m&sg n|fil&m=thread
%mor:	part|taire-PP&m v:aux|être&PRES&2s neg|pas det:art|une&f&sg
	n|souris&f ?
%mor:	part|taire-PP&m v:aux|être&PRES&2s neg|pas det:art|un&m&sg
	n|cobaye&m ?
%mor:	part|taire-PP&m v:aux|être&PRES&2s neg|pas det:art|un&m&sg n|rat&m
	?
%mor:	pro:int|que$v:aux|être&PRES&3s pro:dem|ce adv|que part|taire-PP&m
	v:aux|être&PRES&2s ?
%mor:	?|ana ?
%mor:	part|taire-PP&m v:exist|être&PRES&2s det:art|un&m&sg n|garçon&m ?
%mor:	part|taire-PP&m v:exist|être&PRES&2s det:art|un&m&sg n|papa&m ?
%mor:	part|taire-PP&m v:exist|être&PRES&2s det:art|une&f&sg n|maman&f ?
%mor:	part|taire-PP&m v:exist|être&PRES&2s det:art|un&m&sg n|papi&m ?
%mor:	det:art|une&f&sg n|mamie&f ?
%mor:	det:art|un&m&sg n|cousin&m ?
%mor:	det:art|une&f&sg n|cousin&f ?
%mor:	part|taire-PP&m v:exist|être&PRES&2s det:art|une&f&sg ?|chloé ?
%mor:	pro:int|que$v:aux|être&PRES&3s pro:dem|ce adv|que part|taire-PP&m
	v:aux|être&PRES&2s adv|alors ?
%mor:	part|taire-PP&m v:exist|être&PRES&2s det:art|une&f&sg n|mamie&f ?
%mor:	co|oh part|taire-PP&m v:exist|être&PRES&2s det:art|une&f&sg
	n|mamie&f
%mor:	co|oh part|taire-PP&m v:exist|être&PRES&2s det:art|une&f&sg
	n|mamie&f
%mor:	n|si&m adj|petit&f n|mamie&f
%mor:	adv|si pro:sub|je det:art|le&m&sg v|voir&IMP&PRES&12s adj|bien
	pro:obj|te$v:poss|avoir&PRES&2s det:art|le$n|air&m=air adv|toute
%mor:	co|oh part|taire-PP&m v:exist|être&PRES&2s det:art|une&f&sg
	n|mamie&f
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s det:art|un&m&sg adj|grand&m
%mor:	pro:int|quoi ?
%mor:	pro:sub|on part|dire-PP&m neg|pas pro:sub|je$v:aux|avoir&PRES&1s
	det:poss|mes&pl
%mor:	pro:sub|je$v:aux|avoir&PRES&1s part|cacher-PP&m det:poss|mes&pl
	n|yeux&m
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|cacher-PP&m
	det:poss|tes&pl n|yeux&m ?
%mor:	co|ah pro:sub|ils v:aux|être&PRES&3p n|revenu&m-PL
%mor:	v|cacher-IMP&2s
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	v|cacher-IMP&2s pro|toi&sg
%mor:	v|cacher-IMP&2s pro|toi&sg det:art|les&pl n|yeux&m
%mor:	pro:sub|ils v:aux|être&PRES&3p pro:int|où det:poss|tes&pl n|yeux&m
	?
%mor:	co|ohoh pro:sub|je$pro:y|en v|voir&IMP&PRES&12s pro|un&m&sg
%mor:	det:art|un&m&sg adj|seul&m n|oui&m
%mor:	num|deux
%mor:	conj|et pro|moi&sg ?
%mor:	co|ah pro|un&m&sg
%mor:	co|ah n|deux&m
%mor:	co|ah n|trois&m
%mor:	co|ah part|taire-PP&m pro:obj|le$v:poss|avoir&PRES&2s neg|pas
	part|voir&PP&m det:art|le&m&sg n|troisième
%mor:	pro:sub|il v:aux|être&PRES&3s pro:int|où det:poss|mon&m&sg
	n|troisième n|oeil&m ?
%mor:	pro:sub|il v:aux|être&PRES&3s pro:int|où ?
%mor:	co|ah co|non=no pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s
	det:art|le&m&sg pro|un&m&sg pro:dem|ça
%mor:	det:art|le&m&sg num|deux ?
%mor:	pro:sub|il v:aux|être&PRES&3s pro:int|où det:art|le&m&sg n|numéro&m
	n|trois&m ?
%mor:	co|non=no pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg num|deux
	pro:dem|ça
%mor:	det:art|un&m&sg n|deux&m conj|et det:art|le&m&sg n|troisième
	pro:sub|il v:aux|être&PRES&3s pro:int|où
%mor:	prep|sous det:poss|mon&m&sg n|sou&m-PL det:poss|ma&sg n|main&f ?
%mor:	pro:sub|je$v:aux|avoir&PRES&1s adv|encore det:art|un&m&sg n|oeil&m
	adv:place|là ?
%mor:	pro:sub|je$v:aux|avoir&PRES&1s neg|pas prep|de n|troisième n|oeil&m
	?
%mor:	co|ah pro:sub|je$v:aux|avoir&PRES&1s det:art|un&m&sg n|front&m
%mor:	pro:y|y v:aux|avoir&PRES&3s neg|pas prep|de$n|oeil&m ?
%mor:	v|regarder-PRES&SUB&13s adv|bien
%mor:	part|taire-PP&m v:aux|être&PRES&2s adj|sûr&f ?
%mor:	co|ah co|zut adv|alors
%mor:	pro:sub|je v|croire&IMPF&12s adv|que
	pro:sub|je$v:poss|avoir&IMPF&12s det:art|un&m&sg n|troisième
	n|oeil&m
%mor:	conj|et pro|toi&sg part|taire-PP&m v:aux|avoir&PRES&2s
	det:art|un&m&sg n|troisième n|oeil&m ?
%mor:	co|oui=yes
%mor:	num|deux
%mor:	conj|et adv|puis det:art|le&m&sg n|front&m ?
%mor:	co|ah co|oui=yes
%mor:	v|venir-IMP&2s v|voir&INF
%mor:	part|taire-PP&m v:aux|être&PRES&2s n|malade
%mor:	v|venir-IMP&2s adv:place|là pro:sub|je
	pro:obj|te$v|aider-PRES&SUB&13s prep|à pro:obj|te re#v|lever-INF
%mor:	co|oh co|hisse
%mor:	v|arriver-IMP&2s neg|pas
%mor:	co|oh co|hisse
%mor:	co|ah pro:sub|je$v|arriver-IMP&2s neg|pas
%mor:	co|oh co|hisse
%mor:	co|allez adv|encore
%mor:	v|attendre-IMP&2s pro:int|quoi ?
%mor:	v|attendre-IMP&2s
%mor:	pro:sub|je$v|attendre-IMP&2s pro|moi&sg conj|ou
	pro:dem|ce$v:exist|être&PRES&3s pro|toi&sg pro:int|qui
	v|attendre-IMP&2s ?
%mor:	pro:int|quoi ?
%mor:	pro:int|quoi ?
%mor:	co|éh co|ohoh
%mor:	v:mdl|aller&PRES&2p v:mdl|faire-PRES&12s pro:obj|la v|conduire-INF
%mor:	v:mdllex|faire-IMP&2s v|conduire-INF co|la co|euh det:art|la&f&sg
	n|princesse&f
%mor:	det:art|la&f&sg n|poupée&f adv:place|voilà
%mor:	adv:place|là ?
%mor:	adv|mais pro:y|y pro:y|en v:aux|avoir&PRES&3s
	pro:rel|que$det:art|une&f&sg
%mor:	pro:sub|elle v:aux|être&PRES&3s pro:int|où det:art|le$pro|autre&sg
	?
%mor:	co|ah
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s ?
%mor:	co|ah part|taire-PP&m
%mor:	?|làhaut ?
%mor:	part|taire-PP&m v:aux|être&PRES&2s adj|sûr&f ?
%mor:	co|oh
%mor:	neg|pas adv|encore
%mor:	v|essayer-PRES&SUB&2s co|euh adv:place|là
%mor:	v|essayer-IMP&2s ?|làbas
%mor:	adv:place|derrière det:art|le&m&sg n|coffre&m ?|làbas
%mor:	v|essayer-IMP&2s
%mor:	co|euh n|derrière&m
%mor:	v:mdl|aller&PRES&2s v|voir&INF n|derrière&m
%mor:	adv:place|derrière det:art|le&m&sg n|coffre&m
%mor:	v|attendre-IMP&2s
%mor:	co|éh prep|derrière det:art|la&f&sg n|maison&f adv|de ?|amtaro ?
%mor:	co|ah pro:sub|je$pro:y|en v:mdl|savoir&PRES&12s n|rien&m
%mor:	co|oui=yes
%mor:	pro:y|y pro:y|en v:aux|avoir&PRES&3s adv|combien ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s adv|combien ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s adv|combien adv|beaucoup ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|deux&m n|trois&m
%mor:	adv|comme pro:dem|ça ?
%mor:	n|trois&m ?
%mor:	neg|pas qn|plus ?
%mor:	conj|et adv|comme pro:dem|ça
%mor:	pro:dem|ça part|faire-PP&m adv|combien adv|comme pro:dem|ça ?
%mor:	pro:dem|ça part|faire-PP&m adv|combien pro:dem|ça ?
%mor:	co|la pro:int|quoi ?
%mor:	co|la pro:int|quoi ?
%mor:	det:art|les&pl n|assiette&f-PL ?
%mor:	co|oh co|bah pro:dem|ce$v:exist|être&PRES&3s neg|pas
	adj|normal&m&sg pro:dem|ça
%mor:	conj|et prep|de&les n|cheval&m&pl ?
%mor:	conj|et prep|de&les n|licorne&f-PL adv|aussi ?
%mor:	co|non=no
%mor:	co|ah pro:dem|ce$v:aux|être&PRES&3s adv:place|là
%mor:	co|ouille
%mor:	conj|et pro:dem|ce$v:exist|être&IMPF&3s neg|pas part|pré-voir&PP&m
%mor:	num|deux
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|trouver-PP&m adv|tout
	pro:dem|ça ?
%mor:	conj|et pro|moi&sg ?
%mor:	pro:int|que$v:aux|être&PRES&3s pro:dem|ce adv|que
	pro:sub|je$v:aux|avoir&PRES&1s part|trouver-PP&m ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|pour pro:dem|ça adv|que
	pro:dem|ça n|souffle&m prep|dans det:art|le&m&sg n|micro&m
%mor:	adv:place|là pro:dem|ce$v:exist|être&PRES&3s det:art|une&f&sg
	adj|petit&f n|mousse
%mor:	n|oui&m pro:dem|ce$v:exist|être&PRES&3s prep|à pro|toi&sg
	co|oui=yes
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg adj|petit&f n|mousse
	pro:int|qui part|faire-PP&m adv|que pro:dem|ça part|faire-PP&m
	det:art|un&m&sg n|peu&m n|moins&m prep|de n|bruit&m
%mor:	adv:place|voilà v:mdl|falloir&PRES&3s pro:obj|la v|laisser-INF
%mor:	neg|pas n|toucher&m
%mor:	v|regarder-IMP&2s
%mor:	pro|moi&sg adv|aussi pro:sub|je$pro:y|en v:aux|avoir&PRES&1s
	det:art|une&f&sg
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas co|la adv|même
%mor:	adv:place|là
%mor:	det:art|une&f&sg adj|petit&f n|mousse
%mor:	co|oui=yes co|bah n|touche&f neg|pas
%mor:	n|laisse&f co|la
%mor:	pro:sub|je$v:aux|avoir&PRES&1s n|rien&m part|dire-PP&m
%mor:	v|oublier-IMP&2s
%mor:	pro|toi&sg det:art|une&f&sg adj|gros&f n|mousse pro|toi&sg n|oui&m
%mor:	det:art|une&f&sg adj|grand&f conj|ou adj|gros&f ?
%mor:	adv|alors
%mor:	co|non=no co|non=no v|dire-PRES&PASS&12s co|ohoh
%mor:	v:mdl|faire-PRES&12s v|voir&INF det:poss|tes&pl n|main&f-PL
%mor:	pro:dem|ce$v:aux|être&PRES&3s n|comment&m n|six&m ?
%mor:	num|deux
%mor:	co|oui=yes
%mor:	adv|mais adv|d'abord pro:sub|on v|commencer-PRES&SUB&13s prep|par
	det:art|un&m&sg
%mor:	det:art|un&m&sg
%mor:	conj|ou det:art|un&m&sg adv|comme pro:dem|ça adv|si part|taire-PP&m
	v:mdl|vouloir&PRES&12s
%mor:	adv|après n:let|n n|deux&m
%mor:	num|deux
%mor:	n|trois&m
%mor:	n|trois&m pro:dem|ce$v:aux|être&PRES&3s adv|bientôt num|trois
	n|an&m-PL prep|pour pro|toi&sg
%mor:	adv|après pro:y|y v:aux|avoir&PRES&3s det:art|le&m&sg num|quatre
%mor:	adv|après pro:y|y v:aux|avoir&PRES&3s det:art|le&m&sg num|cinq
%mor:	conj|et adv|ensuite pro:y|y v:aux|avoir&PRES&3s det:art|le&m&sg
	num|six
%mor:	adv|alors pro:y|y pro:y|en v:aux|avoir&PRES&3s adv|combien
	adv:place|là
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	pro:sub|on
%mor:	n|caca&m=poopoo
%mor:	co|éh
%mor:	pro:int|que$v:aux|être&PRES&3s pro:dem|ce pro:rel|que$pro:sub|il
	pro:y|y v:aux|avoir&PRES&3s adv|encore ?
%mor:	conj|et co|béh pro:sub|il v:aux|être&IMPF&3s prep|à&le n|bout&m
	prep|de&le n|fil&m=thread
%mor:	det:art|le&m&sg n|fil&m=thread pro:sub|il v:aux|être&PRES&3s
	adv:place|là
%mor:	co|mh pro:dem|ça part|faire-PP&m det:art|une&f&sg n|deuxième
	n|sauce&f
%mor:	adv|vite
%mor:	co|allez co|allez
%mor:	adv|vite adv|vite
%mor:	prep|de pro:rel|quoi ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s prep|de&les n|bobo&m-PL=ouchie
	adv|encore ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s n|bobo&m=ouchie prep|à
	det:poss|tes&pl n|yeux&m ?
%mor:	co|euh co|ah prep|à det:poss|mon&m&sg chi|zje
%mor:	prep|à det:poss|mon&m&sg n|oeil&m
%mor:	pro:sub|on part|dire-PP&m det:art|un&m&sg n|oeil&m
%mor:	pro:int|qui pro:dem|ce$v:exist|être&PRES&3s
	pro:int|que$v:aux|être&PRES&3s n|tout&m adj|bleu&m ?
%mor:	det:art|le$n|eau&f
%mor:	pro:sub|elle v:aux|être&PRES&3s adj|bleu&f
%mor:	co|oui=yes
%mor:	co|oui=yes
%mor:	pro:dem|ce$v:aux|être&PRES&3s adj|normal&m&sg ?
%mor:	co|non=no
%mor:	co|oui=yes part|taire-PP&m n|peu&m-PL n|toucher&m
%mor:	adv:int|pourquoi ?
%mor:	det:art|la&f&sg n|peinture&f ?
%mor:	pro:sub|elle v:aux|être&PRES&3s n|sèche&f conj|ou pro:sub|elle
	v:aux|être&PRES&3s neg|pas n|sèche&f ?
%mor:	pro:sub|elle v:aux|être&PRES&3s n|sèche&f
%mor:	adv|mais n|si&m
%mor:	part|taire-PP&m n|bouge&m-PL neg|pas co|hein
%mor:	pro:sub|je v:mdl|aller&PRES&1s re#v|pondre-INF prep|à&le
	n|téléphone&m=telephone
%mor:	pro:int|quoi ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|finir-PP&m ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|faire-PP&m pro:int|quoi ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|toucher-PP&m
	det:art|le&m&sg n|mur&m ?
%mor:	conj|et part|taire-PP&m v:aux|avoir&PRES&2s prep|de det:art|la&f&sg
	n|peinture&f ?
%mor:	co|ah co|bon adv|alors pro:dem|ça
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|toucher-PP&m prep|avec
	det:poss|ton&m&sg n|pied&m
%mor:	adv|alors pro:dem|ce$v:aux|être&PRES&3s n|tout&m adv|sec ?
%mor:	adv|mais co|si pro:dem|ce$v:exist|être&PRES&3s adv|sec
%mor:	adv|sec
%mor:	n|tout&m adv|sec
%mor:	adv|alors adv:place|ici pro:dem|ce$v:exist|être&PRES&3s
	det:art|le&m&sg
%mor:	det:art|la&f&sg n|peinture&f pro:sub|elle v:aux|être&PRES&3s
	n|sèche&f
%mor:	adv|mais det:art|le&m&sg n|mur&m pro:sub|il v:aux|être&PRES&3s
	adv|sec
