%mor:	adv|mais pro:sub|elles v:aux|avoir&PRES&3p det:art|le$n|air&m=air
%mor:	part|taire-PP&m n|montre&f-PL prep|à part|taire-PP&m n|montre&f-PL
	part|faire-PP&m adv:place|là ?
%mor:	v|regarder-IMP&2s
%mor:	n|doudou&m=blankie pro:sub|ils v:mdl|faire-PRES&3p n|pipi&m=peepee
	prep|dans det:art|le&m&sg n|pot&m=pot ?
%mor:	co|oui=yes ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s part|finir-PP&m
%mor:	co|allez pro|toi&sg adv|maintenant part|taire-PP&m n|lis&m
	adj|petit&m n|ours&m adj|brun&m
%mor:	pro:refl|se v|coucher-PRES&SUB&13s
%mor:	part|taire-PP&m n|lis&m adj|petit&m n|ours&m adj|brun&m pro:refl|se
	n|couche&f ?
%mor:	pro|tous&m&pl det:art|les&pl num|deux
%mor:	adv|d'accord
%mor:	pro:sub|on v|raconter-PRES&SUB&13s det:art|une&f&sg n|page
	pro|chacune&f&sg ?
%mor:	adj|petit&m n|ours&m adj|brun&m neg|ne v:aux|avoir&PRES&3s neg|pas
	n|sommeil&m pro:sub|il v:mdl|vouloir&COND&3s n|bien&m
	det:art|une&f&sg n|histoire&f
%mor:	prep|à pro|toi&sg
%mor:	co|hein ?
%mor:	pro:sub|il v:mdl|vouloir&PRES&3s neg|pas det:poss|sa&f&sg
	n|poupée&f ?
%mor:	adv:int|pourquoi ?
%mor:	adv:int|pourquoi ?
%mor:	pro:sub|il v:mdl|aller&PRES&3s prep|avec det:poss|son&m&sg
	n|doudou&m=blankie
%mor:	co|ben co|oui=yes
%mor:	adv|comme pro:int|qui ?
%mor:	pro:int|qui v:int|est–ce pro:int|qui v:aux|avoir&PRES&3s
	det:art|un&m&sg n|doudou&m=blankie adv|comme pro:dem|ça ?
%mor:	co|hum
%mor:	conj|et ?|timothée adv|aussi
%mor:	adv|comment pro:sub|on n|demande&f ?
%mor:	v|tenir-IMP&2s
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|on part|dire-PP&m ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|on part|dire-PP&m ?
%mor:	co|oh co|oh
%mor:	co|merci
%mor:	co|non=no pro:sub|elle pro:obj|te v|plaire-PRES&3s neg|pas
	pro:dem|celle–ci ?
%mor:	adv|alors pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|il
	part|faire-PP&m adj|petit&m n|ours&m adj|brun&m adv:place|là ?
%mor:	v|regarder-IMP&2s pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|il
	v:aux|avoir&PRES&3s part|mettre-PP&m det:poss|son&m&sg n|papa&m
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il v:aux|avoir&PRES&3s
	part|mettre-PP&m det:poss|son&m&sg n|papa&m prep|pour v|lire-INF
	det:art|le$n|histoire&f ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il v:aux|avoir&PRES&3s
	part|mettre-PP&m prep|sur det:poss|ses&pl n|yeux&m det:poss|son&m&sg
	n|papa&m ?
%mor:	v|regarder-IMP&2s
%mor:	pro:int|que$v:int|est–ce
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il v:aux|avoir&PRES&3s
	part|mettre-PP&m det:poss|son&m&sg n|papa&m prep|sur det:poss|ses&pl
	n|yeux&m ?
%mor:	co|ben co|oui=yes
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|pour pro:int|quoi
	v:mdl|faire-INF det:art|les&pl n|lunette&f-PL ?
%mor:	prep|pour v:mdl|faire-INF pro:int|quoi ?
%mor:	prep|pour v:mdl|faire-INF v|marcher-INF ?
%mor:	prep|pour v:mdl|faire-INF v|marcher-INF pro:int|quoi ?
%mor:	adv|peut–être pro:int|quoi ?
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s neg|pas ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|pour n|bien&m v|voir&INF
	adv|quand pro:sub|on n|lit&m
%mor:	pro:int|qui v:int|est–ce adv|que part|taire-PP&m
	v|connaître-PRES&IMP&12s pro:int|qui v|mettre-PRES&3s prep|de&les
	n|lunette&f-PL ?
%mor:	neg|pas v|tirer-INF adv:place|là–dessus
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s neg|pas det:art|un&m&sg
	n|frère&m pro:int|qui v|mettre-PRES&3s prep|de&les n|lunette&f-PL ?
%mor:	prep|pour v|regarder-INF det:art|la&f&sg ?|tele ?
%mor:	co|oh part|taire-PP&m n|colle&f-PL prep|de adv|partout adv:place|là
	?|anaé
%mor:	v|arrêter-PRES&SUB&13s prep|de v|tirer-INF adv:place|là–dessus
%mor:	v|arrêter-IMP&2s
%mor:	v|regarder-IMP&2s
%mor:	v|regarder-IMP&2s pro:sub|il v:aux|être&PRES&3s part|fatiguer-PP&m
	adj|petit&m n|ours&m adj|brun&m pro:sub|il v:aux|avoir&PRES&3s
	det:poss|ses&pl n|yeux&m pro:int|qui pro:refl|se n|ferment&m
%mor:	part|taire-PP&m v|voir&IMP&PRES&12s ?
%mor:	co|oh
%mor:	det:poss|son&m&sg n|papa&m pro:sub|il part|luire&PP&m
	v:aux|avoir&PRES&3s part|faire-PP&m det:art|un&m&sg n|bisou&m
	conj|et pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|il
	part|faire-PP&m adv|maintenant adj|petit&m n|ours&m adj|brun&m ?
%mor:	pro:sub|il v|pleurer-IMP&2s neg|pas adv:place|là
%mor:	adv:int|pourquoi pro:sub|il v|pleurer-PRES&SUB&13s ?
%mor:	pro:sub|il v|dormir-PRES&3s
%mor:	conj|et adv:place|là co|oh
%mor:	pro:sub|il v:mdl|aller&PRES&3s pro:int|où ?
%mor:	conj|et n|pourquoi&m pro:sub|il v:mdl|vouloir&PRES&3s neg|pas
	v:mdl|faire-INF co|dodo ?
%mor:	co|ah co|bon ?
%mor:	?|anaé pro:sub|elle v:mdl|vouloir&PRES&3s v:mdl|faire-INF co|dodo ?
%mor:	co|ouais=yes ?
%mor:	prep|dans det:poss|son&m&sg n|lit&m ?
%mor:	co|hum ?
%mor:	co|ah co|beh v|regarder-PRES&SUB&13s pro:dem|ça pro:y|y
	v:aux|être&PRES&3s pro:sub|il conj|si$v:aux|être&PRES&3s n|endormi&m
%mor:	prep|avec det:poss|son&m&sg n|doudou&m=blankie
%mor:	adv|comme ?|anaé
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|on part|luire&PP&m
	part|dire-PP&m ?
%mor:	part|taire-PP&m n|peu&m-PL part|luire&PP&m n|dire&m adj|bon&f
	n|nuit&f
%mor:	conj|et adv:place|voilà
%mor:	v:int|est–ce adv|que part|taire-PP&m v:mdl|vouloir&PRES&12s
	prep|que pro:sub|je$v:mdllex|aller&PRES&SUB&13s pro:obj|te
	v|chercher-INF det:art|un&m&sg pro|autre&sg n|livre ?
%mor:	co|oui=yes ?
%mor:	pro:sub|je v:mdl|aller&PRES&1s pro:obj|te$pro:y|en v|chercher-INF
	det:art|un&m&sg pro:sub|je$v|arriver-IMP&2s
%mor:	v|tenir-IMP&2s v|regarder-IMP&2s
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v|regarder-INF
	pro:int|lequel&m&sg adv|d'abord ?
%mor:	v|attendre-IMP&2s v|poser-IMP&2s det:poss|ta&f&sg
	n|chouquette&f=type_of_pastry
%mor:	det:art|le&m&sg n|chien&m
%mor:	pro:int|où v:aux|être&PRES&3s det:poss|mon&m&sg n|chien&m ?
%mor:	co|ouais=yes
%mor:	prep|avec det:art|la&f&sg n|souris&f n|oui&m
%mor:	co|oui=yes det:poss|sa&f&sg n|queue&f pro:sub|elle
	v:aux|être&PRES&3s adj|douce&f
%mor:	conj|et pro:sub|il v:aux|être&PRES&3s prep|de det:gen|quelle&f&sg
	n|couleur&f pro:dem|ce n|chien&m ?
%mor:	co|oui=yes
%mor:	pro:dem|ce neg|ne v:aux|être&PRES&3s neg|pas det:poss|mon&m&sg
	n|chien&m det:poss|sa&f&sg n|queue&f v:aux|être&PRES&3s adv|trop
	adj|pelucheux&f
%mor:	pro:sub|on v|tourner-PRES&SUB&13s
%mor:	co|oh
%mor:	co|oui=yes
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s
	pro:dem|ça ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|les&pl n|patte&f-PL
%mor:	adv|comment pro:sub|elles v:aux|être&PRES&3p det:art|les&pl
	n|patte&f-PL prep|de&le n|chien&m ?
%mor:	co|ouais=yes
%mor:	v|attendre-IMP&2s
%mor:	pro:sub|on v:aux|avoir&PRES&3s part|sauter-PP&m det:art|une&f&sg
	n|page
%mor:	co|oui=yes
%mor:	pro:sub|il v:aux|être&PRES&3s prep|de det:gen|quelle&f&sg
	n|couleur&f det:poss|son&m&sg n|collier&m ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:gen|quelle&f&sg n|couleur&f ?
%mor:	adj|rouge
%mor:	adv:place|voilà
%mor:	conj|et v:int|est–ce pro:int|que pro:dem|ce$v:aux|être&PRES&3s
	det:poss|son&m&sg n|chien&m ?
%mor:	co|non=no pro:dem|ce neg|ne v:aux|être&PRES&3s neg|pas
	det:poss|mon&m&sg n|chien&m det:poss|son&m&sg n|collier&m
	v:aux|être&PRES&3s adv|trop n|brillant&m
%mor:	pro:sub|il v:aux|être&PRES&3s n|mignon&m pro:dem|ce n|chien&m ?
%mor:	co|ouais=yes pro:sub|elles v:aux|être&PRES&3p adj|grand&f-PL
	det:poss|ses&pl n|oreille&f-PL
%mor:	pro:sub|elles v:aux|être&PRES&3p adj|douce&f-PL ?
%mor:	v:mdl|falloir&PRES&3s pro:rel|que pro:sub|je
	v:mdl|faire-PRES&SUB&13s pro:dem|ça prep|avec pro|toi&sg
%mor:	co|oh co|oui=yes v|dire-PRES&PASS&12s conj|donc co|oh
	pro:dem|ce$v:exist|être&PRES&3s adj|doux&m
%mor:	pro:sub|elles v:aux|être&PRES&3p adj|douce&f-PL det:poss|ses&pl
	n|oreille&f-PL
%mor:	det:poss|son&m&sg n|nez&m pro:int|qui v:aux|être&PRES&3s adj|doux&m
%mor:	co|oh pro:sub|il v:aux|être&PRES&3s n|mignon&m co|hein
%mor:	co|ah conj|et pro:dem|celui–ci pro:rel|que$v:int|est–ce conj|que
	pro:dem|ce$v:aux|être&PRES&3s prep|comme n|livre
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|lapin&m pro:int|qui
	v|monter-IMP&2s pro:int|qui v|monter-PRES&SUB&13s
%mor:	det:art|le&m&sg
%mor:	n|mouton&m
%mor:	adv:place|voilà
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il v:aux|avoir&PRES&3s
	prep|à&le ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il v:aux|avoir&PRES&3s
	n|autour&m prep|de&le n|cou&m ?
%mor:	adv|comment pro:sub|on part|dire-PP&m ?
%mor:	det:art|une&f&sg n|écharpe&f
%mor:	n|écharpe&f
%mor:	n|écharpe&f
%mor:	pro:sub|il v:aux|avoir&PRES&3s det:art|une&f&sg ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi pro:dem|ça ?
%mor:	det:art|le&m&sg
%mor:	det:art|la&f&sg n|chèvre&f pro:int|qui v|monter-PRES&SUB&13s
	pro:int|qui v|monter-PRES&SUB&13s
%mor:	det:art|le$n|écureuil&m pro:int|qui v|monter-PRES&SUB&13s prep|avec
	det:poss|son&m&sg n|écharpe&f n|oui&m
%mor:	co|oui=yes
%mor:	v|attendre-IMP&2s part|taire-PP&m v:aux|avoir&PRES&2s
	part|louper-PP&m part|taire-PP&m v:aux|avoir&PRES&2s
	part|sauter-PP&m det:art|une&f&sg n|page
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|sauter-PP&m
	det:art|une&f&sg n|page
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg adj|gros&f n|bête&f
	pro:int|qui
%mor:	pro:int|qui part|faire-PP&m pro:int|quoi ?
%mor:	pro:int|qui pro:refl|se re#v|veiller-PRES&SUB&13s
%mor:	conj|et
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|ils part|luire&PP&m
	v|dire-PRES&SUB&3p pro|tous&m&pl det:art|les&pl n|animal&m&pl ?
%mor:	co|bouh
%mor:	co|bouh
%mor:	conj|et pro:int|que$v:int|est–ce pro:rel|que$pro:sub|elle
	part|faire-PP&m det:art|la&f&sg adj|gros&f n|bête&f ?
%mor:	pro:sub|elle re#v|descendre-PRES&3s
%mor:	pro:sub|elle n|tombe&f
%mor:	prep|de det:art|la&f&sg n|montagne&f
%mor:	conj|et pro|tout&m&sg det:art|le&m&sg n|monde&m n|rigole&f
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s pro:int|qui adv:place|là
%mor:	adv|tout det:art|le&m&sg n|monde&m n|rigole&f
%mor:	co|ah pro:dem|ça pro:y|y v:aux|être&PRES&3s
	pro:dem|ce$v:aux|être&PRES&3s part|partir-PP&m prep|pour
	det:art|le&m&sg n|festival&m&sg prep|de&les n|chien&m-PL
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s det:art|un&m&sg pro|autre&sg
	n|livre ?
%mor:	pro:sub|tu v:mdl|vouloir&PRES&12s prep|que
	pro:sub|je$v|ailler-PRES&SUB&13s pro:sub|tu$pro:y|en v|chercher-INF
	pro|un&m&sg ?
%mor:	co|attention co|ouh adv:place|là
%mor:	co|attention pro:sub|il pro:y|y v:aux|avoir&PRES&3s ?|popi
	pro:int|qui v:aux|être&PRES&3s part|tomber-PP&m
%mor:	part|taire-PP&m v|venir-IMP&2s adv:place|dehors ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|trouver-PP&m
	det:art|le&m&sg n|livre prep|de v|dorer-PASS&3s ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s neg|pas
	pro:obj|te$v|asseoir&INF ?
%mor:	v|asseoir&PRES&12s pro|toi&sg
%mor:	v|regarder-IMP&2s v|asseoir&PRES&12s pro|toi&sg prep|sur
	det:poss|mes&pl n|genou&m-PL adv|si part|taire-PP&m
	v:mdl|vouloir&PRES&12s
%mor:	co|non=no part|taire-PP&m v:mdl|vouloir&PRES&12s pro:obj|te
	v|mettre-INF adv|comme pro:dem|ça
%mor:	det:art|la&f&sg n|carte&f
%mor:	det:poss|son&m&sg n|sac&m prep|à n|dos&m co|oui=yes
%mor:	co|hum
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s neg|pas v:mdl|aller&INF
	pro:obj|te v|mettre-INF adv:place|à–côté=aside adv|de ?|aliyah
	prep|pour part|luire&PP&m v|montrer-INF det:art|le&m&sg n|livre
%mor:	v|regarder-IMP&2s v|mettre-IMP&2s pro|toi&sg prep|sur
	det:art|la&f&sg n|table&f
%mor:	v|mettre-IMP&2s pro|toi&sg adv:place|là
%mor:	adv:place|là
%mor:	v|attendre-IMP&2s pro:sub|je v:mdl|aller&PRES&1s
	pro:obj|te$v|aider-INF
%mor:	co|oh pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	co|ouais=yes pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg n|rivière&f
%mor:	co|coucou=peekaboo
%mor:	v|venir-IMP&2s v|venir-IMP&2s pro:obj|me v|voir&INF
%mor:	v|venir-IMP&2s pro:obj|me v|voir&INF
%mor:	part|taire-PP&m v|voir&IMP&PRES&12s adv:place|là ?
%mor:	v|venir-IMP&2s adv:place|par–là
%mor:	co|ouh adv:place|là co|boum
%mor:	pro:dem|ce$v:aux|être&PRES&3s n|rien&m
	pro:dem|ce$v:exist|être&PRES&3s n|rien&m
	pro:dem|ce$v:exist|être&PRES&3s n|rien&m
%mor:	co|oh co|ouh co|la co|la co|la co|la co|la co|la
%mor:	co|ouh pro:sub|on v|frotter-PRES&SUB&13s det:art|les&pl n|main&f-PL
	pro:sub|on v|frotter-PRES&SUB&13s det:art|les&pl n|main&f-PL
	pro:sub|on v|frotter-PRES&SUB&13s det:art|les&pl n|genou&m-PL
%mor:	v|tenir-IMP&2s pro:sub|je v:mdl|aller&PRES&1s v:mdl|aller&INF
	v|chercher-INF det:art|une&f&sg n|lingette&f=wipe prep|pour
	pro:obj|te$v|essuyer-INF=dry det:art|la&f&sg n|bouche&f adv|d'accord
	?
%mor:	pro:sub|tu v:aux|avoir&PRES&2s det:art|la&f&sg n|bouche&f adv|toute
	adj|collant&f=sticky conj|et det:art|les&pl n|main&f-PL adv|aussi
%mor:	co|hop pro:sub|on v|essuyer-PRES&SUB&13s=dry det:art|la&f&sg
	n|bouche&f
%mor:	co|oh co|la co|la co|oh co|la co|la pro:sub|elle v:aux|être&PRES&3s
	adj|sale det:dem|cette&f&sg adj|petit&f n|fille&f co|wah
	pro:rel|que$pro:sub|elle v:aux|être&PRES&3s adj|sale
%mor:	co|oh pro:rel|que$pro:sub|elle v:aux|être&PRES&3s adj|sale
	det:dem|cette&f&sg adj|petit&f n|fille&f
%mor:	v:int|est–ce adv|que part|taire-PP&m v:mdl|vouloir&PRES&12s
	v|donner-INF prep|à v|manger-INF prep|avec det:poss|ton&m&sg
	n|bébé&m ?
%mor:	v|regarder-IMP&2s
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s pro:rel|que$pro:sub|on
	v|ailler-IMP&2s pro:refl|se v|mettre-INF adv:place|dedans ?
%mor:	adv|comme pro:dem|ça part|taire-PP&m adv|comme pro:dem|ça
	part|taire-PP&m n|aura&f-PL det:art|la&f&sg n|dînette&f=tea_party
%mor:	pro:sub|on v:mdl|aller&PRES&3s pro:refl|se v|mettre-INF
	adv:place|dedans ?
%mor:	adv|parce adv|que adv:place|là prep|avec det:art|les&pl
	n|chien&m-PL pro:int|qui v|aboyer-PRES&3p pro:dem|ça
	v:mdl|aller&PRES&3s adv|vite n|devenir&m adj|insupportable
%mor:	v:mdl|aller&PRES&2p v|venir-PRES&12s pro:sub|on v:mdl|aller&PRES&3s
	v:mdl|aller&INF pro:refl|se v|mettre-INF adv:place|dedans pro:sub|on
	v:mdl|aller&PRES&3s v:mdl|aller&INF v|mettre-INF prep|de
	det:art|la&f&sg n|lumière&f
%mor:	adv|d'accord ?
%mor:	part|taire-PP&m n|attention&f part|taire-PP&m v:aux|avoir&PRES&2s
	part|faire-PP&m v|tomber-INF det:art|la&f&sg n|fourchette&f
%mor:	co|allez v|venir-IMP&2s
%mor:	v|ramasser-PRES&SUB&13s det:art|la&f&sg n|fourchette&f conj|et
	v|emmener-PRES&SUB&13s det:poss|ton&m&sg n|bébé&m
%mor:	pro:sub|on v:mdl|aller&PRES&3s v:mdl|aller&INF pro:refl|se
	v|mettre-INF prep|dans det:art|le&m&sg n|salon&m
%mor:	part|taire-PP&m v|venir-IMP&2s ?
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s pro:y|y v|arriver-INF ?
%mor:	co|allez v:mdl|aller&PRES&1p pro:y|y
%mor:	pro:sub|on v:mdl|aller&PRES&3s v|allumer-INF det:art|la&f&sg
	n|lumière&f
%mor:	adv:place|voilà
%mor:	part|taire-PP&m det:art|le&m&sg part|taire-PP&m det:art|le&m&sg
	n|mets&m co|euh prep|sur det:art|la&f&sg n|table&f
%mor:	pro:sub|il v:aux|être&PRES&3s adj|bon&m pro:dem|ce
	n|+n|petit+n|suisse&m n|bébé&m co|mmh
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s pro:rel|que$pro:sub|il
	pro:obj|le v|manger-PRES&SUB&13s prep|sur det:poss|mes&pl
	n|genou&m-PL ?
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	co|ah pro:dem|ce$v:aux|être&PRES&3s pro|moi&sg pro:int|qui
	part|luire&PP&m v|donner-PRES&SUB&13s
%mor:	co|ben n|pendant&m pro:dem|ce n|temps&m pro|toi&sg pro:sub|tu
	v|préparer-PRES&SUB&2s det:art|le&m&sg n|reste&m prep|de&le
	n|repas&m adv|d'accord ?
%mor:	v:mdl|aller&PRES&2s pro:y|y v|préparer-PRES&SUB&13s
%mor:	co|allez n|bébé&m v|manger-PRES&SUB&13s
%mor:	co|oh det:art|une&f&sg n|carte&f prep|de ?|chipeur pro:dem|ça
	pro:refl|se v|manger-IMP&2s neg|pas
%mor:	v:int|est–ce adv|que pro:dem|ça pro:refl|se v|manger-PRES&SUB&13s ?
%mor:	pro:sub|on co|la v|mettre-PRES&3s prep|dans det:art|le&m&sg
	n|+n|petit+n|suisse&m ?
%mor:	co|non=no
%mor:	v|tenir-IMP&2s v|regarder-IMP&2s v|mettre-IMP&2s pro|toi&sg
	adv|comme pro:dem|ça
%mor:	conj|et adv|alors pro:rel|que$v:int|est–ce adv|que part|taire-PP&m
	pro:obj|nous v|préparer-PRES&SUB&2s prep|à v|manger-INF
	adv|aujourd'hui ?
%mor:	pro:int|que$v:aux|être&PRES&3s prep|de adv|que pro:dem|ça
	part|faire-PP&m adv:place|là pro:dem|ça ?
%mor:	det:art|une&f&sg n|chaussette&f
%mor:	co|ouais=yes
%mor:	v|tenir-IMP&2s pro:sub|je v:mdl|aller&PRES&1s v|mettre-INF
	det:art|le&m&sg n|linge&m prep|à&le n|+n|sèche+n|linge adv|d'accord
	?
%mor:	part|taire-PP&m v|préparer-PRES&SUB&2s prep|à v|manger-INF
	pro:sub|je re#v|venir-PRES&12s n|tout&m prep|de n|suite&f
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:mdl|faire-PRES&12s ?|anaé ?
%mor:	co|ah pro:sub|il v|manger-PRES&SUB&13s det:art|une&f&sg n|pomme&f
%mor:	pro:sub|il pro:y|en v:mdl|vouloir&PRES&3s neg|pas
%mor:	v|tenir-IMP&2s co|oh v|regarder-IMP&2s pro:rel|ce–que
	pro:sub|je$v:aux|avoir&PRES&1s part|trouver-PP&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|bébé&m pro:int|qui
	v|manger-IMP&2s conj|ou pro:dem|ce$v:exist|être&PRES&3s
	det:art|le&m&sg n|crocodile&m pro:int|qui v|manger-PRES&SUB&13s
	det:art|le&m&sg n|bébé&m ?
%mor:	v|tenir-IMP&2s ?|anaé
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s det:art|les&pl n|habit&m-PL
	?
%mor:	part|taire-PP&m v:mdllex|vouloir&PRES&12s pro:rel|que$pro:sub|on
	v|habiller-PRES&SUB&13s det:art|les&pl n|bébé&m-PL ?
%mor:	co|ouais=yes
%mor:	pro:sub|on v|prendre-PRES&3s
%mor:	pro:sub|ils v:aux|être&PRES&3p prep|dans pro:sub|ils
	v:aux|être&PRES&3p pro:int|où det:art|les&pl n|habit&m-PL
	part|taire-PP&m pro:obj|te v|rappeler-PRES&SUB&2s ?
%mor:	pro:sub|ils v:aux|être&PRES&3p prep|dans
%mor:	co|la
%mor:	prep|dans det:art|la&f&sg pro:int|quoi ?
%mor:	?|anaé ?
%mor:	pro:sub|ils v:aux|être&PRES&3p prep|dans pro:rel|quoi ?
%mor:	n|comment&m pro:dem|ça pro:refl|se$v|appeler-PRES&SUB&13s
	pro:dem|ça ?
%mor:	adv|alors
%mor:	pro:dem|celui–ci ?
%mor:	prep|avec pro:dem|ça ?
%mor:	pro:sub|je v|croire&PRES&12s pro:int|que
	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg adj|petit&m n|peu&m
	adj|grand&m pro:dem|ça
%mor:	pro:sub|on v:mdl|aller&PRES&3s v|essayer-INF
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|pour ?|kirikou ?
