%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|en adv:place|dessous
%mor:	?|anaé pro:sub|je v|voir&IMP&PRES&12s det:art|un&m&sg n|truc&m
	prep|dans det:art|un&m&sg n|magasin&m prep|sans det:poss|son&m&sg
	n|chapeau&m
%mor:	adv|encore
%mor:	co|ah
%mor:	v|entendre-IMP&2s part|taire-PP&m
%mor:	pro:obj|nous prep|dans det:art|les&pl n|bois&m
%mor:	n|pendant&m prep|que det:art|le&m&sg n|loup&m pro:y|y
	v:aux|être&PRES&3s neg|pas
%mor:	adv|si det:art|le&m&sg n|loup&m pro:y|y v:aux|être&IMPF&3s
%mor:	pro:sub|il pro:obj|nous v|manger-COND&3s
%mor:	adv|mais adv|comme pro:sub|il pro:y|y v:aux|être&PRES&3s neg|pas
%mor:	pro:sub|il pro:obj|nous v|manger-FUT&3s neg|pas
%mor:	n|loup&m pro:y|y v:aux|être&PRES&2s part|taire-PP&m ?
%mor:	v|entendre-IMP&2s part|taire-PP&m ?
%mor:	adv|que v:mdl|faire-PRES&12s part|taire-PP&m ?
%mor:	pro:sub|je n|mets&m
%mor:	v|promener-IMP&1p pro:obj|nous prep|dans det:art|les&pl n|bois&m
%mor:	n|pendant&m prep|que det:art|le&m&sg n|loup&m neg|ne pro:y|y
	v:aux|être&PRES&3s neg|pas
%mor:	adv|si det:art|le&m&sg n|loup&m pro:y|y v:aux|être&IMPF&3s
%mor:	pro:sub|il pro:obj|nous v|manger-COND&3s
%mor:	adv|mais adv|comme pro:sub|il pro:y|y v:aux|être&PRES&3s neg|pas
%mor:	pro:sub|il pro:obj|nous v|manger-FUT&3s neg|pas
%mor:	n|loup&m pro:y|y v:aux|être&PRES&2s part|taire-PP&m
	v|entendre-PRES&12s part|taire-PP&m ?
%mor:	adv|que v:mdl|faire-PRES&12s part|taire-PP&m ?
%mor:	pro:sub|je v|mettre-PRES&12s det:poss|mes&pl n|chaussette&f-PL
%mor:	pro:sub|je v|mettre-PRES&12s det:poss|mon&m&sg n|pantalon&m
%mor:	pro:sub|je v|mettre-PRES&12s det:poss|mes&pl n|botte&f-PL
	pro:sub|je v|mettre-PRES&12s det:poss|mon&m&sg n|pull&m
%mor:	prep|avec pro|toi&sg
%mor:	prep|à&le re#v|voir&INF
%mor:	?|anaé
%mor:	v:mdl|aller&PRES&2p part|taire-PP&m v|ouvrir-PRES&SUB&2s
	det:art|le&m&sg adj|petit&m n|papier&m adj|doré&m
%mor:	det:art|le&m&sg adj|petit&m n|papier&m adj|argenté&m
%mor:	?|karaba
%mor:	det:art|un&m&sg n|zèbre&m
%mor:	co|non=no pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|lynx&m
%mor:	n|ananas&m
%mor:	n|fétiche&m
%mor:	n|fétiche&m
%mor:	v|regarder-IMP&2s det:art|le&m&sg adj|grand&m n|pot&m=pot
	part|ouvrir-PP&m n|choco&m=chocolate
%mor:	n|choco&m=chocolate
%mor:	co|euh pro:sub|il v:aux|être&PRES&3s neg|pas adj|bizarre
	det:art|le&m&sg n|cheval&m&sg conj|et det:art|la&f&sg n|poule&f
%mor:	conj|et n|babouche&f ?
%mor:	n|tortue&f
%mor:	pro:sub|il part|faire-PP&m det:art|la&f&sg n|grimace&f
%mor:	conj|et prep|dans det:art|le$n|arbre&m
%mor:	n|oiseau&m-PL ?
%mor:	adv:place|là pro:dem|ce$v:exist|être&PRES&3s pro:rel|quoi ?
%mor:	co|oh co|mince
%mor:	co|oui=yes pro:sub|il pro:y|y v:aux|avoir&PRES&3s
%mor:	v|regarder-IMP&2s
%mor:	pro:sub|elle v:aux|avoir&PRES&3s part|donner-PP&m det:art|un&m&sg
	det:art|un&m&sg n|ballon&m prep|à det:art|la&f&sg n|tortue&f
%mor:	pro:sub|on v|ouvrir-PRES&SUB&13s ?
%mor:	prep|de&le n|toboggan&m
%mor:	?|tico pro:sub|il v:aux|être&PRES&3s prep|en n|train&m prep|de
	v|porter-INF det:gen|quelque n|chose=thing
%mor:	pro:dem|ce$v:aux|être&PRES&3s adj|normal&m&sg
	pro:dem|ce$v:aux|être&PRES&3s part|finir-PP&m
%mor:	co|hé pro:sub|on v|ouvrir-PRES&SUB&13s ?
%mor:	co|han v|regarder-PRES&SUB&13s det:art|les&pl n|saucisse&f-PL
	pro:int|qui v|danser-PRES&3p
%mor:	pro:sub|tu v|dessiner-PRES&SUB&2s ?|karaba ?
%mor:	pro:sub|je v|voler-IMP&2s pro:sub|je v|voler-PRES&SUB&13s prep|avec
	adj|petit&m n|ours&m adj|brun&m
%mor:	?|anaé ?
%mor:	v|regarder-IMP&2s
%mor:	det:art|le&m&sg n|drapeau&m
%mor:	v|regarder-IMP&2s pro:rel|ce–qui v:aux|être&PRES&3s
	part|écrire-PP&m
%mor:	adv|partout
%mor:	adv|partout adv|partout adv|partout
%mor:	conj|et prep|de&le adj|rouge adv|aussi
%mor:	conj|puisque det:art|le&m&sg adj|rouge prep|de&le
	pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg n|couleur&f
	n|préféré&f prep|de&le n|père&m n|noël
%mor:	n|père&m
%mor:	co|oui=yes
