%mor:	co|bah co|oui=yes adv:place|là pro:dem|ce$v:exist|être&PRES&3s
	v:aux|avoir&PRES&3s det:gen|quel&m&sg n|âge&m ?
%mor:	num|treize n|an&m-PL
%mor:	co|ah pro:sub|il v:aux|être&PRES&3s adj|grand&m co|hein
%mor:	pro:sub|il v:aux|avoir&PRES&3s det:poss|sa&f&sg n|barbe&f co|bah
	co|oui=yes prep|à num|treize n|an&m-PL pro:sub|on
	v:aux|avoir&PRES&3s prep|de det:art|la&f&sg n|barbe&f co|hein
%mor:	pro:sub|il part|faire-PP&m n|peur&f ?
%mor:	co|oui=yes
%mor:	part|taire-PP&m pro:obj|le$v:poss|avoir&PRES&2s adv|déjà
	part|voir&PP&m det:art|le&m&sg n|père&m n|noël prep|en adj|vrai&m ?
%mor:	pro:int|où v:int|est–ce adv|que part|taire-PP&m
	pro:obj|le$v:poss|avoir&PRES&2s part|voir&PP&m ?
%mor:	pro:sub|il v:aux|être&IMPF&3s part|rester-PP&m adv:place|là ?
%mor:	co|ah co|oui=yes
%mor:	adv|mais prep|en n|vrai&m det:art|le&m&sg n|vrai&m n|père&m n|noël
	?
%mor:	part|taire-PP&m pro:obj|le$v:poss|avoir&IMPF&12s neg|pas prep|vu
	prep|dans det:art|un&m&sg n|magasin&m ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il v:aux|avoir&PRES&3s
	prep|dans det:poss|ses&pl n|bras&m pro:ind|lui ?
%mor:	co|attention
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il v:aux|avoir&PRES&3s
	prep|dans det:poss|ses&pl n|bras&m det:art|le&m&sg n|père&m n|noël ?
%mor:	prep|pour pro:rel|qui ?
%mor:	prep|de&les n|cadeau&m-PL prep|pour det:art|le&m&sg n|père&m n|noël
	?
%mor:	co|ah co|bah co|oui=yes pro:sub|il v:mdl|aller&PRES&3s v|amener-INF
	prep|de&les n|cadeau&m-PL prep|à pro:rel|qui ?
%mor:	co|attention prep|à det:art|la&f&sg n|tasse&f ?|anaé
%mor:	co|coucou=peekaboo
%mor:	co|bon part|taire-PP&m v|venir-PRES&12s v|finir-INF
	det:poss|ta&f&sg n|pâte&f prep|à v|modeler-INF ?
%mor:	v|regarder-IMP&2s pro:sub|on v:mdl|aller&PRES&3s v:mdl|faire-INF
	det:art|un&m&sg n|bonhomme&m
%mor:	v|regarder-IMP&2s v|venir-IMP&2s v|voir&INF
%mor:	pro:sub|on v:mdl|aller&PRES&3s v:mdl|faire-INF det:art|un&m&sg
	n|sapin&m
%mor:	pro:sub|on part|faire-PP&m det:art|un&m&sg n|sapin&m ?
%mor:	co|oh pro:dem|ça n|colle&f pro:dem|ça
%mor:	v|venir-IMP&2s pro:sub|on v:mdl|aller&PRES&3s v|ranger-INF
	det:art|le&m&sg adj|bleu&m conj|et pro:sub|on v:mdl|aller&PRES&3s
	v:mdl|faire-INF prep|de&le adj|vert&m prep|pour v:mdl|faire-INF
	det:art|le&m&sg n|sapin&m part|taire-PP&m v:mdl|vouloir&PRES&12s ?
%mor:	?|anaé v|venir-PRES&12s v|voir&INF
%mor:	part|taire-PP&m n|montre&f-PL pro:int|quoi
%mor:	v|venir-IMP&2s pro:sub|on v:mdl|aller&PRES&3s v:mdl|faire-INF
	det:art|un&m&sg n|sapin&m adj|vert&m
%mor:	v|monter-PRES&SUB&13s prep|sur det:poss|ta&f&sg n|chaise&f
%mor:	co|allez v|venir-PRES&12s pro:sub|on v:mdl|aller&PRES&3s
	v:mdl|faire-INF det:art|le&m&sg det:art|le&m&sg det:art|le&m&sg
	n|sapin&m ?|anaé
%mor:	part|taire-PP&m v|venir-PRES&12s v:mdl|faire-INF det:art|le&m&sg
	n|sapin&m ?
%mor:	?|anaé v|venir-PRES&12s adv:place|là
%mor:	v|venir-IMP&2s v|voir&INF
%mor:	v|regarder-IMP&2s pro:sub|on v:mdl|aller&PRES&3s v:mdl|faire-INF
	det:art|le&m&sg n|sapin&m
%mor:	part|taire-PP&m v:aux|être&PRES&2s adv|trop part|taire-PP&m
	v:aux|être&PRES&2s adv|trop adv:place|loin ?
%mor:	v|venir-IMP&2s v|voir&INF pro:sub|on v:mdl|aller&PRES&3s
	v:mdl|faire-INF det:art|le&m&sg n|sapin&m ?|anaé
%mor:	co|hum co|hum
%mor:	?|anaé part|taire-PP&m v|venir-IMP&2s ?
%mor:	v|regarder-IMP&2s
%mor:	co|allez co|tiens pro:sub|je pro:obj|te pro:obj|le
	v|donner-PRES&SUB&13s conj|et conj|puis pro:sub|on
	v:mdl|aller&PRES&3s v:mdl|faire-INF pro:int|quoi ?
%mor:	pro:sub|on v:mdl|aller&PRES&3s v:mdl|faire-INF det:art|un&m&sg
	pro|autre&sg ?
%mor:	v|regarder-PRES&SUB&13s det:art|un&m&sg n|sapin&m adj|vert&m
	conj|et pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|on
	v:mdl|aller&PRES&3s v:mdl|faire-INF ?
%mor:	v:int|est–ce pro:rel|que$pro:sub|on part|faire-PP&m det:art|un&m&sg
	adj|petit&m n|soldat&m ?
%mor:	det:art|un&m&sg adj|petit&m n|soldat&m
%mor:	det:art|un&m&sg n|soldat&m
%mor:	conj|et part|taire-PP&m v|raconter-PRES&SUB&2s prep|à ?|aliyah
	pro:int|où v:int|est–ce pro:rel|que$pro:sub|on v:aux|être&PRES&3s
	part|aller&PP&m&sg prep|à det:art|le$n|école&f adv|de ?|ael pro:y|y
	v:aux|avoir&IMPF&3s pro:int|quoi det:art|le$pro|autre&sg n|jour&m ?
%mor:	pro:y|y v:aux|avoir&IMPF&3s det:art|le&m&sg n|marché&m prep|de ?
%mor:	det:art|le&m&sg n|marché&m prep|de pro:rel|quoi ?
%mor:	prep|de n|rien&m ?
%mor:	co|oh v|regarder-IMP&2s det:art|le&m&sg adj|petit&m n|soldat&m
%mor:	v|regarder-PRES&SUB&13s prep|comme pro:sub|il v:aux|être&PRES&3s
	n|mignon&m
%mor:	pro:sub|on v|dire-COND&3s det:art|une&f&sg n|fève&f
%mor:	co|hop
%mor:	co|ah v|regarder-PRES&SUB&13s det:art|un&m&sg adj|petit&m
	n|bonhomme&m prep|de n|pain&m adv|de n|épice&f
%mor:	pro:sub|on part|faire-PP&m det:art|un&m&sg adj|petit&m n|bonhomme&m
	prep|de n|pain&m adv|de n|épice&f ?
%mor:	adv|puis prep|après n|si&m part|taire-PP&m v:mdl|vouloir&PRES&12s
	pro:sub|on v:mdl|aller&PRES&3s v|lire-INF det:art|un&m&sg n|livre
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:mdllex|vouloir&FUT&2s v|lire-INF prep|comme n|livre
%mor:	det:art|le&m&sg n|loup&m ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|que prep|de&les n|livre-PL
	pro:int|qui v:mdl|faire-PRES&3p n|peur&f
%mor:	v|tenir-IMP&2s v|regarder-IMP&2s ?|anaé
%mor:	v|venir-IMP&2s v|voir&INF v|regarder-PRES&SUB&13s
%mor:	det:art|le&m&sg adj|petit&m n|bonhomme&m prep|de n|pain&m adv|de
	n|épice&f
%mor:	co|oh
%mor:	co|oui=yes ?
%mor:	co|bah v:mdl|aller&PRES&2s pro:y|y v|tourner-PRES&SUB&13s
	det:art|la&f&sg n|page pro|toi&sg ?|anaé
%mor:	co|oh co|oh co|oh co|oh part|taire-PP&m v:mdl|faire-PRES&12s
	neg|pas adv|beaucoup adv|de n|effort&m-PL co|hein
%mor:	pro:sub|je n|mets&m ?
%mor:	conj|et pro:sub|je v:mdl|aller&PRES&1s ?
%mor:	conj|et pro:sub|je v:mdl|aller&PRES&1s pro:obj|vous ?
%mor:	conj|et ?
%mor:	co|plouf
%mor:	pro:sub|il v:aux|être&PRES&3s part|tomber-PP&m prep|dans
	det:art|le$n|eau&f
%mor:	conj|et det:art|les&pl adj|petit&m-PL n|enfant-PL
	pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|ils v:mdl|faire-PRES&3p
	?
%mor:	pro:sub|ils v|regarder-PRES&3p conj|et pro:sub|ils
	v|rigoler-PRES&3p
%mor:	pro:sub|ils v:mdl|faire-PRES&3p co|ha co|ha co|ha
%mor:	det:poss|ton&m&sg n|doigt&m prep|dans det:poss|ton&m&sg n|nez&m
%mor:	conj|et
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	adv|si pro:sub|il pro:obj|te v|plaire-PRES&3s n|maman&f
%mor:	v|promener-IMP&1p ?
%mor:	prep|dans ?
%mor:	n|pendant&m adv|que ?
%mor:	neg|ne pro:y|y v:aux|être&PRES&3s ?
%mor:	adv|si det:art|le&m&sg ?
%mor:	adv|mais adv|comme pro:sub|il ?
%mor:	pro:sub|il pro:obj|nous ?
%mor:	n|loup&m ?
%mor:	adv|que ?
%mor:	pro:obj|me$v|entendre-IMP&2s ?
%mor:	part|taire-PP&m pro:y|en v:aux|avoir&PRES&2s part|taire-PP&m
	pro:y|en v:aux|avoir&PRES&2s part|oublier-PP&m pro|un&m&sg
%mor:	v|entendre-IMP&2s ?
%mor:	pro:sub|je n|mets&m ?
%mor:	pro:int|où pro:sub|elles v:aux|être&PRES&3p det:art|les&pl
	n|chaussette&f-PL ?
%mor:	v:aux|être&PRES&3p prep|de det:gen|quelle&f&sg n|couleur&f ?
%mor:	co|oh
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il v|mettre-PRES&3s
	adv:place|là ?
%mor:	conj|et adv:place|là ?
%mor:	conj|et pro:sub|je conj|et pro:sub|je v:mdl|aller&PRES&1s
	pro:obj|vous
%mor:	co|aïe co|aïe pro:sub|je v:mdl|aller&PRES&1s pro:obj|vous
	n|manger&m=food
%mor:	co|miam co|miam co|miam co|miam co|miam
%mor:	conj|et ?
%mor:	co|plouf
%mor:	co|bah pro:sub|on v:mdl|pouvoir&PRES&3s adv|peut–être v|lire-INF
	det:art|un&m&sg pro|autre&sg n|livre
%mor:	conj|ou adv|alors part|taire-PP&m v:mdl|faire-PRES&12s
	det:art|un&m&sg n|puzzle&m conj|ou det:art|un&m&sg n|dessin&m
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:mdl|vouloir&PRES&12s v:mdllex|faire-INF ?
%mor:	det:art|un&m&sg n|puzzle&m ?
%mor:	adv|alors pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg pro:int|qui
	v|raconter-PRES&SUB&2s
%mor:	part|taire-PP&m pro:obj|me v|raconter-PRES&SUB&2s prep|à pro|moi&sg
%mor:	adv|d'accord ?
%mor:	pro|moi&sg pro:sub|je$v:aux|avoir&PRES&1s n|peur&f co|hein
%mor:	co|ouh pro:sub|je$v:aux|avoir&PRES&1s n|peur&f
%mor:	co|ah co|bon ?
%mor:	adv|alors part|taire-PP&m v|raconter-PRES&SUB&2s ?
%mor:	co|non=no v:mdl|falloir&PRES&3s adv|d'abord adv|que part|taire-PP&m
	v|chanter-PRES&SUB&2s det:art|la&f&sg n|chanson&f
%mor:	v|promener-IMP&1p ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s ?|ael pro:int|qui
	v|raconter-PRES&SUB&13s ?
%mor:	n|pendant&m prep|de
%mor:	adv|si pro:sub|il pro:obj|te v|plaire-PRES&3s
%mor:	pro:sub|je v:mdl|aller&PRES&1s pro:obj|te v|croquer-INF
%mor:	co|hum co|hum
%mor:	co|hou co|hou co|hou co|ha co|ha co|ha co|hi co|hi co|hi
%mor:	conj|et adv:place|voilà
%mor:	?|anaé pro:int|qui v:int|est–ce pro:int|qui v:aux|avoir&PRES&3s
	part|faire-PP&m pro:dem|ça ?
%mor:	pro:int|qui v:int|est–ce pro:int|qui
	pro:obj|le$v:poss|avoir&PRES&3s part|faire-PP&m ?
%mor:	part|taire-PP&m pro:obj|te$pro:y|en v|rappeler-PRES&SUB&2s ?
%mor:	part|taire-PP&m pro:obj|le$v:poss|avoir&IMPF&12s part|faire-PP&m
	prep|chez ?|véro ?
%mor:	co|merci
%mor:	pro:sub|on v:mdl|aller&PRES&3s pro:obj|le v|mettre-INF adv:place|là
%mor:	pro:dem|ce$v:aux|être&PRES&3s n|superbe&f ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:dem|ça adv|que part|taire-PP&m
	v:aux|avoir&PRES&2s part|dire-PP&m ?
%mor:	part|taire-PP&m v|ramasser-PRES&SUB&2s ?|anaé pro:rel|ce–qui
	v:aux|être&PRES&3s part|tomber-PP&m ?
%mor:	co|ah co|bah n|tout&m prep|à det:art|le$n|heure&f
%mor:	neg|pas adv|maintenant adv|après
%mor:	pro:sub|on v:mdl|aller&PRES&3s v|goûter-INF pro:sub|on
	v:mdl|aller&PRES&3s v|goûter-INF
%mor:	adv|d'accord ?
%mor:	v|regarder-PRES&SUB&13s ?|aliyah pro:sub|elle v:aux|avoir&PRES&3s
	part|apporter-PP&m prep|de&les n|gâteau&m-PL pro:sub|on
	v|regarder-PRES&SUB&13s ?
%mor:	v|attendre-IMP&2s adv|d'abord pro:sub|on v:mdl|aller&PRES&3s
	v|ranger-INF pro:dem|ça
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg pro:int|qui
	pro:obj|le$v|ouvrir-PRES&SUB&2s
%mor:	pro:sub|il pro:y|y pro:y|en v:aux|avoir&PRES&3s neg|pas
	det:art|un&m&sg pro:int|qui v:aux|être&PRES&3s part|tomber-PP&m
	n|parterre&m=flowerbed ?
%mor:	part|taire-PP&m v:mdl|pouvoir&PRES&12s v|regarder-INF n|si&m
	pro:sub|il pro:y|y pro:y|en v:aux|avoir&PRES&3s det:art|un&m&sg
	n|parterre&m=flowerbed adv|si pro:sub|il pro:obj|te v|plaire-PRES&3s
	?
%mor:	v|regarder-IMP&2s
%mor:	pro:sub|il v:aux|être&PRES&3s adv:place|là
%mor:	co|oui=yes adv|après v|regarder-IMP&2s part|taire-PP&m
	v|ouvrir-PRES&SUB&2s det:art|le&m&sg n|paquet&m prep|de
	n|gâteau&m-PL ?
%mor:	co|ah
