%mor:	v:mdllex|faire-PRES&12s co|attention
%mor:	?|anaé v|venir-PRES&12s pro:y|en adj|bas&m
%mor:	adv|mais n|si&m
%mor:	v|venir-IMP&2s pro:sub|on v:mdl|aller&PRES&3s v|lire-INF prep|en
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:mdl|vouloir&FUT&2s v|emmener-INF prep|comme n|jouet&m-PL prep|à&le
	n|ski&m ?
%mor:	co|aïe
%mor:	pro:sub|il pro:obj|me part|faire-PP&m n|peur&f ?
%mor:	adv:int|pourquoi pro:sub|il part|faire-PP&m n|peur&f ?
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s prep|de&le n|sang&m prep|sur
	det:poss|ses&pl n|dent&f-PL
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s prep|vu pro:sub|il
	v:aux|avoir&PRES&3s prep|de&les n|ongle&m-PL adj|pointu&m-PL
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|lire-PP&m ?|hansel conj|et
	?|gretel adv|déjà ?
%mor:	co|ah pro:sub|on v|dire-COND&3s adv|que part|taire-PP&m
	v:aux|avoir&PRES&2s part|faire-PP&m n|caca&m=poopoo co|non=no ?
%mor:	co|non=no ?
%mor:	part|taire-PP&m v:aux|être&PRES&2s adj|sûr&f ?
%mor:	part|taire-PP&m pro:obj|me$v:poss|avoir&PRES&2s neg|pas
	re#part|pondre-PP&m pro:rel|que$v:int|est–ce adv|que part|taire-PP&m
	v:mdl|vouloir&PRES&12s v|emmener-INF adv|comme n|jouet&m-PL co|euh
	prep|à co|la n|neige&f ?
%mor:	v|dorer-PASS&3s ?
%mor:	conj|et adv|puis ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|qui pro:ind|lui ?
%mor:	det:gen|quel&m&pl n|livre-PL ?
%mor:	pro:sub|je det:art|le&m&sg
%mor:	pro:sub|je det:art|les&pl n|mets&m pro:int|où ?
%mor:	adv|d'accord
%mor:	adv|alors det:art|le&m&sg n|singe&m adv|comment pro:sub|il
	part|faire-PP&m det:art|le&m&sg n|singe&m ?
%mor:	part|taire-PP&m pro:obj|te v|rappeler-PRES&SUB&2s ?
%mor:	on|houhouhaha
%mor:	conj|et
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s
	adv:place|ici ?
%mor:	conj|et adv|comment pro:sub|il part|faire-PP&m det:art|le&m&sg
	n|crocodile&m ?
%mor:	pro:sub|il part|faire-PP&m on|clac on|clac co|miam co|miam co|miam
%mor:	co|aïe
%mor:	co|ha
%mor:	co|hé co|oui=yes
%mor:	conj|et adv:place|là pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	part|taire-PP&m pro:obj|te v|souvenir-PRES&12s n|comment&m
	pro:dem|ça pro:refl|se$v|appeler-PRES&SUB&13s ?
%mor:	det:art|un&m&sg n|vautour&m
%mor:	det:art|un&m&sg n|vautour&m
%mor:	pro:sub|il part|faire-PP&m on|yikyak
%mor:	conj|et pro:dem|ça ?
%mor:	det:art|un&m&sg n|scorpion&m
%mor:	on|sclac on|sclac on|sclac
%mor:	co|aïe
%mor:	conj|et ?
%mor:	co|ah pro:dem|ça part|taire-PP&m v:mdl|savoir&PRES&12s
	pro:rel|ce–que pro:dem|ce$v:aux|être&PRES&3s
%mor:	adv|comment pro:sub|il part|faire-PP&m det:art|le&m&sg n|serpent&m
	?
%mor:	conj|et ?
%mor:	det:art|un&m&sg ?
%mor:	n|scarabée&m
%mor:	det:art|un&m&sg n|scarabée&m
%mor:	n|scarabée&m
%mor:	n|scarabée&m
%mor:	n|scarabée&m
%mor:	pro:int|qui part|faire-PP&m ?|cricracao
%mor:	conj|et co|oh
%mor:	part|taire-PP&m v:mdl|faire-PRES&12s prep|de&les n|bisou&m-PL
	prep|à&les n|momie&f-PL pro|toi&sg ?
%mor:	co|ouais=yes ?
%mor:	adv|alors pro:sub|on v:mdl|aller&PRES&3s v:mdl|aller&INF pro:int|où
	n|demain&m ?
%mor:	pro:sub|on v:mdl|aller&PRES&3s v:mdl|aller&INF pro:int|où
	n|demain&m ?
%mor:	pro:int|où v:int|est–ce pro:rel|que$pro:sub|on v:mdl|aller&PRES&3s
	v:mdl|aller&INF n|demain&m ?
%mor:	prep|avec pro:rel|qui ?
%mor:	co|ben v|descendre-IMP&2s
%mor:	prep|avec pro:rel|qui pro:sub|on v:mdl|aller&PRES&3s prep|à&le
	n|ski&m ?
%mor:	prep|avec pro:rel|qui pro:sub|on v:mdl|aller&PRES&3s prep|à&le
	n|ski&m ?
%mor:	pro:int|qui v:int|est–ce pro:int|qui v|venir-PRES&3s prep|avec
	pro:obj|nous ?
%mor:	pro:int|qui v:int|est–ce pro:int|qui v|venir-PRES&3s prep|avec
	pro:obj|nous ?
%mor:	co|oui=yes conj|et adv|puis ?
%mor:	co|hum n|mamie&f ?
%mor:	conj|et adv|puis ?
%mor:	conj|et adv|puis ?
%mor:	?|anouk
%mor:	prep|avec pro:rel|qui pro:sub|elle v|venir-PRES&3s ?|anouk ?|anouk
	?
%mor:	prep|avec det:poss|son&m&sg n|papa&m conj|et det:poss|sa&f&sg
	n|maman&f ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|qui det:poss|son&m&sg
	n|papa&m conj|et det:poss|sa&f&sg n|maman&f ?
%mor:	co|oui=yes
%mor:	co|hum
%mor:	conj|et pro:sub|on v:mdl|aller&PRES&3s v:mdl|faire-INF pro:rel|quoi
	prep|à det:art|la&f&sg n|neige&f ?
%mor:	pro:sub|il part|faire-PP&m det:poss|son&m&sg n|bébé&m ?
%mor:	pro:sub|il part|faire-PP&m neg|pas det:poss|son&m&sg n|bébé&m
%mor:	pro:sub|il pro:refl|se$v|allonger-IMP&2s det:poss|ton&m&sg n|bébé&m
	?
%mor:	co|ah co|bon
%mor:	v:int|est–ce pro:rel|que$pro:sub|il v:aux|avoir&PRES&3s
	part|manger-PP&m ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il v|manger-IMP&2s
	pro:dem|ce n|bébé&m adv:place|là ?
%mor:	co|oh prep|de&le n|cheval&m&sg ?
%mor:	conj|et adv|puis ?
%mor:	prep|de&le n|jambon&m ?
%mor:	det:art|un&m&sg n|papillon&m ?
%mor:	co|non=no
%mor:	pro:sub|on v|manger-IMP&2s neg|pas prep|de&les n|papillon&m-PL
%mor:	conj|et v|regarder-IMP&2s v|regarder-IMP&2s
%mor:	co|coucou=peekaboo
%mor:	co|hum
%mor:	?|anaé part|taire-PP&m v:aux|avoir&PRES&2s part|faire-PP&m
	n|caca&m=poopoo adv:place|là
%mor:	?|anaé ?
%mor:	n|si&m
%mor:	co|ouais=yes pro:sub|on v:mdl|aller&PRES&3s v:mdl|aller&INF
	v|changer-INF det:art|la&f&sg n|couche&f pro:sub|je
	v|croire&PRES&12s
%mor:	pro:sub|il v:mdl|aller&PRES&3s pro:refl|se$v|asseoir&INF prep|sur
	det:poss|sa&f&sg n|chaise&f pro:dem|ce$v:exist|être&PRES&3s
	pro:dem|ça ?
%mor:	adv|d'accord
%mor:	co|hum
%mor:	pro:int|qui v:int|est–ce pro:int|qui v|manger-PRES&SUB&13s
	det:art|le&m&sg n|doudou&m=blankie ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s ?|timothée pro:int|qui
	v|manger-IMP&2s det:poss|son&m&sg n|doudou&m=blankie
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s num|deux n|doudou&m-PL=blankie
	?
%mor:	prep|à pro|moi&sg ?
%mor:	co|hum
%mor:	pro:sub|je det:art|le&m&sg n|mets&m adv|comme pro:dem|ça
%mor:	co|ah co|non=no pro:sub|je pro:obj|le v|manger-PRES&SUB&13s neg|pas
	co|non=no co|non=no
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|montrer-PP&m prep|à
	?|aliyah det:poss|tes&pl n|lunette&f-PL ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s adj|mi&m-PL=half det:art|les&pl
	n|boule&f-PL prep|sur det:art|le&m&sg n|sapin&m
	pro:dem|ce$v:exist|être&PRES&3s pro:dem|ça ?
%mor:	conj|et adv|puis pro:int|quoi adv|de pro|autre&sg ?
%mor:	co|non=no prep|sur det:art|le&m&sg n|sapin&m
	pro:int|que$v:int|est–ce adv|que part|taire-PP&m v:aux|avoir&PRES&2s
	part|mettre-PP&m ?
%mor:	prep|de&les n|boule&f-PL conj|et adv|puis pro:int|quoi ?
%mor:	det:art|une&f&sg n|guirlande&f co|ouais=yes
%mor:	pro:dem|ce$v:aux|être&IMPF&3s adj|joli&m co|non=no ?
%mor:	pro:dem|ça n|marche&f neg|pas ?
%mor:	conj|et part|taire-PP&m v:mdl|aller&PRES&2s v|mettre-INF
	det:poss|tes&pl n|botte&f-PL adj|rouge-PL ?
%mor:	prep|pour det:art|le&m&sg n|ski&m ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	prep|de&les n|poil&m-PL ?
%mor:	co|ah
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v|mettre-INF det:poss|tes&pl
	n|chausson&m-PL ?
%mor:	conj|et adv|ben part|taire-PP&m v|enlever-PRES&SUB&2s
	det:poss|tes&pl n|chaussure&f-PL
%mor:	conj|et pro:sub|je pro:obj|te n|mets&m det:art|les&pl
	n|chausson&m-PL adv|après
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s v|apprendre-INF prep|de&les
	n|chanson&f-PL prep|à ?|anouk prep|pendant det:art|les&pl
	n|vacance&f-PL ?
%mor:	co|hein ?
%mor:	co|ah adv|d'accord
%mor:	v:int|est–ce adv|que part|taire-PP&m v:mdl|aller&PRES&2s
	v|apprendre-INF prep|de&les n|chanson&f-PL prep|à ?|anouk ?
%mor:	?|anaé ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|elle
	v|connaître-PRES&3s prep|comme n|chanson&f ?|anouk ?
%mor:	co|ah co|bon ?
%mor:	conj|et part|taire-PP&m v:mdl|aller&PRES&2s part|luire&PP&m
	v|apprendre-INF prep|de&les n|nouvelle&f-PL n|chanson&f-PL ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:exist|être&PRES&3s
	det:dem|cette&f&sg n|chanson&f ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|peu&m
%mor:	adv|très adv|bien
%mor:	part|taire-PP&m v:aux|être&PRES&2s adj|sûr&f prep|que
	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg adj|bon&m n|pied&m
	?|anaé ?
%mor:	co|oui=yes pro:dem|ce$v:exist|être&PRES&3s adv|bien
%mor:	part|taire-PP&m v|enfoncer-PRES&SUB&2s adv|bien det:poss|ton&m&sg
	n|pied&m prep|après part|taire-PP&m v|monter-PRES&SUB&2s
	det:art|la&f&sg n|fermeture&f
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s pro:y|y v|arriver-INF ?
%mor:	pro:int|que$v:int|est–ce part|taire-PP&m v|raconter-PRES&SUB&2s ?
%mor:	co|hum
%mor:	conj|et pro|toi&sg part|taire-PP&m n|sens&m det:art|le&m&sg
	n|caca&m=poopoo adv|donc pro:sub|on v:mdl|aller&PRES&3s
	v:mdl|aller&INF v|changer-INF det:poss|ta&f&sg n|couche&f
%mor:	adv|d'accord
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s ?
%mor:	pro:int|qui v:int|est–ce pro:int|qui
	pro:obj|te$v:poss|avoir&PRES&3s part|aider-PP&f ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s ?|ael pro:int|qui
	pro:obj|te$v:poss|avoir&PRES&3s part|aider-PP&f ?
%mor:	part|taire-PP&m pro:sub|tu v:mdl|vouloir&PRES&12s prep|que
	pro:sub|je pro:obj|te$v|aider-PRES&SUB&13s ?
%mor:	pro:sub|il n|marche&f adv|plus pro:dem|ce n|chausson&m ?
%mor:	adv|peut–être pro:sub|ils v:exist|être&PRES&3p det:art|un&m&sg
	n|peu&m adj|petit&m-PL n|oui&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s adj|facile ?
%mor:	co|hum
%mor:	pro:sub|tu v:mdl|vouloir&PRES&12s prep|que pro:sub|je
	pro:obj|te$v|aider-PRES&SUB&13s ?
%mor:	part|taire-PP&m pro:obj|me$v:aux|avoir&PRES&2s part|mettre-PP&m
	det:art|une&f&sg n|claque&f
%mor:	co|ouais=yes
%mor:	v|tenir-IMP&2s
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	co|ouais=yes pro:sub|je$v:aux|avoir&PRES&1s det:art|les&pl
	n|main&f-PL adj|chaud&f-PL
%mor:	part|taire-PP&m n|montre&f-PL
%mor:	co|non=no pro:dem|ça v:mdl|aller&PRES&3s
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s pro:int|quoi prep|sur
	det:poss|mes&pl n|doigt&m-PL ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas prep|de&le n|feu&m
%mor:	co|non=no
%mor:	co|non=no
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:aux|avoir&PRES&2s prep|dans det:poss|ta&f&sg n|main&f adv|alors ?
%mor:	part|taire-PP&m pro:obj|le$v:poss|avoir&PRES&2s v:aux|avoir&PP&f&sg
	pro:int|où ?
%mor:	prep|chez n|mamy&f ?
%mor:	v:mdl|faire-PRES&12s co|la v:mdl|faire-PRES&12s neg|pas
	v|tomber-INF co|hein pro:sub|tu v:mdl|aller&PRES&2s pro:obj|la
	v|casser-INF
%mor:	co|oui=yes adv|mais part|taire-PP&m v:mdl|aller&PRES&2s pro:obj|la
	v:mdl|faire-INF v|tomber-INF part|taire-PP&m v:mdl|aller&PRES&2s
	pro:obj|la v|casser-INF
%mor:	co|hum
%mor:	v:int|est–ce adv|que part|taire-PP&m v:mdl|vouloir&PRES&12s ?
%mor:	v:mdl|aller&INF v|changer-INF det:poss|ta&f&sg n|couche&f ?
%mor:	co|ben co|si co|hein adv|parce adv|que pro:dem|ça v|sentir-PRES&3s
	neg|pas co|bon adv|quand adv|même
%mor:	v:int|est–ce adv|que part|taire-PP&m v:mdl|vouloir&PRES&12s
	v:mdl|faire-INF det:art|un&m&sg adj|petit&m n|dessin&m ?
%mor:	co|oui=yes ?
%mor:	co|hum
%mor:	pro:sub|il pro:y|y pro:y|en v:aux|avoir&PRES&3s adv:place|ici
	prep|de&les n|feuille&f-PL ?|anaé pro:sub|je v:mdl|aller&PRES&1s
	pro:obj|te$pro:y|en v|donner-INF
%mor:	det:art|une&f&sg adj|grand&f ?
%mor:	adv|ben pro:sub|je v:mdl|aller&PRES&1s pro:obj|te v|chercher-INF
	det:art|une&f&sg adj|petit&f prep|dans det:art|le&m&sg n|bureau&m
%mor:	v|attendre-IMP&2s n|reste&m adv:place|là
%mor:	v|regarder-IMP&2s n|reste&m adv:place|là v|prendre-PRES&IMP&12s
	det:art|les&pl n|crayon&m-PL
%mor:	co|non=no ?|anaé
%mor:	pro:int|quoi ?
%mor:	co|oui=yes n|deux&m co|allez v|venir-PRES&12s pro:sub|on
	v:mdl|aller&PRES&3s v|dessiner-INF
%mor:	part|taire-PP&m v|venir-IMP&2s ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v:mdl|faire-INF pro:int|quoi
	?
%mor:	adv|ben v|venir-PRES&12s pro:sub|on v:mdl|aller&PRES&3s v|lire-INF
	det:art|les&pl n|légume-PL
%mor:	?|aliyah pro:sub|elle v:mdl|vouloir&COND&3s adj|bien
	det:art|un&m&sg n|dessin&m adv|de ?|anaé adv|quand adv|même
%mor:	co|non=no adv|mais adv:place|là adv:place|là–haut pro:sub|il
	pro:y|y v:aux|avoir&PRES&3s neg|pas adv|assez prep|de n|lumière&f
	n|chéri&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|peu&m
	pro:dem|ce$v:aux|être&PRES&3s adv|trop det:art|le&m&sg n|bazar&m
	v|venir-IMP&2s
%mor:	pro:sub|on v:mdl|aller&PRES&3s v:mdl|faire-INF det:art|un&m&sg
	n|dessin&m pro|toutes&f&pl det:art|les&pl num|deux
%mor:	v|venir-IMP&2s pro:sub|on v:mdl|aller&PRES&3s v|lire-INF
	det:art|les&pl n|légume-PL
%mor:	adv|après
%mor:	v|venir-IMP&2s pro:sub|on v:mdl|aller&PRES&3s v|regarder-INF
	det:art|les&pl n|légume-PL
%mor:	v|venir-IMP&2s pro:sub|on v:mdl|aller&PRES&3s v|lire-INF
	det:art|les&pl n|légume-PL
%mor:	conj|et co|euh ?|omer pro:sub|il v:poss|avoir&IMPF&3s neg|pas
	prep|que n|vomi&m prep|dans det:poss|ta&f&sg n|chambre&f ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il v:aux|avoir&PRES&3s
	part|faire-PP&m adv|de pro|autre&sg ?
%mor:	pro:sub|il v:aux|avoir&PRES&3s n|vomi&m prep|avec det:art|le&m&sg
	n|rideau&m ?
%mor:	pro:sub|il v:aux|avoir&PRES&3s n|vomi&m adv:place|à–côté=aside
	prep|de&le n|rideau&m
%mor:	conj|et adv|puis pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|il
	v:aux|avoir&PRES&3s part|faire-PP&m prep|dans det:art|la&f&sg
	n|bibliothèque&f ?
%mor:	co|oui=yes
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il v:aux|avoir&PRES&3s
	part|faire-PP&m prep|dans det:art|la&f&sg n|bibliothèque&f ?
%mor:	co|non=no
%mor:	pro:sub|il v:aux|avoir&PRES&3s part|faire-PP&m n|caca&m=poopoo
	prep|comme pro|toi&sg
%mor:	adv|alors
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:exist|être&PRES&3s
	pro:dem|ce n|livre ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi pro:dem|ce n|livre ?
%mor:	det:art|les&pl ?
%mor:	n|légume-PL
%mor:	co|oui=yes
%mor:	prep|de det:gen|quelle&f&sg n|couleur&f v:aux|être&PRES&3p
	det:dem|ces&m&pl num|deux n|légume-PL ?
%mor:	pro:sub|ils v:aux|être&PRES&3p prep|de det:gen|quelle&f&sg
	n|couleur&f-PL ?
%mor:	det:art|un&m&sg n|concombre&m
%mor:	co|oui=yes
%mor:	pro:sub|ils v:aux|être&PRES&3p prep|de det:gen|quelle&f&sg
	n|couleur&f ?
%mor:	adv|très adv|bien
%mor:	det:gen|quel&m&sg n|légume v:aux|être&PRES&3s adj|rouge ?
%mor:	det:art|le&m&sg n|poivron&m
%mor:	co|oui=yes
%mor:	conj|et pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg ?
%mor:	n|aubergine&f
%mor:	n|aubergine&f
%mor:	co|non=no pro:dem|ce$v:exist|être&PRES&3s pro:rel|lequel&m&sg
	prep|de&les n|deux&m v:aux|être&PRES&3s adj|rouge
%mor:	prep|avec det:gen|quel&m&sg n|légume v:mdl|faire-PRES&3s pro:sub|on
	prep|de&les n|frite&f-PL ?
%mor:	co|non=no
%mor:	pro:sub|on part|faire-PP&m prep|de&les n|frite&f-PL prep|avec
	pro:dem|ça
%mor:	conj|et pro:dem|ça pro:dem|ça pro:refl|se$v|appeler-PRES&SUB&13s
	n|comment&m ?
%mor:	co|oui=yes
%mor:	co|oui=yes co|ben co|oui=yes co|hein
%mor:	pro:sub|on v:mdl|pouvoir&PRES&3s v:mdl|faire-INF prep|de&les
	n|frite&f-PL prep|avec prep|de&les n|carotte&f-PL
%mor:	det:art|un&m&sg n|artichaud&m=artichoke
%mor:	n|artichaud&m=artichoke
%mor:	co|ah v:mdl|aller&PRES&2s pro:y|y
%mor:	co|non=no det:art|un&m&sg n|artichaud&m=artichoke
%mor:	conj|et pro:dem|ça pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	co|non=no adv|mais n|comment&m pro:dem|ça
	pro:refl|se$v|appeler-PRES&SUB&13s ?
%mor:	prep|de&les n|radis&m
%mor:	co|oui=yes n|mai&m-PL pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg
	n|gros&m pro:int|quoi ?
%mor:	co|non=no pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|radis&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|radis&m
%mor:	part|taire-PP&m v|voir&IMP&PRES&12s det:art|le&m&sg n|radis&m
	pro:sub|il v:aux|avoir&PRES&3s det:art|la&f&sg n|tête&f adj|rose
%mor:	conj|et det:art|le&m&sg n|ventre&m adj|blanc
%mor:	part|taire-PP&m pro:obj|te v|rappeler-PRES&SUB&2s pro:sub|on
	pro:y|en v:aux|avoir&IMPF&3s prep|dans det:poss|notre&sg n|potager&m
	?
%mor:	pro:sub|on det:art|les&pl v:aux|avoir&IMPF&3s part|cueillir-PP&m&pl
%mor:	conj|et pro:dem|ça n|pique det:art|un&m&sg adj|petit&m n|peu&m
	det:art|les&pl n|radis&m
%mor:	co|ouais=yes
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|bébé&m n|radis&m
%mor:	co|ah pro:dem|ça part|taire-PP&m v:mdl|savoir&PRES&12s
	pro:rel|ce–que pro:dem|ce$v:aux|être&PRES&3s
%mor:	part|taire-PP&m pro:y|en v:aux|avoir&PRES&2s part|manger-PP&m
	det:art|le$pro|autre&sg n|jour&m pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	n|comment&m pro:dem|ça pro:refl|se$v|appeler-PRES&SUB&13s ?
%mor:	co|oui=yes det:art|un&m&sg n|maïs&m
%mor:	conj|et pro:dem|ça ?
%mor:	co|oui=yes det:art|un&m&sg n|épi&m prep|de n|maïs&m
%mor:	conj|et pro:dem|ça ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s
	pro:dem|ça ?
%mor:	det:art|un&m&sg n|brocoli&m=broccoli
%mor:	co|hum prep|de&les n|champignon&m-PL
%mor:	prep|de&les n|champignon&m-PL
%mor:	co|hum co|hum
%mor:	co|oui=yes
%mor:	pro:sub|elle v:aux|avoir&PRES&3s prep|de&les n|yeux&m
	det:art|un&m&sg n|nez&m conj|et det:art|une&f&sg n|bouche&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg adj|petit&m n|peu&m
	adj|bizarre
%mor:	co|hé co|hé co|hé co|hé pro:dem|ce$v:exist|être&PRES&3s
	pro:rel|quoi pro:dem|ça ?
%mor:	pro:sub|il pro:y|y pro:y|en v:aux|avoir&PRES&3s adv|combien ?
%mor:	adv|d'accord
%mor:	part|taire-PP&m v|aimer-PRES&SUB&2s pro:dem|ça det:art|les&pl
	n|haricot&m-PL adj|vert&m-PL pro|toi&sg co|hein ?
%mor:	n|tout&m pro:dem|ça ?
%mor:	adv|alors part|taire-PP&m v:mdl|vouloir&PRES&12s prep|que
	pro:sub|je pro:obj|te v:mdl|faire-PRES&SUB&13s pro:sub|je pro:obj|te
	v|dire-PRES&SUB&13s det:art|les&pl n|question&f-PL ?
%mor:	co|oui=yes ?
%mor:	prep|avec det:gen|quel&m&sg n|légume v|préparer-IMP&2s~pro|on
	det:art|la&f&sg n|purée&f ?
%mor:	prep|avec det:gen|quel&m&sg n|légume pro:sub|on part|faire-PP&m
	prep|de det:art|la&f&sg n|purée&f ?
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s ?
%mor:	prep|avec prep|de&les n|+n|pommes+prep|de+n|terre&f
%mor:	det:gen|quel&m&sg n|légume v:aux|être&PRES&3s adj|rouge conj|et
	adj|blanc ?
%mor:	adv|comment pro:sub|il pro:refl|se$v|appeler-PRES&SUB&13s ?
%mor:	det:art|le&m&sg n|radis&m
%mor:	n|montre&f det:art|le&m&sg n|légume adj|violet&m
%mor:	adv|comment pro:sub|il pro:refl|se$v|appeler-PRES&SUB&13s ?
%mor:	co|non=no
%mor:	det:art|une&f&sg
%mor:	n|aubergine&f
%mor:	n|aubergine&f
%mor:	n|montre&f det:art|le&m&sg n|pied&m prep|de&les n|champignon&m-PL
%mor:	pro:sub|il v:aux|être&PRES&3s pro:int|où det:art|le&m&sg n|pied&m
	prep|de&les n|champignon&m-PL ?
%mor:	co|hum co|hum
%mor:	conj|et n|montre&f det:art|le&m&sg n|légume prep|que pro:sub|tu
	v|préférer-PRES&SUB&2s
%mor:	part|taire-PP&m v|préférer-PRES&SUB&2s det:art|le&m&sg n|radis&m ?
%mor:	part|taire-PP&m v|aimer-PRES&SUB&2s pro:dem|ça det:art|les&pl
	n|radis&m ?
%mor:	co|oui=yes ?
%mor:	prep|de&le n|maïs&m prep|avec prep|de&le n|radis&m adv:place|dedans
