%mor:	v|regarder-PRES&SUB&13s ?|tim pro:dem|ce adv|que
	v|descendre-INF ?
%mor:	v:mdl|faire-PRES&12s v|voir&INF
%mor:	co|oh co|oui=yes
%mor:	v|regarder-IMP&2s
%mor:	det:art|les&pl n|cheval&m&pl adv:place|là
%mor:	co|bah part|luire&PP&m pro:sub|il v:aux|avoir&PRES&3s
	part|perdre-PP&m det:poss|sa&f&sg n|tête&f
%mor:	co|ah co|bah co|oui=yes
%mor:	co|bah co|mince adv|alors
%mor:	v:mdllex|falloir&COND&3s prep|de det:art|la&f&sg n|colle&f
%mor:	v:mdl|falloir&COND&3s pro:rel|que$pro:sub|on
	re#v|trouver-PRES&SUB&13s prep|de det:art|la&f&sg n|colle&f prep|à
	n|bois&m
%mor:	co|mhm
%mor:	co|non=no adv|mais pro:sub|il v:mdl|falloir&PRES&3s prep|de
	det:art|la&f&sg n|colle&f co|euh
%mor:	prep|de det:art|la&f&sg n|colle&f adj|spécial&f&sg
%mor:	v:mdl|falloir&PRES&3s adv|bien pro:rel|que$pro:sub|on
	det:art|le&m&sg n|garde det:art|le&m&sg adj|petit&m n|morceau&m
%mor:	det:art|un&m&sg n|jour&m pro:sub|on v:mdl|faire-FUT&3s pro:dem|ça
%mor:	co|ah co|non=no ?
%mor:	part|taire-PP&m v|préférer-PRES&SUB&2s adv|comme pro:dem|ça ?
%mor:	pro:dem|ça v|frotter-PRES&SUB&13s adv:place|ici co|non=no ?
%mor:	prep|à det:poss|tes&pl n|souhait&m-PL
%mor:	pro:dem|ça pro:y|y v:aux|être&PRES&3s part|taire-PP&m
	v:aux|être&PRES&2s prep|en n|train&m prep|de$v|attraper-INF=catch
	det:art|le&m&sg n|rhume&m=cold adv|de ?|ame ?
%mor:	co|hein ?|tim ?
%mor:	v|attendre-IMP&2s ?|tim pro:sub|je v:aux|être&PRES&1s prep|en
	n|train&m prep|de v|coiffer-INF ?|ame
%mor:	pro|toi&sg pro:sub|je pro:obj|te n|coiffe&f adv|aussi ?
%mor:	co|ouh co|la co|la co|bah det:art|le&m&sg n|micro&m adv:place|là
%mor:	pro:dem|ça v:mdl|aller&PRES&3s v:mdl|faire-INF
%mor:	pro:y|y v:aux|avoir&PRES&3s det:art|les&pl n|oreille&f-PL adv|de
	?|emi pro:rel|qui v:mdl|aller&PRES&3p
%mor:	co|non=no ?|tim
%mor:	co|non=no
%mor:	co|ouh pro:dem|ce n|matin&m pro:sub|je n|sens&m adv|que
%mor:	?|peutêtre co|hein v|laisser-INF
%mor:	v|tenir-IMP&2s pro:int|où pro:sub|elle v:aux|être&PRES&3s
	det:poss|ta&f&sg n|pelle&f n|mécanique&f ?
%mor:	v|regarder-IMP&2s pro:sub|elle v:aux|être&PRES&3s adv:place|là
%mor:	?|qu'estce part|taire-PP&m v|ramasser-PRES&SUB&2s prep|dans
	det:art|le&m&sg n|camion&m ?
%mor:	det:art|la&f&sg n|terre&f ?
%mor:	pro:sub|il v:mdllex|falloir&IMP&2s det:art|un&m&sg n|camion&m
	prep|après prep|pour v|verser-INF det:art|la&f&sg n|terre&f
%mor:	pro:int|où adv|que pro:dem|ce$v:exist|être&PRES&3s
	pro:rel|que$pro:sub|on v:mdl|aller&PRES&3s v|trouver-INF
	det:art|un&m&sg n|camion&m ?
%mor:	co|bah adv:place|là pro:sub|on v:mdl|pouvoir&PRES&3s v|prendre-INF
	det:art|un&m&sg adj|petit&m n|camion&m co|euh
%mor:	adv:place|voilà
%mor:	co|ouh co|la co|la part|taire-PP&m v:mdl|faire-PRES&12s prep|de&les
	n|gros&m n|travail&m&pl pro|toi&sg co|hein
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s prep|de&le n|scotch&m
	adv:place|là
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|faire-PP&m prep|de&les
	n|gros&m n|trou&m-PL ?
%mor:	co|oui=yes
%mor:	co|ouais=yes pro:dem|ce v:aux|être&PRES&3p det:art|les&pl
	n|dent&f-PL
%mor:	pro:dem|ce v:aux|être&PRES&3p det:art|les&pl n|dent&f-PL
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s prep|pour v|gratter-INF
	co|hein
%mor:	adv:place|là pro:dem|ce$v:exist|être&PRES&3s prep|pour
%mor:	co|hop
%mor:	det:art|le&m&sg n|camion&m pro:sub|il v:mdl|aller&PRES&3s
	pro:refl|se v|garer-INF ?|àcôté
%mor:	co|hop
%mor:	conj|et pro:sub|on n|vide&m
%mor:	adv:place|voilà
%mor:	co|non=no ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas adv|comme pro:dem|ça ?
%mor:	co|bah part|taire-PP&m v:mdllex|pouvoir&IMP&2s det:art|le&m&sg
	v:mdl|faire-INF prep|avec det:art|les&pl num|deux
%mor:	co|ouh co|la co|la part|remplir-PP&m prep|de n|terre&f
%mor:	co|bon
%mor:	adv|d'accord
%mor:	prep|dans det:art|la&f&sg n|terre&f
%mor:	part|taire-PP&m v|jeter-PRES&SUB&2s ?
%mor:	?|qu'estce part|taire-PP&m v|jeter-PRES&SUB&2s ?
%mor:	part|taire-PP&m v|jeter-PRES&SUB&2s det:art|les&pl n|miette&f-PL ?
%mor:	conj|et ?|tim pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg pro:int|qui
	v:aux|être&PRES&3s part|venir-PP&m adv:place|là ?
%mor:	co|hein ?
%mor:	conj|et co|bah part|taire-PP&m v:aux|avoir&COND&12s adv|quand
	?|meme part|pouvoir&PP&m&sg v|rester-INF adj|seul&m n|deux&m
	adj|second&f-PL^adj|seconde&m-PL co|hein
%mor:	?|tim adv:place|là pro:sub|tu pro:obj|me v:mdl|faire-PRES&12s
	pro:int|quoi ?
%mor:	?|qu'estce prep|que part|taire-PP&m v:aux|être&PRES&2s prep|en
	n|train&m prep|de v:mdllex|faire-INF adv:place|là ?
%mor:	co|allez
%mor:	v|venir-IMP&2s
%mor:	v|venir-IMP&2s pro:sub|on v:mdl|aller&PRES&3s v|regarder-INF
	det:poss|ton&m&sg n|livre ?|làbas
%mor:	det:art|le&m&sg n|livre prep|de&les n|chanson&f-PL ?
%mor:	co|oui=yes
%mor:	pro:sub|il pro:obj|nous v|manquer-PRES&SUB&13s det:art|le&m&sg
	n|disque&m
%mor:	pro:dem|ça pro:sub|je v:mdl|savoir&PRES&12s prep|plus
	det:dem|ce&m&sg pro:rel|que$pro:sub|on v:aux|avoir&PRES&3s
	part|faire-PP&m co|hein
%mor:	pro:sub|il v:mdl|falloir&FUT&3s pro:rel|que$pro:sub|on pro:obj|le
	re#v|trouver-PRES&SUB&13s adv|quand adj|même&m=same co|hein
%mor:	adv|parce adv|que pro|moi&sg pro:sub|je v|connaître-PRES&IMP&12s
	adv|plus pro|tous&m&pl det:art|les&pl n|air&m-PL=air
%mor:	adv|alors
%mor:	?|cellelà part|taire-PP&m det:art|la&f&sg v|connaître-PRES&IMP&12s
	?
%mor:	n|comment&m pro:dem|ce$v:aux|être&PRES&3s adv|alors ?
%mor:	co|mhm ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg
	pro:dem|ce$v:exist|être&PRES&3s det:art|le$n|histoire&f prep|de
	pro:rel|quoi pro:dem|ça ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|quoi det:art|la&f&sg
	n|chanson&f ?
%mor:	v:mdl|savoir&PRES&2p pro:obj|vous v|planter-INF det:art|les&pl
	n|chou&m-PL ?
%mor:	co|hein ?
%mor:	adv|alors adv|comment part|taire-PP&m v|chanter-PRES&SUB&2s ?
%mor:	v:mdl|savoir&PRES&2p pro:obj|vous v|planter-INF det:art|les&pl
	n|chou&m-PL ?
%mor:	co|ah pro:dem|ça v|frotter-PRES&SUB&13s pro:dem|ça co|non=no ?
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas adv|comment pro:obj|le
	re#v:mdllex|faire-INF co|hein
%mor:	v:mdl|savoir&PRES&2p pro:obj|vous v|planter-INF det:art|les&pl
	n|chou&m-PL prep|à det:art|la&f&sg n|mode prep|à det:art|la&f&sg
	n|mode ?
%mor:	v:mdl|savoir&PRES&2p pro:obj|vous v|planter-INF det:art|les&pl
	n|chou&m-PL prep|à det:art|la&f&sg n|mode prep|à det:art|la&f&sg
	n|mode prep|de prep|chez pro:sub|nous ?
%mor:	pro:sub|on pro:obj|les v|planter-PRES&SUB&13s prep|avec
	pro:rel|quoi ?|tim ?
%mor:	pro:sub|on pro:obj|les v|planter-PRES&SUB&13s prep|avec
	det:art|le&m&sg n|doigt&m prep|à det:art|la&f&sg n|mode prep|à
	det:art|la&f&sg n|mode ?
%mor:	pro:sub|on pro:obj|les v|planter-PRES&SUB&13s prep|avec
	det:art|le&m&sg n|doigt&m prep|à det:art|la&f&sg n|mode prep|de
	prep|chez
%mor:	pro:obj|nous
%mor:	pro:sub|on pro:obj|les v|planter-PRES&SUB&13s prep|avec
	det:art|le&m&sg
%mor:	prep|avec det:art|le&m&sg
%mor:	prep|avec det:art|le&m&sg n|coude&m
%mor:	pro:sub|on pro:obj|les v|planter-PRES&SUB&13s prep|avec
	det:art|le&m&sg n|coude&m
%mor:	co|ah co|non=no pro:dem|ce$v:exist|être&PRES&3s n|comment&m
	adv|déjà ?
%mor:	prep|à det:art|la&f&sg n|mode prep|à det:art|la&f&sg n|mode ?
%mor:	pro:sub|on pro:obj|les v|planter-PRES&SUB&13s prep|avec
	det:art|le&m&sg n|coude&m prep|à det:art|la&f&sg n|mode prep|de
	prep|chez pro:sub|nous
%mor:	?|qu'estce pro:rel|que$pro:sub|ils v:mdl|faire-PRES&3p
	det:art|les&pl n|lapin&m-PL ?
%mor:	pro:sub|ils v|planter-PRES&3p det:art|les&pl n|chou&m-PL
%mor:	pro:dem|ce v:aux|être&PRES&3p prep|de&les adj|petit&m-PL
	n|chou&m-PL
%mor:	prep|dans det:art|un&m&sg n|panier&m
%mor:	co|bah pro:sub|il v:aux|avoir&PRES&3s part|faire-PP&m
	det:art|un&m&sg n|trou&m
%mor:	part|taire-PP&m v|voir&IMP&PRES&12s ?
%mor:	adv|puis pro:sub|il v|planter-PRES&SUB&13s det:art|le&m&sg n|chou&m
%mor:	co|mhm
%mor:	co|ah pro:dem|ça pro:sub|je v:mdl|savoir&PRES&12s neg|pas
%mor:	det:art|un&m&sg n|voisin&m ?|peutêtre
%mor:	det:art|un&m&sg n|voisin&m n|lapin&m
%mor:	co|mhm
%mor:	conj|et ?|celuilà co|ouh pro:sub|il v:aux|être&PRES&3s
	adj|content&m pro:sub|il pro:obj|les v|planter-PRES&SUB&13s
	prep|avec pro:rel|quoi pro:ind|lui ?
%mor:	pro:sub|il v:mdl|aller&PRES&3s v|taper-INF prep|avec
	det:art|le&m&sg
%mor:	prep|avec det:art|le&m&sg n|pied&m prep|avec det:art|la&f&sg
	n|patte&f
%mor:	adv:place|là ?|qu'estce pro:rel|que$pro:sub|on v|voir&PRES&3s
	adv:place|là ?
%mor:	det:art|un&m&sg n|arrosoir&m co|oui=yes
%mor:	conj|et adv|puis ?|qu'estce prep|que pro:sub|tu v|voir&IMP&PRES&12s
	prep|de$pro|autre&sg prep|dans pro:dem|ce n|dessin&m
%mor:	prep|de&les n|pâquerette&f-PL co|oui=yes pro:y|y
	v:aux|avoir&PRES&3s prep|de&les n|pâquerette&f-PL
%mor:	co|oui=yes
%mor:	?|peutêtre prep|que pro:dem|ce$v:aux|être&PRES&3s prep|de&les
	n|marguerite&f-PL
%mor:	adv|effectivement pro:dem|ce$v:aux|être&PRES&3s ?|ceque
	pro:sub|je$v:exist|être&IMPF&12s prep|en n|train&m prep|de
	v|penser-INF
%mor:	pro:sub|je pro:obj|me v|dire-IMPF&12s pro:sub|elles
	v:aux|être&PRES&3p ?|peutêtre det:art|un&m&sg n|peu&m adj|gros&f-PL
	prep|pour prep|de&les n|pâquerette&f-PL adv|mais
%mor:	part|taire-PP&m pro:obj|le$v:poss|avoir&PRES&2s part|dire-PP&m
	n|tout&m adv|seul
%mor:	det:art|un&m&sg n|poisson&m prep|à&le v|fondre-PRES&3s
	prep|de$v|unir n|étang&m
%mor:	co|ah adv|mais pro:sub|je pro:obj|me v|souvenir-PRES&12s qn|plus
	prep|de det:art|la&f&sg prep|de det:art|le$n|air&m=air
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s n|bien&m det:art|les&pl
	n|note&f-PL prep|de n|musique&f adv|mais part|taire-PP&m
	v|voir&IMP&PRES&12s pro:sub|je v:aux|être&PRES&1s neg|pas adv|bien
%mor:	co|hein ?
%mor:	adv|alors pro:sub|je v:mdl|savoir&PRES&12s prep|plus
	det:art|le$n|air&m=air
%mor:	det:art|un&m&sg n|poisson&m prep|à&le v|fondre-PRES&3s
	prep|de$v|unir n|étang&m pro:int|qui v:mdl|faire-IMPF&3s prep|de&les
	n|bulle&f-PL pro:int|qui v:mdl|faire-IMPF&3s prep|de&les
	n|bulle&f-PL
%mor:	det:art|un&m&sg n|poisson&m prep|à&le v|fondre-PRES&3s
	prep|de$v|unir n|étang&m pro:int|qui v:mdl|faire-IMPF&3s prep|de&les
	n|bulle&f-PL prep|pour v|passer-INF det:art|le&m&sg n|temps&m
%mor:	?|tchip ?|tchip ?|tchip ?|bidi ?|bidi sing|bi
%mor:	?|tchip ?|tchip ?|tchip ?|bidi ?|bidi sing|bi
%mor:	det:art|un&m&sg n|oiseau&m v|venir-PASS&3s adv:place|près prep|de
	det:art|le$n|étang&m v|regarder-INF det:art|les&pl n|bulle&f-PL
	v|regarder-INF det:art|les&pl n|bulle&f-PL
%mor:	det:art|un&m&sg n|oiseau&m v|venir-PASS&3s adv:place|près prep|de
	det:art|le$n|étang&m
%mor:	pro:int|où ?|estce pro:rel|que$pro:sub|il v:aux|être&PRES&3s
	det:art|le$n|étang&m ?
%mor:	?|qu'estce pro:int|que pro:dem|ce$v:exist|être&PRES&3s prep|que
	det:art|le$n|étang&m ?
%mor:	det:art|un&m&sg n|étang&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le$n|eau&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg adj|petit&m n|lac&m
%mor:	v|regarder-INF det:art|les&pl n|bulle&f-PL pro:int|que
	pro:dem|ce$v:exist|être&PRES&3s adj|amusant&m=amusing
%mor:	part|taire-PP&m v|voir&IMP&PRES&12s det:art|les&pl n|bulle&f-PL ?
%mor:	det:art|les&pl n|poisson&m-PL ?
%mor:	co|hein ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le$n|oiseau&m pro:int|qui
	v|venir-PRES&3s v|regarder-INF
%mor:	conj|et pro:int|qui ?|estce pro:int|qui v|venir-PRES&3s
	v|regarder-INF adv|aussi ?
%mor:	pro:int|qui ?|estce pro:int|qui v|venir-PRES&3s v|regarder-INF ?
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s
	det:gen|quelque$det:art|un&m&sg adv|encore adv:place|là
%mor:	conj|et pro:dem|ce$v:exist|être&PRES&3s pro:rel|quoi pro:dem|ça ?
%mor:	det:art|un&m&sg n|écureuil&m pro:int|qui v|regarder-PRES&SUB&13s
%mor:	conj|et adv:place|là ?|qu'estce prep|que
	pro:dem|ce$v:exist|être&PRES&3s det:dem|cette&f&sg v|planter-IMP&2s
	adv:place|là pro:int|qui v:aux|être&PRES&3s prep|sur
	det:art|le$n|eau&f prep|avec prep|de&les n|fleur&f-PL ?
%mor:	co|non=no det:art|un&m&sg n|nénuphar&m
%mor:	adv|alors pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s
%mor:	det:art|la&f&sg n|chanson&f prep|de
%mor:	pro:int|qui pro:dem|ce$v:exist|être&PRES&3s part|luire&PP&m
	adv:place|là ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg n|chanson&f prep|de
	det:art|le$n|escargot&m
%mor:	co|oh det:art|le$n|escargot&m det:gen|quelle&f&sg adj|drôle prep|de
	adj|petit&f n|bête&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s n|rigolo&m pro:dem|ce
	pro:rel|que$pro:sub|il v:aux|avoir&PRES&3s prep|sur det:art|la&f&sg
	n|tête&f
%mor:	det:art|un&m&sg n|chat&m co|miaou
%mor:	v|marcher-INF n|miaou&m
%mor:	pro:sub|je v|croire&PRES&12s adv|que pro:dem|ce$v:aux|être&PRES&3s
	pro:dem|ça co|hein adv|mais
%mor:	det:art|le&m&sg adj|long&m prep|de det:art|la&f&sg n|gouttière&f
%mor:	det:art|le&m&sg n|vent&m=wind v|souffler-INF prep|sur
	det:poss|sa&f&sg adj|petit&f
%mor:	pro:sub|je$v:aux|avoir&PRES&1s part|voir&PP&m
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|voir&PP&m
%mor:	pro:sub|je$v:aux|avoir&PRES&1s part|voir&PP&m
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|voir&PP&m
%mor:	det:art|le&m&sg adj|petit&m n|trou&m prep|de det:poss|son&m&sg
	n|derrière&m
%mor:	pro:sub|je$v:aux|avoir&PRES&1s part|voir&PP&m
%mor:	pro:sub|je$v:aux|avoir&PRES&1s part|voir&PP&m
%mor:	co|non=no
%mor:	pro:sub|je$v:aux|avoir&PRES&1s part|voir&PP&m
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|voir&PP&m
%mor:	pro:sub|je$v:aux|avoir&PRES&1s part|voir&PP&m
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|voir&PP&m
%mor:	det:art|le&m&sg adj|petit&m n|trou&m prep|de n|son&m=sound co|oh
%mor:	co|oh
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s n|dame&f=lady n|tartine&f
	pro:dem|ça
%mor:	n|dame&f=lady n|tartine&f n|oui&m
%mor:	v|regarder-IMP&2s
%mor:	?|qu'estce pro:rel|que$pro:sub|elle v|ouvrir-PRES&SUB&13s ?
%mor:	pro:sub|elle v|ouvrir-PRES&SUB&13s det:art|les&pl
%mor:	det:art|les&pl
%mor:	prep|de det:art|la&f&sg n|fenêtre&f
%mor:	det:art|les&pl
%mor:	n|volet&m-PL prep|de det:art|la&f&sg n|fenêtre&f
%mor:	v|regarder-PRES&SUB&13s det:art|les&pl n|volet&m-PL pro:sub|on
	v|dire-COND&3s prep|de&les pro:sub|on v|dire-COND&3s det:art|un&m&sg
	n|gâteau&m
%mor:	pro:dem|ce v:aux|être&PRES&3p prep|de&les n|gâteau&m-PL
	det:art|les&pl n|volet&m-PL
%mor:	conj|et adv:place|là ?|qu'estce prep|que
	pro:dem|ce$v:aux|être&PRES&3s pro:int|qui v:aux|être&PRES&3s
	part|planter-PP&m adv:place|là ?
%mor:	co|mhm
%mor:	part|taire-PP&m pro:obj|te v|souvenir-PRES&12s neg|pas ?
%mor:	pro:dem|ce pro:rel|que$pro:sub|on v|mettre-PRES&3s prep|dans
	det:poss|sa&f&sg n|bouche&f co|euh
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|bonbon&m prep|sur
	det:art|un&m&sg n|bâton&m
%mor:	?|qu'estce prep|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:rel|que$pro:sub|on n|lèche&f
%mor:	prep|de&les n|sucette&f-PL
%mor:	conj|et co|oui=yes
%mor:	adv|encore det:art|une&f&sg n|sucette&f prep|avec det:art|un&m&sg
	n|dessin&m prep|de n|tortillon&m
%mor:	det:art|un&m&sg n|escargot&m adv:place|dessus
%mor:	pro:sub|on v|dire-COND&3s det:art|une&f&sg n|fusée&f ?
%mor:	prep|pour v:mdl|aller&INF prep|sur det:art|la&f&sg n|lune&f
%mor:	co|mhm
%mor:	pro:sub|je v|connaître-PRES&IMP&12s neg|pas det:art|le$n|air&m=air
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:sub|il v:aux|être&IMPF&3s
	det:art|un&m&sg adj|beau&m&sg=pretty n|palais&m prep|de n|beurre&m
	adj|frais&m
%mor:	co|mhm
%mor:	pro:int|qui ?|estce pro:int|qui v|aimer-PRES&SUB&13s
	det:art|le&m&sg n|beurre&m ?
%mor:	det:art|la&f&sg n|muraille&f v:exist|être&IMPF&3s prep|de
	n|praline&f-PL det:art|le&m&sg n|parquet&m v:aux|être&IMPF&3s
	prep|de n|croquet&m-PL det:art|la&f&sg n|chambre&f prep|à
	v|coucher-INF prep|de n|crème&f prep|de n|lait&m=milk
	det:art|le&m&sg n|lit&m prep|de n|biscuit&m-PL
%mor:	det:art|un&m&sg n|lit&m prep|en n|biscuit&m-PL
%mor:	det:art|les&pl n|rideau&m-PL prep|de$n|anis&m
%mor:	co|oh
%mor:	co|oh co|la co|la co|la co|la
%mor:	v|regarder-PRES&SUB&13s det:art|une&f&sg n|fraise&f chi|tagada
%mor:	adv|alors adv:place|là pro:dem|ce$v:exist|être&PRES&3s
	det:art|la&f&sg n|chanson&f prep|de pro:rel|quoi
%mor:	?|estce prep|que part|taire-PP&m v|connaître-PRES&IMP&12s ?
%mor:	co|oui=yes pro:dem|ce$v:exist|être&PRES&3s pro:dem|ça
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:dem|ça
%mor:	n|trotte&f adj|petit&m n|cheval&m&sg
%mor:	n|trotte&f adj|petit&m n|cheval&m&sg adj|rouge prep|pour
	v:mdl|aller&INF prep|jusque$prep|à ?|toulouse
%mor:	n|trotte&f adj|petit&m n|cheval&m&sg adj|gris&m prep|pour
	v:mdl|aller&INF prep|jusque$prep|à n|pari&m-PL
%mor:	n|trotte&f adj|petit&m n|cheval&m&sg adj|jaune prep|pour
	v:mdl|aller&INF prep|à
%mor:	?|carcassonne
%mor:	adj|jaune prep|pour v:mdl|aller&INF prep|à ?|carcassonne
%mor:	n|trotte&f adj|petit&m n|cheval&m&sg adj|blanc prep|pour
	v:mdl|aller&INF prep|à
%mor:	?|montauban
%mor:	adv|alors det:art|le&m&sg adj|petit&m n|cheval&m&sg adj|rouge
	pro:sub|il v:mdl|aller&PRES&3s pro:int|où
%mor:	prep|pour v:mdl|aller&INF prep|jusque$prep|à ?|toulouse
%mor:	co|mhm
%mor:	n|trotte&f adj|petit&m n|cheval&m&sg adj|gris&m prep|pour
	v:mdl|aller&INF prep|jusque$prep|à
%mor:	co|oui=yes
%mor:	prep|jusque$prep|à n|pari&m-PL
%mor:	adv|doucement conj|quand pro:sub|on v|tourner-PRES&SUB&13s
	det:art|les&pl n|page-PL co|hein
%mor:	n|bateau&m prep|sur det:art|le$n|eau&f det:art|la&f&sg n|rivière&f
	det:art|la&f&sg n|rivière&f
%mor:	adv:place|là pro:sub|il v:aux|être&PRES&3s part|renverser-PP&m
	adv:place|là part|taire-PP&m v|voir&IMP&PRES&12s
%mor:	part|taire-PP&m v|voir&IMP&PRES&12s v|regarder-IMP&2s
	pro:dem|ce$v:aux|être&PRES&3s part|renverser-PP&m det:art|la&f&sg
	n|barque&f
%mor:	n|bateau&m prep|sur det:art|le$n|eau&f det:art|la&f&sg n|rivière&f
	prep|à&le n|bord&m prep|de det:art|le$n|eau&f
%mor:	pro:int|où det:art|le&m&sg n|bateau&m v:aux|avoir&PRES&3s
	part|chavirer-PP&m
%mor:	pro|tous&m&pl det:art|les&pl n|enfant-PL v:aux|être&PRES&3p
	part|tomber-PP&m&pl
%mor:	co|oui=yes
%mor:	n|super&m
%mor:	v|passer-IMP&2s v|passer-IMP&2s v|passer-FUT&3s
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas pro:dem|ça co|non=no
	qn|plus
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le$n|histoire&f
	v|passer-IMP&2s v|passer-IMP&2s v|passer-FUT&3s
%mor:	pro:sub|je pro:obj|me v|souvenir-PRES&12s qn|plus prep|de
	det:art|le$n|air&m=air adv:place|là
%mor:	pro:sub|je v:aux|être&PRES&1s adv|vraiment n|mauvaise&f co|hein
%mor:	v:mdl|falloir&COND&3s adv|que pro:sub|je
	pro:obj|me$v|entraîner-PRES&SUB&13s det:art|un&m&sg n|peu&m
	adv:place|là
%mor:	det:art|la&f&sg n|dernier&f det:art|la&f&sg n|dernier&f
	v|passer-IMP&2s v|passer-IMP&2s v|passer-FUT&3s det:art|la&f&sg
	n|dernier&f v|rester-FUT&3s
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|elle
	v:aux|avoir&PRES&3s adv|donc part|faire-PP&m det:art|la&f&sg
	adj|petit&f n|hirondelle&f ?
%mor:	pro:sub|elle pro:obj|nous v:aux|avoir&PRES&3s part|voler-PP&m
	n|trois&m adj|petit&m-PL n|grain&m-PL=grain prep|de n|blé&m
%mor:	pro:obj|nous pro:obj|le$v|attraper-FUT&1p=catch det:art|la&f&sg
	adj|petit&f n|hirondelle&f
%mor:	pro:obj|nous part|luire&PP&m v|donner-FUT&1p n|trois&m
