%mor:	co|mh
%mor:	prep|à&le n|galop&m prep|à&le n|galop&m
%mor:	co|oh adv:place|là
%mor:	pro:sub|il v:aux|avoir&PRES&3s part|perdre-PP&m det:poss|sa&f&sg
	prep|de det:art|le$pro|autre&sg ?
%mor:	pro:int|quoi ?
%mor:	v:mdl|falloir&PRES&3s pro:obj|la v|changer-INF ?
%mor:	co|ah co|bah pro:sub|elle v:exist|être&PRES&3s neg|pas adv:place|là
	det:art|la&f&sg n|roue&f
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas
%mor:	co|bah pro:sub|je v:mdl|savoir&PRES&12s neg|pas
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas pro:int|où
	pro:dem|ce$v:exist|être&PRES&3s
%mor:	co|bon
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|pour pro|moi&sg ?|celuilà ?
%mor:	co|merci
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s det:art|un&m&sg adj|joli&m
	n|vélo&m
%mor:	co|béh co|oui=yes n|mai&m-PL pro:sub|il n|manque&m co|euh
	pro:sub|il v|manquer-PRES&SUB&13s det:art|une&f&sg n|pédale&f
	det:art|une&f&sg n|selle&f conj|et det:art|une&f&sg n|roue&f
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas pro:int|où
	pro:dem|ce$v:exist|être&PRES&3s
%mor:	co|ouais=yes
%mor:	pro:y|y pro:y|en v:aux|avoir&PRES&3s pro:rel|que$det:art|une&f&sg
%mor:	pro|toi&sg adv|aussi pro:obj|te$pro:y|en v:aux|avoir&PRES&3s
	pro:rel|que$det:art|une&f&sg
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s det:art|le$pro|autre&sg ?
%mor:	pro:sub|je pro:obj|te pro:obj|la v|donner-PRES&SUB&13s ?
%mor:	co|non=no
%mor:	pro:sub|je det:art|la&f&sg n|garde
%mor:	co|mh
%mor:	co|ah n|si&m pro:sub|je pro:obj|te pro:obj|la v|donner-PRES&SUB&13s
%mor:	co|boum
%mor:	v:mdl|falloir&PRES&3s pro:rel|que n|papa&m pro:sub|il
	det:art|le&m&sg n|colle&f det:art|le&m&sg n|vélo&m
%mor:	pro:sub|on pro:obj|le v|mettre-PRES&3s
%mor:	pro:sub|on co|la v|mettre-PRES&3s
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas adj|sûr&m adv|que pro:dem|ça
	v|tenir-PRES&SUB&1s adv|bien det:poss|ton&m&sg n|truc&m
%mor:	v|tenir-IMP&2s adj|petit&f ?|ninette
%mor:	adv:place|là
%mor:	v|regarder-IMP&2s
%mor:	pro:sub|on v:aux|avoir&PRES&3s part|perdre-PP&m det:art|la&f&sg
	n|roue&f n|avant&m
%mor:	co|mh
%mor:	pro:dem|ça v|tenir-PRES&3s neg|pas part|taire-PP&m
	v|voir&IMP&PRES&12s
%mor:	co|bah
%mor:	pro:sub|tu pro:obj|me$v|étonner-PRES&SUB&2s adv|que pro:dem|ça
	v|tenir-PRES&SUB&1s neg|pas prep|vu adv|comme part|taire-PP&m
	det:art|les&pl v|jeter-PRES&SUB&2s
%mor:	co|mhm
%mor:	co|ouais=yes
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas adv|trop adj|petit&m
	prep|pour pro|moi&sg ?
%mor:	adv|d'accord
%mor:	adv|d'accord
%mor:	co|merci
%mor:	det:art|les&pl pro|autres&pl pro:dem|ce$v:aux|être&PRES&3s
	prep|pour pro|toi&sg ?
%mor:	det:art|le&m&sg adj|petit&m n|doigt&m
%mor:	co|merci
%mor:	co|ah
%mor:	v|regarder-IMP&2s
%mor:	?|celuilà pro:sub|il v:aux|être&PRES&3s n|passé&m
%mor:	co|mh
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:gen|quelle&f&sg n|couleur&f
	pro:dem|ça ?
%mor:	co|mhm
%mor:	pro:dem|ça adv|aussi
%mor:	co|ouais=yes
%mor:	?|celuilà pro:sub|il v:aux|être&PRES&3s prep|plus n|orange co|hein
%mor:	v|regarder-IMP&2s
%mor:	n|orange
%mor:	co|oui=yes
%mor:	conj|et pro:dem|ça ?
%mor:	co|oui=yes
%mor:	conj|et pro:dem|ça ?
%mor:	n|orange
%mor:	conj|et prep|dans det:poss|ta&f&sg n|main&f
	pro:rel|que$v:aux|être&PRES&3s det:dem|ce&m&sg adv|que
	part|taire-PP&m v:aux|avoir&PRES&2s prep|comme n|couleur&f ?
%mor:	co|mhm
%mor:	adj|bleu&m ?
%mor:	pro:sub|il v:aux|être&PRES&3s adj|jaune
%mor:	?|qu'estce prep|que part|taire-PP&m v|raconter-PRES&SUB&2s ?
%mor:	adv|encore prep|dans det:art|le&m&sg n|bain&m ?
%mor:	part|taire-PP&m det:art|les&pl v:aux|avoir&PRES&3s part|mettre-PP&m
	prep|dans det:art|le&m&sg n|bain&m
%mor:	co|ah adv|mais co|non=no pro:sub|on v:aux|avoir&PRES&3s neg|pas
	part|mettre-PP&m
%mor:	co|ah pro:y|y v:aux|avoir&IMPF&3s det:art|la&f&sg n|culotte&f
	prep|dans det:art|le&m&sg n|bain&m
%mor:	co|ah conj|et part|taire-PP&m pro:obj|le$v:poss|avoir&PRES&2s
	part|enlever-PP&m ?
%mor:	adv|d'accord
%mor:	?|qu'estce adv|que part|taire-PP&m ?
%mor:	prep|à
%mor:	neg|pas adj|mi&m-PL=half pro:dem|ça
%mor:	co|non=no
%mor:	pro:dem|ça v|tenir-PRES&3s neg|pas
%mor:	part|taire-PP&m v|essayer-PRES&SUB&2s pro|toi&sg
%mor:	part|taire-PP&m v:aux|être&PRES&2s n|arrivée&f ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|à ?|chl ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s ?|dipsi
%mor:	?|dipsi
%mor:	co|mh
%mor:	co|ah adv|d'accord
%mor:	co|mh
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s re#part|mettre-PP&m prep|de
	det:art|le$n|eau&f adv:place|dedans ?
%mor:	co|attention
%mor:	co|attention
%mor:	co|badaboum
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s adv|tout part|renverser-PP&m
%mor:	adv|maintenant pro:sub|il v:mdl|falloir&PRES&3s v|essuyer-INF=dry
%mor:	v|tenir-IMP&2s
%mor:	co|ouais=yes
%mor:	v|tenir-IMP&2s
%mor:	v|essuyer-IMP&2s=dry
%mor:	pro:sub|tu v:mdl|pouvoir&PRES&12s v|moucher-INF det:poss|ton&m&sg
	n|nez&m adv|aussi
%mor:	co|non=no
%mor:	neg|pas adv|comme pro:dem|ça
%mor:	prep|dans det:art|le&m&sg n|mouchoir&m part|taire-PP&m n|peu&m-PL
	pro:obj|te v|moucher-INF
%mor:	adv:place|là
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s adv|bien part|essuyer-PP&m=dry
	det:poss|ta&f&sg n|tasse&f ?
%mor:	pro:dem|ça v:mdl|aller&PRES&3s
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v:mdl|faire-INF
	det:art|le&m&sg n|jeu&m prep|avec pro|moi&sg adv:place|là ?
%mor:	?|ninette
%mor:	pro:dem|ce n|jeu&m adv:place|là
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v:mdllex|faire-INF ?
%mor:	co|ouais=yes ?
%mor:	v|venir-IMP&2s
%mor:	pro:sub|on v:mdl|aller&PRES&3s v:mdl|faire-INF det:art|le&m&sg
	n|jeu&m
%mor:	n|parterre&m=flowerbed
%mor:	v:mdl|faire-PRES&12s v|voir&INF
%mor:	pro:sub|je v:mdl|aller&PRES&1s
%mor:	co|bon
%mor:	co|si pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg
%mor:	prep|de&les n|chat&m-PL ?
%mor:	co|oui=yes co|bah adv|alors adv:place|là pro:sub|on
	v|comprendre-PRES&3s n|rien&m prep|de&le adv|tout
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|finir-PP&m prep|de
	pro:obj|te v|moucher-INF ?
%mor:	co|bah pro:obj|te$pro:y|en v:aux|être&PRES&2s pro:int|où
	adv:place|là ?
%mor:	co|ohlàlà
%mor:	pro:dem|ça v:mdl|aller&PRES&3s dé#v|border-INF prep|de adv|partout
	adv|comme part|taire-PP&m v:aux|avoir&PRES&2s part|mettre-PP&m
	det:poss|ton&m&sg n|mouchoir&m
%mor:	n|laisse&f pro|moi&sg pro:obj|te$v|aider-INF
%mor:	pro:sub|je v:mdl|pouvoir&PRES&12s v|essuyer-INF=dry ?
%mor:	co|non=no
%mor:	co|bon
%mor:	part|taire-PP&m v:mdl|aller&FUT&2s v|mettre-INF det:art|le&m&sg
	n|mouchoir&m prep|à det:art|la&f&sg n|poubelle&f
%mor:	v:mdl|faire-PRES&12s v|voir&INF
%mor:	part|taire-PP&m pro:obj|me v|regarder-PRES&SUB&2s ?
%mor:	co|oh
%mor:	?|nine
%mor:	co|oh co|oui=yes
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s n|soufflé&m adj|fort&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|moins&m
	pro:rel|que$pro:sub|on v:mdllex|pouvoir&PRES&SUB&13s n|dire&m
%mor:	v|attendre-IMP&2s
%mor:	v|attendre-IMP&2s v|attendre-IMP&2s
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	n|top&m
%mor:	prep|à det:art|la&f&sg n|poubelle&f
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s pro:y|y v|arriver-INF ?
%mor:	co|oui=yes
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg
%mor:	v:mdl|aller&PRES&3s adv|vite
%mor:	pro:dem|ce$v:aux|être&PRES&3s adj|bon&m ?|ana
%mor:	part|taire-PP&m v:aux|être&PRES&2s part|moucher-PP&f adv:place|là
%mor:	num|deux ?
%mor:	num|deux n|fois&f ?
%mor:	co|oui=yes
%mor:	co|bah pro:sub|je v:mdl|savoir&PRES&12s
%mor:	co|oups
%mor:	?|ceuxlà pro:sub|ils v:mdl|aller&PRES&3p neg|pas adv:place|là
	?|ceuxlà
%mor:	part|taire-PP&m pro:obj|me v|donner-FUT&2s det:art|le$n|élastique&m
%mor:	co|oui=yes
%mor:	v|donner-IMP&2s
%mor:	co|merci det:poss|ma&sg
%mor:	adv|alors v:mdl|faire-PRES&12s v|voir&INF
%mor:	co|oups
%mor:	co|non=no
%mor:	det:art|les&pl pro|autres&pl pro:dem|ce$v:aux|être&PRES&3s
	det:art|un&m&sg pro|autre&sg n|jeu&m
%mor:	v|regarder-IMP&2s
%mor:	v:mdl|faire-PRES&12s v|voir&INF
%mor:	adv|alors
%mor:	pro:sub|on v:mdl|aller&PRES&3s pro:obj|les v|mettre-INF adv|comme
	pro:dem|ça
%mor:	v:mdl|falloir&PRES&3s pro:rel|que part|taire-PP&m det:art|les&pl
	v|voir&IMP&PRES&12s pro|toi&sg
%mor:	co|hop
%mor:	adv|alors
%mor:	?|celuilà
%mor:	?|qu'estce prep|que part|taire-PP&m v:aux|avoir&PRES&2s
	part|trouver-PP&m adv:place|là ?
%mor:	v:mdl|faire-PRES&12s v|voir&INF
%mor:	v:mdl|falloir&PRES&3s v|mélanger-INF adv|d'abord
%mor:	conj|et adv|alors ?|celuilà
%mor:	v|regarder-IMP&2s
%mor:	co|non=no
%mor:	v|regarder-PRES&SUB&13s det:art|les&pl n|couleur&f-PL
%mor:	n|violet&m
%mor:	adj|vert&m
%mor:	n|noir&m
%mor:	co|oui=yes
%mor:	conj|et ?|cellelà prep|de n|couleur&f ?
%mor:	det:art|le&m&sg adj|vert&m
%mor:	n|violet&m
%mor:	n|violet&m
%mor:	adj|vert&m
%mor:	co|oui=yes part|taire-PP&m v:aux|avoir&PRES&2s n|raison&f
%mor:	conj|et adv|puis ?
%mor:	n|orange
%mor:	v|regarder-IMP&2s
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:gen|quel&m&sg n|papillon&m ?
%mor:	part|taire-PP&m v|trouver-PRES&SUB&2s pro:dem|ce$v:aux|être&PRES&3s
	det:art|les&pl adj|même&m-PL=same n|couleur&f-PL ?
%mor:	co|non=no
%mor:	v|regarder-IMP&2s
%mor:	pro:dem|ce$v:aux|être&PRES&3s adj|jaune adv:place|là
	pro:dem|ce$v:exist|être&PRES&3s n|orange
%mor:	pro:int|où pro:dem|ce$v:exist|être&PRES&3s pro:rel|que$pro:sub|il
	pro:y|y v:aux|avoir&PRES&3s prep|de&le n|orange ?
%mor:	adv:place|là
%mor:	v|regarder-IMP&2s ?|ana
%mor:	adv|alors
%mor:	?|celuilà
%mor:	co|hop
%mor:	pro:sub|il v:mdl|aller&PRES&3s pro:int|où ?|celuilà ?
%mor:	pro:rel|que$pro:sub|elle n|couleur&f
	pro:dem|ce$v:exist|être&PRES&3s ?
%mor:	co|non=no
%mor:	v|regarder-IMP&2s
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:gen|quelle&f&sg n|couleur&f ?
%mor:	n|rose
%mor:	co|mhm
%mor:	adj|bleu&m
%mor:	adj|bleu&m
%mor:	adj|bleu&m
%mor:	n|noir&m
%mor:	conj|et adv|puis ?
%mor:	n|marron&m
%mor:	adv|alors pro:sub|il v:mdl|aller&PRES&3s pro:int|où
%mor:	det:gen|quel&m&sg n|papillon&m ?
%mor:	v:aux|être&PRES&3s pro:dem|ce prep|que
	pro:dem|ce$v:aux|être&PRES&3s ?|celuilà ?
%mor:	co|non=no
%mor:	neg|pas adv:place|là
%mor:	?|làhaut
%mor:	conj|et co|oui=yes n|mai&m-PL pro:sub|ils v:exist|être&PRES&3p
	neg|pas part|positionner-PP&m&pl=situate prep|comme pro:sub|il
	v:mdl|falloir&PRES&3s
%mor:	adv:place|là
%mor:	adv:place|voilà
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s n|raison&f
%mor:	adv|ensuite
%mor:	?|celuilà adv:place|là
%mor:	v|regarder-IMP&2s
%mor:	co|mhm
%mor:	prep|avec prep|de&le adj|jaune n|oui&m
%mor:	co|oui=yes
%mor:	co|bravo
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|quoi adv|que part|taire-PP&m
	v:aux|avoir&PRES&2s part|trouver-PP&m ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s n|marron&m
%mor:	co|non=no
%mor:	pro:dem|ce$v:aux|être&PRES&3s n|orange
%mor:	conj|et pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s n|rose ?
%mor:	conj|et adj|jaune
%mor:	co|oui=yes
%mor:	adv|alors pro:sub|il v:mdl|aller&PRES&3s ?|celuilà
%mor:	adv:place|là
%mor:	v|regarder-IMP&2s
%mor:	adj|jaune n|orange conj|et adj|rose
%mor:	adv:place|voilà
%mor:	adv|comme pro:dem|ça
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|avec pro:dem|ce n|chat&m
	adv:place|là
%mor:	adv|comme pro:dem|ça
%mor:	co|oui=yes
%mor:	adv|ensuite
%mor:	pro:int|que$v:aux|être&PRES&3s pro:dem|ce adv|que part|taire-PP&m
	v:aux|avoir&PRES&2s ?
%mor:	adv|encore det:art|un&m&sg n|ballon&m ?
%mor:	co|mh
%mor:	adv|alors
%mor:	det:gen|quelle&f&sg n|couleur&f ?
%mor:	pro:int|lequel&m&sg part|taire-PP&m part|choisir-PP&m&pl ?
%mor:	adj|violet&m n|rose
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi pro:dem|ça ?
%mor:	adj|vert&m
%mor:	co|mhm
%mor:	pro:dem|ça v|sentir-PRES&3s det:art|le&m&sg n|papier&m
%mor:	adv:place|là
%mor:	v|regarder-IMP&2s
%mor:	n|violet&m adj|vert&m conj|et adj|rose
%mor:	co|mhm
%mor:	co|mhm
%mor:	co|ah pro:y|y v:aux|avoir&PRES&3s n|orange
%mor:	co|oh det:art|les&pl n|poisson&m-PL
%mor:	v|tenir-IMP&2s
%mor:	v|mettre-IMP&2s det:art|les&pl n|poisson&m-PL
%mor:	adv:place|voilà
%mor:	co|bravo
%mor:	co|mhm
%mor:	pro:sub|ils v:aux|être&PRES&3p pro:int|où det:art|les&pl
	pro|autres&pl n|poisson&m-PL ?
%mor:	adv:place|là
%mor:	v|regarder-IMP&2s
%mor:	co|mhm
%mor:	det:art|le&m&sg adj|bleu&m
%mor:	co|non=no
%mor:	adv:place|là
%mor:	v|regarder-IMP&2s
%mor:	adv:place|là
%mor:	co|ah
%mor:	co|oui=yes
%mor:	pro:sub|je v|voir&IMP&PRES&12s pro:dem|ce adv|que part|taire-PP&m
	v:mdl|faire-PRES&12s
%mor:	co|bon adv|d'accord
%mor:	adv|alors det:art|le&m&sg n|rose pro:sub|il v:aux|être&PRES&3s
	adv:place|là
%mor:	det:art|le&m&sg n|violet&m pro:sub|il v:aux|être&PRES&3s
	adv:place|là
%mor:	conj|et adv|alors det:art|le&m&sg n|dernier&m
%mor:	pro:sub|il v:aux|être&PRES&3s adv:place|là
%mor:	adv|mais co|oui=yes pro:dem|ce$v:exist|être&PRES&3s pro|toi&sg
%mor:	co|mm
%mor:	co|non=no
%mor:	adv:place|là
%mor:	co|mhm
%mor:	adv|mais n|oui&m adv|mais part|taire-PP&m det:art|les&pl
	v:aux|avoir&PRES&2s pro|tous&m&pl part|mélanger-PP&m&pl adv|donc
	adv|après pro:dem|ça pro:obj|te v:mdl|aller&PRES&3s qn|plus
%mor:	conj|et co|oui=yes
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s pro:rel|que$pro:sub|on
	v:mdl|faire-PRES&SUB&13s det:art|les&pl pro|autres&pl ?
%mor:	pro:sub|ils v:aux|être&PRES&3p qn|plus n|simple-PL det:art|les&pl
	pro|autres&pl
%mor:	pro:sub|on v:mdl|aller&PRES&3s det:art|le&m&sg v:mdl|faire-INF
	prep|à det:art|le$n|envers&m
%mor:	v|tourner-IMP&2s
%mor:	v|regarder-IMP&2s
%mor:	conj|et pro:sub|on v|ranger-PRES&SUB&13s ?|ceuxlà
%mor:	pro:sub|on v|tourner-PRES&SUB&13s ?
%mor:	co|allez
%mor:	co|merci det:poss|ma&sg n|tendre&m
%mor:	co|hop
%mor:	co|hop
%mor:	adv|alors
%mor:	v|tenir-IMP&2s
%mor:	?|celuilà
%mor:	pro:sub|il v:mdl|aller&PRES&3s pro:int|où pro:refl|se n|triangle&m
	adj|jaune ?
%mor:	part|taire-PP&m det:art|le&m&sg n|mets&m pro:int|où ?
%mor:	co|bravo
%mor:	part|taire-PP&m v:mdllex|pouvoir&IMP&2s pro:obj|le v|mettre-INF
	adv:place|là adv|autrement
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|comme pro:sub|on
	v:mdl|vouloir&PRES&3s
%mor:	co|ouais=yes
%mor:	adv|comme pro:dem|ça
%mor:	adv|très adv|bien
%mor:	?|celuilà adv:place|là
%mor:	adj|bleu&m
%mor:	adv|bien
%mor:	co|mh
%mor:	part|taire-PP&m det:art|le&m&sg n|mets&m pro:int|où part|taire-PP&m
	v:mdl|vouloir&PRES&12s
%mor:	prep|sur det:art|la&f&sg
%mor:	adv|très adv|bien
%mor:	co|oui=yes
%mor:	pro:sub|il v:aux|être&PRES&3s part|coller-PP&m adv:place|là
%mor:	pro:sub|il v:aux|être&PRES&3s part|dessiner-PP&m
%mor:	?|celuilà
%mor:	co|mhm
%mor:	co|bravo
%mor:	det:art|le&m&sg n|marron&m pro:sub|il v:mdl|aller&PRES&3s
	adv:place|là
%mor:	conj|et det:art|le&m&sg n|rond&m adj|vert&m ?
%mor:	part|taire-PP&m v|chercher-PRES&SUB&2s det:art|le&m&sg n|rond&m
	adj|jaune ?
%mor:	n|place&f det:art|le&m&sg n|rond&m adj|vert&m adv|d'abord
%mor:	co|bravo
%mor:	adv|alors part|taire-PP&m det:art|le&m&sg n|mets&m pro:int|où ?
%mor:	co|ah pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg pro:int|qui
	v|tenir-PRES&3s
%mor:	co|bon
%mor:	co|mhm
%mor:	?|celuilà pro:sub|il v:mdl|aller&PRES&3s pro:int|où ?|celuilà
%mor:	pro:dem|ce$v:aux|être&PRES&3s n|violet&m
%mor:	co|non=no
%mor:	v|regarder-IMP&2s
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas det:art|la&f&sg
	adj|même&m=same n|forme&f
%mor:	co|bravo
%mor:	pro:sub|on pro:obj|le v|mettre-PRES&3s adv:place|là
%mor:	co|non=no
%mor:	v:mdl|falloir&PRES&3s pro:obj|le v|mettre-INF pro:int|où ?
%mor:	co|mh
%mor:	adv|comme pro:dem|ça ?
%mor:	adv|d'accord
%mor:	adv|ensuite
%mor:	n|violet&m
%mor:	co|oui=yes
%mor:	?|celuilà pro:sub|il v:aux|être&PRES&3s n|rose
%mor:	co|oui=yes
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s n|raison&f
%mor:	adv|ensuite
%mor:	co|mhm
%mor:	v|donner-IMP&2s pro|moi&sg det:art|le$pro|autre&sg
%mor:	adj|jaune
%mor:	co|oui=yes
%mor:	det:art|le&m&sg n|rectangle&m
%mor:	pro:sub|il v:mdl|aller&PRES&3s pro:int|où ?
%mor:	co|mhm
%mor:	adv:place|là
%mor:	adv:place|là ?
%mor:	conj|et pro:dem|ça
%mor:	v|regarder-IMP&2s
%mor:	prep|dessous det:art|le&m&sg n|violet&m
%mor:	part|taire-PP&m v|voir&IMP&PRES&12s
%mor:	n|violet&m conj|et adj|jaune
%mor:	n|violet&m conj|et adj|jaune
%mor:	part|taire-PP&m prep|en pro|autre&sg ?
%mor:	pro:int|que$v:aux|être&PRES&3s pro:dem|ce adv|que part|taire-PP&m
	v:aux|avoir&PRES&2s ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi ?
%mor:	co|oui=yes
%mor:	pro:dem|ça pro:refl|se$v|appeler-IMP&2s det:art|un&m&sg n|rond&m
	n|orange
%mor:	pro:int|quoi ?
%mor:	pro:sub|on v:mdl|aller&PRES&3s pro:obj|les v|mettre-INF prep|dans
	pro:dem|ce n|sens&m adv|si part|taire-PP&m n|change&m-PL prep|de
	n|sens&m pro|toi&sg
%mor:	adv|comme pro:dem|ça
%mor:	co|oui=yes
%mor:	co|non=no
%mor:	adv:place|là
%mor:	co|bon
%mor:	pro:sub|il v:aux|être&PRES&3s neg|pas prep|de det:art|la&f&sg
	adj|même&m=same n|couleur&f
%mor:	co|ouais=yes
%mor:	co|mh
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|violet&m adv|aussi
%mor:	adv:place|voilà
%mor:	pro:dem|ce$v:aux|être&PRES&3s n|tout&m n|violet&m pro:dem|ça
%mor:	det:art|le&m&sg adj|jaune
