%mor:	adv:place|là part|taire-PP&m v:aux|avoir&PRES&2s num|deux n|an&m-PL
%mor:	conj|et prep|de&les n|oeuf&m-PL
%mor:	co|bah co|oui=yes adv|puis pro:dem|ce$v:exist|être&PRES&3s neg|pas
	co|bon prep|à v|manger-INF co|hein
%mor:	n|pendant&m pro:dem|ce n|temps&m pro:sub|tu v|raconter-PRES&SUB&2s
	prep|à ?|aliyah det:art|le$n|histoire&f pro:rel|que$pro:sub|on
	v:aux|avoir&PRES&3s part|lire-PP&f n|hier&m ?
%mor:	co|ouais=yes pro:dem|ce$v:exist|être&PRES&3s
	det:art|le$n|histoire&f prep|de n|+n|crotte+prep|de+n|nez&f=booger
%mor:	part|taire-PP&m v|raconter-PRES&SUB&2s prep|à ?|aliyah
	det:art|le$n|histoire&f prep|de n|+n|crotte+prep|de+n|nez&f=booger ?
%mor:	adv|comment pro:sub|il pro:refl|se$v|appeler-IMP&2s det:art|le&m&sg
	n|cochon&m part|taire-PP&m pro:obj|te v|souvenir-IMP&2s ?
%mor:	?|anaé
%mor:	n|jules&m
%mor:	n|jules&m
%mor:	conj|et det:poss|sa&f&sg n|copine&f pro:dem|ce$v:aux|être&PRES&3s
	pro:rel|quoi prep|comme n|animal&m&sg ?
%mor:	co|oui=yes conj|et pro:sub|elle pro:refl|se$v|appeler-PRES&SUB&13s
	n|comment&m ?
%mor:	co|oui=yes
%mor:	conj|et adv|alors pro:rel|que$v:int|est–ce pro:int|qui pro:refl|se
	v|passer-PRES&SUB&13s prep|avec n|jules&m conj|et ?|julie ?
%mor:	adv|ben part|taire-PP&m pro:obj|te v|souvenir-IMP&2s ?
%mor:	pro:sub|ils pro:refl|se v|promener-PRES&3p prep|dans
	det:art|la&f&sg n|forêt&f conj|et pro:int|que$v:int|est–ce
	pro:rel|qui pro:refl|se v|passer-PRES&SUB&13s ?
%mor:	pro:sub|ils v:mdl|aller&PRES&3p prep|à det:art|le$n|école&f n|oui&m
%mor:	conj|et pro:int|qui v:int|est–ce pro:rel|que$pro:sub|ils
	v|rencontrer-PRES&3p prep|en n|allant&m prep|à det:art|le$n|école&f
	?
%mor:	conj|et pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|il
	part|faire-PP&m det:art|le&m&sg n|loup&m ?
%mor:	co|non=no pro:sub|il pro:obj|les v|manger-PRES&SUB&13s neg|pas
%mor:	pro:sub|il v|aimer-COND&3s n|bien&m det:art|les&pl n|manger&m=food
%mor:	pro:sub|il pro:obj|les v|emmener-PRES&SUB&13s pro:sub|il
	pro:obj|les v|mettre-PRES&3s prep|dans det:art|un&m&sg n|sac&m
%mor:	conj|et adv|puis ?
%mor:	prep|dans det:art|un&m&sg n|sac&m
%mor:	prep|pour det:art|les&pl v|emmener-INF prep|dans det:poss|sa&f&sg
	n|maison&f conj|et pro:rel|que$v:int|est–ce pro:int|qui pro:refl|se
	v|passer-PRES&SUB&13s ?
%mor:	pro:sub|il v:mdl|vouloir&COND&3s n|bien&m det:art|les&pl
	n|manger&m=food adv|mais v:int|est–ce prep|que n|jules&m conj|et
	?|julie pro:sub|ils v:mdl|vouloir&PRES&3p v:exist|être&INF
	part|manger-PP&m&pl ?
%mor:	co|ah co|ben co|non=no
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il v:mdl|aller&PRES&3s
	v:mdl|faire-INF n|jules&m det:art|le&m&sg n|cochon&m prep|pour
	neg|pas prep|que det:art|le&m&sg n|loup&m pro:sub|il pro:obj|le
	v|manger-PRES&SUB&13s ?
%mor:	co|ouais=yes
%mor:	conj|et pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|il
	part|faire-PP&m prep|pour co|euh prep|pour v:mdl|faire-INF n|peur&f
	prep|à&le n|loup&m n|jules&m ?
%mor:	part|taire-PP&m pro:obj|te v|souvenir-IMP&2s ?
%mor:	det:art|le&m&sg n|loup&m det:poss|sa&f&sg n|cuisine&f pro:sub|elle
	v:aux|être&PRES&3s adv|très adv|très adj|propre&m
%mor:	adv|parce prep|que det:art|le&m&sg n|loup&m pro:sub|il
	v|aimer-PRES&SUB&13s n|bien&m adv|quand n|tout&m v:aux|être&PRES&3s
	adv|très adv|très adj|propre&m
%mor:	adv|alors pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|il
	part|faire-PP&m n|jules&m ?
%mor:	pro:sub|il v|mettre-PRES&3s det:poss|son&m&sg n|doigt&m
%mor:	prep|dans pro:rel|quoi ?
%mor:	adv|mais co|non=no
%mor:	det:art|le&m&sg n|loup&m pro:sub|il v|arriver-PRES&SUB&13s
	prep|avec det:art|un&m&sg n|couteau&m
%mor:	conj|et n|jules&m pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|il
	part|faire-PP&m ?
%mor:	pro:sub|il v|mettre-PRES&3s det:poss|son&m&sg n|doigt&m
%mor:	prep|dans n|son&m=sound
%mor:	conj|et pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|il
	v|sortir&PRES&3s prep|de det:poss|son&m&sg n|nez&m ?
%mor:	pro:sub|il v|mettre-PRES&3s det:art|une&f&sg
	n|+n|crotte+prep|de+n|nez&f=booger prep|dans det:poss|sa&f&sg
	n|bouche&f
%mor:	conj|et pro:rel|que$v:int|est–ce adv|que pro:dem|ça part|faire-PP&m
	pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|il v:aux|avoir&PRES&3s
	det:art|le&m&sg n|loup&m ?
%mor:	adv|quand pro:sub|il v|voir&PRES&3s pro:dem|ça
	pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|il part|faire-PP&m
	det:art|le&m&sg n|loup&m ?
%mor:	pro:sub|il v|devenir-PRES&3s n|tout&m adj|vert&m n|oui&m
%mor:	adv|parce pro:rel|que$pro:sub|il v|aimer-IMP&2s neg|pas prep|de&le
	adv|tout adv|quand pro:sub|on v|manger-IMP&2s det:poss|ses&pl
	n|crotte&f-PL prep|de n|nez&m
%mor:	v|tenir-IMP&2s pro:sub|je v|croire&PRES&12s pro:rel|que$pro:sub|il
	pro:y|y v:aux|avoir&PRES&3s n|papa&m pro:int|qui v:aux|être&PRES&3s
	part|arriver-PP&m
%mor:	part|taire-PP&m v:mdl|faire-PRES&12s det:art|un&m&sg n|bisou&m
	prep|à n|papa&m ?
%mor:	part|taire-PP&m part|luire&PP&m n|montre&f-PL det:poss|ta&f&sg
	n|nouvelle&f n|robe&f
%mor:	conj|et adv|alors part|taire-PP&m v:mdl|faire-PRES&12s
	det:poss|ton&m&sg n|gâteau&m ?
%mor:	part|taire-PP&m v:mdl|faire-PRES&12s adv|toujours det:art|les&pl
	n|bise&f-PL pro|toi&sg n|oui&m
%mor:	part|taire-PP&m v:exist|être&PRES&2s det:art|une&f&sg n|coquin&f
	co|hein
%mor:	adv|alors ?|anaé prep|pour v|commencer-INF det:art|le&m&sg
	n|gâteau&m
%mor:	v:int|est–ce adv|que part|taire-PP&m v:mdl|vouloir&PRES&12s
	v:int|est–ce adv|que part|taire-PP&m v:mdl|vouloir&PRES&12s adv|que
	pro:sub|je$v|ailler-IMP&2s v|chercher-INF det:poss|ton&m&sg
	n|tablier&m ?
%mor:	co|ouais=yes pro:sub|je v:mdl|aller&PRES&1s v:mdl|aller&INF
	v|chercher-INF det:poss|ton&m&sg n|tablier&m
%mor:	co|bon n|pendant&m pro:dem|ce n|temps&m pro:sub|tu adj|continu&f-PL
	det:art|le$n|histoire&f ?
%mor:	co|euh det:art|le&m&sg n|tablier&m
%mor:	pro:sub|tu v|raconter-PRES&SUB&2s prep|à ?|aliyah det:art|la&f&sg
	adj|fin&m prep|de det:art|le$n|histoire&f
%mor:	v|raconter-PRES&SUB&13s prep|à ?|aliyah det:art|la&f&sg adj|fin&m
	prep|de det:art|le$n|histoire&f
%mor:	pro:sub|il pro:refl|se$v|enfuir&PRES&3s pro:sub|il
	pro:refl|se$pro:y|en v:mdl|aller&PRES&3s ?
%mor:	n|ton&m=tone pro:int|quoi ?
%mor:	det:poss|ton&m&sg n|tablier&m
%mor:	part|taire-PP&m pro:obj|te v|rappeler-PRES&SUB&2s
	pro:dem|ce$v:aux|être&PRES&3s ?|sophie pro:int|qui pro:obj|te
	pro:sub|il$v:aux|avoir&PRES&3s part|faire-PP&m ?
%mor:	pro:sub|il v:aux|être&PRES&3s adj|beau&m&sg=pretty co|hein
	pro:sub|il pro:y|y v:aux|avoir&PRES&3s det:art|une&f&sg n|poche&f
	conj|et det:art|un&m&sg n:let|a adv|comme
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n:let|a adv|comme
	pro:int|quoi ?
%mor:	det:art|un&m&sg n:let|a prep|comme ?|aliyah conj|et adv|comme
%mor:	?|anaé
%mor:	n|super&m
%mor:	adv|alors part|taire-PP&m pro:obj|te n|mets&m prep|sur
	det:art|une&f&sg n|chaise&f
%mor:	adv|si part|taire-PP&m v:mdl|vouloir&PRES&12s
%mor:	conj|et adv|alors prep|pour v|commencer-INF part|taire-PP&m
	v:mdl|aller&PRES&2s v|ouvrir-INF det:art|le&m&sg n|yaourt&m conj|et
	part|taire-PP&m v:mdl|aller&PRES&2s v|mettre-INF det:art|le&m&sg
	n|yaourt&m prep|dans det:art|le&m&sg n|saladier&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg pro:int|qui
	v:mdl|faire-PRES&12s n|tout&m co|hein
%mor:	adv|d'accord ?
%mor:	co|ouais=yes
%mor:	adv|mais pro:dem|ce$v:exist|être&PRES&3s neg|pas n|grave&m prep|de
	adv|toute n|façon&f v:mdl|falloir&PRES&3s pro:obj|le$v|ouvrir-INF
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	co|hip adv|bien
%mor:	adv|alors v|regarder-IMP&2s part|taire-PP&m v|prendre-PRES&IMP&12s
	det:dem|cette&f&sg n|cuillère&f=spoon
%mor:	adv|puis part|taire-PP&m n|mets&m adv:place|au–dessus prep|de&le
	n|saladier&m
%mor:	conj|et v:mdl|aller&PRES&2s pro:y|y part|taire-PP&m
	v|renverser-PRES&SUB&2s det:art|le&m&sg n|yaourt&m
%mor:	conj|et pro:sub|je v|croire&PRES&12s pro:rel|que$pro:sub|il
	v:mdl|falloir&PRES&3s pro:obj|te$v|aider-INF prep|avec
	det:art|la&f&sg n|cuillère&f=spoon
%mor:	co|ah
%mor:	pro:sub|je v|croire&PRES&12s conj|que pro:dem|ce$v:aux|être&PRES&3s
	?|zoum pro:int|qui v|arriver-PRES&SUB&13s
%mor:	part|taire-PP&m v|dire-PRES&PASS&12s n|bonjour&m ?
%mor:	co|bonjour ?|zoum
%mor:	v|regarder-IMP&2s pro:rel|ce–que part|taire-PP&m
	v:mdl|faire-PRES&12s v|regarder-IMP&2s pro:rel|ce–que
	part|taire-PP&m v:mdl|faire-PRES&12s
%mor:	neg|pas prep|en v|mettre-INF adv|partout co|hein
%mor:	part|taire-PP&m pro:obj|me v|dire-PRES&PASS&12s adv|quand
	pro:sub|il pro:y|y pro:y|en v:aux|avoir&PRES&3s qn|plus
	adv:place|dedans adv|d'accord ?
%mor:	co|ouh det:art|la&f&sg n|attention&f
%mor:	prep|dans det:art|le&m&sg n|bureau&m pro:sub|je
	v|penser-PRES&SUB&13s
%mor:	pro:sub|il v|venir-PRES&3s adv|de v|arriver-INF pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s num|cinq n|minute&f-PL
%mor:	pro:sub|tu pro:obj|le$v|attendre-IMPF&12s pro:rel|où prep|devant
	det:art|la&f&sg n|porte&f=door ?
%mor:	adv|alors adv|maintenant pro:sub|on v:mdl|aller&PRES&3s
	v|mettre-INF prep|de det:art|la&f&sg n|farine&f prep|dans
	det:art|le&m&sg n|pot&m=pot
%mor:	adv|alors pro|moi&sg pro:sub|je n|mets&m det:art|la&f&sg n|farine&f
	adv|puis pro|toi&sg part|taire-PP&m v:mdl|aller&PRES&2s
	v|renverser-INF prep|dans det:art|le&m&sg n|saladier&m
%mor:	adv|d'accord ?
%mor:	v:mdl|falloir&PRES&3s v:mdl|faire-INF co|attention prep|que
	det:art|les&pl n|oeuf&m-PL v|tomber-PRES&3p neg|pas co|hein
%mor:	pro:sub|il v:mdl|falloir&PRES&3s num|trois n|pot&m-PL=pot prep|de
	n|farine&f
%mor:	pro:sub|on n|compte&m ?
%mor:	adv|alors adv:place|là pro:dem|ce$v:exist|être&PRES&3s
	det:art|un&m&sg n|pot&m=pot
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg n|recette&f prep|de
	det:art|le$n|école&f
%mor:	adv|alors part|taire-PP&m n|mets&m adv:place|dedans
%mor:	adv:place|voilà
%mor:	adv|maintenant pro:sub|on v|mettre-PRES&3s det:art|un&m&sg
	n|deuxième
%mor:	adv|d'accord ?
%mor:	pro:sub|je v|penser-PRES&SUB&13s pro:rel|que$pro:sub|on
	v:mdl|aller&PRES&3s v|finir-INF adv|toute det:art|la&f&sg n|farine&f
%mor:	prep|de adv|toute n|façon&f pro:y|y v:aux|avoir&FUT&3s neg|pas
	adv|assez prep|pour num|trois n|pot&m-PL=pot conj|et pro:sub|je
	v|penser-PRES&SUB&13s prep|que pro:sub|je$pro:y|en
	v:aux|avoir&PRES&1s neg|pas adv|de pro|autre&sg
%mor:	adv|donc pro:sub|on v:mdl|aller&PRES&3s v:mdl|faire-INF
	det:art|la&f&sg n|recette&f adv|de ?|aliyah
%mor:	pro:sub|je v:mdl|aller&PRES&1s v|regarder-INF pro:sub|je
	v:mdl|aller&PRES&1s v:mdl|aller&INF v|regarder-INF n|si&m pro:sub|il
	pro:y|y v:aux|avoir&PRES&3s adv|de pro|autre&sg n|farine&f
	adv|d'accord ?
%mor:	pro:sub|on v|mettre-PRES&3s pro:dem|ça adv:place|là
%mor:	co|ouais=yes v|attendre-PRES&12s pro:sub|on v:mdl|aller&PRES&3s
%mor:	v|vider-INF
%mor:	conj|et pro:sub|je v:mdl|aller&PRES&1s v|regarder-INF n|si&m
	pro:sub|je$pro:y|en v:aux|avoir&PRES&1s adv|de pro|autre&sg
%mor:	pro|toi&sg part|taire-PP&m n|vide&m-PL det:art|le&m&sg n|pot&m=pot
	prep|de n|yaourt&m
%mor:	co|ouais=yes
%mor:	pro:dem|ça part|faire-PP&m prep|comme prep|de det:art|la&f&sg
	n|maïzena&f=cornstarch det:art|un&m&sg n|peu&m
%mor:	adv:place|voilà
%mor:	co|oui=yes pro:sub|il prep|en n|reste&m det:art|un&m&sg n|peu&m
	adv|alors v:mdl|aller&PRES&2s pro:y|y part|taire-PP&m n|mets&m
	det:art|le&m&sg n|pot&m=pot
%mor:	conj|et adv:place|là part|taire-PP&m v:mdl|aller&PRES&2s
	v|commencer-INF prep|à v|mélanger-INF
%mor:	co|ouais=yes v|regarder-IMP&2s v:mdl|faire-PRES&12s adv|comme
	pro:dem|ça
%mor:	co|hop v|regarder-IMP&2s part|taire-PP&m n|mélange&m-PL prep|avec
	det:art|le&m&sg n|fouet&m
%mor:	co|ouais=yes
%mor:	pro:dem|ça n|colle&f
%mor:	adv|alors pro|moi&sg pro:sub|je n|casse&f det:art|les&pl
	n|oeuf&m-PL conj|et pro|toi&sg part|taire-PP&m det:art|les&pl
	n|mets&m adv:place|dedans adv|d'accord ?
%mor:	co|oui=yes ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s adv|bien ?
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	part|taire-PP&m v|ouvrir-PRES&SUB&2s ?
%mor:	part|taire-PP&m n|mélange&m-PL
%mor:	pro:sub|on pro:y|en v|mettre-PRES&3s adv|combien prep|de&les
	n|oeuf&m-PL ?
%mor:	co|ouais=yes
%mor:	part|taire-PP&m pro:obj|me$v|aider-PRES&SUB&2s
%mor:	adv:place|voilà
%mor:	v:mdl|falloir&PRES&3s adv|bien v|mélanger-INF co|hein
%mor:	conj|et pro:sub|on v:mdl|aller&PRES&3s v|mettre-INF prep|de&le
	n|sucre&m
%mor:	prep|de det:art|la&f&sg n|levure&f conj|et prep|de
	det:art|le$n|huile&f
%mor:	pro:sub|je v:mdl|aller&PRES&1s v:mdl|faire-INF v|chauffer-INF
	det:art|le&m&sg n|four&m
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s adv|déjà part|faire-PP&m
	det:art|un&m&sg n|gâteau&m pro|toi&sg ?
%mor:	part|taire-PP&m pro:obj|te v|rappeler-PRES&SUB&2s ?
%mor:	adv|que part|taire-PP&m v:aux|avoir&PRES&2s adv|déjà
	part|faire-PP&m det:art|un&m&sg n|gâteau&m ?
%mor:	co|hein ?
%mor:	v:int|est–ce adv|que part|taire-PP&m v:aux|avoir&PRES&2s adv|déjà
	part|faire-PP&m det:art|un&m&sg n|gâteau&m ?
%mor:	co|ouais=yes
%mor:	pro:sub|on v:mdl|aller&PRES&3s v|mettre-INF det:art|le&m&sg
	n|sucre&m ?
%mor:	co|hein ?
%mor:	v:mdl|falloir&PRES&3s v|mélanger-INF prep|plus adv|vite adv|que
	pro:dem|ça co|hein
%mor:	v|tenir-IMP&2s v|mettre-IMP&2s det:art|la&f&sg n|levure&f
	adv|d'abord
%mor:	v|tenir-IMP&2s
%mor:	v|mettre-IMP&2s pro|toi&sg adv|bien prep|à&le n|milieu&m
%mor:	v|mettre-IMP&2s det:art|la&f&sg n|levure&f
%mor:	pro:sub|il pro:y|y pro:y|en v:aux|avoir&PRES&3s adv|encore conj|ou
	neg|pas ?
%mor:	co|ah co|oui=yes pro:sub|il pro:y|y pro:y|en v:aux|avoir&PRES&3s
	adv|encore det:art|un&m&sg adj|petit&m n|peu&m
%mor:	co|allez co|allez
%mor:	co|oui=yes part|taire-PP&m n|mélange&m-PL n|bien&m adj|bien
	n|bien&m adv|maintenant
%mor:	det:art|un&m&sg n|pot&m=pot prep|de n|sucre&m
%mor:	co|ah co|non=no pro:dem|ce$v:exist|être&PRES&3s n|deux&m prep|de
	n|sucre&m prep|en part|faire-PP&m
%mor:	co|voilà part|taire-PP&m n|mélange&m-PL
%mor:	pro:dem|ce$v:aux|être&PRES&3s adv|bien
%mor:	conj|et pro:sub|on v:mdl|aller&PRES&3s v|mettre-INF det:art|un&m&sg
	n|peu&m adv|de n|huile&f adv|aussi
%mor:	co|ouh co|la v|regarder-IMP&2s pro:rel|ce–que part|taire-PP&m
	v:mdl|faire-PRES&12s
%mor:	pro:obj|le$v|huiler-IMP&2s pro:dem|ce$v:aux|être&PRES&3s pro|moi&sg
	pro:rel|qui v:mdl|aller&PRES&3s pro:obj|la v|mettre-INF prep|pour
	neg|pas pro:rel|que$pro:sub|on pro:y|en v|renverser-PRES&SUB&13s
	adv|partout adv|d'accord ?
%mor:	adv|d'accord ?
%mor:	co|ben n|oui&m
%mor:	v|attendre-IMP&2s pro:sub|il prep|en n|reste&m prep|avec
	det:art|la&f&sg n|cuillère&f=spoon
%mor:	adv:place|voilà
%mor:	v:int|est–ce adv|que part|taire-PP&m v:mdl|vouloir&PRES&12s
	pro:rel|que$pro:sub|on v|mettre-PRES&SUB&13s det:art|une&f&sg
	n|pomme&f adv:place|dedans ?
%mor:	co|ouais=yes ?
%mor:	pro:sub|on v:mdl|aller&PRES&3s v|couper-INF det:art|une&f&sg
	n|pomme&f
%mor:	co|ah v:mdl|falloir&PRES&3s v|mélanger-INF n|mieux&m adv|que
	pro:dem|ça ?|anaé
%mor:	v|attendre-IMP&2s v|enlever-IMP&2s det:poss|tes&pl n|main&f-PL
%mor:	v:mdl|aller&PRES&2s pro:y|y prep|à pro|toi&sg
%mor:	co|ben adv|doucement adv|doucement adv|doucement adv|doucement
	adv|quand adv|même
%mor:	part|taire-PP&m v|croire&PRES&12s pro:rel|que$pro:sub|il
	v:mdl|aller&PRES&3s v:aux|être&INF adj|bon&m pro:dem|ce n|gâteau&m ?
%mor:	co|ouais=yes ?
%mor:	adv|alors pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|on
	v:aux|avoir&PRES&3s part|mettre-PP&m adv:place|dedans ?
%mor:	co|oui=yes adv|combien ?
%mor:	num|deux
%mor:	conj|et adv|puis ?
%mor:	adv|combien ?
%mor:	conj|et adv|puis ?
%mor:	prep|de det:art|la&f&sg
%mor:	co|oui=yes adv|combien ?
%mor:	adv|très n|bien&m conj|et adv|puis pro:sub|il n|manque&m
	det:gen|quelque n|chose=thing adv|encore
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|on v:aux|avoir&PRES&3s
	part|mettre-PP&m n|tout&m prep|à&le n|début&m n|tout&m prep|à&le
	n|début&m ?
%mor:	co|non=no prep|à&le n|début&m
%mor:	prep|en n|premier&m pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|on
	v:aux|avoir&PRES&3s part|mettre-PP&m prep|en adj|premier&m ?
%mor:	co|non=no
%mor:	pro:dem|ce$v:aux|être&IMPF&3s prep|dans det:art|un&m&sg n|pot&m=pot
%mor:	pro:int|que$v:int|est–ce pro:int|qui pro:y|y v:aux|avoir&IMPF&3s
	prep|dans det:art|le&m&sg n|pot&m=pot ?
%mor:	adv:place|là pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s pro:int|quoi
	?
%mor:	adv:place|là
%mor:	conj|et pro:sub|on v:aux|avoir&PRES&3s part|mélanger-PP&m prep|avec
	pro:rel|quoi adv|aussi ?
%mor:	prep|dans det:art|le&m&sg adj|petit&m n|sachet&m adj|rose pro:y|y
	v:aux|avoir&IMPF&3s pro:int|quoi ?
%mor:	prep|de det:art|la&f&sg
%mor:	co|non=no prep|de det:art|la&f&sg n|levure&f
%mor:	prep|de det:art|la&f&sg n|levure&f
%mor:	v|tenir-IMP&2s pro:sub|je pro:obj|te n|mets&m det:art|les&pl
	n|bout&m-PL prep|de n|pomme&f conj|et pro|toi&sg part|taire-PP&m
	n|mélange&m-PL
%mor:	pro:sub|elles v:aux|être&PRES&3p pro:int|quoi ?
%mor:	pro:sub|je$v:aux|avoir&PRES&1s neg|pas part|comprendre-PP&m
%mor:	pro:sub|elles v:aux|être&PRES&3p part|cacher-PP&f&pl co|ben
	co|oui=yes pro:sub|elles pro:refl|se v|mettre-PRES&SUB&3p prep|dans
	det:art|la&f&sg prep|dans det:art|la&f&sg n|pâte&f
%mor:	v:mdl|falloir&PRES&3s adv|bien det:art|les&pl v|mélanger-INF
%mor:	v:mdl|faire-PRES&12s co|attention co|non=no part|taire-PP&m
	v|regarder-IMP&2s part|taire-PP&m prep|en n|mets&m adv|partout
	adv:place|là ?|anaé
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s neg|pas det:art|une&f&sg
	adj|bon&f n|idée&f
%mor:	part|taire-PP&m n|laisse&f-PL pro:dem|ça adv:place|dedans
%mor:	pro:dem|ça part|faire-PP&m det:art|une&f&sg n|fleur&f
	part|taire-PP&m v|trouver-PRES&SUB&2s ?
%mor:	prep|de det:art|la&f&sg n|mayonnaise&f conj|et prep|de&le
	n|ketchup&m prep|dans det:art|le&m&sg n|gâteau&m ?
%mor:	co|hum pro:sub|je v:mdllex|vouloir&PRES&12s neg|pas prep|en
	n|manger&m=food adv|alors
%mor:	part|taire-PP&m v|croire&PRES&12s adv|que ?|aliyah pro:sub|elle
	v:mdl|aller&PRES&3s pro:y|en n|manger&m=food prep|de&le n|gâteau&m
	prep|à co|la n|mayonnaise&f conj|et prep|à&le n|ketchup&m ?
%mor:	part|taire-PP&m v|croire&PRES&12s adv|que
	pro:dem|ce$v:exist|être&PRES&3s co|bon ?
%mor:	part|taire-PP&m pro:y|en v:aux|avoir&PRES&2s adv|déjà
	part|manger-PP&m ?
%mor:	co|ah co|ouais=yes pro:sub|on v:mdl|aller&PRES&3s v|mettre-INF
	prep|de&les n|frite&f-PL
%mor:	conj|et co|euh prep|de&le n|poulet&m adv|d'accord ?
