%mor:	pro:dem|ça ?
%mor:	part|taire-PP&m n|tape&f-PL pro:dem|ça
%mor:	adv|comme pro:dem|ça part|taire-PP&m v:mdl|faire-PRES&12s ?
%mor:	adv|comme pro:dem|ça ?
%mor:	part|taire-PP&m v:aux|être&PRES&2s dé#part|chaîner-PP&f ?
%mor:	co|ouais=yes
%mor:	co|ouais=yes
%mor:	part|taire-PP&m det:art|le&m&sg v|gonfler-PRES&SUB&2s ?
%mor:	part|taire-PP&m v|arriver-PRES&SUB&2s neg|pas ?
%mor:	pro|moi&sg pro:sub|je$v|arriver-IMP&2s neg|pas co|non=no qn|plus
%mor:	adv:int|pourquoi pro:y|y v:aux|avoir&PRES&3s pro|tous&m&pl
%mor:	pro:int|qui ?
%mor:	pro:int|qui part|faire-PP&m ?
%mor:	pro:sub|je v:mdl|savoir&PRES&12s prep|plus pro:dem|ça
%mor:	n|maxime&f
%mor:	conj|et ?|victorine
%mor:	co|mh ?
%mor:	pro:sub|on pro:obj|le$v:poss|avoir&IMPF&3s adv|déjà part|faire-PP&m
	prep|avec ?|turine ?
%mor:	co|ah co|bon
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|finir-PP&m ?
%mor:	?|estelle
%mor:	?|sydney
%mor:	?|anais
%mor:	?|maéva
%mor:	n|louis&m
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s pro:dem|celle&f&sg prep|à
	pro:rel|qui part|taire-PP&m n|pique-PL det:art|la&f&sg n|tutu&m
	adv|tout det:art|le&m&sg n|temps&m
%mor:	pro:int|qui pro:dem|ce$v:exist|être&PRES&3s ?
%mor:	?|eléonore
%mor:	co|hein ?
%mor:	adj|petit&f n|chipie&f
%mor:	co|oui=yes
%mor:	co|la fam|titine
%mor:	co|oui=yes
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:dem|celle&f&sg adv|de ?|eléonore
	pro:dem|ça ?
%mor:	co|ouais=yes
%mor:	part|taire-PP&m part|luire&PP&m v:aux|avoir&PRES&2s adv|encore
	n|piqué&m ?
%mor:	co|ouais=yes
%mor:	part|taire-PP&m det:art|la&f&sg n|mets&m prep|dans co|euh ?
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s pro:obj|la v|poser-INF ?
%mor:	pro:sub|on det:art|la&f&sg n|pose&f adv:place|là
%mor:	co|mh
%mor:	v|marier-PASS&3s
%mor:	?|victor ?
%mor:	pro:int|qui pro:dem|ce$v:exist|être&PRES&3s pro:dem|ça ?
%mor:	co|non=no
%mor:	?|hélène pro:sub|elle v:aux|être&PRES&3s adv:place|là
%mor:	co|mh
%mor:	adv:place|là pro:dem|ce$v:exist|être&PRES&3s
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg
	n|maîtresse&f
%mor:	n|si&m
%mor:	v|regarder-PRES&SUB&13s prep|sur det:art|la&f&sg n|photo&f
%mor:	pro:sub|elle v:aux|être&PRES&3s adv:place|là
%mor:	part|taire-PP&m v|voir&IMP&PRES&12s
%mor:	conj|et pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s ?|raphael
%mor:	co|mh
%mor:	?|raphael ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s det:art|un&m&sg n|mouchoir&m
	?
%mor:	co|oui=yes
%mor:	co|oui=yes
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg pro:rel|qui
	v:mdl|aller&PRES&3s pro:obj|le v|chercher-INF ?
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas pro:int|où
%mor:	co|non=no
%mor:	v|venir-IMP&2s adv:place|là
%mor:	pro:sub|il v:mdl|devoir&PRES&3s v:aux|être&INF adv|par adv:place|là
	det:art|le&m&sg n|mouchoir&m
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s neg|pas pro|toi&sg ?
%mor:	pro:sub|elle v:aux|avoir&PRES&3s part|oublier-PP&m
	det:poss|son&m&sg n|bijou&m ?|chl ?
%mor:	co|ah co|oui=yes
%mor:	adv|tant n|pis&m
%mor:	pro:sub|il v:aux|être&PRES&3s adv:place|là ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s part|écrire-PP&m ?|chl ?
%mor:	part|taire-PP&m v|venir-PRES&12s v|moucher-INF det:poss|ton&m&sg
	n|nez&m ?
%mor:	part|taire-PP&m n|peu&m-PL
%mor:	pro:dem|ce$v:aux|être&PRES&3s co|euh
%mor:	pro:dem|ce$v:aux|être&PRES&3s part|écrire-PP&m pro|toi&sg ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|lequel&m&sg ?
%mor:	v:mdl|faire-PRES&12s v|voir&INF
%mor:	pro:sub|je pro:obj|te v|dire-PRES&PASS&12s
%mor:	adv|alors
%mor:	?|celuilà pro:sub|il v:aux|être&PRES&3s prep|à ?|chl
%mor:	?|celuilà pro:sub|il v:aux|être&PRES&3s prep|à pro|toi&sg
%mor:	v|venir-IMP&2s adv:place|là
%mor:	pro|toi&sg
%mor:	co|ohlàlà
%mor:	part|taire-PP&m v:mdl|faire-PRES&12s det:art|un&m&sg
	n|câlin&m=coaxing ?
%mor:	co|hop det:poss|ton&m&sg n|nez&m
%mor:	part|taire-PP&m det:art|le&m&sg v:mdl|faire-PRES&12s v|cuire-INF
	det:poss|ton&m&sg n|bijou&m ?
%mor:	v|venir-IMP&2s v|moucher-INF det:poss|ton&m&sg n|nez&m
%mor:	co|bon adv|d'accord
%mor:	pro:sub|je$v:aux|avoir&PRES&1s part|comprendre-PP&m
%mor:	v|tenir-IMP&2s
%mor:	adv|toute adj|seul&f
%mor:	co|boum
%mor:	co|ah co|oui=yes pro:dem|ça v|glisser-PRES&SUB&13s
%mor:	v|tenir-IMP&2s
%mor:	co|oui=yes
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|faire-PP&m n|tout&m
	v|tomber-INF
%mor:	co|bon
%mor:	v|attendre-IMP&2s v|attendre-IMP&2s
%mor:	adv|parce adv|que part|taire-PP&m v:aux|avoir&PRES&2s adv|tout
	part|casser-PP&m adv|tout prep|à det:art|le$n|heure&f
%mor:	v|pousser-IMP&2s pro|toi&sg
%mor:	co|oui=yes pro:sub|elle v:aux|être&PRES&3s adv:place|là
%mor:	v|tirer-IMP&2s neg|pas pro:dem|ça pro:y|en adv:place|dessous
%mor:	v|attendre-IMP&2s
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|les&pl
	n|lego&m-PL=toy
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|les&pl
	n|cheval&m&pl
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:poss|ton&m&sg
	n|+n|fer+prep|à+n|repasser&m=iron
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|à pro|toi&sg pro:dem|ça ?
%mor:	co|ah co|bon
%mor:	v|pousser-IMP&2s pro|toi&sg
%mor:	v|pousser-IMP&2s pro|toi&sg n|maman&f
%mor:	v|attendre-IMP&2s v|attendre-IMP&2s
%mor:	v|attendre-IMP&2s
%mor:	part|taire-PP&m v|accrocher-PRES&SUB&2s det:art|le&m&sg n|micro&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s part|casser-PP&m ?
%mor:	co|oh pro:dem|ce$v:exist|être&PRES&3s neg|pas n|grave&m
%mor:	v|tenir-IMP&2s ?|nine
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas pro:int|où part|taire-PP&m
	pro:obj|le$v:poss|avoir&PRES&2s n|mise&f
%mor:	co|ah co|bah prep|à det:poss|tes&pl n|pied&m-PL
	v|regarder-PRES&SUB&13s
%mor:	pro:dem|ça n|ferme&f ?
%mor:	part|taire-PP&m pro:y|y v|arriver-PRES&SUB&2s neg|pas ?
%mor:	co|ah pro:dem|ça pro:y|y v:aux|être&PRES&3s
%mor:	pro:sub|il v:aux|être&PRES&3s adv:place|là
%mor:	co|oui=yes pro:sub|je v:mdl|pouvoir&PRES&12s v|ouvrir-INF
%mor:	n|pose&f adv:place|là det:poss|ta&f&sg n|mallette&f
%mor:	v|tenir-IMP&2s
%mor:	v|mettre-IMP&2s det:art|le&m&sg co|la det:poss|ton&m&sg n|bijou&m
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s neg|pas det:art|le&m&sg
	v:mdl|faire-INF v|cuire-INF ?
%mor:	co|ah co|bon
%mor:	prep|dans det:art|la&f&sg n|casserole&f
%mor:	pro:sub|on v|mettre-PRES&3s pro:rel|quoi adv:place|dedans ?
%mor:	det:art|la&f&sg n|tomate&f ?
%mor:	conj|et det:art|le&m&sg n|citron&m ?
%mor:	part|taire-PP&m n|mets&m adv|tout ?
%mor:	pro:dem|ça v:mdl|aller&PRES&3s neg|pas adv|tout v|rentrer-INF
%mor:	adv|encore det:art|une&f&sg n|tomate&f
%mor:	v|tenir-IMP&2s pro:sub|on v:mdl|aller&PRES&3s v|mettre-INF
	prep|dans det:art|une&f&sg pro|autre&sg n|casserole&f
	det:art|le&m&sg n|reste&m
%mor:	adv|comme pro:dem|ça
%mor:	co|oui=yes
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s n|raison&f
%mor:	det:art|les&pl n|tomate&f-PL n|ensemble&m
%mor:	det:art|le&m&sg n|citron&m
%mor:	det:art|les&pl n|banane&f-PL pro:sub|elles v:aux|être&PRES&3p
	pro:int|où ?
%mor:	co|non=no
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|citron&m pro:dem|ça
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:dem|ça
%mor:	co|non=no ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi ?
%mor:	det:art|un&m&sg n|éléphant&m
%mor:	?|dumbo
%mor:	?|dumbo
%mor:	co|ah co|bon ?
%mor:	co|ah co|bon
%mor:	conj|et adv:place|là pro:y|y v:aux|avoir&PRES&3s det:art|le&m&sg
	adj|petit&m n|poney&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|coeur&m ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg v|boiter-PRES&SUB&13s
%mor:	pro:dem|ce$v:aux|être&PRES&3s adv|très adj|joli&m ?
%mor:	adv|très adj|joli&m pro|toi&sg
%mor:	co|mh
%mor:	co|oh
%mor:	adv:int|pourquoi pro:y|y v:aux|avoir&PRES&3s det:art|le&m&sg
	n|chien&m prep|de ?|barbie adv:place|là ?
%mor:	co|ah
%mor:	pro:dem|ce$v:aux|être&PRES&3s ?|chl pro:int|qui
	pro:obj|le$v:poss|avoir&PRES&3s part|mettre-PP&m adv:place|là ?
%mor:	co|non=no
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas pro|toi&sg
%mor:	det:art|le&m&sg n|poulet&m
%mor:	adv|d'accord
%mor:	det:art|le&m&sg n|poney&m ?
%mor:	co|oui=yes
%mor:	adv:place|là adv|aussi pro:y|y v:aux|avoir&PRES&3s det:art|un&m&sg
	adj|petit&m n|poney&m
%mor:	?|qu'estce prep|que part|taire-PP&m v:mdl|vouloir&PRES&12s ?
%mor:	co|ah pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg
	n|bouchon&m
%mor:	det:art|le&m&sg n|couvercle&m
%mor:	part|taire-PP&m v|croire&PRES&12s pro:rel|que$pro:sub|il
	v:mdl|aller&PRES&3s adv:place|là ?
%mor:	co|non=no
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:dem|celui&m&sg prep|de&les
	n|poney&m-PL pro:dem|ça pro:sub|je v|croire&PRES&12s
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|poney&m prep|que
	pro:sub|tu v:aux|avoir&PRES&2s ?
%mor:	co|non=no
%mor:	part|taire-PP&m v|voir&IMP&PRES&12s pro:dem|ce$v:exist|être&PRES&3s
	det:art|le$n|éléphant&m
%mor:	v|essayer-PRES&SUB&13s prep|sur det:art|les&pl n|poney&m-PL
%mor:	co|non=no
%mor:	neg|pas prep|sur ?|celuilà
%mor:	pro:sub|il v:aux|être&PRES&3s part|tomber-PP&m adv:place|dedans ?
%mor:	conj|et co|oui=yes
%mor:	v|tenir-IMP&2s
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg n|tasse&f
%mor:	adv|encore det:art|une&f&sg n|tasse&f
%mor:	co|ah conj|et co|bah pro:sub|elle v:aux|être&PRES&3s adv:place|là
	adv:place|dessus
%mor:	v|regarder-IMP&2s
%mor:	v|essayer-IMP&2s adv:place|là prep|dessus det:poss|ton&m&sg
	n|bouchon&m
%mor:	pro:dem|ça v|rentrer-PRES&SUB&13s ?
%mor:	co|ouais=yes
%mor:	co|oui=yes
%mor:	v|tenir-IMP&2s
%mor:	adv:place|voilà
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s adv|toujours neg|pas prep|de
	n|mouchoir&m ?
%mor:	co|oh
%mor:	adj|petit&f n|fille&f
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|servir-PP&m ?
%mor:	v|passer-PRES&SUB&13s det:art|le&m&sg adv:place|dessous
%mor:	adv|comme pro:dem|ça n|oui&m
%mor:	co|oui=yes
%mor:	adv|comme pro:dem|ça
%mor:	v|arrêter-IMP&2s
%mor:	adv|comme pro:dem|ça ?
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas
%mor:	pro:dem|ça pro:obj|te v|gêner-PRES&SUB&13s neg|pas adv|comme
	pro:dem|ça ?
%mor:	co|ah co|bon
%mor:	co|ah det:art|une&f&sg n|tasse&f prep|de ?|barbie
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s det:art|une&f&sg
	n|cuillère&f=spoon ?
%mor:	v|tenir-IMP&2s
%mor:	adv|encore det:art|une&f&sg pro|autre&sg ?
%mor:	det:art|les&pl n|cuillère&f-PL=spoon pro:sub|elles
	v:aux|être&PRES&3p adj|rare-PL
%mor:	pro:y|y pro:y|en v:aux|avoir&PRES&3s prep|de adv|partout
	prep|de&les n|cuillère&f-PL=spoon
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|les&pl n|fourchette&f-PL
	det:art|le&m&sg n|couteau&m
%mor:	pro:y|y v:aux|avoir&PRES&3s qn|plus prep|de n|cuillère&f=spoon
	co|hein
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi pro:dem|ça ?
%mor:	det:art|le&m&sg n|coquillage&m ?
%mor:	v|tenir-IMP&2s
%mor:	det:art|une&f&sg pro|autre&sg n|cuillère&f=spoon
%mor:	v|tenir-IMP&2s
%mor:	pro:y|y v:aux|avoir&PRES&3s ?|cellelà adv|aussi
%mor:	pro:dem|ça v:mdl|aller&PRES&3s prep|avec ?|cellelà
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s det:art|les&pl
	adj|petit&f-PL ?
%mor:	v|tenir-IMP&2s
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s prep|pour det:poss|ta&f&sg
	adj|petit&f n|tasse&f
%mor:	v|tenir-IMP&2s
%mor:	det:art|le&m&sg n|poney&m
%mor:	co|non=no
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg
	adj|grand&f n|soucoupe&f
%mor:	adv:place|voilà
%mor:	adv|comme pro:dem|ça n|oui&m
%mor:	co|oui=yes
%mor:	?|cellelà pro:sub|elle v:aux|être&PRES&3s part|casser-PP&f
%mor:	n|papa&m pro:sub|il v:mdl|aller&PRES&3s pro:obj|la v|réparer-INF ?
%mor:	part|taire-PP&m part|luire&PP&m v|dire-FUT&2s pro:dem|ce n|soir&m
%mor:	v|tenir-IMP&2s det:art|le&m&sg n|lit&m prep|de det:poss|ton&m&sg
	n|truc&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|quoi adv|que part|taire-PP&m
	v:aux|avoir&PRES&2s prep|dans det:art|la&f&sg n|main&f ?
%mor:	co|non=no
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|lequel&m&sg ?|celuilà ?
%mor:	det:art|le&m&sg ?|télétubbies ?
%mor:	co|euh ?|dipsi
%mor:	?|dipsi
%mor:	co|oui=yes
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s ?|nono
%mor:	pro:int|quoi adv|donc ?
%mor:	adv|vite
%mor:	det:art|une&f&sg n|urgence&f
%mor:	co|aïe
%mor:	co|allez v|venir-PRES&12s adv|vite
%mor:	v|venir-IMP&2s adv|vite
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s v|mouiller-INF det:poss|ta&f&sg
	n|culotte&f ?|ninette
%mor:	co|bon
%mor:	co|non=no co|non=no
%mor:	co|attention prep|de neg|pas v|glisser-INF
%mor:	on|waouh ?
%mor:	v|sauter-IMP&2s
%mor:	v|venir-IMP&2s adv:place|là adj|petit&f n|fille&f
%mor:	n|oui&m pro:dem|ce$v:exist|être&PRES&3s prep|à n|maman&f
%mor:	part|taire-PP&m n|reste&m-PL neg|pas det:art|une&f&sg n|heure&f
%mor:	conj|ou det:art|une&f&sg adj|grand&f n|fille&f ?
%mor:	prep|de pro:rel|quoi ?
%mor:	co|ah adv|d'accord
%mor:	adv|comme pro:dem|ça
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	pro:dem|ce$v:aux|être&PRES&3s co|bon
%mor:	pro:sub|je n|ferme&f det:art|la&f&sg n|porte&f=door ?
%mor:	pro:dem|ça pro:obj|te v|gratter-PRES&SUB&13s det:art|le&m&sg
	n|sac&m ?
%mor:	co|mhm
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s pro:obj|le v|quitter-INF ?
%mor:	co|ouais=yes ?
%mor:	v|quitter-INF
%mor:	adv|d'accord
%mor:	co|hop
%mor:	v|attendre-IMP&2s
%mor:	v|attendre-IMP&2s
%mor:	co|oui=yes
%mor:	adv|après pro:sub|on pro:obj|le$v|accrocher-FUT&3s adv:place|là
%mor:	co|mh
%mor:	det:art|le&m&sg n|micro&m
%mor:	co|mh
%mor:	pro:int|que$v:aux|être&PRES&3s pro:dem|ce pro:rel|que$pro:sub|elles
	v:aux|avoir&PRES&3p det:poss|tes&pl n|dent&f-PL ?
%mor:	v:mdl|falloir&PRES&3s pro:rel|que part|taire-PP&m n|lave&f-PL
	det:poss|tes&pl n|dent&f-PL ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|finir-PP&m adv:place|là ?
%mor:	co|bah adv|alors
%mor:	n|papa&m adv|aussi v:mdl|falloir&PRES&3s pro:rel|que$pro:sub|il
	pro:refl|se n|lave&f det:art|les&pl n|dent&f-PL ?
%mor:	conj|et n|maman&f adv|aussi ?
%mor:	?|chl adv|aussi
%mor:	adv|tout det:art|le&m&sg n|monde&m
%mor:	adv|tout det:art|le&m&sg n|monde&m
%mor:	pro:y|y pro:y|en v:aux|avoir&PRES&3s adv:place|ici adv|aussi
	n|oui&m
%mor:	pro:sub|elle v:aux|être&PRES&3s adj|grand&f ?|ana ?
%mor:	n|maman&f adv|aussi ?
%mor:	conj|et n|papa&m ?
%mor:	adj|grand&f n|fille&f adv|aussi
%mor:	n|papa&m ?
%mor:	det:art|une&f&sg adj|grand&f n|fille&f ?
%mor:	co|ah co|bon
%mor:	det:art|le&m&sg adj|grand&m n|garçon&m ?
%mor:	adj|grand&m adv|comme pro:dem|ça n|oui&m
%mor:	part|taire-PP&m pro:obj|te n|dépêche&f-PL
%mor:	co|oui=yes
%mor:	det:poss|tes&pl n:let|w n:let|c
%mor:	pro:dem|ça pro:y|y v:aux|être&PRES&3s ?
%mor:	pro|toi&sg co|euh part|taire-PP&m
%mor:	n:let|w n:let|c prep|de ?|chl ?
%mor:	co|non=no
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s pro:rel|que$prep|à
	pro|toi&sg
%mor:	co|oui=yes pro:rel|que$prep|à pro|toi&sg
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|finir-PP&m ?
%mor:	co|non=no ?
%mor:	part|taire-PP&m pro:obj|me$v|appeler-PRES&SUB&2s adv|quand
	part|taire-PP&m v:aux|avoir&PRES&2s part|finir-PP&m
%mor:	co|ah
%mor:	co|ah co|oui=yes
%mor:	co|bah v|attendre-IMP&2s
%mor:	v|attendre-IMP&2s v|attendre-IMP&2s
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	v|prendre-PRES&IMP&12s det:art|le&m&sg
%mor:	adv:place|voilà
%mor:	conj|et co|oui=yes det:art|un&m&sg adj|grand&m
%mor:	v|pencher-IMP&2s pro|toi&sg
%mor:	conj|et pro|toi&sg adv|aussi
%mor:	co|oui=yes
%mor:	v|attendre-IMP&2s
%mor:	co|oh co|oh
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:poss|ta&f&sg n|robe&f pro:dem|ça
%mor:	v|pencher-IMP&2s pro|toi&sg adj|jeune n|fille&f
%mor:	v|mettre-IMP&2s det:art|les&pl n|main&f-PL n|parterre&m=flowerbed
%mor:	adv:place|voilà
%mor:	v|attendre-IMP&2s
%mor:	v|attendre-IMP&2s
%mor:	adv|debout
%mor:	v|attendre-IMP&2s
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s v|tomber-INF prep|avec
	det:poss|tes&pl n|collant&m-PL
%mor:	part|taire-PP&m pro:obj|te$v|arrêter-PRES&SUB&2s n|deux&m
	n|second&f-PL
%mor:	v|tenir-IMP&2s
%mor:	pro:sub|il v:mdl|falloir&PRES&3s re#v|mettre-INF det:art|le&m&sg
	n|micro&m n|chéri&f
%mor:	det:art|le&m&sg n|micro&m ?|nounette
%mor:	v|tenir-IMP&2s
%mor:	co|ah adv|mais pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg pro:int|qui
	det:art|les&pl adj|défait&m det:poss|tes&pl n|poche&f-PL
%mor:	co|oui=yes
%mor:	pro:y|y v:aux|avoir&PRES&3s det:art|un&m&sg n|trou&m prep|pour
	v|mettre-INF
%mor:	v|regarder-IMP&2s
%mor:	pro:dem|ça adv:place|dedans
%mor:	v|regarder-IMP&2s
%mor:	pro:dem|ce$v:aux|être&PRES&3s part|faire-PP&m n|exprès&m prep|pour
	v|fermer-INF det:art|la&f&sg n|poche&f
%mor:	part|taire-PP&m v|voir&IMP&PRES&12s
%mor:	part|taire-PP&m v|passer-PRES&SUB&2s det:art|la&f&sg n|ficelle&f
	adv:place|dedans
%mor:	adv:place|voilà
%mor:	pro:sub|elle v:aux|être&PRES&3s part|fermer-PP&f
%mor:	v|tenir-IMP&2s
%mor:	n|mademoiselle&f
%mor:	co|ouh
%mor:	v|attendre-IMP&2s v|attendre-IMP&2s
%mor:	pro:sub|je dé#v:mdllex|faire-PRES&12s adv|parce adv|que
	part|taire-PP&m v:mdl|aller&PRES&2s pro:obj|la v|déchirer-INF
%mor:	adv:place|voilà
%mor:	co|oups
%mor:	v|mettre-IMP&2s det:art|le&m&sg n|sac&m
%mor:	co|ouais=yes
%mor:	v|tenir-IMP&2s
%mor:	co|oui=yes co|bah part|agrandir-PP&m det:art|le&m&sg co|hein
	adv|maintenant adv|que part|taire-PP&m
	pro:obj|le$v:poss|avoir&PRES&2s part|trouver-PP&m
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s v|continuer-INF ?
%mor:	v|mettre-IMP&2s det:poss|ton&m&sg n|bras&m adv|toute adj|seul&f
%mor:	v|venir-IMP&2s adv:place|là v|venir-IMP&2s adv:place|là
	v|venir-IMP&2s adv:place|là v|venir-IMP&2s adv:place|là
	v|venir-IMP&2s adv:place|là
