%mor:	co|non=no
%mor:	pro:sub|elle v:aux|avoir&PRES&3s adj|dû&m part|tomber-PP&m
%mor:	pro:sub|tu pro:y|y v|arriver-PRES&SUB&2s ?|ninette ?
%mor:	co|non=no ?
%mor:	v|tenir-IMP&2s
%mor:	part|taire-PP&m pro:obj|te$v|asseoir&IMP&2s adv:place|là ?
%mor:	co|non=no adv:place|là ?
%mor:	pro:sub|il pro:y|y v:aux|être&PRES&3s adv:place|là det:art|le&m&sg
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s det:art|une&f&sg n|chaise&f
	adv:place|là adj|bas&m
%mor:	adv|si part|taire-PP&m v:mdl|aller&IMPF&12s
	pro:obj|te$v|asseoir&INF adv:place|dessus
%mor:	co|mh
%mor:	v:mdl|falloir&PRES&3s v|mettre-INF adv|comme pro:dem|ça
	det:art|le&m&sg n|bouchon&m ?
%mor:	co|mh
%mor:	?|qu'estce prep|que part|taire-PP&m v:mdl|vouloir&PRES&12s ?
%mor:	?|qu'estce adv|que ?
%mor:	pro:int|que$v:aux|être&PRES&3s pro:dem|ce pro:int|que pro:sub|je
	pro:obj|te v|donner-PRES&SUB&13s ?
%mor:	det:art|un&m&sg adj|carré&m ?
%mor:	v|regarder-IMP&2s
%mor:	co|oh det:art|le&m&sg n|traîneau&m prep|de&le n|+n|père+n|noël
%mor:	part|taire-PP&m dé#v|coller-PRES&SUB&2s ?
%mor:	co|non=no
%mor:	pro:sub|il v:mdl|falloir&PRES&3s neg|pas v|coller-INF adv|comme
	pro:dem|ça
%mor:	v|venir-IMP&2s v|voir&INF
%mor:	pro:sub|je pro:obj|te n|montre&f
%mor:	pro:sub|je v:mdl|pouvoir&PRES&12s pro:obj|te v|montrer-INF ?
%mor:	co|non=no ?
%mor:	pro:sub|je pro:obj|te v|montrer-PRES&SUB&13s neg|pas ?
%mor:	co|bon
%mor:	co|bon
%mor:	co|bah dé#v|brouiller-IMP&2s pro|toi&sg
%mor:	co|non=no adv|mais pro:dem|ça pro:refl|se dé#v|coller-PRES&SUB&13s
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|de&les
	n|autocollant&m-PL=sticker ?|ana
%mor:	part|taire-PP&m v:poss|avoir&PRES&2s neg|pas n|besoin&m prep|de
	det:art|la&f&sg n|colle&f
%mor:	v|regarder-IMP&2s
%mor:	adv|comme pro:dem|ça
%mor:	co|ohlàlà
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s n|tout&m n|tordu&m
%mor:	co|hop
%mor:	pro:sub|on v|enlever-IMP&2s adv:place|là
%mor:	adv|comme pro:dem|ça
%mor:	adv|puis pro:sub|on v|enlever-PRES&SUB&13s ?|celuilà
%mor:	conj|et pro:sub|on det:art|le&m&sg n|colle&f
%mor:	pro:int|où pro:dem|ce$v:exist|être&PRES&3s pro:rel|que$pro:sub|on
	pro:obj|le v|mettre-PRES&3s ?
%mor:	v|tenir-IMP&2s
%mor:	v|mettre-IMP&2s det:art|le&m&sg adv:place|là adj|haut&m
%mor:	co|ah co|bah co|non=no
%mor:	adv:place|là part|taire-PP&m pro:ind|lui v:aux|avoir&PRES&2s
	part|mettre-PP&m det:art|la&f&sg n|tête&f prep|dans det:art|le&m&sg
	n|décor&m
%mor:	v|tenir-IMP&2s adv:place|là
%mor:	co|bah co|oui=yes
%mor:	adv|tout part|déchirer-PP&m
%mor:	part|taire-PP&m v:exist|être&PRES&2s det:art|un&m&sg adj|petit&m
	n|peu&m v|brusquer-IMP&2s co|hein
%mor:	v:mdl|faire-PRES&12s v|voir&INF
%mor:	pro:sub|on v:mdl|aller&PRES&3s v|réparer-INF
%mor:	adv:place|voilà
%mor:	det:art|le&m&sg n|traîneau&m prep|de&le n|père&m n|noël
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s det:art|une&f&sg n|bougie&f
	?
%mor:	co|allez
%mor:	det:art|une&f&sg n|bougie&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg ?
%mor:	co|oh pro:dem|ce$v:exist|être&PRES&3s pro:rel|quoi pro:dem|ça ?
%mor:	det:poss|mon&m&sg n|sapin&m
%mor:	co|oui=yes det:art|un&m&sg n|arbre&m
%mor:	adv|alors
%mor:	n|sapin&m
%mor:	det:art|un&m&sg n|sapin&m adj|argenté&m
%mor:	det:art|un&m&sg n|escargot&m ?
%mor:	co|mh
%mor:	n|escargot&m
%mor:	co|ah co|bon
%mor:	conj|et pro:dem|ce$v:exist|être&PRES&3s pro:rel|quoi ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|pour det:art|le$n|anniversaire&m
	?
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|pour pro|moi&sg ?
%mor:	co|oh co|merci
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:poss|mon&m&sg n|cadeau&m ?
%mor:	co|merci det:poss|ma&sg ?|ninette
%mor:	v|tenir-IMP&2s
%mor:	det:poss|ton&m&sg n|sapin&m
%mor:	part|taire-PP&m det:art|le&m&sg n|mets&m pro:int|où ?
%mor:	co|oui=yes v:mdl|falloir&PRES&3s pro:obj|le v|coller-INF
	adv:place|là
%mor:	co|allez n|mets&m det:art|le&m&sg adv:place|là adj|haut&m
%mor:	co|allez
%mor:	adv|très adv|bien
%mor:	pro:int|que$v:aux|être&PRES&3s pro:dem|ce pro:rel|que$pro:sub|il
	pro:y|y v:aux|avoir&PRES&3s ?
%mor:	v|attendre-IMP&2s
%mor:	co|oh det:art|une&f&sg n|bougie&f
%mor:	co|oui=yes
%mor:	v:mdl|falloir&PRES&3s v|coller-INF det:art|la&f&sg n|bougie&f
%mor:	pro:obj|te$v|arriver-PRES&SUB&2s neg|pas pro|toi&sg ?
%mor:	pro:sub|on v:mdl|aller&PRES&3s prep|en n|sortir&m det:art|un&m&sg
	adj|petit&m n|peu&m adv|comme pro:dem|ça
%mor:	adv|puis det:art|les&pl pro|autres&pl pro:sub|on
	v:mdl|aller&PRES&3s pro:obj|les v|garder-INF
%mor:	adv|d'accord ?
%mor:	adv|alors
%mor:	v:mdl|faire-PRES&12s v|voir&INF
%mor:	pro:obj|nous v:aux|avoir&PRES&1p pro:int|quoi ?
%mor:	det:art|la&f&sg n|bougie&f pro:sub|on det:art|la&f&sg n|colle&f ?
%mor:	adv:place|là adj|haut&m ?
%mor:	part|taire-PP&m n|mets&m n|tout&m prep|en adj|haut&m co|hein
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg ?
%mor:	adv|d'accord
%mor:	co|hop
%mor:	v|tenir-IMP&2s
%mor:	det:art|la&f&sg adj|beau&f&sg=pretty n|bougie&f
%mor:	co|ouais=yes n|super&m
%mor:	pro:sub|elle v:exist|être&PRES&3s det:art|un&m&sg n|peu&m n|tordu&f
	co|hein
%mor:	co|oh v|regarder-IMP&2s det:art|le&m&sg n|père&m n|noël prep|avec
	det:poss|sa&f&sg n|hotte&f
%mor:	conj|et pro|tous&m&pl det:art|les&pl n|cadeau&m-PL adv:place|là
%mor:	part|taire-PP&m det:art|le&m&sg v:mdl|vouloir&PRES&12s neg|pas ?
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s pro:int|quoi
%mor:	co|ah det:art|un&m&sg adj|petit&m n|ange&m
%mor:	adv|encore ?
%mor:	conj|et pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s pro:int|quoi ?
%mor:	n|bichette&f=term_of_endearment
%mor:	co|mh
%mor:	conj|et co|oui=yes pro:dem|ce v:aux|être&PRES&3p det:art|les&pl
	adj|même&m-PL=same
%mor:	conj|et pro:dem|ça ?
%mor:	co|oh co|bah adv|d'accord
%mor:	adv:place|là ?
%mor:	prep|à n|côté&m prep|de&le n|sapin&m ?
%mor:	v|tenir-IMP&2s
%mor:	v|tourner-INF ?
%mor:	adv|comme pro:dem|ça ?
%mor:	v|tenir-IMP&2s
%mor:	adv|d'accord
%mor:	co|ah co|bah pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg
	pro:rel|qui pro:sub|il$v:aux|avoir&PRES&2s adj|mi&m-PL=half
	n|tordu&m co|hein
%mor:	co|ah co|bah det:art|une&f&sg n|fois&f
	pro:dem|ce$v:exist|être&PRES&3s part|coller-PP&m
	pro:dem|ce$v:aux|être&PRES&3s part|coller-PP&m
%mor:	v:mdl|pouvoir&PRES&3s prep|plus v:mdllex|faire-INF
%mor:	prep|plus n|rien&m v:mdllex|faire-INF
%mor:	co|ouais=yes
%mor:	pro:int|que$v:aux|être&PRES&3s pro:dem|ce pro:rel|que$pro:sub|il
	pro:y|y v:aux|avoir&PRES&3s ?
%mor:	co|oh
%mor:	conj|et pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s pro:int|quoi ?
%mor:	co|oh pro:y|y v:aux|avoir&PRES&3s ?|némo
%mor:	part|taire-PP&m v:mdllex|vouloir&PRES&12s pro:rel|que$pro:sub|on
	v|lire-SUB&1s ?|némo ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg pro:int|qui n|lit&m ?
%mor:	adv|après ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v|continuer-INF conj|ou
	pro:sub|je v|ranger-PRES&SUB&13s ?
%mor:	pro:sub|je det:art|le&m&sg n|mets&m pro:int|où ?
%mor:	co|oui=yes pro:dem|ce v:aux|être&PRES&3p adv|encore det:art|les&pl
	adj|même&m-PL=same
%mor:	co|oui=yes
%mor:	pro:dem|ce v:aux|être&PRES&3p det:art|les&pl adj|même&m-PL=same
%mor:	co|mh
%mor:	n|pareille&f
%mor:	?|celuilà pro:sub|on v|mettre-PRES&3s ?
%mor:	co|béh v|ramasser-IMP&2s
%mor:	n|comment&m pro:dem|ça co|non=no ?
%mor:	v|ramasser-PRES&SUB&13s det:art|les&pl n|crayon&m-PL adv|si
	pro:sub|il pro:obj|te v|plaire-PRES&3s
%mor:	co|allez ?|pestouillette
%mor:	n|comment&m pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s n|maman&f ?
%mor:	v|tenir-IMP&2s
%mor:	v|mettre-IMP&2s det:art|le&m&sg det:poss|ton&m&sg n|truc&m
%mor:	det:poss|ton&m&sg n|traîneau&m
%mor:	conj|et part|taire-PP&m pro:obj|me v|donner-FUT&2s det:art|les&pl
	n|crayon&m-PL
%mor:	v|mettre-IMP&2s det:art|le&m&sg adv:place|là adj|bas&m
%mor:	co|ah pro:dem|ce$v:aux|être&PRES&3s pro|moi&sg ?
%mor:	v|ramasser-PRES&SUB&13s det:art|les&pl n|stylo&m-PL
%mor:	co|oui=yes
%mor:	adv|d'accord
%mor:	co|merci
%mor:	pro:int|où pro:sub|elle v:aux|être&PRES&3s det:art|la&f&sg
	v|boiter-PRES&SUB&13s ?
%mor:	?|ana
%mor:	co|oui=yes
%mor:	adv|mais v|donner-IMP&2s pro|moi&sg co|la v|boiter-PRES&SUB&13s
%mor:	v:mdl|falloir&PRES&3s pro:rel|que pro:sub|je
	dé#v|couper-PRES&SUB&13s ?
%mor:	part|taire-PP&m pro:obj|me v|ramasser-PRES&SUB&2s det:art|les&pl
	n|crayon&m-PL adv|si pro:sub|il pro:obj|te v|plaire-PRES&3s
%mor:	co|non=no ?
%mor:	pro:sub|il v:mdl|falloir&PRES&3s pro:obj|le dé#v|couper-INF ?
%mor:	co|non=no ?
%mor:	co|bon
%mor:	v|donner-IMP&2s pro|moi&sg det:art|les&pl det:art|le&m&sg
	n|crayon&m
%mor:	co|non=no
%mor:	v|donner-IMP&2s
%mor:	n|dépêche&f pro|toi&sg
%mor:	co|allez
%mor:	co|allez ?|nine
%mor:	n|dépêche&f pro|toi&sg pro:sub|je pro:obj|te v|dire-PRES&PASS&12s
%mor:	adv|forcément co|hein part|taire-PP&m v|trouver-PRES&SUB&2s
	det:art|une&f&sg n|excuse&f
%mor:	co|ouais=yes
%mor:	co|ouais=yes
%mor:	pro:sub|on v|enlever-PRES&SUB&13s pro:dem|ça ?
%mor:	v|attendre-IMP&2s v|attendre-IMP&2s pro:obj|te$pro:y|en
	v:mdl|aller&PRES&3s neg|pas
%mor:	pro:y|y v:aux|avoir&PRES&3s det:art|le&m&sg n|micro&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg ?
%mor:	adv|parce pro:rel|que$pro:sub|on part|faire-PP&m v|rentrer-INF
	n|tout&m det:art|le&m&sg n|froid&m
%mor:	co|oui=yes
%mor:	part|taire-PP&m v:aux|être&PRES&2s part|tomber-PP&f prep|de
	det:art|le$n|échelle&f
%mor:	pro:dem|ça pro:y|y v:exist|être&PRES&3s n|mademoiselle&f ?
%mor:	v|tourner-IMP&2s
%mor:	co|bah co|oui=yes
%mor:	conj|et adv|mais part|taire-PP&m v:aux|avoir&PRES&2s adv|toujours
%mor:	adv:place|voilà
%mor:	adv|comme pro:dem|ça ?
%mor:	co|mh
%mor:	co|bon
%mor:	part|taire-PP&m pro:obj|me$v|appeler-PRES&SUB&2s adv|quand
	part|taire-PP&m v:aux|avoir&PRES&2s part|finir-PP&m
%mor:	part|taire-PP&m pro:obj|te v|moquer-PRES&SUB&2s adv:place|là
%mor:	?|nine
%mor:	co|oui=yes
%mor:	pro:dem|ça pro:y|y v:aux|être&PRES&3s
%mor:	n|super&m
%mor:	n|super&m
%mor:	co|allez
%mor:	v|attendre-IMP&2s
%mor:	part|taire-PP&m v:aux|être&PRES&2s part|accrocher-PP&f
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	v|sauver-IMP&2s pro|toi&sg
%mor:	v|sauver-IMP&2s pro|toi&sg
%mor:	v|tenir-IMP&2s
%mor:	part|taire-PP&m v:aux|être&PRES&2s n|arrivée&f prep|à
	det:art|le&m&sg re#v|mettre-INF ?
%mor:	co|oh
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|faire-PP&m det:art|un&m&sg
	n|câlin&m=coaxing ?
%mor:	co|oh co|oui=yes co|bah pro:dem|ce$v:exist|être&PRES&3s
	adj|gentil&m
%mor:	pro:sub|tu v:mdl|pouvoir&PRES&12s v|avancer-INF ?
%mor:	pro:rel|que$pro:sub|il part|faire-PP&m n|froid&m adv:place|là
%mor:	v|venir-IMP&2s
%mor:	pro:sub|on v:mdl|aller&PRES&3s adv:place|là adj|bas&m
%mor:	part|taire-PP&m det:art|le&m&sg n|mets&m pro:int|où pro:sub|je
	pro:obj|te$v|aider-IMP&2s ?
%mor:	co|non=no pro:sub|je pro:obj|te$v|aider-IMP&2s neg|pas ?
%mor:	adv|quand adj|même&m=same det:art|un&m&sg adj|petit&m n|peu&m ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s co|bon ?
%mor:	adv|mais pro:sub|il v:aux|être&PRES&3s part|mettre-PP&m prep|comme
	pro:sub|il v:mdllex|falloir&IMP&2s adv:place|là
%mor:	v|attendre-IMP&2s adv|parce conj|que prep|de&le n|coup&m=blow
	pro:sub|tu v:aux|avoir&PRES&2s n|tout&m adj|mi&m-PL=half
	adv:place|dessous
%mor:	co|hop
%mor:	co|hop
%mor:	adv:place|voilà
%mor:	pro:dem|ça v:mdl|devoir&PRES&3s v:aux|être&INF adv|comme pro:dem|ça
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s prep|sur det:art|la&f&sg
	n|robe&f ?
%mor:	pro:sub|on pro:obj|le v|mettre-PRES&3s adv:place|là ?
%mor:	pro:dem|ça v:mdl|aller&PRES&3s adv:place|là ?
%mor:	v|ramasser-IMP&2s det:poss|mes&pl n|crayon&m-PL ?|ana
%mor:	co|mm part|taire-PP&m v:aux|avoir&PRES&2s part|entendre-PP&m
	det:art|le&m&sg n|bruit&m prep|de&le n|papier&m
%mor:	v|tenir-IMP&2s
%mor:	pro:sub|il v:aux|être&PRES&3s adv:place|là det:art|le&m&sg n|tien&m
%mor:	co|mh ?
%mor:	det:art|un&m&sg adj|bleu&m ?
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas adv|si pro:sub|il prep|en
	n|reste&m prep|de&les adj|bleu&m-PL
%mor:	co|hein
%mor:	co|mh
%mor:	?|qu'estce prep|que part|taire-PP&m pro:obj|me v|dire-PRES&PASS&12s
	?
%mor:	prep|de n|rien&m
%mor:	co|mh
%mor:	co|mhm
%mor:	v|mettre-IMP&2s prep|dans det:art|la&f&sg n|poubelle&f
	det:art|le&m&sg n|papier&m
%mor:	n|poubelle&f
%mor:	adj|petit&m n|clown&m
%mor:	co|allez v|venir-IMP&2s
%mor:	co|oui=yes pro:sub|je v|venir-IMP&2s
%mor:	co|bon adv|alors det:dem|ces&m&pl n|crayon&m-PL
%mor:	v|donner-IMP&2s
%mor:	co|non=no co|non=no
%mor:	adv|mais part|taire-PP&m v|venir-PRES&12s pro:obj|me$v|aider-INF
	pro|toi&sg
%mor:	prep|à v|aider-INF
%mor:	co|mh
%mor:	co|bon co|euh
%mor:	v|ramasser-IMP&2s
%mor:	co|allez
%mor:	co|oui=yes pro:sub|je pro:obj|te v|donner-PRES&SUB&13s
	det:art|un&m&sg n|coup&m=blow prep|de n|main&f
%mor:	v|ramasser-PRES&SUB&13s det:art|le&m&sg n|reste&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s adv|trop adv|lourd ?
%mor:	co|mhm
%mor:	n|quatre&m
%mor:	pro:dem|ça pro:y|y v:aux|être&PRES&3s pro:sub|on
	v:aux|avoir&PRES&3s n|tout&m adj|rangé&m ?
%mor:	adv|comme pro:dem|ça
%mor:	conj|et det:art|le&m&sg n|dernier&m
%mor:	adv:place|là
%mor:	v|regarder-IMP&2s
%mor:	adv:place|là n|devant&m pro:y|y v:aux|avoir&PRES&3s prep|de
	det:art|la&f&sg n|place&f
%mor:	co|bah
%mor:	adv:place|voilà
%mor:	prep|dans det:art|le$pro|autre&sg n|sens&m
%mor:	co|non=no ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s co|bon
%mor:	co|allez
%mor:	v|pousser-IMP&2s pro|toi&sg
%mor:	co|ah pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg
%mor:	adv|encore ?|celuilà ?
%mor:	part|taire-PP&m n|colle&f-PL adv|toujours det:art|le&m&sg adv|même
	co|hein
%mor:	adv:place|là prep|en adv:place|dessous ?
%mor:	?|qu'estce prep|que pro:sub|il pro:y|y v:aux|avoir&PRES&3s ?
%mor:	pro:sub|on pro:obj|le v|mettre-PRES&3s pro:dem|ce n|chariot&m ?
%mor:	pro:dem|ce n|traîneau&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s ?|nemo pro:dem|ça ?
%mor:	co|ah co|oui=yes
%mor:	pro:dem|ce$v:aux|être&PRES&3s ?|martin ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s ?|martin det:poss|son&m&sg n|papa&m ?
%mor:	co|mhm
%mor:	conj|et pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s pro:rel|qui
	pro:dem|ça ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg adj|méchant&m=evil ?
%mor:	adv|comment pro:sub|il pro:refl|se$v|appeler-PRES&SUB&13s ?
%mor:	n|comment&m ?
%mor:	pro:sub|je$v:aux|avoir&PRES&1s neg|pas part|comprendre-PP&m
%mor:	n|magie&f ?
%mor:	co|ah
%mor:	co|ouais=yes
%mor:	pro:sub|il pro:refl|se$v|appeler-IMP&2s adv|comme pro:dem|ça ?
%mor:	pro:sub|il pro:refl|se$v|appeler-PRES&SUB&13s neg|pas ?|bruce ?
%mor:	n|si&m ?
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas
%mor:	pro:sub|il pro:obj|me v|sembler-PRES&SUB&13s
%mor:	v:mdl|falloir&PRES&3s pro:rel|que pro:sub|je re#v|lire-PRES&SUB&13s
	adv|mais
%mor:	pro:sub|je v|croire&PRES&12s adv|que pro:dem|ce$v:aux|être&PRES&3s
	det:gen|quelque n|chose=thing adv|comme pro:dem|ça
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|requin&m ?
%mor:	det:art|le&m&sg n|requin&m
%mor:	?|bruce
%mor:	pro:sub|je v|croire&PRES&12s co|hein
%mor:	v|attendre-IMP&2s
%mor:	pro:sub|on v:mdl|aller&PRES&3s v|regarder-INF
%mor:	co|ohlàlà adv:place|là
%mor:	co|ah co|oui=yes part|taire-PP&m v|voir&IMP&PRES&12s
%mor:	?|bruce det:art|le&m&sg n|requin&m
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s pro:int|quoi ?
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s adv|aussi det:art|un&m&sg
	n|requin&m
%mor:	co|oui=yes
%mor:	pro:dem|ça adv|aussi det:art|un&m&sg n|requin&m
%mor:	?|nemo part|taire-PP&m det:art|le&m&sg v|voir&IMP&PRES&12s ?|nemo
%mor:	co|non=no
%mor:	pro:sub|il v:aux|être&PRES&3s neg|pas adv:place|là
%mor:	co|ah co|oui=yes
%mor:	adv:place|là n|devant&m
%mor:	conj|et part|luire&PP&m pro:dem|ce$v:aux|être&PRES&3s
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas
%mor:	adv|comment pro:sub|il pro:refl|se$v|appeler-PRES&SUB&13s ?
%mor:	v|attendre-IMP&2s
%mor:	pro:sub|on v:mdl|aller&PRES&3s v|regarder-INF
%mor:	co|oui=yes pro:dem|ce$v:exist|être&PRES&3s det:art|le&m&sg
	n|copain&m prep|de ?|nemo co|euh ?|nemo
%mor:	pro:dem|ce$v:aux|être&PRES&3s n|corail&m&sg
%mor:	co|ouais=yes
%mor:	co|oui=yes
%mor:	n|marin&m det:art|le&m&sg n|papa&m
%mor:	det:art|le&m&sg co|euh n|couvercle&m
%mor:	co|hop
%mor:	pro:sub|on v:mdl|aller&PRES&3s pro:obj|le v|mettre-INF co|la
	adv:place|dedans
%mor:	det:art|les&pl n|crayon&m-PL det:art|les&pl n|ciseau&m-PL adv|aussi
%mor:	co|hop
%mor:	co|ouais=yes
%mor:	adv|encore det:art|le&m&sg n|requin&m ?
%mor:	adv|alors n|comment&m pro:sub|il pro:refl|se$v|appeler-PRES&SUB&13s
%mor:	?|nemo
%mor:	pro:y|y v:aux|avoir&PRES&3s ?|dori prep|à n|côté&m ?
%mor:	det:poss|sa&f&sg n|copine&f
%mor:	co|mhm
%mor:	part|taire-PP&m v|manger-PRES&SUB&2s det:poss|ton&m&sg n|truc&m
	adv:place|là pro:int|qui v:aux|être&PRES&3s prep|en n|train&m
	prep|de v|fondre-INF
%mor:	co|ohoh
%mor:	adv:place|là pro:y|y v:aux|avoir&PRES&3s det:art|les&pl
	n|caillou&m-PL
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|voir&PP&m ?
%mor:	n|plein&m prep|de n|caillou&m-PL
%mor:	co|mh
%mor:	adv|encore det:art|un&m&sg n|caillou&m
%mor:	det:art|un&m&sg n|caillou&m adj|blanc ?
%mor:	pro:dem|ça pro:dem|ce v:aux|être&PRES&3p prep|de&les n|étoile&f-PL
%mor:	co|ouais=yes
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s prep|de&les n|étoile&f-PL
%mor:	co|mhm
%mor:	pro:sub|il v:aux|être&PRES&3s adj|grand&m ?
%mor:	co|ah pro:sub|il v:aux|être&PRES&3s adv:place|dedans
%mor:	co|ouais=yes
%mor:	pro:sub|il v:aux|être&PRES&3s part|cacher-PP&m adv:place|dedans
%mor:	adv|comme pro:dem|ça co|ouais=yes
%mor:	pro:sub|il v:aux|avoir&PRES&3s det:art|la&f&sg n|tête&f prep|en
	adj|bas&m
%mor:	co|mh
%mor:	co|mhm
%mor:	co|euh part|taire-PP&m v|croire&PRES&12s ?
%mor:	adv|mais pro:sub|elle v:aux|être&PRES&3s adj|jaune det:poss|sa&f&sg
	n|maman&f ?
%mor:	adj|bleu&f n|oui&m
%mor:	co|non=no
%mor:	adj|jaune adv:place|là
%mor:	?|nemo pro:sub|il v:aux|être&PRES&3s n|orange
%mor:	conj|et adj|bleu&m conj|et adj|bleu&m
%mor:	co|oui=yes pro:dem|ce$v:exist|être&PRES&3s adv|encore ?|nemo
	pro:dem|ça
%mor:	co|mhm
%mor:	conj|et adv:place|là pro:int|que$v:aux|être&PRES&3s pro:dem|ce
	pro:rel|que$pro:sub|on v:aux|avoir&PRES&3s adv:place|là
%mor:	co|oui=yes
%mor:	co|mhm
%mor:	co|oh
%mor:	co|oui=yes
%mor:	conj|et pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s pro:int|quoi ?
%mor:	part|taire-PP&m
%mor:	co|oh
%mor:	pro:dem|ça v|ressembler-PRES&SUB&13s prep|à det:art|une&f&sg
