%mor:	det:poss|ta&f&sg n|fourchette&f conj|et det:poss|ton&m&sg
%mor:	pro:sub|je v|croire&PRES&12s adv|que part|taire-PP&m n|peu&m-PL
	n|sortir&m prep|de det:poss|ton&m&sg n|pot&m=pot ?
%mor:	n|biberon&m
%mor:	pro:int|où pro:sub|il v:aux|être&PRES&3s det:poss|ton&m&sg n|bébé&m
	?
%mor:	pro:sub|il v:aux|être&PRES&3s pro:int|où det:poss|ton&m&sg n|bébé&m
	?
%mor:	?|làbas pro:int|où ?
%mor:	?|làbas
%mor:	part|taire-PP&m det:art|le&m&sg v:mdl|vouloir&PRES&12s ?
%mor:	co|oui=yes co|oui=yes part|taire-PP&m v:aux|avoir&PRES&2s
	part|finir-PP&m ?
%mor:	co|bon n|deux&m adj|second&f-PL^adj|seconde&m-PL pro:sub|je
	re#v|venir-IMP&2s
%mor:	part|taire-PP&m n|peu&m-PL pro:obj|te v|lever-INF det:poss|ma&sg
	?|ninette
%mor:	v|lever-IMP&2s pro|toi&sg ?|ana
%mor:	co|oui=yes pro:y|y pro:y|en v:aux|avoir&PRES&3s num|deux adv|comme
	pro:dem|ça
%mor:	co|ouais=yes
%mor:	pro:y|y pro:y|en v:aux|avoir&PRES&3s det:art|un&m&sg conj|pour
	pro|toi&sg det:art|un&m&sg prep|pour ?|chl
%mor:	v:mdllex|faire-PRES&12s co|dodo det:art|le&m&sg n|bébé&m ?
%mor:	co|oui=yes pro:sub|je v:mdl|aller&PRES&1s pro:obj|te$v|aider-INF
%mor:	conj|et co|ben n|oui&m det:poss|son&m&sg n|chapeau&m adv|alors
%mor:	pro:sub|il v:mdl|aller&PRES&3s v:aux|avoir&INF adj|mal&m&sg
	n|froid&m prep|à det:art|la&f&sg n|tête&f det:poss|ton&m&sg n|bébé&m
%mor:	co|oui=yes part|taire-PP&m part|luire&PP&m v|donner-PRES&SUB&2s
	det:poss|son&m&sg n|biberon&m prep|à det:poss|ton&m&sg n|bébé&m ?
%mor:	part|taire-PP&m pro:y|en v:aux|être&PRES&2s pro:int|où ?
%mor:	adv:place|là ?
%mor:	part|taire-PP&m part|luire&PP&m v|donner-PRES&SUB&2s prep|à
	v|boire&INF ?
%mor:	pro:dem|ça pro:y|y v:aux|être&PRES&3s ?
%mor:	pro:sub|il v:mdl|aller&PRES&3s v:mdl|faire-INF co|dodo ?
%mor:	part|taire-PP&m v|enlever-PRES&SUB&2s prep|pour v|dormir-INF
	det:poss|son&m&sg n|chapeau&m ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:poss|ton&m&sg n|bébé&m ?
%mor:	n|couverture&f
%mor:	n|couverture&f
%mor:	conj|et part|taire-PP&m v:mdl|vouloir&PRES&12s pro:obj|le
	v:mdllex|faire-INF v:mdl|faire-INF co|dodo pro:int|où ?
%mor:	prep|sur prep|sur pro|moi&sg ?
%mor:	co|ah adv:place|là n|parterre&m=flowerbed
%mor:	part|taire-PP&m part|luire&PP&m v:aux|avoir&PRES&2s
	part|mettre-PP&m det:poss|son&m&sg n|coussin&m ?
%mor:	det:art|la&f&sg n|couverture&f prep|de&le n|bébé&m ?
%mor:	pro:sub|il v:mdl|aller&PRES&3s v:mdl|faire-INF co|dodo
%mor:	co|chut
%mor:	pro:sub|il v|dormir-PRES&3s
%mor:	pro:sub|il v|dormir-PRES&3s pro:dem|ce n|bébé&m adv:place|là ?
%mor:	co|non=no pro:sub|il v|dormir-PRES&3s qn|plus
%mor:	co|ah prep|dans det:art|le&m&sg n|bain&m
%mor:	pro:sub|il v:mdllex|faire-PRES&3s co|dodo prep|dans det:art|la&f&sg
	n|baignoire&f ?
%mor:	pro:rel|que$v:exist|être&PRES&3s pro:dem|ce adv|que part|taire-PP&m
	v|chercher-PRES&SUB&2s ?|nounette ?
%mor:	co|ah pro:sub|il v:aux|avoir&PRES&3s n|soif&f det:poss|ton&m&sg
	n|bébé&m ?
%mor:	pro:dem|ça pro:y|y v:aux|être&PRES&3s
%mor:	pro:sub|il v|dormir-PRES&3s pro:dem|ce n|bébé&m ?
%mor:	v:mdl|falloir&PRES&3s prep|plus v:mdl|faire-INF prep|de n|bruit&m
	adv|alors
%mor:	adv|mais pro:sub|on v|mettre-PRES&3s neg|pas det:art|un&m&sg
	n|chapeau&m prep|pour v|dormir-INF ?|ana prep|de adv|toute n|façon&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas adj|important&m=important
	conj|si$pro:sub|il v:aux|avoir&PRES&3s neg|pas prep|de n|chapeau&m
%mor:	co|ben co|non=no
%mor:	pro:sub|je$v:aux|avoir&PRES&1s n|rien&m part|comprendre-PP&m ?|ana
%mor:	pro:sub|il v:aux|avoir&PRES&3s n|froid&m det:poss|ton&m&sg n|bébé&m
	?
%mor:	pro:sub|il v:aux|avoir&PRES&3s adv|beaucoup adj|froid&m ?
%mor:	co|ah adv|alors pro:sub|on part|luire&PP&m v|mettre-PRES&3s
	det:art|le&m&sg n|chapeau&m
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s det:art|une&f&sg n|écharpe&f
	adv|aussi ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s det:art|une&f&sg n|écharpe&f
	?
%mor:	co|ah co|ben co|voilà
%mor:	v|attendre-IMP&2s
%mor:	adv|alors pro:int|que$v:aux|être&PRES&3s pro:dem|ce
	pro:rel|que$pro:sub|on part|faire-PP&m prep|avec pro:dem|ce n|bébé&m
	adv:place|là
%mor:	pro:sub|on part|luire&PP&m v|mettre-PRES&3s det:poss|son&m&sg
	n|chapeau&m ?
%mor:	conj|et adv|puis ?
%mor:	conj|et pro:dem|ça ?
%mor:	prep|en n|écharpe&f ?
%mor:	n|autour&m prep|de&le n|cou&m ?
%mor:	v|attendre-IMP&2s
%mor:	v:mdl|falloir&PRES&3s part|luire&PP&m v|cacher-INF det:poss|ses&pl
	n|oreille&f-PL
%mor:	adv:place|voilà
%mor:	pro:dem|ce$v:aux|être&PRES&3s co|bon adv:place|là ?
%mor:	conj|et pro:sub|on part|luire&PP&m v|mettre-PRES&3s pro:dem|ça
	prep|en n|écharpe&f ?
%mor:	adv|d'accord
%mor:	pro:sub|on v:mdl|aller&PRES&3s pro:y|y v|plier-INF conj|alors
	co|hein adv|parce adv|que pro:dem|ce$v:aux|être&PRES&3s
	det:art|une&f&sg adj|grand&f n|écharpe&f
%mor:	v|attendre-IMP&2s
%mor:	pro:sub|on part|faire-PP&m det:art|le$n|écharpe&f
%mor:	adv:place|voilà
%mor:	adv|comme pro:dem|ça ?
%mor:	adv|comme pro:dem|ça ?
%mor:	adv|comme pro:dem|ça
%mor:	adv|alors v|attendre-PRES&12s pro:sub|on v:mdl|aller&PRES&3s
	v:mdl|faire-INF det:art|un&m&sg n|noeud&m
%mor:	co|ah co|voilà
%mor:	co|voilà adv|comme pro:dem|ça pro:sub|il v:aux|avoir&PRES&3s
	qn|plus n|froid&m n|autour&m prep|de det:poss|son&m&sg n|cou&m
	det:poss|ton&m&sg n|bébé&m
%mor:	v|tenir-IMP&2s
%mor:	pro:dem|ce$v:aux|être&PRES&3s co|bon ?
%mor:	co|bon
%mor:	adv|maintenant pro:sub|il v:mdl|pouvoir&PRES&3s v:mdl|faire-INF
	co|dodo prep|à&le adj|chaud&m ?
%mor:	adv|comme pro:dem|ça
%mor:	pro:sub|il v|dormir-PRES&3s prep|sur det:art|le&m&sg n|côté&m
%mor:	pro:sub|il v:aux|avoir&PRES&3s neg|pas prep|de n|doudou&m=blankie
	det:poss|ton&m&sg n|bébé&m prep|pour v|dormir-INF ?
%mor:	part|taire-PP&m v|donner-PRES&SUB&2s det:art|le&m&sg
	n|doudou&m=blankie prep|de ?|chl ?
%mor:	co|oui=yes part|taire-PP&m v:aux|avoir&PRES&2s n|raison&f
%mor:	n|cheval&m&sg ?
%mor:	co|ah pro:y|y v:aux|avoir&PRES&3s n|doudou&m=blankie n|cheval&m&sg
	adv|autrement
%mor:	co|non=no pro:sub|on v|prendre-PRES&3s n|doudou&m=blankie
	adj|manchot&m ?
%mor:	n|manchot&m
%mor:	adv|comment part|taire-PP&m det:art|le&m&sg n|mets&m ?
%mor:	adv|comme pro:dem|ça ?
%mor:	v:mdllex|aller&PRES&2p pro:sub|on v|mettre-PRES&3s det:art|la&f&sg
	n|couverture&f det:poss|mon&m&sg n|coeur&m
%mor:	adv|comme pro:dem|ça ?
%mor:	co|voilà adv|maintenant
%mor:	v:mdl|falloir&PRES&3s prep|plus v:mdl|faire-INF prep|de n|bruit&m
	co|chut
%mor:	co|merci
%mor:	co|chut
%mor:	?|qu'estce prep|que pro:sub|tu pro:obj|me v|vendre-PRES&12s ?|ana ?
%mor:	pro:sub|il v:aux|être&PRES&3s neg|pas adj|beau&m&sg=pretty ?
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|sou&m
	pro:dem|ça
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:dem|celui&m&sg prep|de
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:dem|celui&m&sg prep|de
	det:art|la&f&sg n|maison&f prep|de&les n|sorcier&f-PL
%mor:	part|taire-PP&m v|croire&PRES&12s ?
%mor:	co|non=no pro:y|y pro:y|en v:aux|avoir&PRES&3s det:art|une&f&sg
	conj|pour pro|toi&sg conj|et det:art|une&f&sg conj|pour co|euh ?|chl
%mor:	v|donner-PRES&SUB&13s prep|à ?|chl v:mdl|aller&PRES&3s
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|donner-PP&m
	det:poss|tes&pl n|sou&m-PL ?
%mor:	det:art|le&m&sg n|bébé&m ?
%mor:	co|ah pro:dem|ça pro:y|y v:aux|être&PRES&3s
%mor:	pro:sub|il v:aux|être&PRES&3s re#part|veiller-PP&m
	det:poss|ton&m&sg n|bébé&m ?
%mor:	pro:sub|elle v:aux|être&PRES&3s adv|trop adj|gros&f
	det:art|le$n|écharpe&f ?
%mor:	pro:sub|on pro:obj|le$v|enlever-IMP&2s ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s pro:obj|le v|mettre-INF
	det:art|le&m&sg n|tablier&m ?
%mor:	co|non=no ?
%mor:	v|tenir-IMP&2s
%mor:	pro:obj|te$v|enlever-PRES&SUB&2s det:art|le&m&sg n|chapeau&m
	adv|aussi ?
%mor:	part|faire-PP&m n|dodo&m=sleep ?
%mor:	co|ah co|oui=yes
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v:mdl|faire-INF
	det:art|le&m&sg n|puzzle&m ?
%mor:	part|taire-PP&m v:mdl|vouloir&IMP&2s det:art|le$pro|autre&sg
	n|puzzle&m ?|ana ?
%mor:	part|taire-PP&m det:art|le&m&sg v:mdl|vouloir&PRES&12s ?
%mor:	conj|et pro|toi&sg part|taire-PP&m v|rester-PRES&SUB&2s
	adv:place|là
%mor:	adj|petit&f ?|ana
%mor:	?|ninette part|taire-PP&m v|rester-PRES&SUB&2s adv:place|là
	adv|aussi
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s v|tomber-INF prep|dans
	det:art|les&pl n|escalier&m-PL
%mor:	v|venir-IMP&2s adv:place|là adj|petit&f
%mor:	n|comment&m pro:dem|ça ?
%mor:	co|ouais=yes
%mor:	pro:sub|je pro:obj|vous v:aux|avoir&PRES&1s part|dire-PP&m prep|que
	pro:sub|je$v:exist|être&IMPF&12s adv:place|dessous
%mor:	pro:dem|ça ?|làbas co|ouais=yes
%mor:	v:mdl|faire-PRES&12s co|attention pro|toi&sg prep|avec
	det:poss|tes&pl n|collant&m-PL part|taire-PP&m v|glisser-PRES&SUB&2s
%mor:	co|allez co|oust
%mor:	adv|doucement adv|doucement
%mor:	co|allez co|oust
%mor:	co|ouais=yes v|mettre-PRES&IMP&2p pro:obj|vous prep|sur
	det:art|le&m&sg n|plancher&m
%mor:	pro:obj|vous v:aux|avoir&FUT&2p prep|moins n|froid&m
%mor:	v|attendre-IMP&2s ?|nine
%mor:	n|top&m
%mor:	n|top&m n|top&m pro:sub|on pro:refl|se$v|arrêter-IMP&2s
	adv:place|là
%mor:	?|làbas n|sou&m-PL det:art|la&f&sg n|télé&f=television
%mor:	adv|alors prep|dans det:art|le$pro|autre&sg n|sens&m
%mor:	adv|comme pro:dem|ça
%mor:	adv|comme pro:dem|ça ?|nounette
%mor:	v|regarder-IMP&2s
%mor:	v|attendre-IMP&2s ?|celuilà pro:sub|on pro:obj|le v|mettre-PRES&3s
	adv:place|là
%mor:	?|celuilà pro:sub|on pro:obj|le v|mettre-PRES&3s adv:place|là
%mor:	adv:place|voilà
%mor:	v:mdl|aller&PRES&2s pro:y|y v|accrocher-IMP&2s adv:place|là
%mor:	co|hop
%mor:	v|tenir-IMP&2s
%mor:	?|celuilà adv:place|là
%mor:	prep|avec det:art|les&pl adj|rouge-PL co|hein
%mor:	pro|tous&m&pl det:art|les&pl adj|rouge-PL
%mor:	co|voilà adv|comme pro:dem|ça
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas
%mor:	v|mettre-IMP&2s adv|d'abord pro|tous&m&pl det:art|les&pl
	adj|carré&m-PL
%mor:	v|prendre-PRES&IMP&12s det:art|le$pro|autre&sg adj|bleu&m ?|ana
%mor:	co|non=no pro:sub|il v:mdl|aller&PRES&3s neg|pas adv:place|là
	n|minou&m=kitty
%mor:	v|prendre-PRES&3s det:art|le$pro|autre&sg adj|bleu&m
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas pro:int|où pro:sub|elle
	v:mdl|aller&PRES&3s
%mor:	adv:place|là part|taire-PP&m v|croire&PRES&12s ?
%mor:	co|non=no
%mor:	co|mhm co|mhm
%mor:	co|non=no adv:place|là
%mor:	?|peutêtre co|hein
%mor:	pro:sub|il v:mdl|aller&PRES&3s adv:place|là ?
%mor:	v|tenir-IMP&2s pro:y|en adv:place|voilà det:art|un&m&sg
	pro|autre&sg
%mor:	adv:place|là ?|peutêtre ?|nine
%mor:	conj|ou adv:place|là
%mor:	co|non=no
%mor:	co|non=no qn|plus
%mor:	adv:place|là pro:sub|il v:mdl|aller&PRES&3s ?|nounette pro:sub|je
	v|penser-PRES&SUB&13s
%mor:	v|tenir-IMP&2s v|essayer-PRES&SUB&13s prep|de det:art|le&m&sg
	v|mettre-INF adv:place|là
%mor:	prep|dans det:art|le$pro|autre&sg n|sens&m det:poss|ma&sg n|chéri&f
%mor:	adv|comme pro:dem|ça
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	co|ouais=yes
%mor:	v|tenir-IMP&2s n|chéri&f
%mor:	v|tenir-IMP&2s v|mettre-IMP&2s det:art|le&m&sg n|bord&m
	det:poss|mon&m&sg n|ange&m
%mor:	v|mettre-IMP&2s det:art|le&m&sg det:art|le&m&sg adj|bleu&m
	adv:place|là
%mor:	v|mettre-IMP&2s ?|celuilà det:poss|ma&sg n|chéri&f
%mor:	v|mettre-IMP&2s det:art|le&m&sg ?|ana adv:place|là
%mor:	part|taire-PP&m v|arrêter-PRES&SUB&2s prep|de adv|tout
	v|stocker-INF
%mor:	adv:place|là
%mor:	adv:place|voilà
%mor:	adv|après part|taire-PP&m n|mets&m det:art|le&m&sg adj|petit&m
	prep|que pro:sub|tu v:aux|avoir&PRES&2s prep|sous det:art|les&pl
	n|fesse&f-PL
%mor:	co|allez part|taire-PP&m n|mets&m det:art|le&m&sg adj|petit&m
	n|bout&m adv:place|là
%mor:	co|oui=yes adv:place|là
%mor:	prep|dans det:art|le$pro|autre&sg n|sens&m det:poss|ma&sg n|chéri&f
%mor:	v|tourner-IMP&2s
%mor:	v|tourner-IMP&2s
%mor:	co|non=no
%mor:	co|oui=yes
%mor:	v|tourner-PRES&SUB&13s det:art|le&m&sg adv|maintenant
%mor:	co|oui=yes adv|comme pro:dem|ça adv|très adv|bien
%mor:	co|voilà adv|très adv|bien
%mor:	adv|maintenant part|taire-PP&m n|mets&m det:art|le&m&sg adj|bleu&m
%mor:	det:art|le&m&sg adj|grand&m adj|bleu&m
%mor:	co|oui=yes ?|celuilà
%mor:	adv|très adv|bien
%mor:	v|appuyer-PRES&SUB&13s prep|comme pro:sub|il v:mdl|falloir&PRES&3s
	prep|à&le n|bout&m ?|làbas
%mor:	prep|à&le n|bout&m pro:dem|ça n|marche&f neg|pas adv:place|là
%mor:	adv|encore
%mor:	co|merci
%mor:	co|allez n|mets&m det:art|les&pl pro|autres&pl pro:int|qui
	v|manquer-PRES&3p
%mor:	part|taire-PP&m n|mets&m ?|daisy conj|et n|dingo&m ?|donald
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s ?|daisy co|oui=yes
%mor:	pro:sub|il v:mdl|devoir&PRES&3s v:mdl|aller&INF adv:place|là
%mor:	co|allez n|mets&m ?|donald conj|et det:art|le&m&sg n|perroquet&m
