%mor:	co|ben conj|ou conj|sinon part|taire-PP&m pro:obj|te n|mets&m
	prep|dessus conj|et none|puis prep|avec ?|arthur
%mor:	adv|quand part|taire-PP&m n|étai&m-PL adv|toute adj|petit&f
%mor:	pro:sub|on v:aux|avoir&PRES&3s adv|bien part|rigoler-PP&m co|hein
%mor:	part|taire-PP&m v|raconter-PRES&SUB&2s prep|à ?|aliyah
	pro:rel|que$v:int|est–ce adv|que part|taire-PP&m v:aux|avoir&PRES&2s
	part|faire-PP&m prep|chez ?|véro adv|comme n|décoration&f prep|pour
	n|pâques ?
%mor:	adv|alors pro:rel|que$v:int|est–ce adv|que part|taire-PP&m
	v:aux|avoir&PRES&2s part|faire-PP&m part|taire-PP&m
	v|dire-PRES&PASS&12s ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s pro:obj|le$v|asseoir&INF
	adv:place|à–côté=aside prep|de pro|moi&sg
%mor:	?|anaé part|taire-PP&m v:mdl|savoir&PRES&12s part|taire-PP&m
	v:aux|avoir&PRES&2s part|voir&PP&m v|regarder-PRES&SUB&13s
	pro:sub|il pro:y|y v:aux|avoir&PRES&3s
	det:gen|quelque$det:art|un&m&sg pro:int|qui v:aux|avoir&PRES&3s
	part|oublier-PP&m det:art|une&f&sg n|écharpe&f
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s pro:int|qui
	pro:dem|ce$v:exist|être&PRES&3s ?
%mor:	pro:y|y v:aux|avoir&IMPF&3s pro:int|qui n|hier&m ?
%mor:	adv|que pro|moi&sg pro:sub|je$v:aux|être&IMPF&12s neg|pas
	adv:place|là pro:sub|je v:mdl|savoir&PRES&12s neg|pas
%mor:	pro:int|qui v:int|est–ce pro:int|qui v:aux|être&PRES&3s
	part|venir-PP&m ?
%mor:	pro:int|qui v:int|est–ce pro:int|qui v:aux|être&PRES&3s
	part|venir-PP&m prep|à det:art|la&f&sg n|maison&f n|hier&m ?
%mor:	n|hier&m n|soir&m pro:y|y v:aux|avoir&IMPF&3s pro:int|qui prep|à
	det:art|la&f&sg n|maison&f ?
%mor:	pro:int|qui v:mdl|faire-IMPF&3s pro:int|qui v:mdl|faire-IMPF&3s
	prep|de det:art|la&f&sg n|musique&f prep|avec n|papa&m
%mor:	pro:int|qui v:int|est–ce pro:int|qui part|faire-PP&m prep|de
	det:art|la&f&sg n|musique&f prep|avec n|papa&m ?
%mor:	pro:sub|il v:mdl|faire-PRES&3s pro:int|quoi prep|comme
	n|instrument&m ?|christophe ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il part|faire-PP&m
	prep|comme n|instrument&m ?
%mor:	adv|alors ?
%mor:	pro:sub|il part|faire-PP&m pro:int|quoi ?|christophe adv|comme
	n|instrument&m part|taire-PP&m det:art|le&m&sg v:mdl|savoir&PRES&12s
	?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi ?
%mor:	pro:int|qui v:int|est–ce pro:int|qui part|faire-PP&m prep|de
	det:art|la&f&sg n|trompette ?
%mor:	co|ouais=yes
%mor:	conj|et ?|christophe pro:sub|il part|faire-PP&m pro:int|quoi ?
%mor:	prep|de det:art|la&f&sg
%mor:	prep|de det:art|la&f&sg pro:int|quoi ?
%mor:	n|contre&m
%mor:	prep|de det:art|la&f&sg pro:int|quoi ?
%mor:	co|oui=yes
%mor:	conj|et pro:y|y v:aux|avoir&IMPF&3s pro:int|qui adv|de pro|autre&sg
	?
%mor:	pro:y|y v:aux|avoir&IMPF&3s n|olive&f ?
%mor:	conj|et n|olive&f pro:sub|il v:mdl|faire-PRES&3s pro:int|quoi
	prep|comme n|instrument&m ?
%mor:	conj|et conj|et adv|puis pro:int|qui adv|de pro|autre&sg ?
%mor:	co|non=no pro:sub|il pro:y|y pro:y|en v:aux|avoir&IMPF&3s
	det:art|un&m&sg pro|autre&sg adv|aussi
%mor:	det:poss|ton&m&sg n|parrain&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|qui det:poss|ton&m&sg
	n|parrain&m pro:dem|ce$v:exist|être&PRES&3s pro:rel|qui
	det:poss|ton&m&sg n|parrain&m ?
%mor:	co|ah conj|et ?|zoum pro:sub|il part|faire-PP&m prep|de
	pro:rel|quoi ?
%mor:	prep|de&le adv|aussi ?
%mor:	co|allez n|mets&m pro|toi&sg adv|debout
%mor:	v:int|est–ce adv|que part|taire-PP&m v:mdllex|vouloir&PRES&12s
	pro:rel|que$pro:sub|on v|regarder-PRES&SUB&13s det:art|le&m&sg
	n|livre n|ensemble&m ?
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s pro:obj|le v|chercher-INF ?
%mor:	det:art|le&m&sg n|livre pro:int|qui v:aux|être&PRES&3s
	adv:place|à–côté=aside prep|de det:art|la&f&sg n|vache&f
%mor:	det:art|le&m&sg n|livre adv:place|là
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s pro:obj|me pro:obj|le
	v|chercher-INF
%mor:	co|ouais=yes
%mor:	adv|comment pro:sub|il pro:refl|se$v|appeler-IMP&2s pro:dem|ce
	v|livrer-PRES&SUB&13s part|taire-PP&m v:mdl|savoir&PRES&12s ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|livre pro:int|qui
	pro:refl|se$v|appeler-PRES&SUB&13s ?
%mor:	n|crotte&f
%mor:	prep|de n|nez&m
%mor:	n|crotte&f prep|de n|nez&m
%mor:	co|oh pro:dem|ce$v:exist|être&PRES&3s pro:rel|qui pro:ind|lui ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il part|faire-PP&m ?
%mor:	co|oh v|regarder-IMP&2s
%mor:	n|jules&m conj|et ?|julie v|étayer-PRES&3p n|voisin&m-PL
%mor:	adv|alors v|regarder-IMP&2s pro:sub|ils v:mdl|aller&PRES&3p
	pro:sub|ils v|traverser-PRES&3p det:art|la&f&sg n|forêt&f prep|pour
	v:mdl|aller&INF prep|à det:art|le$n|école&f
%mor:	v|regarder-IMP&2s part|luire&PP&m pro:dem|ce$v:aux|être&PRES&3s
	n|jules&m
%mor:	pro:int|que$v:int|est–ce prep|que pro:dem|ce$v:aux|être&PRES&3s
	prep|comme n|animal&m&sg ?
%mor:	conj|et pro:sub|elle pro:dem|ce$v:exist|être&PRES&3s ?|julie
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|cochon&m ?|julie ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi ?
%mor:	co|oui=yes
%mor:	adv|alors pro:sub|ils pro:refl|se v|promener-PRES&3p prep|dans
	det:art|la&f&sg prep|dans det:art|la&f&sg n|forêt&f conj|et conj|et
	conj|et pro:rel|que$v:int|est–ce pro:rel|qui pro:refl|se
	v|passer-PRES&SUB&13s ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il part|faire-PP&m ?
%mor:	co|non=no v|regarder-IMP&2s pro:dem|ce$v:exist|être&PRES&3s neg|pas
	det:poss|sa&f&sg n|dent&f pro:dem|ce$v:exist|être&PRES&3s
	det:poss|sa&f&sg n|griffe&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg adj|même&m=same
	n|couleur&f prep|que det:poss|ses&pl n|dent&f-PL adv|mais
	pro:dem|ce$v:aux|être&PRES&3s prep|de&les n|griffe&f-PL prep|en
	part|faire-PP&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|comme prep|de&les adj|grand&m-PL
	n|ongle&m-PL
%mor:	adv|alors pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|il
	part|faire-PP&m prep|avec det:poss|ses&pl n|griffe&f-PL ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il part|faire-PP&m ?
%mor:	pro:sub|il v|essayer-PRES&SUB&13s adv|de v|attraper-INF=catch ?
%mor:	conj|et adv|comment pro:sub|il pro:refl|se$v|appeler-IMP&2s
	det:art|le&m&sg n|cochon&m pro:sub|on v:aux|avoir&PRES&3s
	part|dire-PP&m ?
%mor:	co|hum ?
%mor:	n|jules&m
%mor:	co|oui=yes n|jules&m
%mor:	co|han v|regarder-IMP&2s
%mor:	pro:sub|il det:art|les&pl v:aux|avoir&PRES&3s
	part|attraper-PP&m&pl=catch conj|et pro:sub|il det:art|les&pl
	v:aux|avoir&PRES&3s part|mettre-PP&m prep|dans det:art|un&m&sg
	n|gros&m n|sac&m adj|rouge
%mor:	conj|et adv:place|là pro:sub|il det:art|les&pl pro:sub|il
	det:art|les&pl adj|amène&m=affable pro:int|où ?
%mor:	pro:int|où v:int|est–ce pro:rel|que$pro:sub|il pro:obj|les
	v|mettre-PRES&3s ?
%mor:	prep|dans det:art|une&f&sg n|prison&f
%mor:	adv|alors
%mor:	co|ah co|voilà v|regarder-IMP&2s
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il part|faire-PP&m
	adv:place|là n|jules&m ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il part|faire-PP&m ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il part|faire-PP&m ?
%mor:	adv:int|pourquoi ?
%mor:	adv|parce prep|que pro:rel|quoi ?
%mor:	pro:sub|il re#v|tirer-PRES&SUB&13s det:art|une&f&sg adj|gros&f
	n|crotte&f prep|de n|nez&m adj|gluant&f=sticky
%mor:	det:art|le&m&sg
%mor:	n|jules&m v|regarder-IMP&2s pro:sub|il v:aux|avoir&PRES&3s
	re#part|tirer-PP&m det:art|une&f&sg n|crotte&f prep|de n|nez&m
	prep|de det:poss|son&m&sg n|nez&m
%mor:	conj|et pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|il
	part|faire-PP&m pro:sub|il co|la v|mettre-PRES&3s prep|dans
	det:poss|sa&f&sg
%mor:	co|beurk
%mor:	v|regarder-IMP&2s
%mor:	det:art|le&m&sg n|loup&m pro:dem|ça pro:obj|le v|rendre-PRES&3s
	n|malade pro:sub|il v:aux|être&PRES&3s n|tout&m adj|vert&m
%mor:	adv|alors n|jules&m pro:sub|il v|mettre-PRES&3s det:poss|son&m&sg
	pro|autre&sg n|doigt&m prep|dans n|son&m=sound pro|autre&sg
	n|narine&f
%mor:	pro:sub|il v|enlever-PRES&SUB&13s det:art|une&f&sg n|crotte&f
	prep|de n|nez&m adv|encore adv|plus adj|gros&f
%mor:	conj|et pro:sub|il co|la v|mettre-PRES&3s prep|dans
	det:poss|sa&f&sg n|bouche&f
%mor:	prep|en part|faire-PPRE co|miam co|miam co|miam
%mor:	conj|alors adv:place|là det:art|le&m&sg n|loup&m pro:sub|il
	v:aux|être&PRES&3s prep|de adv|plus pro:y|en adv|plus adj|malade&m
	v|regarder-IMP&2s co|oh pro:sub|il v:aux|être&PRES&3s adv|tout
	adj|vert&m
%mor:	pro:sub|il pro:refl|se v|jeter-PRES&SUB&13s prep|sur
	det:art|le&m&sg adj|petit&m n|cochon&m
%mor:	conj|et adv:place|là pro:rel|que$v:int|est–ce
	pro:rel|que$pro:sub|il part|faire-PP&m n|jules&m ?
%mor:	pro:sub|il v:mdllex|faire-PRES&3s co|prout
%mor:	pro:dem|ça adv|alors
%mor:	pro:sub|il part|faire-PP&m det:art|un&m&sg n|gros&m n|prout&m=fart
	conj|et det:art|une&f&sg n|horrible&m n|odeur&f pro:refl|se
	v|répandre-PRES&3s prep|dans det:art|la&f&sg n|pièce&f
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|voir&PP&m det:art|le&m&sg
	n|loup&m adv|comment pro:sub|il v:aux|être&PRES&3s
%mor:	co|oh pro:sub|il v:aux|être&PRES&3s n|tout&m n|malade
%mor:	v|regarder-IMP&2s pro:sub|il v:aux|être&PRES&3s n|tout&m adj|vert&m
	conj|et pro:sub|il pro:refl|se$v|enfuir&PRES&3s prep|en n|courant&m
%mor:	conj|et adv|comme pro:dem|ça n|jules&m conj|et ?|julie
%mor:	pro:sub|ils v:aux|être&PRES&3p part|sauver-PP&m&pl
%mor:	conj|et pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|il
	part|faire-PP&m n|jules&m ?
%mor:	pro:sub|il pro:refl|se v|baigner-IMP&2s pro:int|où ?
%mor:	conj|et pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s prep|dans pro:dem|ce n|bain&m
%mor:	co|ben co|oui=yes adv|puis adv:place|là ?
%mor:	prep|de&les n|bulle&f-PL
%mor:	prep|de&les n|boule&f-PL
%mor:	co|oh conj|et v|regarder-IMP&2s pro:rel|que$v:int|est–ce
	pro:rel|que$pro:sub|il pro:refl|se v|passer-PRES&SUB&13s ?
%mor:	pro:int|qui v:int|est–ce pro:int|qui part|faire-PP&m
	det:art|un&m&sg n|bisou&m ?
%mor:	conj|et adv|comment pro:sub|il pro:refl|se$v|appeler-IMP&2s
	det:art|le&m&sg n|mouton&m ?
%mor:	?|julie
%mor:	adv|donc pro:dem|ce$v:aux|être&PRES&3s ?|julie pro:int|qui
	part|faire-PP&m det:art|un&m&sg n|bisou&m prep|à
%mor:	prep|à n|jules&m
%mor:	conj|et adv:place|voilà
%mor:	co|oh pro:dem|ce$v:exist|être&PRES&3s pro:rel|quoi pro:dem|ça ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|quoi prep|comme n|bête&f ?
%mor:	co|ah co|oui=yes adv|bien part|jouer-PP&m
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:mdl|vouloir&PRES&12s v:mdl|faire-INF ?|anaé ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v|continuer-INF
	det:poss|ton&m&sg n|dessin&m ?
%mor:	co|oui=yes v:mdl|aller&PRES&2s pro:y|y
%mor:	co|hein ?
%mor:	co|ah co|ben co|non=no pro:dem|ce$v:exist|être&PRES&3s neg|pas
	pro|moi&sg pro:int|qui v|dessiner-IMP&2s
	pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:mdl|aller&PRES&2s v|dessiner-INF ?
%mor:	co|ben pro|toutes&f&pl det:art|les&pl num|deux
%mor:	part|taire-PP&m v|commencer-PRES&SUB&2s pro:sub|il
	v:aux|être&PRES&3s pro:int|où det:poss|ton&m&sg n|crayon&m ?
%mor:	v:mdl|aller&PRES&3s pro:obj|le v|chercher-INF v|regarder-IMP&2s
	pro:sub|il v:exist|être&PRES&3s n|parterre&m=flowerbed
%mor:	co|ben n|si&m pro:sub|il v:exist|être&PRES&3s
	n|parterre&m=flowerbed v:mdl|aller&PRES&3s pro:obj|le v|chercher-INF
%mor:	v|amener-IMP&2s pro|moi&sg det:art|le&m&sg adj|petit&m n|livre
	pro:int|qui v:aux|être&PRES&3s prep|en n|bas&m adv:place|là
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s pro:obj|le v|lire-INF
	pro:dem|celui–là co|non=no ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|qui ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|qui ?
%mor:	n|bébé&m pro:int|quoi ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|papillon&m
%mor:	conj|et adv|comment pro:sub|il pro:refl|se$v|appeler-IMP&2s
	pro:dem|ce n|bébé&m n|papillon&m part|taire-PP&m pro:obj|te
	v|souvenir-IMP&2s ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s ?|simon
%mor:	co|oh ?|simon adv|comme pro:int|qui ?
%mor:	pro:int|qui v:int|est–ce pro:int|qui
	pro:refl|se$v|appeler-PRES&SUB&13s ?|simon ?
%mor:	pro:int|qui v:int|est–ce pro:int|qui
	pro:refl|se$v|appeler-PRES&SUB&13s ?|simon ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas det:art|le&m&sg n|copain&m
	prep|de ?|juliette pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg
	n|frère&m prep|de ?|juliette
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|copain&m adv|de
	?|arthur
%mor:	conj|et det:art|le&m&sg n|frère&m prep|de ?|juliette
%mor:	co|ouais=yes
%mor:	pro:dem|ça v|ressembler-PRES&SUB&13s prep|à n|jules&m co|oui=yes
%mor:	co|allez v|venir-IMP&2s
%mor:	part|taire-PP&m v|venir-PRES&12s pro:obj|te$v|asseoir&INF
	adv:place|à–côté=aside prep|de pro|moi&sg
%mor:	conj|ou pro:sub|je n|lis&m adv|toute adj|seul&f ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg pro:int|qui n|lis&m ?
%mor:	co|ha co|ha
%mor:	co|allez pro|moi&sg pro:sub|je v:aux|être&PRES&1s det:poss|ton&m&sg
	n|bébé&m conj|et part|taire-PP&m pro:obj|me v|raconter-PRES&SUB&2s
	det:art|le$n|histoire&f
%mor:	n|maman&f n|maman&f part|taire-PP&m pro:obj|me n|lis&m
	det:art|le&m&sg n|livre
%mor:	co|ah co|ben co|oui=yes n|mai&m-PL v:mdl|falloir&PRES&3s pro:obj|me
	v|raconter-INF det:art|le$n|histoire&f adv|aussi
%mor:	adv|si part|taire-PP&m v|regarder-PRES&SUB&2s adv|toute adj|seul&f
	pro:dem|ce$v:exist|être&PRES&3s neg|pas n|rigolo&m
%mor:	co|ouais=yes part|taire-PP&m v|dire-PRES&PASS&12s
	neg|ne$v|importer-IMP&2s pro:int|quoi
%mor:	n|comment&m pro:dem|ça pro:refl|se$v|appeler-PRES&SUB&13s
	det:art|un&m&sg n|truc&m adv|comme pro:dem|ça ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg n|brouette&f
%mor:	det:art|une&f&sg
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|pour pro:int|quoi
	v:mdl|faire-INF det:art|la&f&sg n|brouette&f ?
%mor:	co|oh co|ben co|oui=yes
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|pour v|jouer-INF
%mor:	co|oh pro:rel|que$v:int|est–ce pro:int|qui pro:refl|se
	v|passer-IMP&2s adv:place|là ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il part|faire-PP&m ?
%mor:	conj|et pro:sub|elles v:aux|être&PRES&3p prep|de
	det:gen|quelle&f&sg n|couleur&f-PL det:poss|ses&pl n|fleur&f-PL ?
%mor:	pro:sub|elles v:aux|être&PRES&3p pro|toutes&f&pl n|rose-PL ?
%mor:	co|ouais=yes conj|et det:art|les&pl pro|autres&pl ?
%mor:	conj|et det:art|les&pl pro|autres&pl ?
%mor:	v:mdl|faire-PRES&12s neg|pas prep|de n|bruit&m ?|arthur
%mor:	adv:place|là pro:sub|il pro:y|y v:aux|avoir&PRES&3s
	part|écrire-PP&m adv|aujourd'hui pro:dem|ce$v:aux|être&PRES&3s
	det:art|le&m&sg n|printemps&m conj|et ?|simon v:aux|être&PRES&3s
	n|amoureux&m
%mor:	pro:sub|il co|ah pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s ?|martin
	n|bébé&m n|lutin&m
%mor:	part|taire-PP&m v:aux|être&PRES&2s n|amoureuse&f pro|toi&sg ?
%mor:	co|oui=yes n|bébé&m n|bourdon&m co|oui=yes
%mor:	co|ben pro:dem|ce$v:exist|être&PRES&3s ?|simon
%mor:	n|bébé&m
%mor:	n|papillon&m
%mor:	n|filou&m n|bébé&m n|pou&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|copain&m adv|de
	?|ael
%mor:	pro:dem|ce$v:aux|être&PRES&3s ?|béa n|bébé&m n|abeille&f=bee
%mor:	adv|alors pro:sub|je pro:sub|tu$v:aux|avoir&PRES&1s part|poser-PP&m
	det:art|une&f&sg n|question&f v:int|est–ce adv|que part|taire-PP&m
	v:aux|être&PRES&2s n|amoureuse&f ?
%mor:	part|taire-PP&m v:aux|être&PRES&2s n|amoureuse&f prep|de
	pro:rel|qui ?
%mor:	?|nini n|bébé&m n|chenille&f
%mor:	?|odillon n|bébé&m n|bourdon&m
%mor:	?|martin n|bébé&m n|lutin&m
%mor:	?|nini n|bébé&m n|chenille&f
%mor:	?|simon n|bébé&m n|papillon&m
%mor:	n|pierrot&m n|bébé&m n|escargot&m
%mor:	n|filou&m n|bébé&m n|pou&m
%mor:	?|béa n|bébé&m n|abeille&f=bee
%mor:	conj|et ?|estelle n|bébé&m n|coccinelle&f
%mor:	pro:sub|il pro:y|y pro:y|en v:aux|avoir&PRES&3s neg|pas adv|de
	pro|autre&sg adv:place|là–bas prep|de&les n|livre-PL ?
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s v|voir&INF adv|si pro:sub|il
	pro:y|y v:aux|avoir&PRES&3s adv|de pro|autres&pl
	v|livrer-PRES&SUB&2s adv:place|là–bas
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s prep|que det:art|la&f&sg
	n|momie&f ?
%mor:	co|hum
%mor:	adv|alors part|taire-PP&m pro:obj|nous part|dire-PP&m
	pro:dem|ce$v:exist|être&PRES&3s pro:rel|qui det:poss|ton&m&sg
	n|amoureux&m ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|qui n|ton&m=tone n|amoureux&m
	?
%mor:	pro:dem|ce$v:aux|être&PRES&3s ?|zoum
%mor:	pro:sub|il v:exist|être&PRES&3s det:art|un&m&sg n|peu&m adj|grand&m
	adv|quand adj|même&m=same pro:dem|ce$v:aux|être&PRES&3s
	det:poss|ton&m&sg n|parrain&m pro:dem|ce$v:exist|être&PRES&3s
	neg|pas det:poss|ton&m&sg n|amoureux&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|qui n|ton&m=tone
	part|chérir-PP&m ?
%mor:	pro|toi&sg adv|aussi part|taire-PP&m v:aux|être&PRES&2s
	det:poss|ma&sg n|chéri&f
%mor:	conj|et adj|marin&m pro:dem|ce$v:exist|être&PRES&3s neg|pas
	det:poss|ton&m&sg n|copain&m ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas det:poss|ton&m&sg
	n|amoureux&m ?
%mor:	co|ah
%mor:	pro:sub|il v:aux|être&PRES&3s adj|gentil&m ?
%mor:	co|ouh adv:place|là adv|doucement
%mor:	co|wah
%mor:	pro:int|qui v:int|est–ce pro:int|qui part|dire-PP&m on|houhaha ?
%mor:	co|hum
%mor:	pro:int|où pro:sub|il v:aux|être&PRES&3s pro:int|quoi ?
%mor:	co|oui=yes
%mor:	co|ha prep|à&le n|secours&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi pro:dem|ça prep|comme
	n|animal&m&sg ?
%mor:	pro:int|que$v:int|est–ce pro:int|que pro:dem|ce$v:aux|être&PRES&3s
	part|taire-PP&m pro:obj|te v|souvenir-IMP&2s ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|scorpion&m
%mor:	co|han pro:rel|que$v:int|est–ce pro:int|que
	pro:dem|ce$v:aux|être&PRES&3s adv|que pro:dem|ça ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	adv|comment pro:sub|il part|faire-PP&m det:art|le&m&sg n|serpent&m
	?
%mor:	pro:sub|il part|faire-PP&m n|comment&m ?
%mor:	pro:sub|il v|voler-PRES&SUB&13s ?
%mor:	part|taire-PP&m pro:y|en v:aux|avoir&PRES&2s adv|déjà prep|vu
	prep|de&les n|serpent&m-PL ?
%mor:	co|ah part|taire-PP&m v:aux|avoir&PRES&2s adv|déjà prep|vu
	prep|de&les n|serpent&m-PL prep|à&le n|zoo&m part|taire-PP&m
	pro:obj|te v|souvenir-IMP&2s ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|scorpion&m
%mor:	co|ouais=yes ?
%mor:	prep|sous det:art|la&f&sg n|pluie&f ?
%mor:	pro:sub|il v|pleuvoir&IMPF&3s adv|beaucoup co|hein
%mor:	co|han conj|et pro:dem|ça pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	co|non=no pro:dem|ça v|ressembler-PRES&SUB&13s prep|à
	det:art|un&m&sg n|crabe&m adv|mais pro:dem|ce$v:aux|être&PRES&3s
	det:art|un&m&sg n|scarabée&m
%mor:	adv|mais pro:sub|il v:aux|avoir&PRES&3s det:art|une&f&sg n|tête&f
	adj|gentille&f adv|alors pro:dem|ça v:mdl|aller&PRES&3s
%mor:	co|hé co|oh
%mor:	det:art|la&f&sg n|momie&f pro:sub|elle v:mdl|faire-PRES&3s on|hou
%mor:	co|attention part|taire-PP&m v:mdl|aller&PRES&2s
	pro:obj|le$v|abîmer-INF=deteriorate part|taire-PP&m
	v:mdl|aller&PRES&2s pro:obj|le$v|abîmer-INF=deteriorate
%mor:	co|ah co|ben co|oui=yes pro:sub|elle pro:obj|te v|prendre-PRES&3s
	prep|dans det:poss|ses&pl n|bras&m det:art|la&f&sg n|momie&f ?
%mor:	co|ouais=yes
%mor:	pro:dem|ce n|soir&m pro:sub|on v:mdl|aller&PRES&3s v:mdl|aller&INF
	prep|à det:art|le$n|anniversaire&m prep|de n|boulette&f ?
%mor:	pro:int|qui v:aux|avoir&PRES&3s det:art|un&m&sg adj|petit&m
	n|garçon&m pro:int|qui pro:refl|se$v|appeler-PRES&SUB&13s ?|loni
%mor:	pro:sub|on v:mdl|aller&PRES&3s v:mdl|aller&INF v|voir&INF ?|loni ?
