%mor:	adv|alors ?|anaé pro:sub|on v:aux|être&PRES&3s det:art|le&m&sg
	v|venir-INF adv|aujourd'hui
%mor:	pro:sub|elle v:mdl|devoir&IMPF&3s v|venir-INF n|mercredi&m adv|mais
	prep|comme n|mercredi&m part|taire-PP&m n|étai&m-PL adj|malade&m
	pro:sub|elle neg|ne v:exist|être&PRES&3s neg|pas part|venir-PP&f
%mor:	adv|parce adv|que part|taire-PP&m n|étai&m-PL adv|trop
	part|fatiguer-PP&f
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s pro:dem|ce$v:aux|être&PRES&3s
	det:art|le&m&sg n|jour&m pro:int|où part|taire-PP&m
	v:aux|avoir&IMPF&12s n|vomi&m
%mor:	adv|mais pro:dem|ça v:mdl|aller&PRES&3s part|taire-PP&m
	v:aux|être&PRES&2s prep|plus n|malade
%mor:	co|non=no part|taire-PP&m v:mdl|vouloir&PRES&12s neg|pas ?
%mor:	part|taire-PP&m pro:obj|te v|cacher-PRES&SUB&2s ?
%mor:	co|hé part|taire-PP&m pro:obj|me v|cracher-PRES&SUB&2s
	adv:place|dessus ?
%mor:	adj|petit&m n|cochon&m
%mor:	adv|alors part|taire-PP&m v:mdl|vouloir&PRES&12s v|jouer-INF prep|à
	pro:rel|quoi ?
%mor:	co|oh ?|anaé v|arrêter-PRES&SUB&13s
%mor:	part|taire-PP&m v|raconter-PRES&SUB&2s prep|à ?|omer prep|que
	n|tipi&m=teepee pro:sub|il v:aux|avoir&PRES&3s
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il v:aux|avoir&PRES&3s
	n|tipi&m=teepee ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il v:aux|avoir&PRES&3s
	n|tipi&m=teepee ?
%mor:	v:mdl|aller&PRES&3s v|raconter-INF prep|à ?|omer
%mor:	part|taire-PP&m part|luire&PP&m v|raconter-PRES&SUB&2s ?
%mor:	co|oui=yes pro:sub|il v:aux|avoir&PRES&3s det:art|le$n|air&m=air
	prep|de n|vouloir&m pro:obj|te n|manger&m=food
%mor:	pro:sub|il v:mdl|aller&PRES&3s pro:obj|te v|dévorer-INF
%mor:	co|attention
%mor:	co|ohlàlà prep|à&le n|secours&m prep|à&le n|secours&m pro:sub|il
	v:mdl|aller&PRES&3s pro:obj|te n|manger&m=food
%mor:	part|taire-PP&m v:aux|être&PRES&2s neg|pas det:art|un&m&sg
	n|chien&m ?
%mor:	part|taire-PP&m v:aux|être&PRES&2s pro:int|quoi ?
%mor:	adv|ben pro:dem|ça pro:sub|je pro:obj|me v|demander-PRES&SUB&13s
	adv|bien n|pourquoi&m v:mdl|faire-PRES&12s part|taire-PP&m
	v:mdl|faire-PRES&12s prep|de&le n|bruit&m ?
%mor:	co|oh co|tiens v|regarder-IMP&2s
%mor:	v|regarder-IMP&2s pro:rel|ce–que pro:sub|je$v:aux|avoir&PRES&1s
	part|trouver-PP&m ?|anaé
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s
	pro:dem|ça ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi ?
%mor:	v|regarder-IMP&2s
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi pro:dem|ça prep|comme
	n|animal&m&sg ?
%mor:	pro:int|que$v:int|est–ce prep|que pro:dem|ce$v:aux|être&PRES&3s
	prep|comme n|animal&m&sg ?
%mor:	co|oh
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v:int|est–ce adv|que
	part|taire-PP&m v:mdl|vouloir&PRES&12s pro:rel|que$pro:sub|on
	v|construire-PRES&SUB&13s det:art|un&m&sg n|zoo&m prep|pour
	v|mettre-INF det:art|les&pl n|animal&m&pl adv:place|dedans ?
%mor:	co|oui=yes ?
%mor:	det:art|une&f&sg n|cabane&f=cabin
%mor:	v|tenir-IMP&2s adv|ben v|attendre-PRES&12s n|mets&m pro|toi&sg
	n|mets&m pro|toi&sg adv|plus adv|comme pro:dem|ça
%mor:	adv:place|voilà
%mor:	prep|sur det:art|le&m&sg n|côté&m
%mor:	pro:sub|on part|faire-PP&m det:art|une&f&sg n|cabane&f=cabin
	adv|alors n|comment&m pro:sub|on v|fabriquer-PRES&SUB&13s
	det:art|une&f&sg n|cabane&f=cabin pro:sub|tu v:mdl|savoir&PRES&12s ?
%mor:	det:art|une&f&sg adj|grand&f n|cabane&f=cabin ?
%mor:	prep|avec co|euh
%mor:	adv|d'accord
%mor:	co|ouais=yes
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg n|voiture&f
	prep|de&les n|animal&m&pl ?
%mor:	v|attendre-IMP&2s v|regarder-IMP&2s v|mettre-IMP&2s det:art|le&m&sg
	adv|comme pro:dem|ça adv|comme pro:dem|ça ?|elise pro:sub|elle
	v:mdl|pouvoir&PRES&3s pro:obj|le pro:sub|elle v:mdl|pouvoir&PRES&3s
	pro:obj|la v|voir&INF det:art|la&f&sg n|cabane&f=cabin
	adv:place|voilà
%mor:	pro:sub|il v:aux|être&PRES&3s neg|pas part|coller-PP&m
%mor:	part|taire-PP&m n|casse&f-PL adv|tout ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg
	n|téléphone&m=telephone ?
%mor:	part|taire-PP&m v|mettre-IMP&2s det:art|un&m&sg
	n|téléphone&m=telephone prep|dans det:art|la&f&sg n|cabane&f=cabin
	prep|de&les n|animal&m&pl ?
%mor:	adv:int|pourquoi ?
%mor:	pro:sub|il v:aux|avoir&PRES&3s pro:sub|ils v:aux|avoir&PRES&3p
	neg|pas n|envie&f prep|de pro:rel|quoi ?
%mor:	adv:int|pourquoi prep|de n|ratatouille&f ?
%mor:	det:art|la&f&sg n|fenêtre&f prep|de pro:rel|quoi ?
%mor:	co|ah adv|d'accord
%mor:	co|ah co|bon
%mor:	conj|et pro:dem|ça pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas det:art|une&f&sg
	n|poussette&f
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	det:art|une&f&sg chi|brouyette
%mor:	det:art|une&f&sg n|brouette&f
%mor:	conj|et pro:dem|ça v|regarder-PRES&SUB&13s ?
%mor:	part|taire-PP&m det:art|le&m&sg v|prendre-PRES&IMP&12s conj|ou
	neg|pas ?
%mor:	co|han
%mor:	pro:int|que$v:int|est–ce pro:int|que pro:dem|ce$v:aux|être&PRES&3s
	adv|que pro:dem|ça ?
%mor:	det:art|une&f&sg adj|gros&f n|bête&f
%mor:	pro:sub|il pro:obj|nous part|faire-PP&m adv|mal ?
%mor:	pro:sub|elle v:aux|avoir&PRES&3s det:art|un&m&sg n|gros&m n|nez&m
	co|oui=yes
%mor:	v|tenir-IMP&2s co|oh pro:dem|ce$v:exist|être&PRES&3s pro:rel|qui
	pro:ind|lui ?
%mor:	v|regarder-IMP&2s
%mor:	v:mdl|falloir&PRES&3s v:mdl|falloir&PRES&3s adv|bien v|appuyer-INF
	n|si&m pro:sub|tu neg|ne v|appuyer-PRES&SUB&2s neg|pas n|bien&m
	pro:dem|ça v|tenir-PRES&3s neg|pas
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s prep|que pro:sub|je$pro:y|en
	v|construire-PRES&SUB&13s det:art|une&f&sg n|cabane&f=cabin
	pro|moi&sg ?
%mor:	co|non=no
%mor:	pro:int|que$v:int|est–ce prep|que pro:dem|ce$v:aux|être&PRES&3s
	pro:dem|ça prep|comme n|animal&m&sg ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s
	pro:dem|ça ?
%mor:	conj|et part|luire&PP&m v|regarder-PRES&SUB&13s
%mor:	adv|mais pro:sub|elle v:aux|être&PRES&3s pro:int|où det:art|la&f&sg
	adj|gros&f n|plaque&f adj|vert&f pro:rel|que$pro:y|y
	v:aux|avoir&IMPF&3s n|hier&m ?
%mor:	co|non=no neg|pas det:art|la&f&sg n|bête&f det:art|la&f&sg
	n|plaque&f
%mor:	adv|comme det:art|le&m&sg n|truc&m adj|gris&m adv|que
	part|taire-PP&m v:aux|avoir&PRES&2s prep|dans det:art|les&pl
	n|main&f-PL
%mor:	adv|mais prep|plus adj|grand&m
%mor:	co|non=no pro:y|y v:aux|avoir&IMPF&3s pro|une&f&sg adv|plus
	adj|grand&f n|hier&m
%mor:	co|non=no
%mor:	v|regarder-PRES&SUB&13s pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s
	adv|bien
%mor:	co|hum co|hum
%mor:	co|non=no pro:dem|ce$v:exist|être&IMPF&3s neg|pas pro:dem|ça
%mor:	pro:sub|je v|voir&IMP&PRES&12s neg|pas pro:rel|où pro:dem|ça
	adv|peut–être
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s
	pro:dem|ça ?
%mor:	pro:sub|on v:mdl|aller&PRES&3s pro:sub|on v:mdl|aller&PRES&3s
	v|construire-INF det:art|une&f&sg n|cabane&f=cabin
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s ?|spiderman ?
%mor:	adv|alors pro:y|y v:aux|avoir&IMPF&3s pro:int|qui n|hier&m
	prep|comme n|copain&m ?
%mor:	prep|pour v:mdl|faire-INF det:art|la&f&sg n|fête&f
%mor:	co|hein ?|anaé ?
%mor:	pro:y|y v:aux|avoir&IMPF&3s pro:int|qui prep|comme n|copain&m
	adv|de ?|ael ?
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:mdl|faire-PRES&12s ?
%mor:	pro:sub|il v:aux|être&PRES&3s pro:int|quoi ?
%mor:	v|tenir-IMP&2s v|regarder-IMP&2s
%mor:	det:art|la&f&sg n|cage&f prep|pour det:art|le&m&sg n|crocodile&m
%mor:	v|regarder-PRES&SUB&13s adv|si pro:sub|il v|rentrer-IMP&2s
	adv:place|dedans
%mor:	co|non=no prep|dans det:art|le$pro|autre&sg n|sens&m
%mor:	co|oh pro:sub|il v:aux|être&PRES&3s adv|trop adj|grand&m
%mor:	v|donner-IMP&2s pro:sub|je v:mdl|aller&PRES&1s v:mdl|faire-INF
	det:art|une&f&sg adv|plus adj|grand&f n|cage&f adv|alors
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi ?
%mor:	co|ouais=yes adv|mais v|attendre-PRES&12s pro:sub|on
	v:mdllex|aller&PRES&3s pro:sub|on v:mdl|aller&PRES&3s pro:obj|la
	v:mdllex|faire-INF adv|plus adj|grand&f
%mor:	pro:sub|tu pro:obj|me pro:obj|la v|donner-PRES&SUB&2s
	det:art|la&f&sg n|cage&f ?
%mor:	pro:sub|je v:mdl|aller&PRES&1s pro:obj|le$v|agrandir-INF
%mor:	co|ben co|non=no part|taire-PP&m v|voir&IMP&PRES&12s
%mor:	adv|mais det:art|le&m&sg det:art|la&f&sg n|voiture&f
	pro:dem|ce$v:exist|être&PRES&3s neg|pas det:art|un&m&sg
	n|animal&m&sg
%mor:	pro:sub|tu pro:obj|me pro:obj|la v|donner-PRES&SUB&2s pro:sub|je
	v:mdl|aller&PRES&1s pro:obj|la v:mdllex|faire-INF adv|plus
	adj|grand&f
%mor:	co|non=no neg|pas det:art|la&f&sg n|voiture&f det:art|la&f&sg
	n|cage&f
%mor:	pro:sub|on v:mdl|aller&PRES&3s pro:obj|le$v|agrandir-INF
	det:art|un&m&sg n|peu&m
%mor:	adv|d'accord ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v|moucher-INF
	det:poss|ton&m&sg n|nez&m ?
%mor:	pro:sub|on co|la part|faire-PP&m adv|très adj|grand&f ?
%mor:	adv|très adv|très adv|très adj|grand&f ?
%mor:	adv|ben v:mdl|falloir&PRES&3s pro:rel|que part|taire-PP&m
	pro:obj|me$v|amener-PRES&SUB&2s n|plein&m prep|de n|lego&m-PL=toy
	adv|comme pro:dem|ça prep|de&les adj|gros&m
%mor:	co|ouais=yes
%mor:	n|plein&m prep|plein n|plein&m
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:mdl|faire-PRES&12s ?
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:mdl|faire-PRES&12s ?|anaé
%mor:	co|merci
%mor:	co|ohlàlà n|tout&m pro:dem|ça n|tout&m pro:dem|ça n|tout&m
	pro:dem|ça
%mor:	v|attendre-IMP&2s v|mettre-IMP&2s det:art|les&pl prep|sur
	det:art|la&f&sg n|table&f
%mor:	co|voilà n|merci
%mor:	v|regarder-IMP&2s adv:place|là pro:sub|elle v:mdl|aller&PRES&3s
	v:aux|être&INF adv|beaucoup adv|plus adj|grand&f
%mor:	pro:sub|on v:mdl|aller&PRES&3s adj|même&m=same n|pouvoir&m
	v|mettre-INF det:art|un&m&sg n|arbre&m prep|dans det:dem|cette&f&sg
	n|cage&f
%mor:	part|taire-PP&m v|croire&PRES&12s pro:rel|que$pro:sub|on
	v:mdl|pouvoir&PRES&3s v|mettre-INF det:art|un&m&sg n|arbre&m ?
%mor:	co|oui=yes ?
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	v:mdl|falloir&PRES&3s v|appuyer-INF adj|fort&m
%mor:	adv|très adv|bien
%mor:	part|taire-PP&m adj|continu&f-PL
%mor:	pro:sub|je pro:obj|te det:art|les&pl n|mets&m
	n|parterre&m=flowerbed
%mor:	pro|moi&sg pro:sub|je v:mdl|aller&PRES&1s v|chercher-INF n|si&m
	pro:sub|il pro:y|y v:aux|avoir&PRES&3s adv|de pro|autres&pl
	n|animal&m&pl
%mor:	prep|dans det:art|la&f&sg n|caisse&f
%mor:	v|tenir-IMP&2s part|taire-PP&m v:mdl|pouvoir&PRES&12s v|mettre-INF
	pro:dem|ça prep|pour v|dire-INF prep|que
	pro:dem|ce$v:aux|être&PRES&3s prep|de det:art|le$n|eau&f
%mor:	adv|parce prep|que det:art|le&m&sg n|crocodile&m pro:sub|il
	v:mdl|aller&PRES&3s prep|dans det:art|le$n|eau&f pro:sub|tu
	v:mdl|savoir&PRES&12s
%mor:	co|hein n|crocodile&m co|hop
%mor:	prep|dans det:art|le$n|eau&f
%mor:	co|ah pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg
	n|dame&f=lady pro:int|qui v|travailler-PRES&SUB&13s prep|dans
	det:art|le&m&sg n|zoo&m
%mor:	pro:sub|elle v:aux|avoir&PRES&3s det:art|une&f&sg adj|joli&f
	n|coiffure&f
%mor:	co|han
%mor:	pro:dem|ce$v:aux|être&PRES&3s adj|dangereux&m
%mor:	det:art|le&m&sg n|crocodile&m v:mdl|aller&PRES&3s det:art|la&f&sg
	n|manger&m=food
%mor:	co|ah n|tien&m-PL v|regarder-PRES&SUB&13s
	pro:sub|je$v:poss|avoir&PRES&1s part|trouver-PP&m adv|de
	pro|autres&pl n|animal&m&pl
%mor:	prep|pour v:mdl|aller&INF prep|dans det:art|le&m&sg n|zoo&m
	v|regarder-PRES&SUB&13s
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s
	pro:dem|ça ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	v|attendre-IMP&2s v:mdl|faire-PRES&12s v|voir&INF det:poss|ton&m&sg
	n|nez&m
%mor:	pro:int|que$v:int|est–ce conj|que pro:dem|ce$v:exist|être&PRES&3s
	det:dem|cet&m&sg n|animal&m&sg ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	?|anaé
%mor:	part|taire-PP&m v:mdllex|vouloir&PRES&12s neg|pas pro:obj|me
	v|dire-INF pro:rel|ce–que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	v|regarder-IMP&2s pro:int|qui pro:sub|je$v:aux|avoir&PRES&1s
	part|trouver-PP&m
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v|dire-PRES&PASS&12s ?
%mor:	co|non=no pro:sub|on v:mdllex|pouvoir&PRES&3s neg|pas pro:obj|le
	v|mettre-INF adv|debout pro:sub|il det:poss|ses&pl n|jambe&f-PL
	pro:sub|elles v|bouger-PRES&3p neg|pas pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s prep|que det:poss|ses&pl n|bras&m pro:int|qui
	v|bouger-PRES&3p
%mor:	v|regarder-IMP&2s pro:sub|on v:mdl|pouvoir&PRES&3s v|mettre-INF
	pro:dem|ça
%mor:	co|oh v|regarder-IMP&2s pro:sub|il pro:y|y v:aux|avoir&PRES&3s
	prep|de&les n|banane&f-PL
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s prep|de&les n|banane&f-PL
	prep|pour det:art|les&pl n|singe&m-PL
%mor:	co|ouais=yes
%mor:	conj|et v|regarder-IMP&2s pro:sub|on v:mdl|pouvoir&PRES&3s
	v|mettre-INF det:art|le$n|arbre&m adv|comme pro:dem|ça
%mor:	conj|et det:art|le&m&sg n|singe&m pro:sub|il v:mdl|pouvoir&PRES&3s
	pro:refl|se v|balancer-INF prep|sur det:art|la&f&sg n|liane&f
%mor:	v:mdl|faire-PRES&12s v|voir&INF det:art|le&m&sg n|singe&m
%mor:	v:int|est–ce pro:rel|que$pro:sub|il v:mdl|pouvoir&PRES&3s
	pro:refl|se$v|accrocher-INF
%mor:	v|regarder-IMP&2s
%mor:	conj|et det:art|le$pro|autre&sg pro:sub|il v:aux|être&PRES&3s
	pro:int|où ?
%mor:	pro:sub|il v:aux|être&PRES&3s adv:place|à–côté=aside prep|de
	pro|toi&sg adv:place|là–bas adv:place|à–côté=aside prep|de&le
	n|crocodile&m
%mor:	det:art|le$pro|autre&sg pro:sub|il v:mdl|aller&PRES&3s
	pro:refl|se$v|accrocher-INF prep|avec det:art|les&pl n|pied&m-PL
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s pro:rel|que$pro:sub|il
	pro:refl|se$v|accrocher-IMP&2s prep|avec det:poss|ses&pl n|pied&m-PL
	?
%mor:	co|non=no ?
%mor:	prep|avec det:poss|ses&pl n|main&f-PL
%mor:	adv|d'accord
%mor:	prep|avec det:poss|ses&pl n|fesse&f-PL ?
%mor:	pro:dem|ça v:mdl|aller&PRES&3s neg|pas v:aux|être&INF adj|facile
%mor:	conj|et v|regarder-IMP&2s pro:sub|on v:mdl|aller&PRES&3s
	det:poss|leur&sg v|mettre-INF det:art|les&pl n|banane&f-PL prep|sur
	det:art|le$n|arbre&m
%mor:	adv|comme pro:dem|ça adv|quand pro:sub|ils v:aux|avoir&PRES&3p
	n|faim&f pro:sub|ils v:mdl|pouvoir&PRES&3p v:mdl|aller&INF
	n|manger&m=food prep|de&les n|banane&f-PL
%mor:	adv|alors pro:sub|on pro:obj|le v|prendre-PRES&3s
%mor:	conj|et part|taire-PP&m v:mdl|aller&PRES&2s part|luire&PP&m
	v|donner-INF prep|à v|manger-INF
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg pro:int|qui
	part|luire&PP&m v|donner-PRES&SUB&2s prep|à v|manger-INF ?
%mor:	co|oh pro:sub|il v:mdl|vouloir&PRES&3s prep|plus pro:refl|se
	dé#v|crocher-INF v|regarder-PRES&SUB&13s
%mor:	co|ah
%mor:	v|dire-PRES&PASS&12s adv|donc
%mor:	co|ah co|oui=yes part|taire-PP&m v:aux|avoir&PRES&2s n|raison&f
	pro:sub|il v:mdl|pouvoir&PRES&3s pro:refl|se$v|accrocher-INF
	adv|comme pro:dem|ça
%mor:	co|bravo
%mor:	det:art|le$pro|autre&sg pro:sub|il v:aux|être&PRES&3s adv:place|là
%mor:	pro:sub|il pro:refl|se n|balance&f
%mor:	co|oh pro:sub|je pro:obj|me n|balance&f
%mor:	co|oh pro:sub|je pro:obj|me n|balance&f
%mor:	v|attendre-IMP&2s v|attendre-IMP&2s
%mor:	co|hein ?
%mor:	pro:sub|il v:mdl|vouloir&PRES&3s pro:refl|se$v|accrocher-INF
	pro:int|où ?
%mor:	pro:sub|je v|croire&PRES&12s pro:rel|que$pro:sub|il
	v:mdl|pouvoir&PRES&3s pro:refl|se$v|accrocher-INF prep|à&les
	n|banane&f-PL
%mor:	adv|comme pro:dem|ça
%mor:	adv|peut–être
%mor:	co|hum
%mor:	v|attendre-IMP&2s
%mor:	adv|comme pro:dem|ça
%mor:	co|ouais=yes adv|comme pro:dem|ça
%mor:	co|ah co|bah co|oui=yes n|mai&m-PL pro:sub|on
	v:mdllex|pouvoir&PRES&3s neg|pas v|accrocher-INF det:art|les&pl
	num|deux
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s neg|pas adv|assez prep|de
	n|place&f
%mor:	adv|alors pro:sub|on v|mettre-PRES&3s prep|de&les adv|de
	pro|autres&pl n|animal&m&pl ?
%mor:	prep|dans pro:dem|ce n|zoo&m ?
%mor:	adv|si pro:sub|on v|mettre-IMPF&3s pro:dem|celui–là ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:sub|on pro:obj|le v|mettre-PRES&3s pro:rel|où ?
%mor:	adv|d'accord v:mdl|aller&PRES&2s pro:y|y
%mor:	co|ah co|non=no adv|mais adv:place|là pro:sub|il
	v:mdl|pouvoir&PRES&3s neg|pas pro:refl|se$v|accrocher-INF
	v|regarder-PRES&SUB&13s pro:dem|celui–là pro:sub|il
	v:aux|avoir&PRES&3s neg|pas prep|de n|truc&m-PL prep|pour
	pro:refl|se$v|accrocher-INF
%mor:	part|taire-PP&m det:art|le&m&sg n|pose&f-PL prep|sur
	part|taire-PP&m det:art|le&m&sg n|pose&f-PL prep|sur
	det:art|le$n|arbre&m adv|comme pro:dem|ça
%mor:	pro:sub|il part|faire-PP&m on|miaw pro:sub|je v:aux|être&PRES&1s
	part|coincer-PP&m v|venir-PRES&2s pro:obj|me v|chercher-INF
%mor:	adv|ensuite pro:sub|il pro:y|y v:aux|avoir&PRES&3s pro:dem|celui–ci
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:sub|elle v:mdl|aller&PRES&3s pro:int|où det:art|la&f&sg
	n|girafe&f ?
%mor:	pro:sub|elle v:aux|être&PRES&3s adj|petit&f co|hein
%mor:	pro:sub|elle v|manger-PRES&SUB&13s prep|de&les n|banane&f-PL ?
%mor:	pro:sub|elle v|sauter-IMP&2s det:poss|ta&f&sg n|girafe&f ?
%mor:	conj|et pro:ind|lui ?
%mor:	conj|et pro:ind|lui ?
%mor:	conj|et part|luire&PP&m pro:dem|ce$v:aux|être&PRES&3s pro:int|qui ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|qui ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|qui ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg n|girafe&f ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg n|girafe&f ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|chien&m
