%mor:	part|taire-PP&m det:art|les&pl re#v|mettre-PRES&12s prep|dans
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s neg|pas ?
%mor:	conj|et part|taire-PP&m v:mdl|aller&PRES&2s v:mdl|aller&INF prep|à
	det:gen|quelle&f&sg n|école&f ?|anouk ?
%mor:	adv|comment pro:sub|elle pro:refl|se$v|appeler-IMP&2s
	det:poss|ton&m&sg n|école&f ?
%mor:	v|attendre-IMP&2s ?|anouk pro:sub|on v:mdl|aller&PRES&3s pro:obj|le
	v|porter-INF
%mor:	v|attendre-IMP&2s ?|anouk pro:sub|on v:mdl|aller&PRES&3s pro:obj|le
	v|mettre-INF prep|sur det:art|le$n|herbe&f det:dem|ce&m&sg
	v:aux|être&FUT&3s n|mieux&m
%mor:	v|lever-IMP&2s pro|toi&sg
%mor:	adv|parce adv|que conj|sinon pro:sub|vous v:mdl|aller&PRES&2p
	pro:obj|vous v:mdllex|faire-INF adv|mal
%mor:	co|oui=yes co|ben v:mdl|faire-PRES&12s co|attention prep|de neg|pas
	v|coincer-INF det:poss|ton&m&sg n|pied&m co|allez pro:y|y
%mor:	conj|et pro|toi&sg pro:rel|que$v:int|est–ce adv|que part|taire-PP&m
	v|chanter-PRES&SUB&2s ?|anouk ?
%mor:	n|grenouille&f ?
%mor:	v|attendre-IMP&2s ?|anouk pro:sub|elle re#v|venir-PRES&3s
	pro:sub|elle re#v|venir-PRES&3s
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas n|grave&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas n|grave&m
%mor:	adv|mais n|si&m
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s n|cacao&m ?
%mor:	pro:sub|tu pro:obj|te v|rappeler-PRES&SUB&2s adv|quand
	part|taire-PP&m n|étai&m-PL part|monter-PP&m prep|sur n|cacao&m
	prep|avec ?|anaé ?
%mor:	adv|ben part|taire-PP&m v:aux|avoir&PRES&2s det:art|les&pl
	n|pied&m-PL adj|propre&m-PL ?|anouk
%mor:	pro:sub|elle v:mdl|aller&PRES&3s v:aux|être&INF adj|content&f
	n|maman&f
%mor:	pro:sub|elle v:mdl|aller&PRES&3s v:aux|être&INF adj|content&f
	n|maman&f prep|de v|voir&INF det:poss|tes&pl n|pied&m-PL n|tout&m
	adj|propre&m-PL n|tout&m adj|sale-PL adv|comme pro:dem|ça
%mor:	pro:sub|elle v:aux|être&PRES&3s pro:rel|où n|maman&f ?
%mor:	adv:int|pourquoi ?
%mor:	adv|comment pro:sub|il v:aux|avoir&PRES&3s part|faire-PP&m ?
%mor:	co|ah co|oui=yes
%mor:	pro:sub|il v:aux|avoir&PRES&3s adv|très adv|mal ?
%mor:	adv|alors pro:int|qui v:int|est–ce pro:int|qui part|faire-PP&m
	det:art|les&pl n|travail&m&pl adv|maintenant ?
%mor:	co|ah co|bon
%mor:	pro:sub|il v:mdl|aller&PRES&3s pro:refl|se v|soigner-INF
%mor:	co|ah adv|parce adv|que pro|toi&sg part|taire-PP&m
	v|connaître-PRES&IMP&12s det:art|un&m&sg adj|petit&m n|garçon&m
	pro:int|qui pro:refl|se$v|appeler-PRES&SUB&13s ?|némo ?|anouk
	pro:dem|ce$v:aux|être&PRES&3s pro:dem|ça ?
%mor:	det:art|une&f&sg n|glace&f prep|pour pro|moi&sg co|mmh
%mor:	co|merci
%mor:	adv|très co|bon
%mor:	v|dire-PRES&PASS&12s adv|donc pro:dem|ce$v:aux|être&PRES&3s
	n|rapide&m det:art|le&m&sg n|service&m co|hein
%mor:	v:int|est–ce adv|que part|taire-PP&m v:mdl|vouloir&PRES&12s
	v|mettre-INF det:art|le&m&sg n|tablier&m ?|anouk ?
%mor:	prep|pour v:mdl|faire-INF det:art|la&f&sg n|cuisine&f
%mor:	co|oui=yes
%mor:	det:art|le&m&sg n|ballon&m pro:dem|ce$v:exist|être&PRES&3s
	adv:place|dehors ?|anouk adv|d'accord ?
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s v|voir&INF ?|anouk pro|toi&sg ?
%mor:	co|ah co|oui=yes adv|peut–être
%mor:	co|ouais=yes
%mor:	pro:sub|il n|danse&f det:poss|ton&m&sg n|bébé&m ?
%mor:	pro:sub|il n|marche&f
%mor:	pro:sub|il n|marche&f
%mor:	co|hum co|hum
%mor:	co|ah co|bon part|taire-PP&m v:aux|avoir&PRES&2s part|goûter-PP&m
	prep|à num|deux n|heure&f-PL prep|à det:poss|ta&f&sg n|maison&f ?
%mor:	pro:sub|tu v:mdl|vouloir&PRES&12s neg|pas n|goûter&m adv|alors
	?|anouk ?
%mor:	part|taire-PP&m v:aux|être&PRES&2s adj|sûr&f ?
%mor:	part|taire-PP&m v|voir&FUT&2s n|bien&m adv|si part|taire-PP&m
	prep|en v:mdl|vouloir&PRES&12s conj|ou neg|pas
%mor:	co|non=no pro:dem|ce$v:exist|être&PRES&3s adj|bon&m n|fraise&f
	pro:dem|ce$v:aux|être&PRES&3s adv|bien
%mor:	pro:dem|ce$v:aux|être&PRES&3s adv|bien
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s prep|que pro:sub|je
	pro:obj|te$v|ouvrir-IMP&2s det:poss|ton&m&sg n|gâteau&m ?|anouk ?
%mor:	co|non=no v|regarder-IMP&2s pro:dem|ce$v:aux|être&PRES&3s adv|juste
%mor:	adv:place|voilà
%mor:	v|prendre-PRES&IMP&12s prep|de&les n|force&f-PL adv|parce adv|que
	part|taire-PP&m v:aux|avoir&PRES&2s prep|de&le n|boulot&m adv|après
%mor:	co|allez ?|ael
%mor:	v|prendre-PRES&IMP&12s det:art|une&f&sg n|compote&f conj|et
	det:art|un&m&sg n|ourson&m
%mor:	det:poss|ton&m&sg n|verre&m ?|anouk ?|anouk det:art|le&m&sg
	n|verre&m
%mor:	v|tenir-IMP&2s
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|quoi det:art|la&f&sg
	n|maison&f prep|de&le n|crocodile&m ?|anouk ?
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s neg|pas
%mor:	part|taire-PP&m pro:y|en v:aux|avoir&PRES&2s adv|déjà prep|vu
	prep|de&les n|crocodile&m-PL ?
%mor:	co|chut
%mor:	pro:dem|ce$v:aux|être&PRES&3s adv|peut–être n|papa&m conj|et
	n|maman&f pro:int|qui v|arriver-PRES&3p ?|anouk
%mor:	conj|et pro|toi&sg part|taire-PP&m v:aux|avoir&PRES&2s
	part|finir-PP&m prep|de v|goûter-INF part|taire-PP&m
	re#v|tourner-PRES&SUB&2s v|ranger-INF co|allez co|hop
