%mor:	pro:sub|ils v:exist|être&PRES&3p ?|làbas ?
%mor:	pro:sub|il v:mdl|aller&PRES&3s v:mdl|falloir&INF v|enlever-INF
	v:aux|avoir&PRES&3s prep|dans det:poss|sa&f&sg n|main&f ?
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s neg|pas ?
%mor:	det:art|une&f&sg n|sucette&f ?
%mor:	co|mhm
%mor:	co|oh conj|et adv:place|là ?
%mor:	det:art|le&m&sg n|pain&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg n|boulangerie&f
%mor:	co|oh conj|et pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s
	det:art|la&f&sg n|maman&f n|ours&m
%mor:	conj|et adv:place|là pro:sub|il v:aux|être&PRES&3s prep|avec
	det:poss|son&m&sg n|papa&m adj|petit&m n|ours&m ?
%mor:	pro:int|que$v:aux|être&PRES&3s pro:dem|ce pro:rel|que$pro:sub|il
	v:aux|avoir&PRES&3s prep|dans det:art|la&f&sg n|main&f ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi pro:dem|ça ?
%mor:	part|taire-PP&m pro:y|y v:mdl|aller&PRES&2s pro|toi&sg adv|aussi
	prep|à det:art|la&f&sg n|poste prep|avec pro|moi&sg
%mor:	pro:sub|on v:mdl|aller&PRES&3s v|mettre-INF pro:int|quoi prep|à
	det:art|la&f&sg n|poste ?
%mor:	det:art|les&pl n|lettre&f-PL ?
%mor:	co|mhm
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|quoi adv|alors ?
%mor:	det:art|une&f&sg n|lettre&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s n|bien&m det:poss|mon&m&sg n|ange&m
%mor:	co|oui=yes det:art|un&m&sg n|vélo&m adv:place|là
%mor:	pro:sub|il
%mor:	co|ah pro:sub|il v:mdllex|faire-PRES&3s co|dodo
%mor:	co|ah co|oui=yes pro:sub|il v:aux|avoir&PRES&3s det:art|les&pl
	n|yeux&m adj|fermé&m-PL
%mor:	co|ah co|oui=yes pro:sub|il v:mdllex|faire-PRES&3s co|dodo
	pro:ind|lui
%mor:	conj|et part|luire&PP&m pro:sub|il part|faire-PP&m det:art|le&m&sg
	n|coquin&m pro:ind|lui
%mor:	co|mh co|mh
%mor:	pro:sub|il part|faire-PP&m co|coucou=peekaboo ?
%mor:	conj|et pro:ind|lui ?
%mor:	pro:sub|il n|conduit&m ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|chauffeur&m ?
%mor:	co|mhm
%mor:	conj|et det:art|le&m&sg n|chien&m pro:sub|il n|court&m
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s prep|vu pro:sub|il n|court&m
	det:art|le&m&sg n|chien&m
%mor:	adv:place|là v|regarder-PRES&SUB&13s
%mor:	n|court&m
%mor:	n|court&m adv|vite co|hein
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v|moucher-INF
	det:poss|ton&m&sg n|nez&m ?
%mor:	pro:sub|il v:mdl|aller&PRES&3s v:mdl|falloir&INF co|hein
%mor:	co|mh
%mor:	pro:sub|on v:mdl|aller&PRES&3s pro:obj|le v|moucher-INF pro:dem|ce
	n|nez&m ?
%mor:	co|aïe det:poss|mon&m&sg n|doigt&m
%mor:	co|éh det:poss|mon&m&sg n|doigt&m
%mor:	pro:sub|il v:aux|être&PRES&3s adv:place|dedans
%mor:	conj|et det:art|le$pro|autre&sg ?
%mor:	co|aïe
%mor:	pro:sub|on v|prendre-PRES&3s det:art|le$pro|autre&sg
%mor:	co|bon
%mor:	co|ah pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg pro:int|qui
	det:art|le&m&sg
%mor:	co|bon
%mor:	prep|dans det:art|le$pro|autre&sg n|sens&m
%mor:	prep|dans det:art|le$pro|autre&sg n|sens&m
%mor:	co|non=no prep|dans det:art|le$pro|autre&sg
%mor:	pro:sub|il v:aux|être&PRES&3s prep|à det:art|le$n|envers&m
	det:poss|ton&m&sg n|livre
%mor:	co|oh adv|mais pro:sub|il pro:sub|il$v:aux|être&PRES&3s
	adv|toujours
%mor:	co|non=no det:poss|mon&m&sg n|coeur&m
%mor:	prep|dans det:art|le$pro|autre&sg
%mor:	adv|comme pro:dem|ça
%mor:	v|tourner-IMP&2s det:art|le&m&sg
%mor:	adv:place|voilà
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|pays&m
	prep|de&les n|nounours&m=teddy_bear
%mor:	co|oui=yes pro:dem|ce$v:exist|être&PRES&3s det:poss|ton&m&sg
	n|livre
%mor:	pro:dem|ça v|empêcher-PRES&SUB&13s neg|pas
%mor:	pro:int|qui pro:dem|ce$v:exist|être&PRES&3s pro:dem|ce
	n|nounours&m=teddy_bear ?
%mor:	part|taire-PP&m v:mdl|faire-PRES&12s det:art|le&m&sg
	det:art|un&m&sg n|zouave&m co|hein
%mor:	co|oui=yes
%mor:	n|chipie&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|chapeau&m
	pro:dem|ça n|oui&m
%mor:	det:art|une&f&sg n|casquette&f
%mor:	adv|alors
%mor:	n|bienvenu&m prep|à&le n|pays&m prep|de&les n|nounours&m=teddy_bear
%mor:	co|oh v|regarder-IMP&2s det:art|les&pl n|papillon&m-PL
%mor:	pro:sub|il v:mdl|falloir&PRES&3s pro:obj|les v|trouver-INF
%mor:	pro:sub|ils pro:refl|se v:aux|être&PRES&3p part|cacher-PP&m&pl
	det:art|les&pl n|papillon&m-PL
%mor:	v:mdl|faire-PRES&12s v|voir&INF
%mor:	pro:sub|on v:mdl|aller&PRES&3s pro:obj|les v|trouver-INF
	adv:place|là
%mor:	v|tourner-PRES&SUB&13s det:art|la&f&sg n|page
%mor:	v|tourner-IMP&2s v|tourner-IMP&2s
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s prep|vu adv:place|là pro:y|y
	v:aux|avoir&PRES&3s det:art|les&pl adj|petit&f-PL n|souris&f
%mor:	adv:place|là
%mor:	conj|et adv|puis adv:place|là det:art|une&f&sg adj|petit&f
	n|souris&f
%mor:	co|oh conj|et adv|puis adv:place|là adv|encore
%mor:	adv|alors
%mor:	pro:sub|ils v:aux|être&PRES&3p pro:int|où det:dem|ces&m&pl
	n|papillon&m-PL ?
%mor:	conj|et det:art|les&pl adj|petit&f-PL n|souris&f
%mor:	pro:sub|elles v:aux|être&PRES&3p pro:int|où det:art|les&pl
	adj|petit&f-PL n|souris&f ?
%mor:	co|oh pro:y|y v:aux|avoir&PRES&3s det:art|un&m&sg n|papillon&m
	adj|bleu&m adv:place|là
%mor:	co|oh pro:y|y v:aux|avoir&PRES&3s det:art|un&m&sg adj|jaune
	adv:place|là
%mor:	conj|et det:art|les&pl n|souris&f
%mor:	v:aux|être&PRES&3p part|cacher-PP&f&pl ?
%mor:	co|ouais=yes
%mor:	prep|en co|voilà pro|une&f&sg
%mor:	det:art|une&f&sg adv:place|là
%mor:	co|oh adv|encore det:art|un&m&sg n|papillon&m
%mor:	v|regarder-PRES&SUB&13s det:art|un&m&sg n|peu&m
%mor:	conj|et adv:place|là v|regarder-PRES&SUB&13s
%mor:	pro|toutes&f&pl det:art|les&pl n|couleur&f-PL
%mor:	co|ah co|ouais=yes
%mor:	adv|encore prep|de&les n|souris&f
%mor:	co|oui=yes
%mor:	pro:dem|ça pro:y|en part|faire-PP&m n|trois&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|papillon&m
	pro:dem|ça
%mor:	co|oh adv:place|là v|regarder-PRES&SUB&13s
%mor:	co|ouais=yes
%mor:	co|mhm
%mor:	det:art|un&m&sg n|papillon&m
%mor:	co|oh adv:place|là v|regarder-PRES&SUB&13s
%mor:	det:art|les&pl pro|autres&pl
%mor:	conj|et det:art|le&m&sg n|nounours&m=teddy_bear prep|avec
	prep|de&les n|lunette&f-PL pro:sub|il v:aux|être&PRES&3s pro:int|où
	?
%mor:	part|taire-PP&m det:art|le&m&sg v|voir&IMP&PRES&12s det:art|le&m&sg
	n|nounours&m=teddy_bear prep|avec det:art|les&pl n|lunette&f-PL ?
%mor:	adv:place|là
%mor:	co|ouais=yes
%mor:	pro:sub|elles v:aux|être&PRES&3p part|casser-PP&f&pl
	det:poss|ses&pl n|lunette&f-PL
%mor:	pro:sub|elles v:aux|être&PRES&3p prep|de n|travers&m
%mor:	conj|et part|luire&PP&m pro:sub|il v:aux|avoir&PRES&3s
	part|prendre-PP&m n|son&m=sound adj|petit&m n|panier&m
%mor:	pro:sub|il v:mdl|aller&PRES&3s v:mdl|aller&INF prep|à&le n|marché&m
%mor:	adv|alors det:art|les&pl n|papillon&m-PL pro:sub|ils
	v:aux|être&PRES&3p pro:int|où
%mor:	adv:place|là
%mor:	pro:int|que$v:aux|être&PRES&3s pro:dem|ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s pro:dem|ça ?
%mor:	co|ouais=yes
%mor:	prep|avec
%mor:	pro:sub|il v:aux|être&PRES&3s prep|sur det:art|la&f&sg n|peinture&f
	det:art|le&m&sg n|papillon&m
%mor:	conj|et adv:place|là adv|aussi v|regarder-PRES&SUB&13s
%mor:	conj|et det:art|les&pl adj|petit&f-PL n|souris&f pro:sub|elles
	pro:y|y v:aux|être&PRES&3p part|plaire-PP&m&pl co|hein
%mor:	co|ah co|oui=yes
%mor:	adv:place|là pro:y|y v:aux|avoir&PRES&3s det:art|un&m&sg
	n|papillon&m
%mor:	conj|et adv:place|là v|regarder-PRES&SUB&13s
%mor:	pro:sub|il v:aux|être&PRES&3s adj|beau&m&sg=pretty ?|celuilà
%mor:	pro:sub|il v:aux|être&PRES&3s adj|bleu&m adj|bleu&m
%mor:	co|oui=yes adv:place|là adv|aussi
%mor:	pro:sub|il prep|en n|manque&m pro|un&m&sg
%mor:	pro:sub|il v:aux|être&PRES&3s pro:int|où det:art|le&m&sg
	n|quatrième ?
%mor:	pro:sub|il v:aux|être&PRES&3s part|cacher-PP&m co|hein
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas pro:int|où pro:sub|il
	v:aux|être&PRES&3s adv|d'ailleurs
%mor:	co|oh co|oui=yes pro:y|y pro:y|en v:aux|avoir&PRES&3s
	det:art|un&m&sg adv:place|là
%mor:	co|bah pro:sub|je v:mdl|savoir&PRES&12s neg|pas
%mor:	pro:sub|il v:aux|être&PRES&3s part|cacher-PP&m
%mor:	pro:sub|je v:mdl|aller&PRES&1s v|chercher-INF det:art|un&m&sg
	n|mouchoir&m ?|ana
%mor:	v|chercher-PRES&SUB&13s det:art|les&pl n|papillon&m-PL
	det:poss|mon&m&sg n|ange&m
%mor:	part|taire-PP&m pro:obj|le$v:poss|avoir&PRES&2s part|trouver-PP&m ?
%mor:	n|mouchoir&m
%mor:	num|deux n|papillon&m-PL part|taire-PP&m v:aux|avoir&PRES&2s
	part|trouver-PP&m ?
%mor:	co|ah co|ouais=yes part|taire-PP&m v:aux|avoir&PRES&2s n|raison&f
%mor:	conj|et co|ouais=yes
%mor:	conj|et pro|un&m&sg adv:place|là
%mor:	conj|et adv|puis ?
%mor:	v|tenir-IMP&2s
%mor:	co|ouais=yes
%mor:	n|mouche&f det:poss|ton&m&sg n|nez&m
%mor:	n|avant&m adv|que pro:dem|ça dé#v|border-PRES&SUB&13s
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s n|raison&f pro:y|y pro:y|en
	v:aux|avoir&PRES&3s det:art|un&m&sg adv:place|là prep|dans
	det:art|le&m&sg n|four&m
%mor:	conj|et pro|un&m&sg adv:place|là
%mor:	co|ohlàlà
%mor:	pro:y|y pro:y|en v:aux|avoir&PRES&3s n|plein&m co|hein prep|de
	n|papillon&m-PL
%mor:	n|mouche&f pro:dem|ce n|nez&m
%mor:	adv|encore
%mor:	v|attendre-IMP&2s
%mor:	n|souffle&m
%mor:	adv|encore
%mor:	co|bravo
%mor:	pro:y|y pro:y|en v:aux|avoir&PRES&3s adv|encore prep|à
	v|moucher-INF ?
%mor:	co|ohlàlà
%mor:	pro:dem|ça v|suffire&PASS&3s prep|pour det:art|le$n|instant&m ?
%mor:	adv|alors pro:sub|ils v:aux|être&PRES&3p pro:int|où pro|tous&m&pl
	det:poss|tes&pl n|papillon&m-PL det:poss|mon&m&sg n|coeur&m-PL ?
%mor:	adv:place|là
%mor:	conj|et adv|puis
%mor:	co|oui=yes
%mor:	co|oui=yes
%mor:	adv:place|là
%mor:	co|ouais=yes
%mor:	conj|et adv:place|là ?
%mor:	co|mh co|mh
%mor:	pro:sub|ils v:mdl|faire-PRES&3p prep|de&les n|gâteau&m-PL
%mor:	part|taire-PP&m pro:y|y v:aux|avoir&PRES&2s part|voir&PP&m ?
%mor:	pro:sub|ils v:aux|être&PRES&3p prep|en n|train&m prep|de
	v:mdl|faire-INF det:art|les&pl n|gâteau&m-PL
%mor:	co|ouais=yes
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|papillon&m
	pro:int|que$v:aux|être&PRES&3s prep|dans det:art|le&m&sg n|gâteau&m
%mor:	v|regarder-IMP&2s
%mor:	pro:sub|ils v:aux|avoir&PRES&3p part|faire-PP&m prep|de&les
	n|nounours&m=teddy_bear prep|en n|gâteau&m
%mor:	part|taire-PP&m pro:y|y v:aux|avoir&PRES&2s part|voir&PP&m ?
%mor:	co|mh
%mor:	adv:place|là pro:dem|ce$v:exist|être&PRES&3s det:art|la&f&sg
	n|farine&f
%mor:	pro:int|que$v:aux|être&PRES&3s pro:dem|ce pro:rel|que$pro:sub|il
	pro:y|y v:aux|avoir&PRES&3s pro:dem|ça ?
%mor:	adv:place|dedans
%mor:	pro:y|y v:aux|avoir&PRES&3s pro:int|quoi adv:place|dedans ?
%mor:	prep|de det:art|la&f&sg n|confiture&f
%mor:	pro:dem|ce v:aux|être&PRES&3p prep|de&les n|pot&m-PL=pot prep|de
	n|confiture&f
%mor:	adj|petit&m-PL n|pied&m-PL adv:place|là
%mor:	adv|alors
%mor:	co|oh part|taire-PP&m v:aux|avoir&PRES&2s prep|vu pro|toutes&f&pl
	det:dem|ces&m&pl n|voiture&f-PL
%mor:	pro:sub|ils v:aux|être&PRES&3p pro:int|où det:art|les&pl
	n|papillon&m-PL ?
%mor:	co|ah pro:y|y pro:y|en v:aux|avoir&PRES&3s det:art|un&m&sg
	adj|vert&m adv:place|là
%mor:	co|ah co|oui=yes
%mor:	co|bravo
%mor:	co|bravo
%mor:	adv:place|là
%mor:	v|regarder-IMP&2s
%mor:	n|trois&m
%mor:	pro:int|où pro:dem|ce$v:exist|être&PRES&3s pro:rel|que$pro:sub|il
	pro:y|y pro:y|en v:aux|avoir&PRES&3s adv|encore ?
%mor:	adv:place|là
%mor:	co|mh
%mor:	v|regarder-IMP&2s
%mor:	pro:sub|on v|voir&PRES&3s det:art|le&m&sg n|train&m adv:place|là
%mor:	prep|avec n|nounours&m=teddy_bear
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s prep|vu pro:sub|il
	v:aux|être&PRES&3s part|coucher-PP&m prep|sous det:art|la&f&sg
	n|voiture&f prep|pour det:art|la&f&sg v|réparer-INF
%mor:	n|papa&m adv|aussi pro:sub|il part|faire-PP&m pro:dem|ça
	prep|de&les n|fois&f co|hein
%mor:	pro:sub|il pro:refl|se v|mettre-PRES&3s prep|sous det:art|la&f&sg
	n|voiture&f prep|pour det:art|la&f&sg v|réparer-INF
%mor:	co|mh
%mor:	pro:sub|il n|change&m det:art|les&pl n|roue&f-PL
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|voir&PP&m ?
%mor:	conj|et pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi
	pro:dem|ça ?
%mor:	det:art|un&m&sg n|ciseau&m ?
%mor:	co|mhm
%mor:	det:art|le&m&sg v|tourner-IMP&2s n|vis&f
%mor:	co|oui=yes
%mor:	num|deux
