%mor:	part|taire-PP&m pro:obj|te v|souvenir-IMP&2s ?
%mor:	v:int|est–ce adv|que part|taire-PP&m pro:obj|te v|souvenir-PRES&12s
	pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg n|queue&f prep|de
	det:art|la&f&sg n|poule&f v|regarder-PRES&SUB&13s
%mor:	v|regarder-PRES&SUB&13s adv|si pro:sub|on v|prendre-PRES&3s
	det:art|le$n|image&f adv:place|là
%mor:	co|oh co|non=no part|taire-PP&m v:aux|avoir&PRES&2s n|raison&f
	pro:dem|ce$v:exist|être&PRES&3s det:art|le&m&sg n|ventre&m
%mor:	co|oh pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg pro:int|qui
	v:aux|avoir&IMPF&12s n|raison&f
%mor:	pro:dem|ce$v:aux|être&IMPF&3s n|bien&m det:art|le&m&sg n|ventre&m
	prep|de det:art|la&f&sg n|poule&f
%mor:	co|bravo
%mor:	part|taire-PP&m v|tourner-PRES&SUB&2s ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s
	adv:place|là ?
%mor:	co|oui=yes
%mor:	pro:ind|lui pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg
	adj|petit&m n|bébé&m
%mor:	conj|et adv:place|là pro:dem|ce$v:exist|être&PRES&3s
	det:art|la&f&sg n|maman&f
%mor:	co|oui=yes ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:poss|sa&f&sg n|queue&f ?
%mor:	pro:sub|je n|peu&m-PL pro:int|quoi ?
%mor:	co|hum
%mor:	co|oui=yes
%mor:	co|oui=yes
%mor:	co|oui=yes
%mor:	co|oui=yes
%mor:	co|oui=yes
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|bébé&m
	n|canard&m=duck
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s n|comment&m pro:dem|ça
	pro:refl|se$v|appeler-PRES&SUB&13s det:art|les&pl n|bébé&m-PL
	n|canard&m-PL=duck ?
%mor:	det:art|un&m&sg n|caneton&m
%mor:	co|oui=yes det:art|un&m&sg n|bébé&m n|chat&m
%mor:	conj|et adv:place|voilà
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v|lire-INF det:art|un&m&sg
	pro|autre&sg n|livre ?
%mor:	v|tenir-IMP&2s pro:dem|celui–là part|taire-PP&m det:art|le&m&sg
	re#v|mettre-PRES&12s prep|dans det:art|la&f&sg prep|dans
	det:art|la&f&sg n|caisse&f ?
%mor:	adv|alors
%mor:	part|taire-PP&m pro:obj|le$v:poss|avoir&PRES&2s part|cacher-PP&m ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s det:art|un&m&sg n|gâteau&m ?
%mor:	adv|alors adj|petit&m n|tout&m adj|jaune n|sire&m det:art|le&m&sg
	n|roi&m prep|sur det:poss|son&m&sg n|trône&m
%mor:	adj|petit&m adv|tout ?
%mor:	v|frotter-IMP&2s v|frotter-IMP&2s pro:dem|ça v:mdl|aller&FUT&3s
	adv|mieux=better
%mor:	adj|petit&m adv|tout ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s co|non=no
	pro:dem|ce$v:exist|être&PRES&3s neg|pas det:art|un&m&sg n|monsieur&m
	v|regarder-PRES&SUB&13s
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg adj|petit&f
	n|fille&f prep|avec prep|de&les n|couette&f-PL
%mor:	pro:sub|on v|dire-COND&3s ?|anaé
%mor:	adj|petit&m n|tout&m adj|rouge
%mor:	prep|que n|personne&f neg|ne n|bouge&m
%mor:	co|ah co|oui=yes
%mor:	adv|mais pro:sub|il pro:y|y pro:y|en v:aux|avoir&PRES&3s
	pro|plusieurs prep|de&les n|poisson&m-PL
%mor:	adj|petit&m n|tout&m adj|blanc co|oh det:art|le&m&sg n|gourmand&m
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il
	v|manger-PRES&SUB&13s ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:sub|il v:aux|avoir&PRES&3s det:art|la&f&sg n|langue&f adv|toute
	n|blanche&f adv|parce pro:rel|que$pro:sub|il v|manger-IMP&2s
	pro:int|quoi ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il
	v|manger-PRES&SUB&13s ?
%mor:	adv|d'accord
%mor:	pro:sub|il v|manger-PRES&SUB&13s prep|de&le prep|de&le n|fromage&m
	adj|blanc conj|ou det:art|un&m&sg n|yaourt&m
%mor:	v|regarder-IMP&2s adj|petit&m n|tout&m adj|vert&m
	v:aux|avoir&PRES&3s part|manger-PP&m adv|trop prep|de
	n|dessert&m=dessert
%mor:	pro:sub|il v:aux|être&PRES&3s n|malade adv|parce
	pro:rel|que$pro:sub|il v:aux|avoir&PRES&3s adv|trop part|manger-PP&m
%mor:	adj|petit&m n|tout&m adj|rose pro:sub|il pro:refl|se
	re#v|poser-PRES&SUB&13s
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|bébé&m ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|bébé&m prep|comme
	n|rose
%mor:	pro:dem|ce$v:aux|être&PRES&3s adj|petit&m n|tout&m adj|rose
	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|bébé&m prep|comme
	n|rose
%mor:	conj|et det:art|le&m&sg adj|petit&m n|tout&m n|noir&m ?
%mor:	on|chut pro:sub|il v|dormir-PRES&3s prep|comme det:art|un&m&sg
	n|loir&m
%mor:	pro:sub|on v|regarder-PRES&SUB&13s prep|de det:art|le$pro|autre&sg
	n|côté&m ?
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s v|regarder-IMP&2s pro:sub|il
	pro:y|y v:aux|avoir&PRES&3s prep|de&les n|page-PL prep|de
	det:art|le$pro|autre&sg n|côté&m part|taire-PP&m pro:obj|te
	v|souvenir-IMP&2s ?
%mor:	adj|jaune n|poussin&m
%mor:	adv|encore det:art|un&m&sg n|câlin&m=coaxing
%mor:	det:art|un&m&sg n|peu&m adv|de n|eau&f adj|bleu&f
%mor:	pro:sub|je$pro:y|en v:mdl|vouloir&PRES&12s
%mor:	?|omer pro:sub|il pro:refl|se$v|enrhumer-IMP&2s part|taire-PP&m
	v|entendre-IMP&2s ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il part|faire-PP&m
	?|omer ?
%mor:	pro:sub|il pro:obj|te v|regarder-PRES&SUB&13s ?
%mor:	co|oui=yes ?
%mor:	co|bah v:mdl|aller&PRES&2s pro:y|y n|caresse&f det:art|le&m&sg
%mor:	v|asseoir&PASS&12s
%mor:	co|bah pro|toi&sg part|taire-PP&m n|peu&m-PL part|luire&PP&m
	n|dire&m
%mor:	pro:sub|je v|croire&PRES&12s pro:rel|que$pro:sub|il
	v:mdl|vouloir&PRES&3s pro:obj|te v|piquer-INF det:poss|ton&m&sg
	n|gâteau&m
%mor:	co|bon pro:sub|on v|continuer-PRES&SUB&13s det:art|le&m&sg n|livre
	conj|ou neg|pas ?
%mor:	pro:sub|on pro:y|en v:aux|être&IMPF&3s prep|à&le n|poisson&m
%mor:	adj|rouge n|poisson&m adj|petit&m n|polisson&m
%mor:	adj|beau&m&sg=pretty n|oiseau&m adj|beau&m&sg=pretty n|oiseau&m
	adj|blanc co|voilà n|maman&f
%mor:	adj|vert&m adj|petit&m n|pois&m det:art|un&m&sg n|deux&m n|trois&m
	adv:place|voilà ?
%mor:	n|papa&m ?
%mor:	adj|rose n|bonbon&m on|miam pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	co|hum
%mor:	conj|et n|nuit&f n|noir&f
%mor:	part|taire-PP&m pro:obj|me v|raconter-PRES&SUB&2s det:art|une&f&sg
	n|histoire&f ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg n|lune&f co|oui=yes
%mor:	pro:sub|elle v:aux|être&PRES&3s prep|de det:gen|quelle&f&sg
	n|couleur&f det:art|la&f&sg n|lune&f ?
%mor:	pro:sub|elle v:aux|être&PRES&3s adj|jaune
%mor:	on|hop conj|et co|voilà part|finir-PP&m
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:exist|être&PRES&3s
	pro:dem|ce n|livre adv:place|là ?
%mor:	adv|d'accord
%mor:	co|ah
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|pour ?|omer ?
%mor:	v|attendre-IMP&2s part|taire-PP&m v:aux|avoir&PRES&2s prep|de&les
	n|miette&f-PL adv:place|là
%mor:	v:mdl|aller&PRES&2s pro:y|y pro:dem|ce$v:aux|être&PRES&3s
	pro|toi&sg pro:int|qui v|raconter-PRES&SUB&2s
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|qui pro:ind|lui ?
%mor:	adv|comment pro:sub|il pro:refl|se$v|appeler-PRES&SUB&13s ?
%mor:	co|ah co|bah co|oui=yes pro:dem|ça adv|aussi
	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg n|lune&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg n|lune&f ?|barbapapa
	co|oui=yes
%mor:	det:art|une&f&sg n|télé&f=television ?|barbapapa
%mor:	conj|et pro:int|qui v:int|est–ce pro:int|qui
	v|regarder-PRES&SUB&13s det:art|la&f&sg n|télé&f=television ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|voir&PP&m
	v|regarder-PRES&SUB&13s
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s det:art|un&m&sg adj|petit&m
	n|bébé&m pro:int|qui v:aux|être&PRES&3s prep|dans det:art|une&f&sg
	n|poussette&f pro:int|quoi ?
%mor:	co|bah co|oui=yes
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s det:art|une&f&sg n|maman&f
	?|barbapapa adv|aussi n|oui&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s adj|pratique adv|de v:aux|être&INF
	det:art|un&m&sg ?|barbapapa adv|quand adv|même
%mor:	co|oh
%mor:	co|oui=yes
%mor:	co|hé v|regarder-PRES&SUB&13s adv|bien v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s prep|de&les n|escargot&m-PL pro:dem|ça
	?
%mor:	co|non=no pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	part|taire-PP&m pro:sub|tu$v:aux|être&PRES&2s part|tromper-PP&f
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	adv|d'accord
%mor:	co|oui=yes pro:dem|ce$v:exist|être&PRES&3s adj|rose n|oui&m
%mor:	part|taire-PP&m v|aimer-PRES&SUB&2s adv|bien det:art|le&m&sg n|rose
	pro|toi&sg pro:sub|je v|croire&PRES&12s
%mor:	co|hum
%mor:	co|oui=yes
%mor:	pro:sub|il v|dormir-PRES&3s pro:rel|où ?
%mor:	co|hum
%mor:	conj|et pro:dem|ça pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg n|queue&f prep|de
	n|renard&m part|taire-PP&m v|croire&PRES&12s ?
%mor:	co|oui=yes ?
%mor:	conj|et adv:place|là pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	conj|et adv:place|là ?
%mor:	conj|et adv:place|là ?
%mor:	pro:sub|il v:aux|être&PRES&3s adj|bizarre det:dem|cet&m&sg
	n|oiseau&m det:art|un&m&sg adj|petit&m n|peu&m co|non=no ?
%mor:	co|ouais=yes
%mor:	conj|et adv|puis pro:sub|il pro:y|y v:aux|avoir&PRES&3s
	pro:int|quoi adv|de pro|autre&sg ?
%mor:	adv:place|là pro:dem|ce$v:exist|être&PRES&3s pro:rel|quoi ?
%mor:	co|oui=yes conj|et adv:place|là ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s
	pro:dem|ça ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|elle part|faire-PP&m
	det:art|le$n|araignée&f prep|sur det:art|le&m&sg n|plafond&m ?
%mor:	prep|dans det:poss|notre&sg n|maison&f pro:rel|que$v:int|est–ce
	pro:rel|que$pro:sub|elles v:mdl|faire-PRES&3p det:art|les&pl
	n|araignée&f-PL ?
%mor:	co|oui=yes
%mor:	det:art|le$n|araignée&f pro:sub|elle part|faire-PP&m
	det:art|une&f&sg n|toile&f
%mor:	co|oui=yes ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg
	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg
	n|+n|ver+prep|de+n|terre&m^n|+n|ver+prep|de+n|terre&m=nightcrawler
	co|hum
%mor:	pro:dem|ça v|ressembler-PRES&SUB&13s prep|à det:art|un&m&sg
	n|tout&m adj|petit&m n|serpent&m
%mor:	conj|et adv:place|là ?
%mor:	co|hum
%mor:	co|euh neg|pas n|tout&m prep|à part|faire-PP&m pro:sub|je
	v|croire&PRES&12s adv|que pro:dem|ce$v:aux|être&PRES&3s
	det:art|un&m&sg n|+n|mille+n|pattes&m
%mor:	co|bah pro:sub|je neg|ne v|croire&PRES&12s neg|pas adv|parce
	pro:int|que v|regarder-PRES&SUB&13s det:art|les&pl n|araignée&f-PL
	pro:sub|elles v:aux|avoir&PRES&3p num|huit n|patte&f-PL
%mor:	conj|et part|luire&PP&m pro:sub|il v:aux|avoir&PRES&3s qn|plus
	prep|de num|huit n|patte&f-PL
%mor:	det:art|un&m&sg n|+n|mille+n|pattes&m
%mor:	co|bah co|oui=yes
%mor:	pro:int|où v:int|est–ce adv|que part|taire-PP&m v:aux|avoir&PRES&2s
	prep|vu det:art|une&f&sg n|tortue&f ?
%mor:	co|non=no v|regarder-IMP&2s pro:dem|ce$v:aux|être&PRES&3s
	det:art|un&m&sg n|cactus&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg
	v|planter-PRES&SUB&13s
%mor:	part|taire-PP&m pro:sub|tu$v:aux|être&PRES&2s part|tromper-PP&f ?
%mor:	co|ah part|taire-PP&m pro:obj|me v:mdllex|faire-PRES&12s
	det:art|la&f&sg n|bise&f ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg pro:int|quoi ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|à ?|aël adv|peut–être n|oui&m
	adv|mais pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|calendrier&m
	prep|de n|lego&m-PL=toy
%mor:	pro:dem|ce$v:aux|être&IMPF&3s det:art|le&m&sg n|calendrier&m
	prep|pour co|euh v|attendre-INF det:art|le&m&sg n|père&m n|noël ?
%mor:	adv|peut–être pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg
	n|cadeau&m co|oui=yes
%mor:	pro:dem|ça pro:sub|je pro:obj|me v|demander-PRES&SUB&13s adv|bien
	pro:int|qui v:int|est–ce pro:int|qui v:aux|avoir&PRES&3s
	part|pouvoir&PP&m&sg v:mdl|faire-INF prep|de&les n|étoile&f-PL ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|qui ?
%mor:	conj|et pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s prep|sur det:art|les&pl n|étoile&f-PL ?
%mor:	prep|de&les n|gommette&f-PL=sticker ?
%mor:	part|taire-PP&m pro:obj|le$v:poss|avoir&IMPF&12s part|faire-PP&m
	prep|chez pro:rel|qui ?
%mor:	det:art|une&f&sg chi|poile n|araignée&f
%mor:	co|bah co|oui=yes n|mai&m-PL pro:sub|il pro:y|y pro:y|en
	v:aux|avoir&PRES&3s adv|partout pro:sub|il pro:y|y pro:y|en
	v:aux|avoir&PRES&3s adv|partout prep|dans det:poss|notre&sg
	n|maison&f
%mor:	co|hum pro:dem|ce$v:exist|être&PRES&3s neg|pas n|grave&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas n|grave&m
%mor:	adv|comme pro:dem|ça n|tout&m det:art|le&m&sg n|monde&m
	v|voir&FUT&3s det:art|les&pl n|toile&f-PL adv|de n|araignée&f-PL
	prep|de det:poss|notre&sg n|maison&f
%mor:	co|non=no pro:dem|ce$v:exist|être&PRES&3s neg|pas n|grave&m
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s n|babouche&f pro:int|qui
	v:aux|être&PRES&3s adv:place|là ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il part|faire-PP&m
	adv:place|là n|babouche&f ?
%mor:	co|oh pro:sub|il pro:y|y v:aux|avoir&PRES&3s det:art|une&f&sg
	adj|petit&f n|poussier&f adv:place|dessus
%mor:	pro:sub|il v|venir-PRES&3s prep|de$pro:int|où pro:dem|celui–là ?
%mor:	co|ah co|bon ?
%mor:	co|bah pro:sub|on v|essayer-FUT&3s prep|de det:art|le&m&sg
	re#v|coller-INF prep|dans det:art|le&m&sg n|livre
%mor:	co|bah pro:sub|je v|penser-IMP&2s pro:rel|que$pro:sub|il
	v:aux|être&PRES&3s prep|dans det:poss|ta&f&sg n|chambre&f pro:sub|on
	v:mdllex|aller&FUT&3s pro:obj|le v|chercher-INF n|tout&m prep|à
	det:art|le$n|heure&f
%mor:	part|taire-PP&m v:mdl|vouloir&IMP&2s pro:rel|que$pro:sub|on
	v|regarder-PRES&SUB&13s det:dem|ce&m&sg pro:rel|que$pro:sub|il
	pro:y|y v:aux|avoir&PRES&3s prep|dans det:art|la&f&sg n|caisse&f
	prep|comme n|jouet&m-PL ?
%mor:	pro:dem|ça part|faire-PP&m n|longtemps&m prep|que part|taire-PP&m
	neg|ne v:poss|avoir&PRES&2s neg|pas part|jouer-PP&m prep|avec
	det:dem|cette&f&sg n|caisse&f adv:place|là
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|lama&m
%mor:	pro:dem|ça v|ressembler-PRES&SUB&13s det:art|un&m&sg adj|petit&m
	n|peu&m prep|à det:art|un&m&sg n|mouton&m co|oui=yes
%mor:	co|hein ?
%mor:	adv|mais co|non=no pro:dem|ce$v:exist|être&PRES&3s neg|pas
	det:art|un&m&sg n|loup&m
%mor:	pro:dem|ça v|ressembler-PRES&SUB&13s neg|pas prep|de&le adv|tout
	prep|à det:art|un&m&sg n|loup&m
%mor:	det:art|un&m&sg n|tracteur&m
%mor:	det:gen|quelle&f&sg n|couleur&f ?
%mor:	co|hum
%mor:	co|hum ?
%mor:	co|oui=yes
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg adj|petit&m
	n|crocodile&m ?
%mor:	part|taire-PP&m v|entendre-PRES&12s pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s det:art|une&f&sg adj|petit&f n|bille&f
	adv:place|dedans prep|pour v:mdl|faire-INF prep|de&le n|bruit&m
%mor:	conj|et pro:dem|ça pro:sub|je v|croire&PRES&12s adv|que pro:dem|ça
	v:mdl|pouvoir&PRES&3s v:mdl|aller&INF prep|dans det:art|le&m&sg
	n|bain&m
