%mor:	conj|et adv|aussi det:art|le&m&sg n|noël prep|de ?|jack
%mor:	det:art|le&m&sg n|noël prep|de ?|jack
%mor:	adj|tien&m-PL ?|anaé v|tenir-IMP&2s
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s prep|que pro:sub|je
%mor:	conj|et v|libérer-PRES&SUB&13s
%mor:	det:art|le&m&sg ?|hansel
%mor:	conj|et prep|dans det:art|la&f&sg n|cave part|fouiller-PP&f
%mor:	pro:sub|ils v|trouver-PRES&3p det:art|une&f&sg n|trappe&f prep|de
	n|trésor&m
%mor:	n|trésor&m conj|et pro:sub|ils re#v|trouver-PASS&3p
	det:poss|leurs&pl n|parent&m-PL n|tout&m prep|à&le n|bout&m
%mor:	det:art|un&m&sg n|vampire&m ?
%mor:	det:art|un&m&sg n|livre prep|de n|vampire&m
%mor:	?|anaé ?
%mor:	part|taire-PP&m v|expliquer-PRES&SUB&2s prep|à ?|aliyah
	pro:rel|ce–que part|taire-PP&m v:mdl|aller&PRES&2s v|emmener-INF
	prep|en n|vacance&f-PL ?
%mor:	n|sac&m
%mor:	?|anaé ?
%mor:	co|hein part|taire-PP&m v:mdl|aller&PRES&2s adv|peut–être
	v|dormir-INF prep|avec ?|anouk
%mor:	det:art|la&f&sg n|momie&f
%mor:	pro:sub|je pro:obj|te$v|amener-IMP&2s adv|aussi det:art|la&f&sg
	n|momie&f ?
%mor:	co|hop co|hop
%mor:	n|vampire&m prep|de n|grenier&m
%mor:	det:art|les&pl n|vampire&m-PL prep|de n|grenier&m
%mor:	co|oh det:art|le&m&sg adj|petit&m n|garçon&m prep|entre prep|dans
	det:art|le&m&sg n|grenier&m
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s det:art|un&m&sg
	n|squelette&m
%mor:	v|tirer-IMP&2p
%mor:	on|hou
%mor:	co|hop
%mor:	adv|mais v:mdl|falloir&IMP&2s co|euh v|tourner-INF det:art|la&f&sg
	n|page ?|anaé
%mor:	prep|pour v|tourner-INF det:art|la&f&sg n|page
	v:mdl|falloir&PRES&3s re#v|mettre-INF co|la det:art|la&f&sg
	n|porte&f=door
%mor:	pro:sub|il v|entrer-PRES&SUB&13s prep|dans det:art|une&f&sg
	n|salle&f
%mor:	conj|et conj|et part|dire-PP&m v|ouvrir-IMP&2p
%mor:	neg|ne neg|pas v|entrer-INF
%mor:	co|oh pro:sub|je v|croire&PRES&12s adv|que pro:sub|il
	v:exist|être&PRES&3s pro:sub|il pro:y|y v:aux|avoir&PRES&3s n|bien&m
	adv|beaucoup prep|de n|malheur&m-PL
%mor:	det:art|un&m&sg n|vampire&m pro:obj|vous n|invite&f prep|à
	v|manger-INF
%mor:	adj|fermé&m prep|à n|clé&f
%mor:	co|ah
%mor:	conj|et ?|dracula v|voler-IMP&2s v|voler-IMP&2s
%mor:	neg|ne det:art|la&f&sg n|fenêtre&f
%mor:	part|taire-PP&m v|ouvrir-PRES&SUB&2s det:art|la&f&sg n|fenêtre&f
	?|anaé ?
%mor:	v|ouvrir-PRES&13s neg|pas det:art|la&f&sg n|fenêtre&f
%mor:	v|tourner-PRES&SUB&13s det:art|la&f&sg n|page
%mor:	adv:int|pourquoi ?
%mor:	co|hop
%mor:	co|han n|papillon&m
%mor:	conj|et part|taire-PP&m v|prendre-PRES&IMP&12s neg|pas
	det:poss|mon&m&sg n|sac&m co|hein
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:dem|celui–là det:art|le&m&sg
	n|mien&m
%mor:	det:art|le&m&sg n|travail&m&sg pro:dem|ce$v:exist|être&PRES&3s
	det:art|la&f&sg n|santé&f
%mor:	v|jouer-INF v|dessiner-INF
%mor:	n|moustache&f-PL
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s ?
%mor:	prep|à det:art|la&f&sg n|crotte&f prep|de n|nez&m pro:sub|il
	pro:y|y v:aux|avoir&PRES&3s part|marquer-PP&m co|miam co|miam
	conj|et prep|à n|bisou&m pro:sub|il pro:y|y v:aux|avoir&PRES&3s
	part|marquer-PP&m co|berk
%mor:	det:art|une&f&sg adj|gros&f n|araignée&f adj|noir&f
%mor:	pro|moi&sg adv|aussi pro:sub|je v:mdl|vouloir&PRES&12s
	v:mdl|faire-INF det:art|un&m&sg n|bisou&m prep|à
	det:art|le$n|araignée&f
%mor:	n|dentifrice&m
%mor:	conj|et det:art|un&m&sg n|pingouin&m
%mor:	det:art|le&m&sg n|poussin&m
%mor:	v:mdl|falloir&PRES&3s pro:obj|te v|mettre-INF prep|en n|pyjama&m
%mor:	conj|et v|dormir-INF
%mor:	conj|et v|jouer-INF prep|en adj|même&m=same n|temps&m v|dormir-INF
%mor:	v:mdl|aller&PRES&3s neg|pas v|dormir-INF prep|pour prep|de
	adj|vrai&m
%mor:	pro:sub|il$v:aux|être&PRES&3s n|coquin&m det:art|le&m&sg n|bras&m
	co|hein ?
%mor:	pro:sub|tu v:mdl|vouloir&PRES&12s prep|que pro:sub|je
	pro:obj|te$v|attacher-PRES&SUB&13s ?
%mor:	co|non=no pro:dem|ce$v:aux|être&PRES&3s pro|moi&sg pro:int|qui
	det:art|le$n|attache&f
%mor:	?|anaé pro:int|où pro:sub|tu v|dormir-PRES&12s prep|dans
	det:poss|ta&f&sg n|chambre&f ?
%mor:	?|anaé ?
%mor:	n|pendant&m pro:dem|ce n|temps&m pro:sub|je
	pro:obj|te$v|amener-PRES&SUB&13s det:art|les&pl adj|petit&m-PL
	n|ami&m-PL ?
%mor:	pro:sub|je pro:obj|te$v|amener-PRES&SUB&13s det:art|les&pl
	adj|petit&m-PL n|ami&m-PL ?|anaé ?
%mor:	co|hé co|ho ?|anaé pro:sub|je pro:obj|te$v|amener-IMP&2s
	det:art|les&pl adj|petit&m-PL n|ami&m-PL ?
%mor:	co|oh co|bah v|venir-IMP&2s
%mor:	pro:sub|je pro:obj|te$v|amener-IMP&2s det:art|les&pl n|truc&m-PL
	?|anaé
%mor:	det:art|les&pl adj|petit&m-PL n|ami&m-PL
	pro:dem|ce$v:aux|être&PRES&3s prep|pour pro|toi&sg
%mor:	co|hop
%mor:	v|tenir-IMP&2s
%mor:	v|tenir-IMP&2s
%mor:	pro:sub|il v:mdl|pouvoir&PRES&3s neg|pas pro:y|y v:mdl|aller&INF
	part|luire&PP&m prep|sur det:art|le&m&sg n|cheval&m&sg ?|anaé
%mor:	co|ah n|si&m pro:sub|il v:mdl|pouvoir&PRES&3s pro:y|y
	v:mdl|aller&INF
%mor:	n|deux&m prep|dans det:art|le&m&sg n|car&m ?|anaé
%mor:	v:mdl|falloir&PRES&3s prep|en v:mdl|faire-INF v|entrer-INF n|deux&m
	prep|dans det:art|le&m&sg n|car&m
%mor:	adv|tout det:art|le&m&sg n|monde&m ?
%mor:	det:art|la&f&sg n|fille&f pro:sub|elle n|conduit&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg n|rein&f
	part|taire-PP&m v:mdl|vouloir&PRES&12s v|dire-INF ?
%mor:	adv|parce adv|que
%mor:	adv|encore prep|de&les adj|petit&m-PL adj|ami&m-PL prep|pour ?|anaé
%mor:	n|accident&m
%mor:	adv|après pro:dem|ce v:aux|être&FUT&3s adv|tout det:art|un&m&sg
	n|film&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas prep|de&les n|lapin&m-PL
	pro:dem|ce$v:exist|être&PRES&3s prep|de&les
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg n|chouette&f conj|et
	det:art|un&m&sg n|pingouin&m pro:sub|je v|croire&PRES&12s
%mor:	det:art|le&m&sg n|pingouin&m pro:dem|ce$v:exist|être&PRES&3s
	prep|sur pro:dem|ce$v:aux|être&PRES&3s prep|sur det:art|une&f&sg
	n|montagne&f
%mor:	conj|et pro:dem|ça conj|et pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s
	det:art|une&f&sg n|chouette&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|hibou&m
%mor:	prep|sur det:art|le&m&sg n|sapin&m pro:dem|ce$v:exist|être&PRES&3s
	det:art|une&f&sg n|chouette&f
%mor:	co|hop
