%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|qui pro:int|qui
	pro:dem|ce$v:aux|être&PRES&3s prep|pour pro:refl|se v|diriger-INF
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|pour v:mdl|pouvoir&INF
	v|tourner-INF
%mor:	co|ah pro:sub|je v:mdl|savoir&PRES&12s neg|pas pro:sub|je
	v|penser-PRES&SUB&13s
%mor:	pro:sub|il v:mdl|devoir&PRES&3s neg|pas pro:y|y v:aux|avoir&INF
	adv|que pro:dem|ça prep|pour v|tourner-INF
%mor:	v:mdl|faire-PRES&12s v|voir&INF ?
%mor:	co|ah pro:sub|il conj|si$v:aux|être&IMPF&3s part|tromper-PP&m
	prep|de$n|endroit&m
%mor:	pro:sub|elle v:aux|être&PRES&3s pro:int|où det:art|la&f&sg
	adj|grand&f n|pile&f prep|de n|bois&m adv:place|là ?
%mor:	pro:sub|elle v:aux|être&PRES&3s prep|par ?|làbas ?
%mor:	co|oh
%mor:	adv:int|pourquoi pro:sub|il v|jeter-IMP&2s det:poss|son&m&sg
	n|bois&m prep|dans det:art|le$n|eau&f ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s n|pourquoi&m pro:sub|il
	v|jeter-PRES&SUB&13s det:art|les&pl n|tronc&m-PL prep|dans
	det:art|le$n|eau&f ?
%mor:	co|hein ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg adj|bon&f n|raison&f
	co|oui=yes
%mor:	co|oh co|attention
%mor:	co|eh adv|doucement det:art|les&pl n|livre-PL co|hein
%mor:	co|hein part|taire-PP&m v:mdl|savoir&PRES&12s
	pro:rel|que$pro:sub|il v:mdl|falloir&PRES&3s v:mdl|faire-INF
	adv|doucement
%mor:	prep|avec det:art|les&pl n|livre-PL
%mor:	co|oh part|taire-PP&m v:aux|être&PRES&2s n|bien&m n|excité&m
	pro:dem|ce n|matin&m adv:place|là
%mor:	?|qu'estce pro:int|qui pro:refl|se v|passer-PRES&SUB&13s ?
%mor:	co|hein ?
%mor:	co|eh ?|calmetoi
%mor:	adv|bien adv|sûr
%mor:	co|allez part|taire-PP&m v|ramasser-PRES&SUB&2s
%mor:	part|taire-PP&m re#v|mettre-PRES&12s adj|droit&m adv:place|là
%mor:	adv|mais n|si&m
%mor:	v|regarder-IMP&2s pro:dem|ce$v:aux|être&PRES&3s n|tout&m prep|de
	n|travers&m
%mor:	part|taire-PP&m v|arrêter-PRES&SUB&2s prep|de v|marcher-INF
	prep|sur det:art|les&pl n|livre-PL
%mor:	co|oui=yes adv|ben part|taire-PP&m prep|avec det:poss|tes&pl
	adj|petit&m-PL n|bras&m conj|et det:poss|tes&pl n|gros&m
	n|muscle&m-PL pro:sub|tu v|ramasser-PRES&SUB&2s
%mor:	co|ben
%mor:	co|oui=yes n|mai&m-PL pro|toi&sg pro:sub|tu v:aux|être&PRES&2s
	adj|fort&m
%mor:	adv|mais n|si&m
%mor:	v:mdl|faire-PRES&12s v|voir&IMP&PRES&12s
%mor:	co|ouh co|la co|la
%mor:	co|ben n|si&m
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s v|arriver-INF prep|à
	det:art|le&m&sg v|porter-INF pro:dem|ça pro:sub|je
	v|penser-PRES&SUB&13s
%mor:	pro:dem|ce$v:aux|être&PRES&3s adv|trop adv|lourd
%mor:	co|oh v|arrêter-IMP&2s co|eh co|oh co|oh co|oh co|oh co|oh
%mor:	part|taire-PP&m det:art|le&m&sg re#v|mettre-PRES&12s adj|droit&m
%mor:	adv|encore ?
%mor:	co|oh
%mor:	chi|ravas
%mor:	det:art|un&m&sg n|camion&m pro:int|quoi ?
%mor:	chi|des ?
%mor:	co|ah v|descendre-PRES&3s
%mor:	co|oui=yes v|descendre-PRES&3s
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas
%mor:	co|attention v|regarder-IMP&2s
%mor:	co|attention pro:sub|il v:mdl|aller&PRES&3s v|sortir&INF adv|par
	det:art|le$pro|autre&sg n|côté&m
%mor:	?|qu'estce prep|que part|taire-PP&m v:aux|avoir&PRES&2s
	part|ramasser-PP&m ?
%mor:	v|regarder-IMP&2s pro:y|y pro:y|en v:aux|avoir&PRES&3s
	det:art|un&m&sg pro|autre&sg ?
%mor:	co|hop adv:place|là
%mor:	co|ah co|bon det:art|les&pl n|camion&m-PL pro:sub|ils
	v:mdl|faire-PRES&3p co|tchou=train co|tchou=train ?
%mor:	co|ah
%mor:	pro:dem|ça pro:obj|me v|paraître-PRES&3s pro:dem|ça pro:obj|me
	v|paraître-PRES&3s adj|bizarre pro:dem|ça
%mor:	adj|drôle prep|de n|camion&m co|hein ?
%mor:	co|ah co|ouais=yes prep|pour det:art|un&m&sg n|camion&m pro:sub|il
	v:mdllex|falloir&IMP&2s det:art|une&f&sg adj|gros&f n|place&f
	n|oui&m
%mor:	pro:sub|je pro:obj|te$v|entendre-IMP&2s adj|bien ?|tim co|hein
%mor:	pro:sub|on v:aux|être&PRES&3s neg|pas adv:place|loin adv:place|là
%mor:	co|hein pro:dem|ce$v:exist|être&PRES&3s neg|pas det:art|la&f&sg
	n|peine&f prep|de v|crier-INF
%mor:	co|ah co|bon ?
%mor:	co|ouh co|la co|la co|pff co|ouh co|la co|la v|regarder-IMP&2s
	pro:sub|ils v:aux|avoir&PRES&3p part|faire-PP&m prep|de&les
	n|tonneau&m-PL adv:place|là
%mor:	pro:sub|ils v:aux|avoir&PRES&3p part|faire-PP&m prep|de&les
	n|tonneau&m-PL
%mor:	?|qu'estce pro:rel|que$pro:sub|il v:aux|avoir&PRES&3s
	part|faire-PP&m det:art|le&m&sg
%mor:	pro:sub|il v:aux|être&PRES&3s part|aller&PP&m&sg adv|trop adv|vite
	?
%mor:	pro:sub|il v:mdl|falloir&PRES&3s v:mdl|aller&INF adv|doucement
	co|hein adv:place|là co|hein ?
%mor:	v:mdl|falloir&PRES&3s part|luire&PP&m n|dire&m prep|à
	det:poss|ton&m&sg n|camion&m prep|de neg|pas v:mdl|aller&INF
	adv|trop adv|vite
%mor:	co|hein adv|parce adv|que pro:dem|ce$v:aux|être&PRES&3s
	det:art|une&f&sg n|descente&f adj|dangereux&f adv:place|là
%mor:	co|ah n|si&m adv|si pro:sub|il v:poss|avoir&IMPF&3s det:art|le&m&sg
	adj|droit&m n|mai&m-PL v:mdl|falloir&PRES&3s pro:rel|que$pro:sub|il
	v|arriver-PRES&SUB&13s adv|doucement
%mor:	conj|si$pro:sub|il v|arriver-PRES&SUB&13s adv|trop adv|vite
%mor:	pro:sub|il pro:sub|il v:aux|avoir&PRES&3s det:art|un&m&sg
	n|accident&m
%mor:	adv:place|voilà
%mor:	co|eh co|oui=yes
%mor:	adv:place|là pro:sub|il pro:y|en v:aux|avoir&PRES&3s
	v:aux|avoir&PP&m&sg pro|un&m&sg ?
%mor:	co|non=no v|regarder-IMP&2s part|taire-PP&m v|voir&IMP&PRES&12s
%mor:	pro:sub|il v:aux|être&PRES&3s part|rentrer-PP&m adv|aussi prep|dans
%mor:	adv|si part|taire-PP&m v|voir&IMP&PRES&12s pro:sub|il
	v:aux|avoir&COND&3s adj|dû&m v|freiner-INF n|avant&m adv|parce
	adv|que adv:place|là
%mor:	co|ah co|ohlàlà adv|ben v:mdl|falloir&PRES&3s v|appeler-INF
	det:art|les&pl n|pompier&m-PL
%mor:	adv|vite v|regarder-IMP&2s pro:sub|il pro:y|y v:aux|avoir&PRES&3s
	det:art|les&pl n|pompier&m-PL ?|làbas
%mor:	pro:int|qui ?
%mor:	pro:int|qui v:mdl|aller&PRES&3s adv|vite prep|sur co|la n|route&f ?
%mor:	co|ah v:mdl|falloir&PRES&3s neg|pas v:mdl|aller&INF adv|trop
	adv|vite co|hein
%mor:	pro:sub|ils pro:refl|se v:aux|être&PRES&3p neg|pas part|faire-PP&m
	adv|mal ?
%mor:	adv|ben pro:sub|ils v:aux|avoir&PRES&3p v:aux|avoir&PP&m&sg prep|de
	det:art|la&f&sg n|chance&f adv|alors adv|mais
%mor:	co|ah co|bon ?
%mor:	?|qu'estce pro:rel|que$pro:sub|ils v:mdl|aller&PRES&3p
	v:mdl|faire-INF prep|comme n|travail&m&sg ?
%mor:	co|ah pro:dem|ce$v:aux|être&PRES&3s pro:dem|ça det:poss|leur&sg
	n|travail&m&sg ?
%mor:	v|manger-INF pro:dem|ce$v:aux|être&PRES&3s prep|de&le
	n|travail&m&sg ?
%mor:	part|taire-PP&m v|trouver-PRES&SUB&2s pro|toi&sg ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|de&le n|travail&m&sg prep|de
	v|manger-INF ?
%mor:	v|manger-INF adv|proprement n|oui&m pro:dem|ça
	pro:dem|ce$v:aux|être&PRES&3s prep|de&le n|travail&m&sg
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg n|ferme&f prep|de
	n|mimi&m=baby
%mor:	co|ben n|oui&m adv|mais pro:sub|ils pro:obj|le$v:poss|avoir&PRES&3p
	adv|déjà part|voir&PP&m pro:sub|je v|penser-PRES&SUB&13s
%mor:	prep|à&le n|dernier&m n|enregistrement&m pro:y|y
	v:poss|avoir&IMPF&3s adv|déjà v:poss|avoir&PP&m&sg det:art|la&f&sg
	n|démonstration&f prep|de
%mor:	co|hein part|taire-PP&m det:poss|leur&sg v:aux|avoir&PRES&3s
	part|montrer-PP&m adv|déjà
%mor:	adv|mais adj|bon&m n|si&m part|taire-PP&m v:mdl|vouloir&PRES&12s
	pro:sub|on v:mdl|pouvoir&PRES&3s re#v|montrer-INF co|hein ?
%mor:	pro:rel|que$pro:sub|ils v:aux|avoir&PRES&3p neg|pas adj|bien
	part|voir&PP&m ?
%mor:	co|ah co|non=no det:art|les&pl n|dent&f-PL co|hein ?
%mor:	adv|déjà pro:sub|elles v:aux|être&PRES&3p part|casser-PP&f&pl
	det:art|les&pl adj|tien&f-PL adv|alors n|si&m prep|en adv|plus
	part|taire-PP&m
%mor:	v|regarder-IMP&2s pro:sub|on v|tirer-PRES&SUB&13s prep|sur
	det:art|les&pl adj|petit&f-PL n|ficelle&f-PL conj|et co|hop
%mor:	v|tenir-IMP&2s adv|maintenant part|taire-PP&m
	v:mdl|pouvoir&PRES&12s v|ouvrir-INF n|si&m part|taire-PP&m
	v:mdl|vouloir&PRES&12s
%mor:	co|bon co|ben pro:sub|on re#v|fermer-PRES&SUB&13s adv|alors
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg n|peine&f prep|de
	adv|tout n|sortir&m adv|si part|taire-PP&m n|joue&f-PL neg|pas
	adv|effectivement
%mor:	chi|amik ?
%mor:	?|qu'estce prep|que pro:dem|ce$v:exist|être&PRES&3s chi|amik ?
%mor:	co|ah co|bon
%mor:	co|oui=yes pro:dem|ce$v:exist|être&PRES&3s det:art|un&m&sg
	adj|drôle prep|de n|nom&m co|oui=yes chi|kramik co|euh
%mor:	pro:dem|ce$v:aux|être&PRES&3s
%mor:	pro:dem|ça pro:obj|me part|dire-PP&m det:gen|quelque n|chose=thing
	pro:dem|ça
%mor:	det:art|les&pl n|locomotive&f-PL pro:dem|ça v:mdl|aller&PRES&3s
	neg|pas v|sauver-INF det:art|les&pl n|gens co|hein
%mor:	co|ben co|non=no
%mor:	pro:dem|ce$v:aux|être&PRES&3s part|faire-PP&m prep|pour v|tirer-INF
	prep|de&les n|wagon&m-PL pro:dem|ce$v:exist|être&PRES&3s adv|tout
%mor:	co|oh adv|doucement
%mor:	adj|pauvre&m ?|babar
%mor:	part|taire-PP&m n|peu&m-PL pro:obj|le$v|enlever-INF adv|puis
	part|taire-PP&m det:art|le&m&sg n|pose&f-PL adv|doucement
%mor:	co|hein ?
%mor:	det:art|le&m&sg n|roi&m ?|babar
%mor:	part|taire-PP&m v:aux|être&PRES&2s prep|sur det:poss|ton&m&sg
	n|trône&m
%mor:	co|non=no ?
%mor:	adv|doucement
%mor:	v|choir&PASS&3s pro:dem|ça part|faire-PP&m adv|trop prep|de
	n|bruit&m prep|pour det:art|les&pl n|gens prep|en adv:place|dessous
%mor:	det:art|les&pl n|voisin&m-PL prep|en prep|dessous pro:sub|ils
	v:mdl|aller&PRES&3p neg|pas v:aux|être&INF adj|content&m-PL
%mor:	adv|mais ?|qu'estce adv|que part|taire-PP&m pro:y|en
	v:mdl|savoir&PRES&12s ?
%mor:	?|peutêtre pro:rel|que$pro:sub|ils v|dormir-PRES&SUB&3p co|hein ?
%mor:	adv|si co|la n|dame&f=lady pro:sub|elle v|travailler-IMP&2s co|la
	n|nuit&f pro:sub|je v|croire&PRES&12s adv|donc co|heuh
%mor:	pro:sub|elle v:mdl|devoir&PRES&3s v|dormir-INF det:art|le&m&sg
	n|jour&m
%mor:	n|si&m
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s pro:int|où prep|en
	n|vacance&f-PL ?
%mor:	co|ah
%mor:	co|ah adv|ben v|venir-PRES&3s adv|par adv:place|là
%mor:	adv:place|là ?|làbas pro:sub|on v:mdl|aller&PRES&3s v|dire-INF
	pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg n|mer&f=sea
%mor:	adv|ben v:mdl|falloir&PRES&3s v|ranger-INF adv|alors adv|si
	part|taire-PP&m v:mdl|vouloir&PRES&12s v|passer-INF prep|sinon
	part|taire-PP&m v:mdl|aller&PRES&2s v|casser-INF det:art|le&m&sg
	n|circuit&m adv:place|là
%mor:	co|non=no co|ah ?|brutus
%mor:	v|attendre-IMP&2s
%mor:	v|regarder-IMP&2s pro:dem|ce pro:rel|que$pro:sub|on
	v:mdl|aller&PRES&3s v:mdl|faire-INF
%mor:	v|regarder-IMP&2s v|regarder-IMP&2s
%mor:	pro:sub|on v:mdl|aller&PRES&3s v:mdl|faire-INF prep|de&le
	n|rangement&m prep|à det:art|la&f&sg ?|bri
%mor:	co|hop adv:place|là
%mor:	pro:sub|on v|voir&PRES&3s prep|plus n|rien&m
%mor:	co|ouais=yes adv|mais adv|si part|taire-PP&m pro:obj|te$pro:y|en
	v:mdl|aller&PRES&2s pro:sub|on v:mdl|aller&PRES&3s qn|plus
	pro:obj|te v|voir&INF
%mor:	n|maman&f pro:sub|elle v:mdl|aller&PRES&3s
	pro:refl|se$v|ennuyer-INF conj|sans pro|toi&sg
%mor:	pro:sub|on v:mdl|aller&PRES&3s neg|pas n|pouvoir&m v|discuter-INF
%mor:	co|oh pro:sub|il pro:y|y v:aux|avoir&PRES&3s det:art|une&f&sg
	n|panne&f v|regarder-PRES&SUB&13s
%mor:	co|ouh co|la part|taire-PP&m v:aux|avoir&PRES&2s det:art|un&m&sg
	n|pneu&m adj|crevé&m adv:place|là
%mor:	co|ben adv:place|là v|regarder-IMP&2s pro:dem|ce$v:aux|être&PRES&3s
	part|crever-PP&m
%mor:	co|ben n|si&m
%mor:	v:mdl|falloir&PRES&3s v|réparer-INF co|hein det:art|la&f&sg
	n|roue&f adv:place|là
%mor:	adv|mais n|si&m co|si pro:dem|ce$v:aux|être&PRES&3s
	part|crever-PP&m
%mor:	v|regarder-IMP&2s part|taire-PP&m v|voir&IMP&PRES&12s
	pro:dem|ce$v:aux|être&PRES&3s adv|tout part|pencher-PP&m adv|comme
	pro:dem|ça
%mor:	v|regarder-IMP&2s pro:dem|ce$v:aux|être&PRES&3s part|crever-PP&m
	adv:place|là
%mor:	pro:sub|il v:aux|être&PRES&3s adv|tout
%mor:	n|si&m adv:place|là v|regarder-PRES&SUB&13s
%mor:	v|regarder-IMP&2s
%mor:	v|regarder-IMP&2s v:mdl|falloir&PRES&3s pro:obj|le re#v|tourner-INF
%mor:	co|oh adv|d'accord pro:sub|on dé#v|couvrir-PRES&SUB&13s
%mor:	v:mdl|falloir&PRES&3s v|réparer-INF co|hein ?
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s v|chercher-INF prep|de&les
	n|outil&m-PL ?
%mor:	adv|vite adv|vite v:mdl|aller&PRES&3s v|chercher-INF
%mor:	part|taire-PP&m pro:obj|le$v:poss|avoir&PRES&2s
	v|trouver-PRES&SUB&13s ?
%mor:	v|apporter-IMP&2s
%mor:	v|apporter-IMP&2s adv:place|là
%mor:	pro:dem|ça pro:y|y v:aux|être&PRES&3s part|taire-PP&m
	v:aux|avoir&PRES&2s part|trouver-PP&m ?
%mor:	v|apporter-IMP&2s adv:place|là prep|dans det:poss|ta&f&sg
	n|chambre&f
%mor:	pro:sub|on v:mdl|aller&PRES&3s v|réparer-INF
%mor:	co|allez
%mor:	v|venir-IMP&2s pro:sub|on v:mdl|aller&PRES&3s v|voir&INF pro:dem|ce
	pro:rel|que$pro:sub|on v:mdl|pouvoir&PRES&3s v:mdllex|faire-INF
%mor:	v|venir-IMP&2s pro:sub|on v:mdl|aller&PRES&3s v|voir&INF pro:dem|ce
	pro:rel|que$pro:sub|on v:mdl|pouvoir&PRES&3s pro:y|y
	v:mdllex|faire-INF
%mor:	adv|alors ?|qu'estce pro:rel|que$pro:sub|on v:mdl|pouvoir&PRES&3s
	v:mdl|faire-INF prep|à det:dem|cette&f&sg prep|pour v|réparer-INF
	pro:dem|ça
%mor:	?|qu'estce prep|que part|taire-PP&m v:aux|avoir&PRES&2s prep|dans
	det:poss|ta&f&sg n|+n|caisse+prep|à+n|outils&f=toolchest
	adv:place|là ?
%mor:	?|qu'estce prep|que pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg
	n|truc&m adj|orange ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s part|faire-PP&m prep|pour
	pro:rel|quoi ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s part|faire-PP&m conj|pour
%mor:	prep|pour v|percer-INF
%mor:	pro:dem|ça v:aux|être&FUT&3s co|oh pro:rel|que$v:int|est–ce
	pro:int|qui n|comment&m pro:dem|ça
	pro:refl|se$v|appeler-PRES&SUB&13s pro:dem|ce pro:int|qui
	v:aux|être&PRES&3s part|faire-PP&m prep|pour v|percer-INF ?
%mor:	det:art|une&f&sg
%mor:	prep|pour v|percer-INF pro:dem|ce$v:aux|être&PRES&3s
	det:art|une&f&sg
%mor:	n|perceur&f
%mor:	on|bzz
%mor:	adv|alors v:mdl|faire-PRES&12s v|voir&INF
%mor:	adv|ben v|regarder-IMP&2s pro:dem|ce adv|que pro:dem|ça
	part|faire-PP&m ?
%mor:	?|qu'estce adv|que pro:dem|ça part|faire-PP&m n|si&m pro:sub|on
	v:mdllex|faire-PRES&3s on|bzz ?
%mor:	co|voilà adv|après ?|qu'estce pro:rel|que$pro:sub|il
	v:mdl|falloir&PRES&3s v:mdllex|faire-INF ?
%mor:	?|qu'estce pro:rel|que$pro:sub|il v:mdl|falloir&PRES&3s
	v:mdllex|faire-INF ?
%mor:	adv:place|voilà
%mor:	co|ah det:art|le&m&sg n|marteau&m pro:dem|ça pro:dem|ça
	v:mdl|aller&PRES&3s v:aux|être&INF n|radical&m&sg pro:dem|ça
%mor:	co|toc co|toc co|toc co|voilà
%mor:	conj|et adv|puis adv:place|là
%mor:	?|peutêtre det:art|un&m&sg n|peu&m co|tchi co|tchi co|couic
%mor:	adv:place|voilà
%mor:	co|ah co|oui=yes adv|quand pro:sub|on conj|si$pro:y|en
	v:aux|être&PRES&3s part|servir-PP&m pro:sub|on v|mettre-PRES&3s
	prep|à n|côté&m adv|d'accord
%mor:	conj|et adv:place|là ?
%mor:	co|oh v|regarder-PRES&SUB&13s pro:dem|ça v|rentrer-PRES&SUB&13s
%mor:	conj|et co|si pro:sub|on v|mettre-IMPF&3s pro:dem|ça
	det:art|une&f&sg n|vis&f conj|et det:art|un&m&sg n|écrou&m
%mor:	part|faire-PP&m v|voir&INF
%mor:	co|hop
%mor:	v|voir&PRES&1p v|voir&INF
%mor:	?|peutêtre pro:dem|ça v|marcher-COND&3s n|mieux&m det:poss|ton&m&sg
	n|camion&m
%mor:	co|hein ?
%mor:	pro:sub|il v:mdl|aller&PRES&3s v:mdl|aller&INF prep|plus adv|vite
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s v|voir&INF pro:dem|ça
%mor:	co|ouh co|la co|la v|regarder-IMP&2s
%mor:	co|ah v|essayer-IMP&2s
%mor:	pro:sub|je v:aux|être&PRES&1s adj|sure pro:rel|que$pro:sub|il
	v:mdl|aller&PRES&3s adv|mieux=better v|rouler-INF
%mor:	co|oh pro:dem|ça v:mdl|aller&PRES&3s n|bien&m adv|alors ?
%mor:	part|taire-PP&m re#v|venir-PRES&12s pro:obj|nous v|voir&INF
	adv|après ?
%mor:	v|venir-IMP&2s v|venir-IMP&2s v|voir&INF
%mor:	pro:sub|je v|croire&PRES&12s pro:rel|que$pro:sub|on
	v:mdl|pouvoir&PRES&3s adv|encore v:mdl|faire-INF det:gen|quelque
	n|chose=thing
%mor:	v|venir-IMP&2s v|voir&INF pro:sub|on v:mdl|aller&PRES&3s
	pro:obj|le$v|améliorer-INF adv|encore det:art|un&m&sg n|peu&m
%mor:	co|oh co|la part|taire-PP&m pro:y|en v:aux|avoir&PRES&2s
	part|perdre-PP&m det:art|un&m&sg n|chausson&m
%mor:	co|oh co|oui=yes pro:dem|ça v:mdl|aller&PRES&3s adv|tellement
	adv|vite adv|que
%mor:	co|oh co|ben adv|alors part|taire-PP&m v:aux|avoir&PRES&2s
	part|déjanter-PP&m prep|comme pro:sub|on part|dire-PP&m
%mor:	pro:sub|on v|arrêter-PRES&SUB&13s adv|tout
%mor:	?|tim pro:refl|se v|nettoyer-PRES&SUB&13s det:art|les&pl
	n|orteil&m-PL
%mor:	pro:dem|ce$v:aux|être&PRES&3s adv|comme pro:dem|ça adv|que
	part|taire-PP&m v|travailler-PRES&SUB&2s pro|toi&sg ?
%mor:	prep|à&le n|milieu&m part|taire-PP&m
	pro:obj|te$v|arrêter-PRES&SUB&2s part|taire-PP&m
	v|dire-PRES&PASS&12s co|ah pro:dem|ce$v:exist|être&PRES&3s
	det:art|le$n|heure&f prep|de pro:obj|me v|nettoyer-INF
	det:art|les&pl n|orteil&m-PL co|ah
%mor:	adv|alors v:mdl|faire-PRES&12s v|voir&INF
%mor:	co|voilà co|hop adv:place|là
%mor:	det:art|un&m&sg adj|petit&m n|coup&m=blow prep|de
%mor:	pro:dem|ça pro:y|y v:aux|être&PRES&3s pro:dem|ça part|luire&PP&m
	v:aux|avoir&PRES&3s re#v|mettre-PASS&3s det:art|les&pl n|idée&f-PL
	prep|en n|place&f
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas
%mor:	pro:sub|je v|chercher-IMP&2s pro:dem|ce pro:rel|que$pro:sub|on
	v:mdl|pouvoir&PRES&3s part|luire&PP&m v:mdllex|faire-INF
%mor:	co|ah co|ah co|ah co|ah ?|qu'estce pro:rel|que$pro:sub|on
	v:mdllex|pouvoir&COND&3s part|luire&PP&m v:mdllex|faire-INF ?
%mor:	v|tourner-PRES&SUB&13s prep|pour re#v|dresser-PRES&SUB&13s
	det:art|un&m&sg adj|petit&m n|peu&m adv:place|là
%mor:	co|ah co|ben co|voilà
%mor:	v:mdl|falloir&FUT&3s pro:rel|que$pro:sub|on part|luire&PP&m
	re#v|coller-PRES&SUB&13s pro:dem|ça conj|aussi co|hein ?
%mor:	?|qu'estce
%mor:	co|oh pro:dem|ce$v:aux|être&PRES&3s pro:int|qui ?
%mor:	adv|alors pro:dem|ça v:mdl|pouvoir&PRES&3s v:aux|être&INF
	pro:int|qui ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s n|personne&f
%mor:	det:art|un&m&sg n|fantôme&m
%mor:	pro:sub|ils v:aux|avoir&PRES&3p adj|bon&m n|dos&m det:art|les&pl
	n|fantôme&m-PL co|hein ?
%mor:	co|hein ?
%mor:	pro:sub|ils pro:obj|te
%mor:	adv:place|là pro:sub|il pro:y|y v:aux|avoir&PRES&3s
	part|marquer-PP&m pro:int|quoi adv:place|là ?
%mor:	co|attention n|éléphant&m prep|sur det:art|le&m&sg n|garage&m
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg
	n|panneau&m co|hein pro:rel|que$pro:sub|on v:mdllex|pouvoir&COND&3s
	v|mettre-INF prep|sur det:art|le&m&sg n|bord&m prep|de
	det:art|la&f&sg n|route&f
%mor:	pro:dem|ça v:aux|être&COND&3s det:gen|quelque n|chose=thing co|hein
	?
%mor:	co|non=no adv:place|là pro:sub|il pro:y|y v:aux|avoir&PRES&3s
	part|marquer-PP&m pro|un&m&sg
%mor:	conj|et adv:place|là pro:sub|il pro:y|y v:aux|avoir&PRES&3s
	part|marquer-PP&m
%mor:	conj|et adv:place|là pro:sub|il pro:y|y v:aux|avoir&PRES&3s
	part|marquer-PP&m n|deux&m
%mor:	det:art|un&m&sg n|deux&m
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s num|deux n|vitesse&f-PL
%mor:	co|mh
%mor:	conj|et pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg
	n|ceinture&f prep|de n|sécurité&f ?
