%mor:	pro:sub|elles v:aux|être&PRES&3p pro:int|où ?|chl ?
%mor:	part|taire-PP&m dé#v|couper-PRES&SUB&2s pro:int|quoi ?|ana ?
%mor:	conj|et pro:dem|ce$v:exist|être&PRES&3s pro:rel|quoi ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi pro:dem|ça ?
%mor:	v|couper-INF pro:int|quoi ?
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas
%mor:	v|regarder-IMP&2s pro:dem|ce pro:int|que
%mor:	?|qu'estce prep|que pro:obj|te$pro:y|en v:poss|avoir&PRES&3s
	v:mdl|faire-IMP&2s ?
%mor:	co|bon v|prendre-PRES&IMP&12s det:art|la&f&sg n|colle&f
%mor:	prep|dans det:art|la&f&sg v|boiter-IMP&2s pro:y|y
	v:aux|avoir&PRES&3s det:art|la&f&sg n|colle&f ?|làbas
%mor:	v:mdl|aller&PRES&2s pro:obj|la v|chercher-INF n|si&m pro:sub|il
	pro:obj|te v|plaire-PRES&3s
%mor:	part|taire-PP&m v|prendre-FUT&2s det:art|la&f&sg n|violette&f
	pro|toi&sg
%mor:	v|tenir-IMP&2s part|taire-PP&m n|mets&m prep|de det:art|la&f&sg
	n|colle&f prep|sur det:art|le&m&sg n|côté&m adj|blanc
%mor:	adv|d'accord ?|ana ?
%mor:	v|tenir-IMP&2s adv|puis part|taire-PP&m det:art|le&m&sg
	n|colle&f-PL ?|làdessus
%mor:	pro:sub|elle pro:obj|me$v|embêter-IMP&2s det:dem|cette&f&sg
	n|gommette&f=sticker
%mor:	conj|et co|ben v|ramasser-IMP&2s
%mor:	v|mettre-IMP&2s prep|de det:art|la&f&sg n|colle&f ?|ninine
%mor:	part|taire-PP&m v|arriver-PRES&SUB&2s ?
%mor:	v:mdl|faire-PRES&12s v|voir&INF pro:dem|ce adv|que pro:dem|ça
	v|donner-PRES&SUB&13s ?
%mor:	co|ben co|voilà part|taire-PP&m pro:y|en v:aux|avoir&PRES&2s
	part|mettre-PP&m n|plein&m
%mor:	v:mdl|aller&PRES&2s pro:y|y n|colle&f det:art|le&m&sg
	adv|maintenant
%mor:	n|colle&f det:art|le&m&sg prep|à&le n|milieu&m
%mor:	co|ouais=yes n|super&m ?|ana
%mor:	adv:place|voilà
%mor:	conj|et det:art|le$pro|autre&sg n|pareil&m
%mor:	n|pareil&m adv:place|là
%mor:	co|mh co|mh
%mor:	co|oui=yes
%mor:	co|ouais=yes n|pareil&m part|taire-PP&m det:art|le&m&sg n|mets&m
	adv:place|là prep|à n|côté&m
%mor:	co|oui=yes adv|comme pro:dem|ça
%mor:	part|taire-PP&m n|mets&m prep|de det:art|la&f&sg n|colle&f
	prep|dessus conj|et part|taire-PP&m det:art|le&m&sg n|mets&m
	adv|comme pro:dem|ça
%mor:	v|tenir-IMP&2s
%mor:	v|attendre-IMP&2s pro:sub|je v:mdl|aller&PRES&1s
	pro:obj|te$v|aider-INF
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	pro:dem|ça pro:y|y v:aux|être&PRES&3s ?
%mor:	adv:place|voilà
%mor:	co|voilà pro:sub|on pro:obj|le v|mettre-PRES&3s adv:place|là ?
%mor:	co|bon pro:sub|on v:aux|avoir&PRES&3s adv|déjà part|faire-PP&m
	det:art|le&m&sg n|nez&m
%mor:	det:art|le&m&sg n|groin&m
%mor:	det:art|le&m&sg n|cochon&m v|tenir-IMP&2s
%mor:	co|euh prep|de&le n|scotch&m
%mor:	pro:dem|ça pro:dem|ça v:mdl|aller&PRES&3s prep|sur
	det:poss|ton&m&sg n|ballon&m
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas pro:int|où pro:sub|il
	v:aux|être&PRES&3s det:art|le&m&sg n|ballon&m
%mor:	co|ah pro:sub|il v:aux|être&PRES&3s part|cacher-PP&m n|derrière&m
%mor:	part|taire-PP&m det:art|le&m&sg v|tenir-IMP&2s ?
%mor:	pro:sub|on v:mdl|aller&PRES&3s v|mettre-INF prep|de&le n|scotch&m
	adv:place|dessus
%mor:	v|attendre-IMP&2s ?|ninine v:mdl|falloir&PRES&3s v|mettre-INF
	prep|de&le n|scotch&m
%mor:	co|oui=yes adv:place|là
%mor:	v|tenir-IMP&2s pro|moi&sg det:art|le&m&sg adv|si pro:obj|te
	v|plaire-PRES&3s
%mor:	co|non=no det:art|le&m&sg n|rouleau&m
%mor:	v|descendre-IMP&2s
%mor:	co|ouais=yes n|tien&m-PL det:art|le&m&sg n|rouleau&m
%mor:	co|merci
%mor:	co|merci
%mor:	v:mdl|faire-PRES&12s v|voir&INF
%mor:	n|ton&m=tone
%mor:	co|ah adv|mais part|taire-PP&m v:aux|avoir&PRES&2s part|perdre-PP&m
	det:art|un&m&sg n|oeil&m
%mor:	v|lever-IMP&2s det:poss|ton&m&sg n|doigt&m
%mor:	co|oui=yes pro:dem|ce$v:exist|être&PRES&3s pro:dem|ça
	v|essuyer-IMP&2s=dry pro|toi&sg prep|sur co|ta n|robe&f
%mor:	v|tenir-IMP&2s
%mor:	part|taire-PP&m det:art|le&m&sg n|colle&f-PL ?
%mor:	conj|et n|colle&f det:art|le&m&sg n|bien&m prep|à&le n|milieu&m
%mor:	co|euh adv:place|là
%mor:	adv|comme pro:dem|ça n|oui&m
%mor:	adv|encore re#v|coller-PRES&SUB&13s det:art|le&m&sg
%mor:	pro:sub|il v:mdllex|vouloir&PRES&3s neg|pas ?|celuilà ?
%mor:	pro:sub|il v:aux|être&PRES&3s adj|pénible co|hein
%mor:	co|voilà pro:sub|on det:art|le&m&sg n|touche&f qn|plus
%mor:	pro:sub|tu v|appeler-PRES&SUB&2s ?|tho ?
%mor:	co|allez v|appeler-IMP&2s ?|tho
%mor:	part|taire-PP&m part|taire-PP&m part|luire&PP&m v|souhaiter-IMP&2s
	det:poss|son&m&sg n|anniversaire&m prep|à ?|tho ?
%mor:	v|dire-PRES&PASS&12s part|luire&PP&m adj|bon&m n|anniversaire&m
	?|tho
%mor:	prep|à&le re#v|voir&INF ?|tho
%mor:	pro:int|quoi co|non=no ?
%mor:	co|salut prep|à det:poss|tes&pl n|souhait&m-PL
%mor:	co|salut prep|à det:poss|tes&pl n|souhait&m-PL
%mor:	co|attention pro:sub|il v:aux|être&PRES&3s adv|trop adj|gros&m
%mor:	pro:sub|il pro:obj|nous v:mdl|falloir&PRES&3s det:art|un&m&sg
	n|rond&m n|noir&m
%mor:	part|taire-PP&m pro:obj|me v|préparer-PRES&SUB&2s det:art|un&m&sg
	n|thé&m ?|ana n|si&m pro:sub|il pro:obj|te v|plaire-PRES&3s ?
%mor:	part|taire-PP&m n|peu&m-PL ?
%mor:	co|merci det:poss|ma&sg n|chéri&f
%mor:	co|ouais=yes
%mor:	part|taire-PP&m pro:obj|me v|préparer-PRES&SUB&2s
%mor:	co|oui=yes adv|très n|bien&m det:poss|mon&m&sg n|ange&m
%mor:	co|oui=yes
%mor:	part|taire-PP&m v:mdl|faire-PRES&12s v|monter-INF ?|ninine ?
%mor:	adv|puis part|taire-PP&m pro:obj|le$v:poss|avoir&PRES&2s
	part|faire-PP&m v|chauffer-INF ?
%mor:	co|oh v:mdl|falloir&PRES&3s pro:obj|me v:mdl|faire-INF
	v|chauffer-INF det:poss|mon&m&sg n|thé&m co|hein ?
%mor:	co|ohlàlà
%mor:	part|taire-PP&m pro:obj|te$pro:y|en v|sortir&IMP&2s ?|ana ?
%mor:	n|deux&m n|tasse&f-PL co|oui=yes co|merci
%mor:	part|taire-PP&m v:mdl|faire-PRES&12s co|euh
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|remplir-PP&m prep|de
	det:art|le$n|eau&f adv:place|dedans ?
%mor:	co|ah co|bon
%mor:	adv|alors part|taire-PP&m pro:obj|me$v:poss|avoir&PRES&2s
	part|servir-PP&m ?
%mor:	det:art|une&f&sg n|cuillère&f=spoon co|oui=yes n|si&m pro:sub|il
	pro:obj|te v|plaire-PRES&3s
%mor:	pro:dem|ça pro:y|y v:aux|être&PRES&3s ?
%mor:	part|taire-PP&m pro:obj|me$v:poss|avoir&PRES&2s part|mettre-PP&m
	prep|de&le n|sucre&m ?
%mor:	adv|si pro:sub|il pro:obj|te v|plaire-PRES&3s ?
%mor:	co|merci det:poss|ma&sg ?|noune
%mor:	conj|et adv:place|là pro:sub|elle v:aux|être&PRES&3s pro:int|où
	det:poss|ma&sg n|tasse&f ?
%mor:	pro|moi&sg pro:sub|je$v:aux|avoir&PRES&1s det:gen|quelle&f&sg
	n|tasse&f ?
%mor:	?|cellelà adv:place|là
%mor:	det:art|la&f&sg n|tasse&f prep|de ?|barbie ?
%mor:	conj|et det:poss|ma&sg n|cuillère&f=spoon ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:poss|ta&f&sg n|tasse&f ?
%mor:	conj|et pro:y|y v:aux|avoir&PRES&3s pro:int|quoi adv:place|dessus ?
%mor:	det:art|le&m&sg n|poney&m
%mor:	det:art|le&m&sg adj|petit&m n|cheval&m&sg
%mor:	co|non=no neg|pas prep|sur ?|cellelà
%mor:	?|cellelà pro:dem|ce$v:aux|être&PRES&3s part|écrire-PP&m
	pro:int|quoi ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s part|écrire-PP&m pro:int|quoi
%mor:	?|barbie
%mor:	co|merci ?|ninine
%mor:	co|mm pro:dem|ce$v:exist|être&PRES&3s adv|très co|bon
%mor:	co|oui=yes pro:sub|je v:mdl|vouloir&PRES&12s n|bien&m adv|si
	pro:sub|il pro:obj|te v|plaire-PRES&3s
%mor:	co|oui=yes n|mai&m-PL pro:sub|il v:mdl|falloir&COND&3s pro:obj|me
	pro:obj|le re#v|chauffer-INF adv|parce pro:int|que pro:sub|il
	v:aux|être&IMPF&3s det:art|un&m&sg n|peu&m n|froid&m
%mor:	pro:dem|ça n|chauffe&f ?|ana ?
%mor:	part|taire-PP&m v:mdl|faire-PRES&12s co|attention prep|de neg|pas
	pro:obj|te v|brûler-INF co|hein ?
%mor:	adv|parce prep|que adv|quand pro:dem|ce$v:exist|être&PRES&3s
	adj|chaud&m adv|comme pro:dem|ça
%mor:	part|tomber-PP&m
%mor:	part|taire-PP&m pro:obj|me pro:obj|le$v:poss|avoir&PRES&2s
	part|renverser-PP&m
%mor:	v:mdl|falloir&PRES&3s v|essuyer-INF=dry prep|avec
	det:art|le$n|éponge&f co|hein ?
%mor:	v|essuyer-IMP&2s=dry det:poss|ma&sg n|chéri&f
%mor:	det:art|une&f&sg n|éponge&f ?|làbas
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s det:art|une&f&sg n|éponge&f
	?
%mor:	v|tenir-IMP&2s
%mor:	v|essuyer-IMP&2s=dry
%mor:	co|oh pro:sub|je$v:aux|avoir&PRES&1s prep|de det:art|la&f&sg
	n|colle&f prep|plein det:art|les&pl n|doigt&m-PL
%mor:	n|super&m prep|avec det:art|le&m&sg n|coton&m
%mor:	pro:dem|ça pro:y|y v:aux|être&PRES&3s ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|essuyer-PP&m=dry ?
%mor:	conj|et part|taire-PP&m v:aux|avoir&PRES&2s part|essuyer-PP&m=dry
	det:art|la&f&sg n|table&f adv|aussi pro:rel|où part|taire-PP&m
	v:aux|avoir&PRES&2s part|renverser-PP&m
%mor:	pro:int|où pro:sub|il v:aux|être&PRES&3s pro:dem|ce n|ballon&m ?
%mor:	co|hop
%mor:	n|poubelle&f co|hein
%mor:	co|oui=yes pro:sub|je v|croire&PRES&12s adv|que pro:dem|ça n|part&f
	prep|à det:art|la&f&sg n|poubelle&f pro:dem|ça ?
%mor:	?|qu'estce adv|que part|taire-PP&m
%mor:	part|taire-PP&m pro:obj|me v:mdl|faire-PRES&12s det:art|la&f&sg
	n|poubelle&f ?
%mor:	co|ah pro:dem|ça v:aux|avoir&PRES&3s part|coller-PP&m
%mor:	co|ben adv|comme pro|moi&sg v|frotter-IMP&2s det:poss|tes&pl
	n|doigt&m-PL
%mor:	pro:sub|je pro:obj|le$v:poss|avoir&PRES&1s ?|peutêtre
	adj|mi&m-PL=half adv|trop adj|grand&m
%mor:	v:aux|avoir&PRES&3s adv:place|voilà adv:place|voilà
%mor:	v|tenir-IMP&2s ?|ana
%mor:	pro:sub|il v:aux|avoir&PRES&3s neg|pas det:art|les&pl
	n|oreille&f-PL prep|à&le adv|même n|endroit&m
%mor:	co|non=no adv|mais pro:dem|ce$v:aux|être&PRES&3s part|faire-PP&m
	adj|exprès&m
%mor:	pro:sub|il v:mdl|falloir&PRES&3s v|coller-INF prep|comme pro:sub|il
	v:mdl|falloir&PRES&3s pro:sub|tu v|croire&IMP&2s ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s n|mieux&m v|regarder-IMP&2s
	pro:sub|elles v|bouger-PRES&3p det:poss|ses&pl n|oreille&f-PL
	adv|comme pro:dem|ça
%mor:	pro:dem|ce$v:aux|être&PRES&3s adj|beau&m&sg=pretty ?
%mor:	pro:sub|je pro:obj|te pro:obj|le v|donner-PRES&SUB&2s ?
%mor:	co|ohlàlà pro:sub|il conj|si$v:aux|être&PRES&3s part|envoler-PP&m
	det:poss|ton&m&sg n|cochon&m
%mor:	pro:sub|je v:aux|être&PRES&1s adj|censé&f v:mdl|faire-INF
	det:art|un&m&sg n|lapin&m adv|maintenant
%mor:	pro:sub|je$v:aux|avoir&PRES&1s neg|pas prep|de n|papier&m
	n|crépon&m adv|autrement pro:sub|on part|luire&PP&m
	v:aux|avoir&COND&3s part|faire-PP&m det:art|un&m&sg det:art|un&m&sg
	n|col&m prep|à det:poss|ton&m&sg n|cochon&m
%mor:	det:art|le&m&sg n|lapin&m
%mor:	co|fixe
%mor:	v|attendre-IMP&2s pro:sub|on v:mdl|aller&PRES&3s v|laisser-INF
	v|sécher-INF det:art|le&m&sg n|cochon&m
%mor:	co|allez n|sèche&f
%mor:	co|oui=yes pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:poss|ma&sg
	n|cuillère&f=spoon
%mor:	part|taire-PP&m pro:obj|me$v:poss|avoir&PRES&2s part|resservir-PP&f
	?
%mor:	co|mm co|merci ?|ana
%mor:	co|mm adv|très co|bon
%mor:	part|taire-PP&m pro:obj|me v|donner-PRES&SUB&2s det:art|la&f&sg
	n|cuillère&f=spoon ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg n|glace&f ?
%mor:	co|ah prep|à pro:rel|quoi pro:sub|elle v:aux|être&PRES&3s
	det:poss|ta&f&sg n|glace&f ?
%mor:	co|ah
%mor:	co|merci
%mor:	part|taire-PP&m pro:obj|me pro:obj|la v|donner-PRES&SUB&2s ?
%mor:	adv|très adj|bon&f
%mor:	adv|encore n|si&m pro:sub|il pro:obj|te v|plaire-PRES&3s
%mor:	adv|mais pro:sub|je v:mdl|vouloir&COND&12s prep|de&le n|gâteau&m
	adv|maintenant
%mor:	prep|dans det:art|une&f&sg n|assiette&f adv|si pro:sub|il
	pro:obj|te v|plaire-PRES&3s
%mor:	co|oh pro:sub|il v:aux|avoir&PRES&3s part|perdre-PP&m
	det:art|une&f&sg n|oreille&f
%mor:	co|oh
%mor:	v:mdl|aller&PRES&2s pro:y|y n|colle&f det:art|le$n|oreille&f
%mor:	co|oui=yes adv:place|là
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s neg|pas v|coller-INF ?
%mor:	co|ah co|la adj|jaune part|taire-PP&m v:mdl|vouloir&PRES&12s ?
%mor:	adv|d'accord
%mor:	conj|et det:poss|mon&m&sg n|gâteau&m ?
%mor:	co|hop n|tien&m-PL ?|ninette
%mor:	v|arrêter-PRES&SUB&13s prep|de v|coller-INF det:poss|ta&f&sg
	n|robe&f pro|toi&sg
%mor:	co|bon pro:sub|on v:mdl|aller&PRES&3s v|mettre-INF prep|de&le
%mor:	co|ah co|ben
%mor:	pro:sub|il v:aux|avoir&PRES&3s part|perdre-PP&m det:poss|son&m&sg
	n|groin&m
%mor:	det:art|le&m&sg n|cochon&m
%mor:	co|ben
%mor:	n|deux&m n|second&f-PL prep|pour det:art|le$n|instant&m pro:sub|on
	n|colle&f det:art|les&pl n|oreille&f-PL
%mor:	adv:place|là
%mor:	adv|comme pro:dem|ça ?
%mor:	part|taire-PP&m v|croire&PRES&12s adv|que pro:dem|ça
	v|tenir-PRES&3s ?
%mor:	pro:dem|ça v|tenir-PRES&3s neg|pas
%mor:	pro:sub|on v:mdl|aller&PRES&3s v|mettre-INF prep|de&le n|scotch&m
%mor:	pro:dem|ça v|tenir-FUT&3s n|mieux&m
%mor:	pro:dem|ce$v:exist|être&PRES&3s adj|chaud&m ?
%mor:	part|taire-PP&m pro:obj|me v:mdl|faire-PRES&12s det:art|le&m&sg
	n|gâteau&m ?
%mor:	part|taire-PP&m v|nettoyer-PRES&SUB&2s det:art|la&f&sg
	n|cuillère&f=spoon ?
