%mor:	?|qu'estce prep|que part|taire-PP&m v:aux|avoir&PRES&2s
%mor:	v|donner-IMP&2s det:poss|ta&f&sg n|main&f
%mor:	prep|à pro|moi&sg ?
%mor:	v|tenir-IMP&2s v|regarder-IMP&2s
%mor:	pro|moi&sg adv|aussi pro:sub|je v:aux|être&PRES&1s
	part|griffer-PP&f on|fff
%mor:	co|ouais=yes
%mor:	part|taire-PP&m v|étaler-PRES&SUB&2s ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s part|taire-PP&m
	v:mdl|vouloir&PRES&12s det:art|les&pl pro|autres&pl n|jouet&m-PL
	prep|pour det:art|le&m&sg n|médecin&m ?
%mor:	part|taire-PP&m pro:obj|me$v|attendre-IMP&2s adv:place|là ?
%mor:	pro:sub|tu v:mdl|vouloir&PRES&12s v:mdl|aller&INF prep|à&le ?|w ?|c
	?
%mor:	part|taire-PP&m v:aux|être&PRES&2s adj|sûr&f ?
%mor:	co|non=no ?
%mor:	part|taire-PP&m n|mets&m adv:place|dedans
%mor:	pro:sub|je v:mdl|aller&PRES&1s pro:obj|te v|chercher-INF
	det:art|le&m&sg n|reste&m ?
%mor:	co|oh
%mor:	co|oui=yes part|taire-PP&m pro:obj|me$v|attendre-IMP&2s
	adv:place|là
%mor:	sur#v|veiller-IMP&2s det:poss|tes&pl n|cheval&m&pl
%mor:	v|tenir-IMP&2s v|soigner-IMP&2s det:poss|tes&pl n|cheval&m&pl
%mor:	pro:sub|je re#v|venir-IMP&2s
%mor:	pro:dem|ça v:mdl|aller&PRES&3s ?|minoune ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:dem|ça adv|que part|taire-PP&m
	v:mdl|vouloir&IMPF&12s ?
%mor:	co|oui=yes
%mor:	pro:sub|il v:aux|être&PRES&3s adv|encore part|tomber-PP&m
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg
	n|thermomètre&m
%mor:	n|thermomètre&m
%mor:	pro:int|où ?
%mor:	prep|dans det:art|la&f&sg n|bouche&f
%mor:	co|mh co|ta n|bouteille&f ?|làbas pro:sub|elle v:aux|être&PRES&3s
	part|tomber-PP&f det:poss|ton&m&sg n|flacon&m
%mor:	?|làbas
%mor:	pro:dem|ça v:aux|avoir&PRES&3s neg|pas part|servir-PP&m ?
%mor:	pro:sub|je v|croire&IMPF&12s pro:rel|que$pro:sub|il
	v:aux|avoir&IMPF&3s part|servir-PP&m
%mor:	co|mh co|oui=yes pro:dem|ce$v:exist|être&PRES&3s n|tout&m adj|rouge
%mor:	co|oui=yes co|bon pro:sub|on v:mdl|aller&PRES&3s ?|làbas ?
%mor:	v|venir-IMP&2s pro:sub|on n|aura&f det:art|une&f&sg
	n|+n|demi+n|heure&f=half_hour
%mor:	part|taire-PP&m v|venir-PRES&12s n|minette&f ?
%mor:	pro:sub|il prep|en n|manque&m pro|un&m&sg
%mor:	co|oui=yes pro:sub|je v:mdl|savoir&PRES&12s neg|pas pro:int|où
	part|taire-PP&m pro:obj|le$v:poss|avoir&PRES&2s part|mettre-PP&m
%mor:	v:mdl|faire-PRES&12s v|voir&INF pro:dem|ce$v:aux|être&PRES&3s
	pro:dem|ça ?
%mor:	v|attendre-IMP&2s v|venir-IMP&2s v|amener-IMP&2s
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|jouet&m prep|de
	det:poss|ta&f&sg n|soeur&f pro:dem|ça
%mor:	co|ah pro:dem|ce$v:aux|être&PRES&3s pro:dem|ça ?
%mor:	co|ah ?|peutêtre
%mor:	adv|d'accord
%mor:	pro:sub|il v:aux|être&PRES&3s adv:place|là ?
%mor:	part|taire-PP&m pro:obj|le$v|emmener-PRES&SUB&2s prep|jusque
	adv:place|là ?
%mor:	part|taire-PP&m pro:obj|me$v|emmener-PRES&SUB&2s det:poss|ton&m&sg
	n|truc&m ?
%mor:	det:poss|ton&m&sg n|chariot&m ?
%mor:	adv|d'accord
%mor:	adv:place|là prep|dessous n|oui&m
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg
	n|poubelle&f
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|mettre-PP&m adv|beaucoup
	prep|de n|chose-PL=thing adv:place|dedans ?
%mor:	?|qu'estce prep|que pro:sub|tu v:aux|avoir&PRES&2s part|mettre-PP&m
	?
%mor:	co|mh ?
%mor:	co|ah co|oui=yes prep|en n|effet&m
%mor:	n|comment&m pro:dem|ça n|marche&f pro:dem|ce n|truc&m
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s det:art|un&m&sg n|mouchoir&m
	det:poss|mon&m&sg n|enfant ?
%mor:	co|non=no
%mor:	co|non=no adv|toujours neg|pas ?
%mor:	co|oui=yes pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|les&pl
	n|oreille&f-PL pro:dem|ça
%mor:	det:art|les&pl num|deux part|taire-PP&m v|regarder-PRES&SUB&2s ?
%mor:	adv|alors v|dire-PRES&PASS&12s pro|moi&sg
%mor:	pro:dem|ça v:mdl|aller&PRES&3s ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s co|bon
%mor:	co|ah det:art|le$pro|autre&sg adv|aussi adv|alors ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s co|bon ?
%mor:	co|bon adv|tant n|mieux&m
%mor:	co|oui=yes pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s
	det:art|une&f&sg n|piqûre&f pro:dem|ça
%mor:	part|taire-PP&m pro:obj|me v:mdl|faire-PRES&12s det:art|une&f&sg
	n|piqûre&f ?
%mor:	co|ah co|oui=yes adv|comme pro:dem|ça
%mor:	co|oh co|aïe co|aïe
%mor:	co|mh
%mor:	adv|comme pro:dem|ça part|taire-PP&m v:mdl|faire-PRES&12s
	pro|toi&sg ?
%mor:	part|taire-PP&m part|taire-PP&m n|écoute&f-PL pro:int|où co|ah
	prep|sur det:art|les&pl n|joue&f-PL
%mor:	pro:dem|ça v:mdl|aller&PRES&3s adv:place|là ?
%mor:	conj|et det:art|le$pro|autre&sg n|joue&f ?
%mor:	pro:dem|ça v:mdl|aller&PRES&3s ?
%mor:	?|qu'estce prep|que part|taire-PP&m v:mdllex|faire-IMP&2s
	prep|de$pro|autre&sg ?
%mor:	pro:sub|je v:mdl|aller&PRES&1s ?|peutêtre v:mdl|aller&INF
	v|chercher-INF det:art|un&m&sg n|mouchoir&m
%mor:	co|non=no adv|toujours neg|pas ?
%mor:	pro:dem|ça
%mor:	v|attendre-IMP&2s pro:sub|on v:mdl|aller&PRES&3s pro:obj|le
	v|mettre-INF prep|sous det:art|le&m&sg n|bras&m co|hop
%mor:	prep|pour v|prendre-INF det:art|la&f&sg n|température&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s part|finir-PP&m ?
%mor:	v|dire-PRES&PASS&12s pro|moi&sg pro:dem|ce$v:aux|être&PRES&3s
	part|marquer-PP&m adv|combien adv:place|là v|regarder-PRES&SUB&13s ?
%mor:	adv|combien ?
%mor:	n|huit&m ?
%mor:	co|bon adv|d'accord
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s prep|de&le n|coton&m ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s prep|que pro:sub|je
	pro:obj|te v|donner-PRES&SUB&13s prep|de&le n|coton&m ?
%mor:	co|oui=yes pro:sub|je v:mdl|aller&PRES&1s v|chercher-INF prep|de&le
	n|coton&m
%mor:	pro:sub|il v:aux|être&PRES&3s ?|làbas pro:sub|je$pro:y|y
	v:mdl|aller&PRES&1s
%mor:	pro|toi&sg adv|aussi part|taire-PP&m v|venir-IMP&2s ?
%mor:	co|ah co|bon
%mor:	v|tenir-IMP&2s pro:sub|je pro:obj|te v|donner-PRES&SUB&13s
	prep|de&le n|coton&m
%mor:	adv:place|voilà
%mor:	prep|de n|rien&m
%mor:	co|oups
%mor:	pro:dem|ça pro:y|y v:aux|être&PRES&3s ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|nettoyer-PP&m ?
%mor:	n|poubelle&f adv|ben pro:sub|elle v:aux|être&PRES&3s adv:place|là
	det:poss|ta&f&sg n|poubelle&f adv:place|là
%mor:	adv:place|voilà
%mor:	prep|en adj|bas&m
%mor:	co|non=no neg|pas adv:place|là
%mor:	v|regarder-IMP&2s
%mor:	pro:dem|ce$v:aux|être&PRES&3s part|carrer-PP&m
%mor:	co|voilà adv|très adv|bien
%mor:	conj|et pro:dem|ça pro:dem|ça v:mdl|aller&PRES&3s adv|comme
	pro:dem|ça
%mor:	co|non=no pro:dem|ça v|rentrer-PRES&SUB&13s adv:place|là
%mor:	co|ah co|ben co|non=no part|taire-PP&m v:aux|avoir&PRES&2s
	n|raison&f
%mor:	n|excuse&f-PL pro|moi&sg
%mor:	co|ah co|ouais=yes
%mor:	pro:sub|ils v:aux|être&PRES&3p adj|bizarre-PL det:dem|ces&m&pl
	n|truc&m-PL
%mor:	conj|et pro:dem|ce$v:exist|être&PRES&3s pro:rel|quoi adv:place|là ?
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s neg|pas ?
%mor:	co|ouais=yes pro:y|y pro:y|en v:aux|avoir&PRES&3s co|ouais=yes
	pro:y|y pro:y|en v:aux|avoir&PRES&3s adv|beaucoup co|hein ?
%mor:	n|deux&m det:art|un&m&sg n|deux&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s adv|encore adv|comme pro:dem|ça ?
%mor:	v|attendre-IMP&2s prep|sur det:art|les&pl n|bobo&m-PL=ouchie
	neg|pas prep|sur det:art|la&f&sg n|chemise&f
%mor:	on|fff co|oh co|oui=yes
%mor:	part|taire-PP&m v|voir&IMP&PRES&12s pro:dem|ce$v:aux|être&PRES&3s
	det:art|une&f&sg n|griffure&f
%mor:	co|oui=yes
%mor:	co|oui=yes pro:dem|ça v:mdl|aller&PRES&3s
%mor:	pro:int|que$v:aux|être&PRES&3s pro:dem|ce pro:rel|que$pro:sub|il
	pro:y|y v:aux|avoir&PRES&3s ?|làdessous ?
%mor:	co|oh adv|mais pro:y|y v:aux|avoir&PRES&3s prep|de&les n|radio&f-PL
%mor:	co|oh pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg
	n|main&f
%mor:	co|oh co|oui=yes
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg n|main&f pro:dem|ça
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi pro:dem|ça ?
%mor:	n|température&f
%mor:	n|température&f
%mor:	v|mettre-IMP&2s neg|pas prep|à det:art|la&f&sg n|bouche&f
%mor:	co|oh v|regarder-IMP&2s det:art|la&f&sg n|tête&f
%mor:	pro:sub|elle v:aux|être&PRES&3s adj|moche co|hein ?
%mor:	det:art|une&f&sg n|tête&f
%mor:	co|ben pro:y|y v:aux|avoir&PRES&3s det:art|les&pl n|dent&f-PL
	v|regarder-IMP&2s adv:place|là
%mor:	adv:int|pourquoi pro:int|quoi ?
%mor:	adv:place|là
%mor:	co|aïe co|aïe co|aïe
%mor:	co|mh
%mor:	pro:sub|on v|ranger-PRES&SUB&13s det:art|les&pl
	n|machine&f-PL=machine adv:place|là
%mor:	co|non=no
%mor:	pro:sub|il v:aux|être&PRES&3s pro:int|où det:art|le&m&sg
	n|squelette&m ?
%mor:	v|attendre-IMP&2s
%mor:	pro:y|y pro:y|en v:aux|avoir&PRES&3s neg|pas adv:place|dessous ?
%mor:	adv:place|là v|regarder-IMP&2s adv:place|là pro:y|y pro:y|en
	v:aux|avoir&PRES&3s prep|de$pro|autres&pl
%mor:	v|regarder-PRES&SUB&13s pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s
	det:art|le&m&sg n|squelette&m
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|voir&PP&m ?
%mor:	adv|comme pro:dem|ça ?
%mor:	adv|comme pro:dem|ça
%mor:	part|taire-PP&m v|connaître-PRES&IMP&12s co|ah co|bon ?
%mor:	adv|comme pro:dem|ça
%mor:	co|hop
%mor:	neg|pas adv|beaucoup
%mor:	num|deux ?
%mor:	co|ah co|ben co|oui=yes n|mai&m-PL adv:place|là part|taire-PP&m
	pro:sub|il$v:aux|avoir&PRES&2s part|mettre-PP&m prep|de n|travers&m
%mor:	part|taire-PP&m v:aux|être&PRES&2s adj|sure prep|que n|tout&m
	det:art|le&m&sg n|monde&m v|rentrer-IMP&2s adv:place|là ?
%mor:	co|ah co|oui=yes adv|comme pro:dem|ça
%mor:	num|deux
%mor:	pro:dem|ce$v:aux|être&PRES&3s co|bon
%mor:	v|attendre-IMP&2s part|taire-PP&m v:aux|avoir&PRES&2s
	part|taire-PP&m v:aux|avoir&PRES&2s n|tout&m part|mettre-PP&m
	adv:place|là
%mor:	co|ah co|ben n|oui&m adv|mais v|attendre-IMP&2s
%mor:	pro:sub|il v:aux|être&PRES&3s neg|pas prep|à det:art|le$n|envers&m
	pro:sub|il v:aux|être&PRES&3s neg|pas adj|droit&m
%mor:	part|taire-PP&m v:aux|être&PRES&2s adj|sure adv|que pro:dem|ça
	v|rentrer-PRES&SUB&13s adv|après ?
%mor:	pro|moi&sg pro:sub|je v|croire&PRES&12s neg|pas co|hein ?
%mor:	co|oui=yes pro:dem|ce$v:exist|être&PRES&3s det:poss|ta&f&sg
	n|main&f
%mor:	conj|et n|maman&f adv|aussi adv|comme pro:dem|ça adv|comme
	pro:dem|ça
%mor:	co|oui=yes co|ben co|oui=yes pro|toi&sg
	pro:dem|ce$v:aux|être&PRES&3s qn|plus adj|petit&m
%mor:	co|ah co|oui=yes adv|alors pro:dem|ce$v:aux|être&PRES&3s
	det:poss|ta&f&sg n|main&f
%mor:	pro:y|y v:aux|avoir&PRES&3s det:art|un&m&sg n|pouce&m ?
%mor:	pro:int|où pro:sub|il v:aux|être&PRES&3s det:art|le&m&sg n|pouce&m
	?
%mor:	co|non=no adv:place|là adv:place|là
%mor:	co|oui=yes co|bravo
%mor:	n|monsieur&m n|pouce&m
%mor:	conj|et pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s n|comment&m
	pro:sub|il pro:refl|se$v|appeler-PRES&SUB&13s pro:dem|ce n|doigt&m
	adv:place|là ?
%mor:	det:art|le&m&sg adj|petit&m n|doigt&m
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s pro:int|que prep|de&les
	adj|grand&m-PL n|doigt&m-PL ?
%mor:	conj|et ?|celuilà ?|celuilà adv|alors n|comment&m pro:sub|il
	pro:refl|se$v|appeler-PRES&SUB&13s ?
%mor:	co|bravo ?|ana adj|petit&m n|doigt&m
%mor:	conj|et pro:ind|lui ?
%mor:	n|pouce&m co|oh
%mor:	adv:place|là n|oui&m
%mor:	pro:dem|ça v|rentrer-PRES&SUB&13s adv|plus adv:place|là
%mor:	pro:y|y v:aux|avoir&PRES&3s qn|plus pro:y|y v:aux|avoir&PRES&3s
	qn|plus prep|de n|place&f prep|de n|place&f
%mor:	v:mdl|falloir&PRES&3s pro:obj|les v|laisser-INF prep|en
	prep|dessous pro:dem|celui&pl adv:place|là adv:place|là
%mor:	adv|parce pro:rel|que$pro:y|y v:aux|avoir&PRES&3s qn|plus prep|de
	n|place&f
%mor:	v|regarder-IMP&2s det:poss|ton&m&sg n|truc&m adv:place|là
%mor:	prep|à pro|moi&sg ?
%mor:	part|taire-PP&m pro:obj|me v|prendre-PRES&IMP&12s det:art|la&f&sg
	n|tension&f ?
%mor:	adv|comme pro:dem|ça
%mor:	co|allez v:mdl|aller&PRES&2s pro:y|y n|pompe&f
%mor:	adv|combien ?
%mor:	num|deux ?
%mor:	adv|ben v|dire-PRES&PASS&12s adv|donc
%mor:	det:art|un&m&sg n|peu&m prep|de n|sérum&m ?
%mor:	prep|pour pro|toi&sg co|hein ?
%mor:	co|non=no prep|pour pro|moi&sg ?
%mor:	prep|dans det:art|le$pro|autre&sg n|sens&m
%mor:	pro:dem|ça v|couler-PRES&SUB&13s ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s co|bon adv|alors
%mor:	v:mdl|falloir&PRES&3s pro:rel|que pro:sub|je n|garde
	det:art|le&m&sg n|bras&m adv|comme pro:dem|ça ?
%mor:	part|taire-PP&m pro:obj|me v|dire-PRES&PASS&12s co|hein adv|quand
	pro:dem|ce$v:exist|être&PRES&3s v|finir-PASS&3s ?
%mor:	pro:dem|ça pro:y|y v:aux|être&PRES&3s
%mor:	co|ah pro:dem|ça v:mdl|aller&PRES&3s n|mieux&m
%mor:	pro:sub|on pro:refl|se n|mouche&f ?
%mor:	adv|ben v|attendre-PRES&12s pro:sub|il v:aux|être&PRES&3s
	pro:int|où det:poss|mon&m&sg n|mouchoir&m ?
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s pro:obj|le v|chercher-INF ?
%mor:	co|non=no pro:sub|il v:aux|être&PRES&3s neg|pas adv:place|là ?|nine
%mor:	?|làbas ?
%mor:	adv:place|là v|regarder-PRES&SUB&13s
%mor:	co|oui=yes co|ben pro:sub|je$v:aux|avoir&PRES&1s adv|bien
	part|comprendre-PP&m prep|que pro:dem|ce$v:aux|être&IMPF&3s
	pro|toi&sg
%mor:	adv:int|pourquoi n|deux&m ?
%mor:	v:mdl|aller&PRES&3s pro:obj|le v|mettre-INF prep|dans
	det:art|la&f&sg n|poubelle&f co|oh ?|ana v|ramasser-PRES&SUB&13s
%mor:	?|làbas
%mor:	co|mh co|mh
%mor:	co|merci
%mor:	pro:sub|je pro:obj|te$v|aider-IMP&2s ?
%mor:	n|trois&m adv|comme pro:dem|ça n|oui&m
%mor:	v:aux|être&PRES&3s prep|pour pro|moi&sg adv|mais
	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|peu&m adv|fin
%mor:	pro:dem|ça v:mdl|aller&PRES&3s v|passer-INF prep|à n|travers&m
	adv|quand pro:sub|on v:mdl|aller&PRES&3s v|moucher-INF
	det:art|le&m&sg n|nez&m
%mor:	v|prendre-PRES&IMP&12s ?|celuilà prep|pour pro:refl|se
	v|moucher-INF
%mor:	v|prendre-PRES&IMP&12s ?|celuilà
%mor:	co|hoh
%mor:	n|tête&f prep|de n|mule&f
%mor:	neg|pas n|deux&m co|hein part|taire-PP&m det:art|le&m&sg
	n|laisse&f-PL n|entier&m
%mor:	pro:int|quoi pro:obj|te$pro:y|en v:aux|avoir&PRES&2s neg|pas
	part|prendre-PP&m n|deux&m ?
%mor:	v|tenir-IMP&2s v|donner-IMP&2s pro|moi&sg pro:dem|ce n|mouchoir&m
	n|paquet&m
%mor:	adv|comme pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s n|bien&m
	co|allez n|mouche&f
%mor:	co|oui=yes pro:y|y pro:y|en v:aux|avoir&PRES&3s num|trois
	adv:place|là
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|pour pro|moi&sg ?
%mor:	co|oh part|taire-PP&m v:aux|avoir&PRES&2s adv|tout
	part|déchirer-PP&m
%mor:	co|ohlàlà
%mor:	pro:sub|on pro:y|y v|mettre-PRES&3s adv:place|là ?
%mor:	pro:dem|ça pro:y|y v:aux|être&PRES&3s ?
%mor:	pro:sub|il v:aux|être&PRES&3s n|propre det:poss|ton&m&sg n|nez&m ?
%mor:	adv|ben v|ramasser-PRES&SUB&13s
%mor:	v|dire-PRES&PASS&12s adv|donc ?|nine prep|dans det:art|la&f&sg
	n|poubelle&f
%mor:	co|oui=yes co|voilà
%mor:	prep|de pro:rel|quoi part|taire-PP&m v:mdl|vouloir&PRES&12s
	det:gen|quelle&f&sg n|vaisselle&f ?
%mor:	v|tenir-IMP&2s v|venir-IMP&2s v|nettoyer-INF det:art|le&m&sg
	n|nez&m
%mor:	v|tenir-IMP&2s part|taire-PP&m v:mdl|faire-PRES&12s pro|toi&sg
%mor:	pro:int|laquelle&f&sg ?
%mor:	det:art|la&f&sg n|vaisselle&f prep|de adj|beau&f&sg=pretty ?
%mor:	co|ah ?|cellelà part|taire-PP&m v:mdl|vouloir&PRES&12s ?
%mor:	adv|parce adv|que pro:dem|celle&f&sg prep|de adj|beau&f&sg=pretty
	pro:sub|elle v:aux|être&PRES&3s prep|dans det:poss|ta&f&sg
	n|chambre&f
%mor:	co|non=no part|taire-PP&m v:mdl|vouloir&PRES&12s ?|cellelà
	adv:place|là ?
%mor:	v|nettoyer-IMP&2s det:poss|ton&m&sg n|nez&m pro:sub|je pro:obj|te
	v|donner-PRES&SUB&13s det:art|la&f&sg n|vaisselle&f
%mor:	co|bon adv|d'accord
%mor:	co|oh v|bouger-PRES&2p neg|pas
%mor:	pro:dem|ce$v:aux|être&PRES&3s ?|cellelà prep|que part|taire-PP&m
	v:mdllex|vouloir&IMPF&12s ?
%mor:	co|hop
%mor:	v|tenir-IMP&2s v|regarder-IMP&2s
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg ?|s
	n|+n|marche+n|pied&m=stepping_stone prep|de ?|cendrillon
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s n|ton&m=tone n|carrosse&m
%mor:	pro:sub|il v:aux|être&PRES&3s prep|dans det:poss|ta&f&sg
	n|chambre&f v|venir-IMP&2s
%mor:	co|ah adv|mais pro:dem|ça v:mdl|devoir&COND&3s v|tenir-INF
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v|jouer-INF adv:place|là ?
%mor:	co|ah co|ben co|oui=yes pro:sub|on n|joue&f adv:place|là co|hein
%mor:	pro:sub|on v:mdl|aller&PRES&3s neg|pas ?|làhaut
%mor:	co|non=no v|pousser-IMP&2s pro|toi&sg
%mor:	pro:sub|je pro:obj|te pro:obj|le$v:poss|avoir&PRES&3s n|mets&m
	pro:int|où det:poss|ta&f&sg n|vaisselle&f ?
%mor:	adv:place|là ?
%mor:	v|tenir-IMP&2s det:poss|tes&pl n|boucle&f-PL prep|de$n|oreille&f-PL
%mor:	part|taire-PP&m v|arriver-PRES&SUB&2s prep|à v|ouvrir-INF ?
%mor:	co|non=no ?
%mor:	adv|que prep|de pro:dem|ce n|côté&m ?
%mor:	pro:sub|on v:mdl|aller&PRES&3s v|ouvrir-INF det:art|le$pro|autre&sg
%mor:	adv:place|voilà
%mor:	pro:dem|ce$v:aux|être&PRES&3s co|bon ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s v:mdl|faire-PRES&12s
	v|tomber-INF det:art|les&pl n|fer&m-PL prep|de&les n|cheval&m&pl
	pro:sub|je pro:obj|te v|signaler-PRES&SUB&13s
%mor:	co|merci
%mor:	co|ah pro:sub|il v:aux|être&PRES&3s part|tomber-PP&m
%mor:	v|venir-IMP&2s v|voir&INF ?|nine
%mor:	adv|comme pro:dem|ça
%mor:	v:mdl|falloir&PRES&3s pro:rel|que
	pro:sub|je$v:mdllex|aller&PRES&SUB&13s pro:obj|la v|chercher-INF
	adv|aussi ?
%mor:	pro:sub|elle v:aux|être&PRES&3s prep|dans det:poss|ta&f&sg
	n|chambre&f
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s prep|que
	pro:sub|je$v|ailler-PRES&SUB&13s pro:obj|la v|chercher-INF ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v|chauffer-INF pro:dem|ça ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s n|besoin&m prep|de$pro|autre&sg
	n|chose=thing ?
%mor:	pro:int|quoi ?
%mor:	adv|ben pro:sub|je$pro:y|y re#v|tourner-FUT&1s
%mor:	v|tenir-IMP&2s ?|ninette
%mor:	co|oh co|ben n|écoute&f co|hein
%mor:	adv:place|là pro:sub|je re#v|monter-IMP&2s neg|pas
%mor:	pro:int|qui pro:dem|ce$v:exist|être&PRES&3s adv:place|dessus
