%mor:	co|chut
%mor:	co|oui=yes n|mai&m-PL pro:dem|ce$v:exist|être&PRES&3s n|pareil&m
%mor:	co|non=no co|non=no neg|pas prep|de n|piano&m ?|ael
%mor:	co|oui=yes co|ben n|pose&f prep|sur det:art|la&f&sg n|table&f
%mor:	n|trois&m n|deux&m det:art|un&m&sg v|partir-IMP&PRES&2p
%mor:	co|oh co|ben co|non=no n|cinq&m
%mor:	adv|alors n|trois&m conj|et adv|puis adv|encore n|trois&m co|allez
	v:mdl|aller&PRES&2s pro:y|y
%mor:	adv|d'accord n|quatre&m
%mor:	part|adjuger-PP&m
%mor:	?|ael
%mor:	?|arthur
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s det:art|une&f&sg adj|drôle
	prep|de n|voix&f
%mor:	co|ah co|oui=yes
%mor:	conj|et ?|manu
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s n|vécu&m prep|dans
	det:art|la&f&sg n|brousse&f ?
%mor:	co|ah adv|vite pro:sub|elle v:mdl|vouloir&PRES&3s det:art|un&m&sg
	pro|autre&sg adv|vite adv|vite adv|vite adv|vite adv|vite
	v:mdl|aller&PRES&3s v|chercher-INF det:art|un&m&sg pro|autre&sg
%mor:	n|trois&m n|deux&m det:art|un&m&sg v|partir-IMP&PRES&2p
%mor:	neg|ne$v|importer-IMP&2s
%mor:	co|hum
%mor:	co|non=no pro:sub|il n|manque&m det:art|la&f&sg n|tortue&f
%mor:	co|oui=yes n|crocodile&m
