%mor:	n|comment&m pro:dem|ça pro:refl|se$v|appeler-PRES&SUB&13s
%mor:	co|allez pro:sub|on re#v|tourner-IMP&2s v|jouer-INF
%mor:	co|non=no ?
%mor:	co|allez part|taire-PP&m v|venir-IMP&2s
%mor:	pro:sub|on v:mdl|aller&PRES&3s adv|ailleurs ?
%mor:	adv|parce conj|que adv:place|là pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s det:art|le&m&sg n|bruit&m prep|de
	det:art|la&f&sg n|machine&f=machine
%mor:	part|taire-PP&m v|venir-PRES&12s pro:sub|on v:mdl|aller&PRES&3s
	prep|dans det:art|le&m&sg
%mor:	co|non=no
%mor:	part|taire-PP&m v:aux|être&PRES&2s
%mor:	co|hein ?
%mor:	v|regarder-IMP&2p pro|moi&sg pro:dem|ça adv:place|là
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s prep|en n|camion&m ?
%mor:	co|allez v:mdl|aller&PRES&2s pro:y|y
%mor:	v|rouler-IMP&2s
%mor:	?|estce part|taire-PP&m part|taire-PP&m v|croire&IMP&2s adv|que
	pro:dem|ça v:mdl|aller&PRES&3s v|passer-INF prep|dans
	det:art|le&m&sg n|tunnel&m pro:dem|ça ?
%mor:	part|taire-PP&m v:mdl|pouvoir&PRES&12s v|forcer-INF adv:place|là
	prep|à det:poss|mon&m&sg n|avis&m co|hein n|avant&m adv|que
	pro:dem|ça v|rentrer-PRES&SUB&13s
%mor:	v|regarder-IMP&2s
%mor:	pro:dem|ça part|faire-PP&m n|longtemps&m prep|que pro:sub|tu
	pro:sub|tu$pro:y|en v:aux|être&PRES&2s neg|pas part|occuper-PP&m
	prep|de det:poss|ton&m&sg n|bébé&m adv:place|là
%mor:	pro:dem|ça pro:sub|on v:mdl|aller&IMP&2s det:art|le$adj|enlevé&m
	pro:dem|ça co|hein adv|parce prep|que adv|alors adv|vraiment
	pro:dem|ça v|servir-PRES&3s prep|à n|rien&m
%mor:	co|allo co|allo ?
%mor:	co|allo ?
%mor:	pro:dem|ça v:mdl|aller&PRES&3s adv|bien ?
%mor:	co|oh
%mor:	adv|alors part|taire-PP&m v:aux|avoir&PRES&2s n|passé&m prep|de
	adj|bon&f-PL n|vacance&f-PL ?
%mor:	co|oui=yes ?
%mor:	co|allo
%mor:	co|ouais=yes
%mor:	co|allo co|allo co|allo ?
%mor:	prep|plus n|personne&f
%mor:	?|tim part|taire-PP&m v:aux|être&PRES&2s adv|toujours adv:place|là
%mor:	co|oui=yes ?
%mor:	co|hein ?
%mor:	co|bon pro:sub|il pro:y|y v:aux|avoir&PRES&3s det:art|un&m&sg
	n|problème&m prep|avec det:art|la&f&sg n|ligne&f co|hein
%mor:	co|hein
%mor:	part|taire-PP&m pro:obj|me v|prêter-PRES&SUB&2s det:poss|ton&m&sg
	n|téléphone&m=telephone ?
%mor:	co|merci
%mor:	v:mdl|falloir&PRES&3s v|mettre-INF adv|d'abord det:art|les&pl
	adj|bleu&m-PL ?
%mor:	co|ouais=yes
%mor:	pro:sub|je$v:aux|avoir&COND&12s prep|de&le adj|mal&m&sg co|hein
%mor:	v|regarder-IMP&2s
%mor:	co|oh adv|presque
%mor:	adv|bien
%mor:	conj|et pro:dem|ce$v:exist|être&PRES&3s neg|pas co|la adv|aussi ?
%mor:	adv|comme co|euh adv|comme pro:dem|celle&f&sg adv|de ?|ame ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas adv:place|là
%mor:	pro:sub|elle v:aux|avoir&PRES&3s part|mettre-PP&m det:poss|son&m&sg
	n|pyjama&m ?|aglaë ?
%mor:	co|mh ?
%mor:	v|attendre-IMP&2s
%mor:	pro:sub|on v:mdl|aller&PRES&3s pro:sub|on v:mdl|aller&PRES&3s
	pro:obj|la v|rhabiller-INF=to_dress_again det:art|un&m&sg n|peu&m
	prep|comme pro:sub|il v:mdl|falloir&PRES&3s
%mor:	v:mdl|faire-PRES&12s v|voir&INF
%mor:	co|oh co|oui=yes
%mor:	co|ah co|ben co|oui=yes pro:sub|elle v:aux|avoir&IMPF&3s
	det:art|un&m&sg n|peu&m n|froid&m prep|à&le n|nez&m
%mor:	co|hein ?
%mor:	co|ah pro:sub|il part|faire-PP&m n|froid&m prep|en pro:dem|ce
	n|moment&m
%mor:	v:mdl|faire-PRES&12s v|voir&INF
%mor:	co|oh co|oui=yes n|bien&m adv:place|là
%mor:	v:mdl|faire-PRES&12s v|voir&INF
%mor:	co|oh co|ben co|oui=yes adv:place|là
%mor:	co|hein ?
%mor:	pro:sub|elle v|rentrer-PRES&SUB&13s prep|dans det:art|une&f&sg
	n|banque&f adv:place|là
%mor:	pro:dem|ce$v:aux|être&PRES&3s co|bon
%mor:	co|hein
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s
	det:gen|quelque$det:art|un&m&sg ?
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s
	det:gen|quelque$det:art|un&m&sg adv:place|là adv:place|dessous ?
%mor:	co|oh pro:sub|je$v:aux|avoir&PRES&1s prep|vu prep|de&les n|yeux&m
%mor:	v|regarder-IMP&2s
%mor:	co|ah
%mor:	adv:place|là pro:dem|ça v:mdl|aller&PRES&3s n|mieux&m
%mor:	pro:sub|elle v:aux|avoir&IMPF&3s ?|peutêtre det:art|un&m&sg n|peu&m
	adj|chaud&m co|non=no ?
%mor:	pro:ind|lui re#v|mettre-INF
%mor:	?|qu'estce part|taire-PP&m v:mdl|aller&PRES&2s pro:ind|lui
	re#v|mettre-INF ?
%mor:	det:poss|son&m&sg n|bonnet&m
%mor:	adv:place|voilà
%mor:	co|ah
%mor:	pro:sub|je$v|espérer-IMP&2s prep|que det:art|les&pl n|voisin&m-PL
	v:aux|être&PRES&3p neg|pas part|rentrer-PP&m&pl prep|de
	n|vacance&f-PL
%mor:	co|allez v:mdl|aller&PRES&2s pro:y|y
%mor:	v|tirer-IMP&2s
%mor:	v|tirer-PRES&SUB&13s ?|joe det:art|le&m&sg n|taxi&m
%mor:	part|taire-PP&m v|croire&PRES&12s neg|pas pro:rel|que$pro:sub|il
	v:mdllex|falloir&IMP&2s pro:rel|que$pro:sub|elle
	v|ailler-PRES&SUB&13s prep|à&le n|garage&m adv|aussi
	det:dem|cette&f&sg n|voiture&f ?
%mor:	co|hein ?
%mor:	co|non=no ?
%mor:	co|tut=train co|tut=train
%mor:	v|laisser-IMP&2p pro|moi&sg v|passer-INF
%mor:	co|ahlàlà
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|voir&PP&m ?
%mor:	v|regarder-IMP&2s
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s prep|vu pro:dem|ce n|nez&m
	pro:rel|que$pro:sub|il v:aux|avoir&PRES&3s pro:ind|lui ?
%mor:	pro:sub|il v:aux|être&PRES&3s adj|gros&m co|hein ?
%mor:	det:art|une&f&sg n|casquette&f
%mor:	det:art|une&f&sg n|casquette&f
%mor:	co|oh
%mor:	n|catastrophe&f
%mor:	co|ouh co|la
%mor:	pro:sub|il v:aux|avoir&PRES&3s det:art|le&m&sg n|cou&m adv:place|là
	pro:int|qui
%mor:	co|ouille co|ouille
%mor:	det:art|les&pl n|légo&m-PL=lego pro:sub|ils v:aux|être&PRES&3p
	prep|dans det:art|le$pro|autre&sg n|boîte&f ?|tim
%mor:	adv|si part|taire-PP&m v|chercher-PRES&SUB&2s ?
%mor:	pro:sub|ils v:aux|être&PRES&3p ?|làbas
%mor:	prep|dans det:art|la&f&sg n|boîte&f ?|làbas prep|près prep|de&le
	n|lit&m
%mor:	co|aïe co|aïe co|aïe det:poss|tes&pl n|pied&m-PL
%mor:	part|taire-PP&m v:mdl|faire-COND&12s neg|pas det:art|un&m&sg
	n|peu&m det:art|le$n|imbécile adv:place|là ?
%mor:	co|hein ?
%mor:	adv|par n|hasard&m ?
%mor:	co|ah
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s adv|même neg|pas prep|de
	n|bruit&m pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s adv|bien
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|les&pl
%mor:	co|mh
%mor:	det:art|le&m&sg n|moulin&m
%mor:	v|attendre-IMP&2s
%mor:	pro:sub|on v:mdl|aller&PRES&3s pro:sub|on v:mdl|aller&PRES&3s
	v:mdl|faire-INF v|écouter-INF
%mor:	?|qu'estce pro:rel|que$pro:sub|on v|entendre-PRES&3s ?
%mor:	co|bon
%mor:	adv|si pro:sub|on v|jouer-IMPF&3s prep|à&les n|légo&m-PL=lego ?
%mor:	co|non=no
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|pour det:art|les&pl n|bébé&m-PL
	pro:dem|ça
%mor:	pro:int|qui ?|estce prep|que pro:sub|elle n|garde ?
%mor:	pro:int|qui ?|estce pro:rel|que$pro:sub|elle n|garde
	det:art|la&f&sg n|berger&f ?
%mor:	?|qu'estce pro:rel|que$pro:sub|on v|voir&PRES&3s adv:place|là ?
%mor:	co|mh
%mor:	pro:sub|on v:mdl|aller&PRES&3s pro:obj|le$v|attraper-INF=catch
	pro:dem|ce$v:exist|être&PRES&3s adj|facile n|oui&m
%mor:	co|ouais=yes
%mor:	co|mh
%mor:	part|taire-PP&m v|croire&PRES&12s ?
%mor:	pro:sub|elle v:aux|être&PRES&3s n|longue&f ?
%mor:	pro:sub|elle v:aux|être&PRES&3s
%mor:	pro:sub|elle v|sauter-IMP&2s adj|haut&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg n|souris&f
	n|sauteur&f ?
%mor:	det:art|le&m&sg n|ciel&m
%mor:	conj|et adv:place|là pro:dem|ce$v:exist|être&PRES&3s
	det:art|le&m&sg ?
%mor:	co|oui=yes
%mor:	det:art|le&m&sg n|soleil&m
%mor:	co|mh
%mor:	adv|alors ?|qu'estce pro:rel|que$pro:sub|on v|voir&PRES&3s
	adv:place|là ?
%mor:	co|mh
%mor:	pro:y|y pro:y|en v:aux|avoir&PRES&3s adv|combien prep|de&les
	n|mouton&m-PL ?
%mor:	co|ouais=yes
%mor:	n|quatre&m
%mor:	co|allez conj|et
%mor:	prep|à adv|bientôt n|oui&m
%mor:	adv|alors pro:sub|on v:mdl|aller&PRES&3s v|jouer-INF prep|à&les
	n|légo&m-PL=lego ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg adj|bon&f n|idée&f
	adv|pourtant
%mor:	co|aïe co|aïe co|aïe
%mor:	co|ah part|taire-PP&m v:mdl|vouloir&PRES&12s v|mettre-INF
	prep|de&les n|légo&m-PL=lego prep|dans det:art|le&m&sg n|tunnel&m
%mor:	prep|sur det:art|le&m&sg n|tunnel&m
%mor:	part|taire-PP&m v:mdl|faire-PRES&12s det:art|une&f&sg n|tour ?
%mor:	det:art|une&f&sg adj|grand&f n|cheminée&f adv:place|là
%mor:	co|allez
%mor:	adv|alors v:mdl|falloir&PRES&3s adv|bien det:art|les&pl
	v|mettre-INF det:art|les&pl n|premier&m-PL adv|parce prep|que n|si&m
	part|taire-PP&m v|commencer-PRES&SUB&2s neg|pas adv|bien
%mor:	adv:place|voilà
%mor:	co|wah
%mor:	adv|alors
%mor:	det:gen|quelle&f&sg n|couleur&f ?|celuilà ?
%mor:	co|hein
%mor:	co|mh
%mor:	det:art|le&m&sg adj|petit&m adj|carré&m adj|jaune
%mor:	conj|et adv|puis ?
%mor:	co|oh co|bah adv|alors
%mor:	v|attendre-IMP&2s
%mor:	v|regarder-IMP&2s
%mor:	co|oui=yes
%mor:	co|allez v:mdl|aller&PRES&2s pro:y|y
%mor:	pro:y|y pro:y|en v:aux|avoir&PRES&3s qn|plus ?
%mor:	co|ah pro:dem|ce$v:aux|être&PRES&3s adv|que
%mor:	adv|si part|taire-PP&m pro:y|en v:aux|avoir&PRES&2s
	part|trouver-PP&m det:art|un&m&sg adv:place|là
%mor:	v|venir-IMP&2s
%mor:	co|ah co|bah v|venir-PRES&12s v|mettre-INF pro:dem|celui&m&sg
	adv|que part|taire-PP&m v:aux|avoir&PRES&2s part|trouver-PP&m
%mor:	adv:place|voilà
%mor:	co|voilà co|wah
%mor:	pro:sub|elle v:aux|être&PRES&3s adj|haut&f co|hein
%mor:	co|oh co|la co|la co|la co|la co|la co|la
%mor:	pro:sub|elle conj|si$v:aux|être&PRES&3s part|renverser-PP&f
%mor:	co|ah
%mor:	part|taire-PP&m v:aux|être&PRES&2s adj|sûr&m pro:rel|que$pro:y|y
	pro:y|en v:aux|avoir&PRES&3s qn|plus ?
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s adv|beaucoup prep|de
	n|vent&m=wind co|hein
%mor:	conj|et co|oui=yes co|hein
%mor:	pro:dem|ça v|tenir-PRES&3s
%mor:	det:dem|ces&m&pl adj|gros&f-PL n|cheminée&f-PL co|hein
	pro:dem|ce$v:exist|être&PRES&3s neg|pas n|solide&m
%mor:	pro:sub|elle v:aux|être&PRES&3s adj|haut&f
%mor:	neg|pas co|ouh n|longue&f
%mor:	pro:sub|elle v:aux|être&PRES&3s adj|haut&f
%mor:	conj|et ?|qu'estce ?
%mor:	part|taire-PP&m v:mdl|pouvoir&COND&12s v|mettre-INF det:gen|quelque
	n|chose=thing prep|dessus adv|encore prep|à adj|bas&m ?
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s neg|pas det:gen|quelque
	n|chose=thing prep|que pro:sub|tu v:mdl|pouvoir&PRES&12s
	v|mettre-INF ?
%mor:	?|qu'estce prep|que pro:dem|ce$v:aux|être&PRES&3s pro:dem|ça ?
%mor:	n|camion&m prep|de n|pompier&m-PL ?
%mor:	pro:int|qui part|faire-PP&m pro:int|quoi adv|encore ?
%mor:	conj|et adv|puis v|regarder-PRES&SUB&13s
%mor:	pro:sub|il pro:y|y v:aux|avoir&PRES&3s det:gen|quelque
	n|chose=thing pro:int|qui part|faire-PP&m n|moins&m prep|de
	n|bruit&m
%mor:	pro:sub|il n|marche&f prep|plus n|bien&m pro:ind|lui
%mor:	adv|que pro:dem|ça part|faire-PP&m n|bruit&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s neg|pas adv|comme pro:dem|ça ?
%mor:	adj|rouge
%mor:	det:art|la&f&sg n|lumière&f pro:sub|elle v:aux|être&PRES&3s ?
%mor:	det:art|la&f&sg n|lumière&f pro:sub|elle v:aux|être&PRES&3s ?
%mor:	n|blanche&f
%mor:	conj|et adv:place|là ?
%mor:	conj|et co|ouais=yes
%mor:	conj|et adv:place|là ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s co|bah pro:dem|ce$v:aux|être&PRES&3s
%mor:	co|bah co|ouais=yes
%mor:	pro:dem|ce$v:aux|être&PRES&3s adj|rouge
%mor:	part|taire-PP&m v|voir&IMP&PRES&12s
%mor:	?|qu'estce pro:rel|que$pro:sub|il pro:refl|se v|passer-PRES&SUB&13s
	?
%mor:	co|ah pro:dem|ça pro:y|y v:aux|être&PRES&3s
%mor:	pro:dem|ce$v:aux|être&PRES&3s part|rallumer-PP&m
%mor:	part|taire-PP&m v:aux|être&PRES&2s n|chaud&m pro|toi&sg
%mor:	co|ah co|bon ?
%mor:	num|six n|an&m-PL
%mor:	co|ouais=yes
%mor:	num|six n|an&m-PL co|oh co|la co|la co|la co|la
%mor:	co|bon
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s num|six n|an&m-PL ?
%mor:	part|taire-PP&m n|souffle&m-PL ?
