%mor:	prep|à pro:rel|quoi part|taire-PP&m n|joue&f-PL ?|anaé ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s
	v:aux|être&PRES&3s part|aller&PP&m&sg prep|avec ?|anouk ?
%mor:	pro:sub|on v:aux|être&PRES&3s part|aller&PP&m&sg pro:int|où
	prep|avec ?|anouk ?
%mor:	pro:sub|on v:aux|être&PRES&3s part|aller&PP&m&sg prep|à
	det:art|la&f&sg n|mer&f=sea ?
%mor:	co|oui=yes ?
%mor:	pro:int|que$v:int|est–ce pro:int|qui pro:refl|se
	v|passer-PRES&SUB&13s ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s ?
%mor:	conj|et pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s adv:place|là ?
%mor:	co|boh
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v|promener-PRES&SUB&2s prep|dans det:poss|ta&f&sg n|poussette&f ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	det:art|un&m&sg n|livre prep|de pro:rel|quoi ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s pro:obj|le v|lire-INF ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro|toi&sg pro:int|qui pro:obj|me
	det:art|le&m&sg n|lis&m ?
%mor:	part|taire-PP&m pro:obj|me pro:obj|le v|raconter-PRES&SUB&2s ?
%mor:	v:mdl|aller&PRES&2s pro:y|y n|mets&m pro|toi&sg prep|sur
	det:art|la&f&sg n|table&f pro:sub|tu v:mdllex|faire-IMP&2s
	n|attention&f prep|à&les n|thé&m-PL adv|parce
	pro:rel|que$pro:sub|ils v:aux|être&PRES&3p adv|très adj|chaud&m-PL
%mor:	v:mdl|aller&PRES&2s pro:y|y n|mets&m pro|toi&sg adv:place|là
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le$n|histoire&f prep|de
	pro:rel|quoi adv|alors ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s adv|déjà part|finir-PP&m ?
%mor:	co|merci
%mor:	part|taire-PP&m v|préférer-PRES&SUB&2s pro:dem|celui–là ?
%mor:	co|ouais=yes ?
%mor:	adv|comment pro:sub|il pro:refl|se$v|appeler-IMP&2s
	pro:dem|celui–là ?
%mor:	part|taire-PP&m n|lis&m prep|à n|maman&f ?
%mor:	v:mdl|aller&PRES&2s pro:y|y
%mor:	co|oui=yes
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il part|faire-PP&m
	det:art|le&m&sg n|lapin&m ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s
	pro:dem|ça ?
%mor:	pro:sub|on pro:y|en v:aux|avoir&PRES&3s prep|vu adj|plein&m prep|en
	n|vacance&f-PL pro:dem|ce$v:exist|être&PRES&3s det:art|le&m&sg ?
%mor:	n|mouton&m ?
%mor:	conj|et det:art|le$n|écureuil&m n|oui&m
%mor:	co|hum co|hum
%mor:	co|han
%mor:	det:art|la&f&sg adj|gros&f n|bête&f pro:sub|elle pro:refl|se
	re#v|veiller-IMP&2s conj|et ?
%mor:	conj|et co|boum
%mor:	co|oh pro:sub|ils part|luire&PP&m v:mdllex|faire-PRES&3p n|peur&f
	conj|et pro:sub|elle n|tombe&f det:art|la&f&sg adj|gros&f n|bête&f
%mor:	conj|et pro:sub|elle re#v|descendre-PRES&3s
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:dem|ce$v:exist|être&PRES&3s
	pro:rel|lequel&m&sg pro:dem|celui–là ?
%mor:	part|taire-PP&m v|croire&PRES&12s pro:rel|que
	pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg n|bête&f pro:int|qui
	v|monter-IMP&2s pro:int|qui v|monter-PRES&SUB&13s pro:dem|celui–là ?
%mor:	co|non=no
%mor:	co|oui=yes co|oui=yes v:aux|avoir&PRES&3s det:art|un&m&sg
	n|bonnet&m adj|bleu&m
%mor:	pro:sub|il v:aux|être&PRES&3s pro:int|où det:poss|son&m&sg
	n|bonnet&m ?
%mor:	co|hum co|hum
%mor:	co|oh pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s pro:dem|ça ?
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	det:art|une&f&sg n|chenille&f ?
%mor:	co|ah co|oui=yes
%mor:	co|oh
%mor:	pro:int|que$v:int|est–ce pro:int|qui conj|si$v:aux|être&PRES&3s
	n|passé&m adv:place|là ?
%mor:	pro:int|qui v:int|est–ce pro:int|qui v:aux|avoir&PRES&3s
	part|dessiner-PP&m prep|sur det:art|le&m&sg n|livre ?
%mor:	pro:int|qui v:int|est–ce pro:int|qui v:aux|avoir&PRES&3s
	part|dessiner-PP&m prep|sur det:art|le&m&sg n|livre ?
%mor:	adv:place|là
%mor:	co|nan pro:sub|je v|croire&PRES&12s adv|que
	pro:dem|ce$v:exist|être&PRES&3s ?|mara
%mor:	pro:dem|ce$v:aux|être&PRES&3s ?|mara pro:int|qui
	v:aux|avoir&PRES&3s part|dessiner-PP&m prep|sur det:poss|ton&m&sg
	n|livre
%mor:	co|oh pro:sub|il v:aux|être&PRES&3s n|coquin&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:gen|quelle&f&sg n|couleur&f
	pro:dem|ça ?
%mor:	co|ah co|bon ?
%mor:	co|non=no pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s adj|vert&m
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s neg|pas det:art|un&m&sg
	pro|autre&sg adv|plutôt ?
%mor:	v:mdl|aller&PRES&3s v|chercher-INF det:art|un&m&sg pro|autre&sg
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|coloriage&m
	pro:dem|celui–là
%mor:	co|hum
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|pour v:mdl|faire-INF
	det:art|le&m&sg n|coloriage&m
%mor:	co|oh
%mor:	conj|et pro:dem|ça pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	co|nan pro:dem|ça
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|puzzle&m ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|puzzle&m prep|de
	pro:rel|qui ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il pro:y|y
	v:aux|avoir&PRES&3s adv:place|dessus ?
%mor:	adj|petit&m n|ours&m adj|brun&m
%mor:	adv|alors pro:sub|on v|mettre-PRES&3s det:art|les&pl n|carte&f-PL ?
%mor:	co|hum co|hum
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s pro:int|lesquelles&f&pl
	pro|toi&sg ?
%mor:	co|euh pro|moi&sg pro:sub|je v:mdl|vouloir&PRES&12s n|bien&m
	pro:dem|celle–là
%mor:	co|merci
%mor:	prep|pour pro:rel|qui pro:dem|celle–là ?
%mor:	co|hum co|hum
%mor:	prep|pour pro:rel|qui ?
%mor:	prep|pour ?
%mor:	co|ouais=yes prep|pour pro|toi&sg
%mor:	conj|et co|euh det:art|une&f&sg pro|autre&sg conj|pour pro|moi&sg ?
%mor:	conj|ou pro|une&f&sg prep|pour ?|arthur ?
%mor:	adv|alors part|taire-PP&m part|luire&PP&m v|dire-PRES&PASS&12s
	?|arthur v|venir-PRES&12s v|jouer-INF prep|avec pro:obj|nous
%mor:	adv|alors pro:sub|on v|prendre-PRES&3s det:art|une&f&sg n|carte&f
	prep|à&le n|milieu&m
%mor:	conj|et pro:sub|on part|dire-PP&m conj|pour pro:int|qui
	pro:dem|ce$v:exist|être&PRES&3s
%mor:	adv|alors
%mor:	adj|petit&m n|ours&m adj|brun&m
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il part|faire-PP&m
	adv:place|là ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|à pro|toi&sg pro:dem|celui–là ?
%mor:	pro:sub|il v:mdl|aller&PRES&3s pro:int|où ?
%mor:	co|oui=yes
%mor:	pro:int|que$v:int|est–ce pro:int|qui part|faire-PP&m adj|petit&m
	n|ours&m adj|brun&m adv:place|là ?
%mor:	pro:sub|il v:aux|être&PRES&3s pro:int|où ?
%mor:	co|oui=yes pro:sub|il v:aux|être&PRES&3s pro:int|où ?
%mor:	v|regarder-IMP&2s pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s adv:place|derrière ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg n|mer&f=sea ?
%mor:	conj|et pro:sub|il n|marche&f prep|dans det:art|le&m&sg n|sable&m
%mor:	pro|toi&sg adv|aussi part|taire-PP&m v:aux|être&PRES&2s n|allée&f
	prep|à det:art|la&f&sg n|mer&f=sea
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|on part|faire-PP&m
	prep|à det:art|la&f&sg n|mer&f=sea ?
%mor:	pro:sub|on v|nager-IMP&2s n|comment&m ?
%mor:	part|taire-PP&m pro:obj|nous n|montre&f-PL adv|comment
	part|taire-PP&m v|nager-PRES&SUB&2s ?
%mor:	adv|comment part|taire-PP&m v|nager-PRES&SUB&2s prep|avec
	det:poss|tes&pl n|main&f-PL ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|à pro|moi&sg pro:dem|celle–là ?
%mor:	adv|alors det:art|une&f&sg pro|autre&sg n|carte&f
%mor:	adj|petit&m n|ours&m adj|brun&m prep|dans det:art|une&f&sg
	n|bouée&f
%mor:	co|ah adv|mais pro:dem|ce$v:aux|être&PRES&3s prep|à pro|moi&sg
	adv|aussi
%mor:	pro:sub|je v:mdl|aller&PRES&1s v|gagner-INF
%mor:	adj|petit&m n|ours&m adj|brun&m pro:int|qui v|manger-PRES&SUB&13s
	prep|de&les n|fraise&f-PL pro:dem|ce$v:aux|être&PRES&3s prep|à
	pro|moi&sg adv|aussi
%mor:	co|euh adj|petit&m n|ours&m adj|brun&m pro:int|qui part|faire-PP&m
	prep|de&le n|coloriage&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|à pro|moi&sg adv|aussi
%mor:	prep|à pro|toi&sg
%mor:	adv|alors pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|il
	part|faire-PP&m adv:place|là adj|petit&m n|ours&m adj|brun&m ?
%mor:	pro:sub|il v:aux|être&PRES&3s prep|sur det:art|les&pl n|épaule&f-PL
	prep|de n|papa&m conj|et pro:dem|ce$v:exist|être&PRES&3s prep|pour
	pro:int|qui ?
%mor:	v|regarder-IMP&2s v:int|est–ce adv|que part|taire-PP&m
	pro:obj|le$v:poss|avoir&PRES&2s det:dem|cette&f&sg n|image&f
	pro|toi&sg ?
%mor:	co|non=no v|regarder-PRES&SUB&13s adv|bien
%mor:	co|oui=yes pro:dem|ce$v:exist|être&PRES&3s prep|pour pro:int|qui
	adv|alors ?
%mor:	adv|très adv|bien
%mor:	pro:sub|on v|prendre-PRES&3s det:art|une&f&sg pro|autre&sg
	v:mdl|aller&PRES&2s pro:y|y v|prendre-PRES&IMP&12s det:art|une&f&sg
	pro|autre&sg
%mor:	adv|mais co|non=no v|regarder-IMP&2s pro:dem|ce
	pro:rel|que$pro:sub|il pro:y|y v:aux|avoir&PRES&3s adv:place|dessus
	adv|déjà
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	co|mm
%mor:	co|ben co|non=no pro:sub|je v|croire&PRES&12s neg|pas
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il part|faire-PP&m
	adj|petit&m n|ours&m adj|brun&m adv:place|là ?
%mor:	adj|petit&m n|ours&m adj|brun&m pro:sub|il v|sauter-PRES&SUB&13s
%mor:	pro:sub|il v|sauter-IMP&2s pro:int|où ?
%mor:	pro:sub|il v|sauter-PRES&SUB&13s prep|sur det:art|la&f&sg
	n|mer&f=sea ?
%mor:	co|non=no pro:sub|je v|penser-PRES&SUB&13s prep|que
	pro:dem|ce$v:aux|être&PRES&3s det:art|une&f&sg n|flaque&f adv|de
	n|eau&f
%mor:	adv|parce adv|que v|regarder-IMP&2s pro:sub|il v:aux|avoir&PRES&3s
	det:poss|ses&pl n|botte&f-PL
%mor:	pro:sub|il v|sauter-PRES&SUB&13s prep|dans det:art|la&f&sg
	n|flaque&f adv|de n|eau&f
%mor:	co|hum pro:sub|je v|croire&PRES&12s pro:int|que
	pro:dem|ce$v:aux|être&PRES&3s prep|pour ?|arthur
%mor:	v|regarder-IMP&2s
%mor:	co|ah pro:sub|il v:aux|être&PRES&3s adv:place|là
%mor:	det:art|une&f&sg pro|autre&sg ?
%mor:	part|taire-PP&m v|prendre-PRES&IMP&12s det:art|une&f&sg
	pro|autre&sg ?
%mor:	co|oui=yes
%mor:	part|taire-PP&m v|prendre-PRES&IMP&12s det:art|une&f&sg
	pro|autre&sg ?
%mor:	co|ah adj|petit&m n|ours&m adj|brun&m pro:int|qui part|faire-PP&m
	pro:int|quoi ?
%mor:	adv|alors pro:sub|il v:mdl|aller&PRES&3s pro:int|où adj|petit&m
	n|ours&m adj|brun&m pro:int|qui part|faire-PP&m prep|de&le n|vélo&m
	?
%mor:	co|non=no v|regarder-PRES&SUB&13s adv|bien
%mor:	adv:place|voilà
%mor:	det:art|une&f&sg pro|autre&sg
%mor:	co|ho pro:dem|ce$v:aux|être&PRES&3s prep|pour ?|anaé
%mor:	adj|petit&m n|ours&m adj|brun&m pro:int|qui n|court&m prep|dans
	det:art|la&f&sg
%mor:	v|regarder-IMP&2s pro:dem|ce$v:aux|être&PRES&3s n|tout&m adj|blanc
	pro:rel|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s n|tout&m adj|blanc conj|et n|tout&m
	n|froid&m
%mor:	n|comment&m pro:dem|ça pro:refl|se$v|appeler-PRES&SUB&13s ?
%mor:	prep|de det:art|la&f&sg
%mor:	n|neige&f
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	v|regarder-IMP&2s n|bien&m adv|par adv:place|là–bas
%mor:	co|hum
%mor:	pro:dem|ce$v:aux|être&PRES&3s adj|petit&m n|ours&m adj|brun&m
	conj|et det:poss|son&m&sg n|copain&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|à n|maman&f pro:dem|ça
	part|taire-PP&m v|croire&PRES&12s ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s adv|tout part|casser-PP&m
	pro:dem|ce$v:exist|être&PRES&3s neg|pas n|grave&m
%mor:	pro:sub|on re#v|mettre-PRES&3s v|regarder-PRES&SUB&13s
%mor:	adv:place|voilà
%mor:	co|ah adj|petit&m n|ours&m adj|brun&m prep|avec
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il v:aux|avoir&PRES&3s
	v|regarder-PRES&SUB&13s prep|dans det:art|la&f&sg n|main&f
	adv:place|là ?
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|il part|faire-PP&m
	adj|petit&m n|ours&m adj|brun&m ?
%mor:	v:mdl|aller&PRES&2s pro:y|y n|mets&m det:art|le&m&sg
%mor:	adv|très adv|bien
%mor:	adv|encore det:art|un&m&sg
%mor:	pro:sub|je neg|ne v:mdl|savoir&PRES&12s neg|pas
	v|regarder-PRES&SUB&13s
%mor:	co|non=no
%mor:	v|regarder-PRES&SUB&13s prep|sur pro:dem|celui&m&sg adv|de ?|arthur
%mor:	co|hum co|hum
%mor:	adv|encore
%mor:	co|oh pro:rel|que$v:int|est–ce pro:rel|que$pro:sub|ils
	v:mdl|faire-PRES&3p ?
%mor:	part|taire-PP&m v|croire&PRES&12s ?
%mor:	adv:place|là v|regarder-PRES&SUB&13s
%mor:	pro:sub|ils v|jouer-PRES&3p prep|avec det:art|les&pl
	n|raquette&f-PL conj|et det:art|la&f&sg n|balle&f
%mor:	co|ouais=yes
%mor:	part|taire-PP&m part|taire-PP&m v:mdl|vouloir&PRES&12s
	v|prendre-INF pro:dem|celle–là ?
%mor:	co|attention part|taire-PP&m v:mdl|aller&PRES&2s adv|tout
	v:mdl|faire-INF v|tomber-INF
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:mdl|faire-PRES&12s ?
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m
	v:mdl|faire-PRES&12s ?
%mor:	co|non=no v|regarder-IMP&2s pro:sub|il v:mdl|aller&PRES&3s
	adv:place|là
%mor:	prep|dans det:art|la&f&sg n|bouée&f
%mor:	co|hum co|hum
%mor:	co|ouais=yes adv|très adv|bien
%mor:	part|taire-PP&m n|compte&m-PL adv|combien part|taire-PP&m pro:y|en
	v:aux|avoir&PRES&2s adv|combien part|taire-PP&m pro:y|en
	v:aux|avoir&PRES&2s prep|de n|carte&f-PL
%mor:	co|oui=yes v|compter-IMP&2s
%mor:	n|compte&m adv|combien part|taire-PP&m pro:y|en v:aux|avoir&PRES&2s
%mor:	co|oui=yes
%mor:	pro:sub|il pro:y|y pro:y|en v:aux|avoir&PRES&3s adv|combien ?
%mor:	n|deux&m n|deux&m conj|et num|quatre ?
%mor:	conj|et pro:dem|ça part|faire-PP&m adv|combien adv|alors ?
%mor:	adv:place|voilà
%mor:	adv|ensuite
%mor:	pro:sub|il pro:y|y pro:y|en v:aux|avoir&PRES&3s neg|pas
	n|parterre&m=flowerbed ?
%mor:	part|taire-PP&m v:aux|être&PRES&2s adj|sûr&f ?
%mor:	co|oh v|regarder-IMP&2s adj|petit&m n|ours&m adj|brun&m conj|et
	det:poss|son&m&sg n|papa&m pro:int|qui v:mdl|faire-PRES&3p prep|de
	det:art|la&f&sg n|luge&f
%mor:	co|ouais=yes v|regarder-PRES&SUB&13s adv|bien
%mor:	co|oh
%mor:	pro:sub|on n|joue&f prep|à pro|autre&sg n|chose=thing ?
%mor:	part|taire-PP&m pro:obj|nous v:mdl|faire-PRES&12s prep|à
	v|manger-INF ?
%mor:	co|allez v:mdl|aller&PRES&3s pro:obj|nous v:mdl|faire-INF prep|à
	v|manger-INF
%mor:	pro:int|que$v:int|est–ce adv|que part|taire-PP&m pro:obj|nous
	v:mdl|faire-PRES&12s prep|à v|manger-INF adv|aujourd'hui ?
%mor:	adv|encore
%mor:	det:poss|ton&m&sg n|livre ?
%mor:	co|ah co|oui=yes pro|moi&sg pro:sub|je pro:obj|le$v|aimer-IMP&2s
	n|bien&m pro:dem|celui–là pro:sub|on pro:obj|le
	v|regarder-PRES&SUB&13s ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|livre prep|de&les
%mor:	det:art|le&m&sg n|livre prep|de co|oh
%mor:	co|ouais=yes
%mor:	co|ouais=yes
%mor:	co|ouais=yes pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg
	n|maman&f n|chien&m conj|et det:art|le&m&sg
%mor:	adv|après pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s pro:dem|ça
%mor:	det:art|une&f&sg
%mor:	n|tortue&f
%mor:	co|nan pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg ?|cochondinde
%mor:	co|ben co|non=no pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg
	?|cochondinde
%mor:	co|oui=yes co|oui=yes pro:dem|ce$v:exist|être&PRES&3s
	det:art|un&m&sg n|chat&m pro:dem|ce$v:exist|être&PRES&3s
	det:art|un&m&sg n|chat&m
%mor:	conj|et adv|çà pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg
	n|hamster&m prep|comme ?|léa
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s ?|léa pro:sub|elle pro:y|en
	v:aux|avoir&PRES&3s det:art|un&m&sg prep|dans det:poss|sa&f&sg
	n|maison&f
%mor:	co|hum
%mor:	?|anaé pro:sub|elle v:aux|avoir&PRES&3s det:art|un&m&sg n|hamster&m
	prep|dans det:poss|sa&f&sg n|maison&f ?
%mor:	co|non=no co|non=no
%mor:	pro:int|que$v:int|est–ce pro:rel|que$pro:sub|elle
	v:aux|avoir&PRES&3s v:poss|avoir&PP&m&sg ?|agathe prep|à
	det:poss|son&m&sg n|anniversaire&m prep|dans det:art|la&f&sg
	n|cage&f pro:sub|tu pro:obj|te v|rappeler-PRES&SUB&2s ?
%mor:	?|agathe pro:sub|elle v:aux|avoir&PRES&3s v:aux|avoir&PP&m&sg
	det:art|un&m&sg adj|petit&m n|lapin&m
%mor:	v:int|est–ce adv|que part|taire-PP&m pro:obj|te v|souvenir-PRES&12s
	n|comment&m pro:sub|il pro:refl|se$v|appeler-PRES&SUB&13s
	n|son&m=sound adj|petit&m n|lapin&m ?
%mor:	det:art|le&m&sg n|lapin&m prep|de adv|de ?|agathe pro:sub|il
	pro:refl|se$v|appeler-PRES&SUB&13s n|comment&m ?
%mor:	?|pépito
%mor:	?|pépito
%mor:	co|non=no
%mor:	?|pépito
%mor:	co|oui=yes
%mor:	conj|et det:poss|ton&m&sg n|poney&m pro:sub|il
	pro:refl|se$v|appeler-IMPF&3s n|comment&m ?
%mor:	part|taire-PP&m v|raconter-PRES&SUB&2s prep|à ?|aliyah prep|que
	part|taire-PP&m v:aux|avoir&PRES&2s part|faire-PP&m prep|de&le
	n|poney&m prep|pendant det:art|les&pl n|vacance&f-PL ?
%mor:	adv|comment part|taire-PP&m v:aux|avoir&PRES&2s part|faire-PP&m ?
%mor:	conj|et pro:sub|il pro:refl|se$v|appeler-IMPF&3s adv|comment
	det:art|le&m&sg n|poney&m ?
%mor:	?|anaé ?
%mor:	co|non=no det:art|le&m&sg n|poney&m pro:sub|il
	pro:refl|se$v|appeler-IMPF&3s neg|pas ?|anaé
%mor:	adv|comment pro:sub|il pro:refl|se$v|appeler-IMPF&3s ?
%mor:	n|cacao&m
%mor:	n|cacao&m
%mor:	co|non=no
%mor:	n|cacao&m
%mor:	conj|et adv|hier pro:sub|on v:aux|avoir&PRES&3s prep|vu n|plein&m
	prep|de n|cheval&m&pl adv|aussi prep|à det:art|la&f&sg n|mer&f=sea
	prep|de n|sable&m
%mor:	pro:dem|ce$v:aux|être&IMPF&3s n|bien&m co|hein ?
%mor:	co|hum
%mor:	co|ben part|taire-PP&m v:mdl|vouloir&PRES&12s neg|pas v|lire-INF
	det:art|les&pl n|animal&m&pl ?
%mor:	pro:dem|celui–là ?
%mor:	n|+n|cache+n|cache&m prep|dans det:art|la&f&sg n|jungle&f
%mor:	n|+n|cache+n|cache&m prep|dans det:art|la&f&sg n|jungle&f
%mor:	co|oh
%mor:	pro:sub|il v:aux|être&PRES&3s part|tomber-PP&m det:art|le&m&sg
	n|livre
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|qui pro:ind|lui ?
%mor:	n|comment&m ?
%mor:	n|hippopotame&m
%mor:	n|hippopotame&m
%mor:	co|ouais=yes part|taire-PP&m v|dire-PRES&PASS&12s n|hippopotame&m ?
%mor:	co|hum
%mor:	pro:sub|il v:aux|avoir&PRES&3s det:art|une&f&sg adj|grand&f
	n|bouche&f co|hein
%mor:	pro:dem|ce$v:aux|être&PRES&3s part|cacher-PP&m prep|dans
	det:art|le$n|herbe&f ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|qui ?
%mor:	part|taire-PP&m det:art|le&m&sg v|connaître-PRES&IMP&12s
	pro:ind|lui
%mor:	pro:sub|on pro:y|en v:aux|avoir&PRES&3s prep|vu n|plein&m n|hier&m
%mor:	pro:int|que$v:int|est–ce adv|que pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	part|taire-PP&m part|luire&PP&m v:mdl|faire-PRES&12s
	det:art|un&m&sg n|bisou&m ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg
%mor:	conj|et pro:sub|on pro:y|en v:aux|avoir&PRES&3s prep|vu n|plein&m
	n|hier&m adv|quand pro:sub|on v:aux|être&IMPF&3s prep|dans
	det:art|le&m&sg n|bateau&m
%mor:	pro:y|y v:aux|avoir&IMPF&3s prep|de&les n|singe&m-PL adv|partout
	adv|partout
%mor:	prep|avec det:art|la&f&sg n|musique&f
%mor:	pro:dem|ce$v:aux|être&IMPF&3s adv|bien ?
%mor:	pro:dem|ce$v:aux|être&IMPF&3s prep|de&les n|marionnette&f-PL ?
%mor:	co|hum
%mor:	pro:sub|ils v|danser-IMPF&3p det:art|les&pl n|singe&m-PL ?
%mor:	co|hum ?
%mor:	n|câlin&m=coaxing prep|à det:art|le$n|éléphant&m
%mor:	co|hum
%mor:	pro:sub|il v:aux|être&PRES&3s part|partir-PP&m adv|peut–être
%mor:	co|oh
%mor:	conj|et adv:place|là pro:rel|que$v:int|est–ce adv|que
	pro:dem|ce$v:aux|être&PRES&3s ?
%mor:	det:art|une&f&sg n|grenouille&f
%mor:	co|oh co|oh pro:int|qui v:int|est–ce pro:int|qui
	v:aux|avoir&PRES&3s det:art|un&m&sg adj|grand&m n|cou&m ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|qui ?
