%mor:	n|laisse&f det:art|le&m&sg adv:place|là
%mor:	v|dire-PRES&PASS&12s pro|moi&sg
%mor:	n|hippocampe&m
%mor:	co|mh
%mor:	conj|et adv|comment pro:sub|il pro:refl|se$v|appeler-PRES&SUB&13s
	det:art|le&m&sg n|poisson&m adv|de ?|arielle ?
%mor:	n|polochon&m
%mor:	adv:place|là
%mor:	adv|alors pro:dem|ce$v:aux|être&PRES&3s pro:int|quoi ?
%mor:	co|non=no
%mor:	det:art|une&f&sg n|pieuvre&f
%mor:	co|ouais=yes
%mor:	conj|et pro:dem|ça ?
%mor:	det:art|une&f&sg n|baleine&f
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s n|raison&f
%mor:	conj|et pro:dem|ça ?
%mor:	det:art|un&m&sg n|oiseau&m co|oui=yes
%mor:	det:art|une&f&sg n|mouette&f
%mor:	conj|et pro:dem|ça ?
%mor:	det:art|un&m&sg n|crabe&m
%mor:	co|euh n|écrevisse&f
%mor:	det:art|une&f&sg n|écrevisse&f
%mor:	co|oui=yes adv:place|là
%mor:	n|écrevisse&f
%mor:	adv:place|là n|oui&m
%mor:	prep|avec det:art|les&pl n|patte&f-PL
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s prep|de&les adj|petit&m-PL
	n|hippocampe&m-PL
%mor:	co|mhm
%mor:	conj|et pro:dem|ça ?
%mor:	conj|et pro:dem|ce$v:exist|être&PRES&3s pro:rel|quoi pro:dem|ça ?
%mor:	det:art|une&f&sg n|étoile&f
%mor:	conj|et co|oui=yes
%mor:	conj|et pro:int|où pro:dem|ce$v:exist|être&PRES&3s
	pro:rel|que$pro:sub|il pro:y|y pro:y|en v:aux|avoir&PRES&3s
	det:art|une&f&sg pro|autre&sg prep|de$n|étoile&f ?
%mor:	co|bravo ?|ana
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s prep|de&le n|corail&m&sg
%mor:	co|mhm
%mor:	co|mh
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s prep|vu
	pro:dem|ce$v:aux|être&PRES&3s prep|comme ?|dor
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|les&pl adj|même&m-PL=same
	prep|que ?|dor
%mor:	co|ouais=yes
%mor:	adv:place|là pro:y|y v:aux|avoir&PRES&3s det:art|un&m&sg n|bébé&m
	co|oui=yes
%mor:	adv|comme prep|dans ?|némo co|oui=yes
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg n|maman&f prep|de
	?|némo ?
%mor:	co|oh co|bah part|taire-PP&m v|croire&PRES&12s ?
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s prep|de&les n|saumon&m-PL
%mor:	co|mhm
%mor:	pro:dem|ce$v:aux|être&PRES&3s adj|bon&m pro:dem|ça
%mor:	det:art|les&pl n|poisson&m-PL
%mor:	conj|et pro:dem|ça
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi pro:dem|ça ?
%mor:	prep|de&les n|fleur&f-PL
%mor:	co|ah co|bon
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg n|maman&f
	pro:dem|ça ?
%mor:	conj|et pro:dem|ça ?
%mor:	det:art|la&f&sg n|maman&f adv|aussi
%mor:	adv|d'accord
%mor:	co|ah pro:y|y v:aux|avoir&PRES&3s det:art|un&m&sg n|papa&m
	adv|aussi ?
%mor:	co|mhm
%mor:	co|ah co|oui=yes pro:dem|ce$v:exist|être&PRES&3s ?|arielle
%mor:	co|oh pro:sub|elle v:aux|être&PRES&3s pro:sub|elle
	v:exist|être&PRES&3s n|sotte&f ?|arielle
%mor:	pro:sub|elle v:aux|être&PRES&3s n|allée&f pro:refl|se
	v|promener-INF
%mor:	pro:sub|je v:mdl|savoir&PRES&12s neg|pas
%mor:	pro:int|que$v:aux|être&PRES&3s pro:dem|ce pro:rel|que$pro:sub|elle
	v|chercher-IMP&2s ?|arielle ?
%mor:	co|ah
%mor:	co|non=no pro:dem|ce$v:aux|être&PRES&3s prep|de&les n|dauphin&m-PL
%mor:	co|mh
%mor:	det:art|un&m&sg n|crabe&m
%mor:	det:art|le&m&sg n|poisson&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|le&m&sg n|roi&m ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s n|triton&m
%mor:	adv:place|là n|papa&m
%mor:	pro:sub|elle v:aux|être&PRES&3s adv:place|là ?|arielle ?
%mor:	pro:sub|elle pro:refl|se$v|amuser-PRES&SUB&13s ?
%mor:	co|oui=yes
%mor:	prep|avec ?|sébastien conj|et n|polochon&m ?
%mor:	pro:sub|il v:aux|être&PRES&3s adv:place|là ?|sébastien
%mor:	co|mh pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s pro:int|quoi ?
%mor:	det:art|une&f&sg n|écrevisse&f
%mor:	det:art|un&m&sg n|poisson&m
%mor:	conj|et pro:dem|ça adv:place|là
%mor:	part|taire-PP&m pro:obj|te v|souvenir-IMP&2s ?
%mor:	n|comment&m pro:dem|ça pro:refl|se$v|appeler-PRES&SUB&13s ?
%mor:	part|taire-PP&m v:mdl|savoir&PRES&12s neg|pas ?
%mor:	conj|et pro:dem|ça
%mor:	det:art|un&m&sg n|escargot&m
%mor:	det:art|le&m&sg n|papa&m conj|et det:art|la&f&sg n|maman&f
	n|escargot&m
%mor:	co|ouais=yes
%mor:	v|regarder-IMP&2s det:art|les&pl
%mor:	pro:y|y pro:y|en v:aux|avoir&PRES&3s adv|combien ?
%mor:	num|deux ?
%mor:	num|deux
%mor:	co|non=no ?
%mor:	co|mm
%mor:	adv|d'accord
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|voir&PP&m det:art|les&pl
	n|poisson&m-PL adv:place|là ?
%mor:	pro:sub|ils v:mdl|faire-PRES&3p det:art|le&m&sg n|train&m
%mor:	co|oui=yes co|bah pro:sub|on det:art|le&m&sg v:mdl|faire-FUT&3s
	n|tout&m prep|à det:art|le$n|heure&f det:art|le&m&sg n|train&m
%mor:	adv:place|là v|regarder-PRES&SUB&13s
%mor:	co|mh
%mor:	co|mh
%mor:	conj|et co|oui=yes
%mor:	conj|et pro|toute&f&sg det:art|la&f&sg n|famille&f
%mor:	pro:sub|il v:aux|être&PRES&3s adv:place|là
%mor:	v|attendre-IMP&2s
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|tourner-PP&m adv|trop
	adv|vite
%mor:	co|hop
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|rater-PP&m
	det:art|une&f&sg n|page
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg adj|méchant&m=evil ?
%mor:	pro:sub|il v:aux|avoir&PRES&3s prep|de&les n|pince&f-PL
%mor:	conj|et pro:dem|ça ?
%mor:	conj|et pro:dem|ça ?
%mor:	co|non=no
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s pro:int|où ?
%mor:	co|éh v|enlever-PRES&SUB&13s prep|à&le n|moins&m det:art|les&pl
	n|chaussure&f-PL
%mor:	co|oui=yes pro:sub|il v:aux|être&PRES&3s adj|grand&m adv|comme
	pro:dem|ça
%mor:	adv:int|pourquoi part|taire-PP&m v:aux|avoir&PRES&2s adv|encore
	det:poss|tes&pl n|chaussure&f-PL pro|toi&sg adv|d'abord ?
%mor:	neg|pas adv|beaucoup
%mor:	adv|alors
%mor:	?|qu'estce prep|que part|taire-PP&m v:aux|avoir&PRES&2s
	part|trouver-PP&m prep|de$pro|autre&sg ?
%mor:	det:art|une&f&sg n|étoile&f
%mor:	n|étoile&f prep|de n|mer&f=sea
%mor:	conj|et adv|alors part|taire-PP&m pro:obj|te v|souvenir-IMP&2s
%mor:	n|comment&m ?
%mor:	n|méduse&f
%mor:	co|ouais=yes co|ouais=yes
%mor:	part|tomber-PP&f
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s neg|pas part|tomber-PP&m
	pro|toi&sg ?
%mor:	co|non=no
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|les&pl n|chaussure&f-PL
	adv:place|là
%mor:	part|taire-PP&m n|peu&m-PL pro:obj|te v:mdllex|faire-INF adv|mal
%mor:	v|attendre-IMP&2s
%mor:	pro:sub|on v:mdl|aller&PRES&3s pro:obj|les v|pousser-INF
%mor:	co|oh v|donner-IMP&2s
%mor:	pro:sub|on n|lit&m adv:place|là
%mor:	co|allez v|tourner-IMP&2s
%mor:	pro:sub|on v|tourner-PRES&SUB&13s
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:int|quoi adv:place|là ?
%mor:	det:art|un&m&sg n|hippocampe&m
%mor:	co|oui=yes pro:dem|ce$v:exist|être&PRES&3s adv|bien
%mor:	v|attendre-IMP&2s
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|tomber-PP&m
	det:poss|ton&m&sg
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|faire-PP&m v|tomber-INF
	det:poss|ton&m&sg n|micro&m
%mor:	co|ouais=yes
%mor:	co|bah co|oui=yes pro:y|en part|faire-PPRE pro:dem|ça
%mor:	conj|et adv|puis adv:place|après pro:dem|ce$v:aux|être&PRES&3s
	pro|toi&sg pro:rel|qui v:mdl|aller&PRES&3s v|tomber-INF
%mor:	co|mh
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s v|voir&INF
%mor:	co|mh
%mor:	co|non=no part|taire-PP&m v:aux|être&PRES&2s neg|pas
	part|tomber-PP&f ?
%mor:	prep|de&les n|saumon&m-PL
%mor:	v|regarder-IMP&2s
%mor:	adv|combien pro:y|y v:aux|avoir&PRES&3s ?
%mor:	det:art|la&f&sg n|maman&f
%mor:	det:art|un&m&sg n|deux&m conj|et num|trois
%mor:	pro:sub|il v|sauter-PRES&SUB&13s ?
%mor:	co|oui=yes conj|et pro:sub|il v|sauter-PRES&SUB&13s
%mor:	co|oui=yes pro:dem|ce$v:exist|être&PRES&3s det:art|un&m&sg n|papa&m
	pro:sub|je$v:aux|avoir&PRES&1s part|comprendre-PP&m
%mor:	conj|et pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s pro:int|quoi ?
%mor:	co|bah pro:dem|ce$v:aux|être&PRES&3s prep|que prep|de&les
	n|papa&m-PL adv|alors
%mor:	adv|d'accord
%mor:	co|ah co|oui=yes
%mor:	pro:sub|ils v|arriver-PRES&3p
%mor:	co|oh pro:sub|il v:aux|avoir&PRES&3s det:art|une&f&sg adj|drôle
	prep|de n|tête&f pro:ind|lui
%mor:	?|celuilà adv|aussi n|oui&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|violet&m ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s prep|à pro|moi&sg det:art|le&m&sg
	n|violet&m ?
%mor:	co|merci ?|ana
%mor:	v|tenir-IMP&2s
%mor:	v|regarder-PRES&SUB&13s det:art|un&m&sg n|peu&m
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg adj|méchant&m=evil ?
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s prep|vu pro:sub|elle
	v:aux|avoir&PRES&3s n|plein&m prep|de n|bras&m
%mor:	prep|plein n|plein&m
%mor:	adv|alors v|attendre-IMP&2s
%mor:	pro:sub|on v|tourner-PRES&SUB&13s
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg adj|méchant&m=evil
%mor:	co|oh
%mor:	pro:int|que$v:aux|être&PRES&3s ?
%mor:	co|ohlàlà pro:dem|ce$v:exist|être&PRES&3s pro:rel|quoi pro:dem|ça
%mor:	det:dem|ces&m&pl adj|grand&f-PL n|dent&f-PL adv:place|là
%mor:	co|oui=yes co|bah pro:sub|on v:aux|avoir&PRES&3s
%mor:	pro:dem|ce$v:aux|être&PRES&3s pro:rel|quoi pro:dem|ce
	adj|méchant&m=evil
%mor:	det:art|un&m&sg n|requin&m
%mor:	?|arielle ?
%mor:	pro:int|que$v:aux|être&PRES&3s pro:dem|ce pro:rel|que$pro:sub|elle
	v:aux|avoir&PRES&3s prep|dans det:poss|ses&pl n|main&f-PL ?|arielle
	?
%mor:	det:art|une&f&sg n|fourchette&f
%mor:	co|ah co|oui=yes
%mor:	pro:dem|ce$v:aux|être&PRES&3s adv|parce adv|que
%mor:	co|oui=yes
%mor:	?|eureka pro:sub|il part|dire-PP&m prep|que
	pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|peigne&m
%mor:	co|hein
%mor:	co|oui=yes adv|comme pro:dem|ça
%mor:	co|oui=yes pro:dem|ce$v:exist|être&PRES&3s adv|tout
	part|casser-PP&m adv:place|là
%mor:	co|mh
%mor:	det:art|un&m&sg n|requin&m
%mor:	conj|et pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s pro:int|quoi ?
%mor:	co|mh co|mh
%mor:	co|ohlàlà
%mor:	pro:sub|il v:mdl|vouloir&PRES&3s det:art|les&pl n|manger&m=food
	co|hein
%mor:	prep|sur det:art|la&f&sg n|tête&f adv|de ?|arielle
%mor:	co|ouais=yes
%mor:	co|oui=yes co|bah pro:sub|je$v:aux|avoir&PRES&1s part|voir&PP&m
%mor:	co|bah pro:sub|il v:aux|être&PRES&3s part|coincer-PP&m
%mor:	conj|et pro:sub|ils v:aux|être&PRES&3p part|sauver-PP&m&pl
%mor:	co|mh
%mor:	co|oh adv|encore prep|de&les n|requin&m-PL
%mor:	n|plein&m prep|de n|requin&m-PL
%mor:	v|regarder-IMP&2s
%mor:	co|non=no adv|mais pro:sub|elle v:aux|être&PRES&3s part|cacher-PP&f
	?|arielle
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s n|requin&m n|marteau&m
	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|un&m&sg n|requin&m
	n|taureau&m
%mor:	co|mh
%mor:	?|némo adv|aussi pro:y|y v:aux|avoir&PRES&3s prep|de&les
	n|requin&m-PL prep|dans ?|némo
%mor:	co|ouais=yes
%mor:	conj|et pro:dem|ce$v:exist|être&PRES&3s v:aux|être&PRES&2s
	adj|gentil&m-PL det:dem|ces&m&pl n|requin&m-PL
%mor:	conj|et pro:dem|ce$v:exist|être&PRES&3s pro:rel|quoi pro:int|qui
	v:aux|être&PRES&3s adj|joli&m ?
%mor:	det:art|une&f&sg n|baleine&f ?
%mor:	pro:sub|elle v:aux|être&PRES&3s adj|joli&f det:art|la&f&sg
	n|baleine&f ?
%mor:	v|regarder-IMP&2s
%mor:	n|baleineau&f=whale_calf
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:poss|son&m&sg n|bébé&m
%mor:	co|non=no
%mor:	pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s det:art|les&pl
	n|dauphin&m-PL
%mor:	pro:int|qui
%mor:	det:art|les&pl n|dauphin&m-PL ?
%mor:	co|non=no
%mor:	pro:sub|ils v|manger-PRES&3p neg|pas det:art|les&pl n|bébé&m-PL
%mor:	adv|mais co|non=no
%mor:	adv|mais co|non=no v|regarder-PRES&SUB&13s
%mor:	pro:sub|elle n|joue&f prep|avec
%mor:	part|taire-PP&m v|voir&IMP&PRES&12s
%mor:	pro:sub|elle pro:obj|le v|protéger-PRES&SUB&13s
%mor:	co|ah
%mor:	adv|mais pro:sub|elle re#v|cracher-PRES&SUB&13s prep|de
	det:art|le$n|eau&f
%mor:	prep|de det:art|la&f&sg n|vapeur
%mor:	co|mh
%mor:	co|bah pro:sub|ils pro:refl|se v|sauver-PRES&3p
%mor:	conj|et pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s ?|bellougua
%mor:	co|mh
%mor:	co|oui=yes det:art|une&f&sg n|baleine&f
%mor:	pro:sub|elle v:aux|être&PRES&3s prep|de det:gen|quelle&f&sg
	n|couleur&f ?|cellelà ?
%mor:	co|ouais=yes
%mor:	n|blanche&f
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:art|la&f&sg n|baleine&f
	adj|blanche&f
%mor:	co|mhm
%mor:	det:art|les&pl n|violet&m-PL ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s ?|celuilà prep|que pro:sub|tu
	v|trouver-PRES&SUB&2s adj|joli&m ?
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:poss|tes&pl n|trois&m ?
%mor:	adv|d'accord
%mor:	det:art|le&m&sg adj|bleu&m adv|aussi pro:sub|il v:aux|être&PRES&3s
	prep|pour pro|moi&sg ?
%mor:	co|bah part|taire-PP&m pro:y|y v:aux|avoir&PRES&2s qn|plus
	pro:rel|que$prep|à v|ramasser-INF
%mor:	v|donner-IMP&2s
%mor:	part|taire-PP&m v|ramasser-PRES&SUB&2s
%mor:	co|merci
%mor:	v|attendre-IMP&2s
%mor:	pro:sub|on v:mdl|aller&PRES&3s pro:obj|les v|mettre-INF
	adv:place|dedans
%mor:	co|oui=yes
%mor:	prep|à n|côté&m prep|de pro|moi&sg ?
%mor:	pro:sub|on n|lit&m det:art|le$pro|autre&sg ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v|lire-INF
	det:art|le$pro|autre&sg ?
%mor:	co|oui=yes pro:dem|ce$v:exist|être&IMPF&3s co|ta chi|mami
	pro:dem|ça
%mor:	co|oui=yes det:poss|ma&sg n|chéri&f
%mor:	conj|et pro:dem|ça pro:dem|ce$v:aux|être&PRES&3s n|tonton&m=uncle
%mor:	det:poss|ma&sg chi|tatan n|tonton&m=uncle co|oui=yes
%mor:	pro:sub|je v|croire&IMPF&12s adv|que pro:sub|vous
	v:aux|avoir&IMPF&2p part|ranger-PP&m det:art|les&pl n|photo&f-PL
%mor:	pro:dem|ce$v:aux|être&PRES&3s det:poss|ma&sg n|mémé&f=grandma
%mor:	det:art|un&m&sg n|tableau&m
%mor:	co|mh
%mor:	prep|pour v|colorier-INF ?
%mor:	det:art|le&m&sg n|rose ?
%mor:	pro:sub|il v:aux|être&PRES&3s adj|joli&m pro:dem|ce n|rose ?
%mor:	pro:sub|il v:aux|être&PRES&3s adv:place|là det:art|le&m&sg
	n|violet&m ?
%mor:	adv|d'accord
%mor:	co|merci
%mor:	v:mdl|falloir&PRES&3s neg|pas pro:obj|les v|ranger-INF ?
%mor:	adv|d'accord
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s part|ramasser-PP&m
	pro|tous&m&pl det:art|les&pl n|crayon&m-PL n|parterre&m=flowerbed ?
%mor:	co|ah co|bon
%mor:	co|ah co|oui=yes
%mor:	pro:sub|il v:mdl|devoir&PRES&3s prep|en v|rester-INF pro|un&m&sg
%mor:	co|ah pro:sub|il v:aux|être&PRES&3s prep|pour pro|moi&sg adv|aussi
	?|celuilà ?
%mor:	adv|d'accord
%mor:	?|qu'estce prep|que part|taire-PP&m v:mdl|vouloir&IMP&2s
	v:mdllex|faire-INF ?
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s v:mdl|faire-INF
	det:art|un&m&sg n|dessin&m ?
%mor:	det:art|un&m&sg n|dessin&m
%mor:	prep|pour det:poss|ta&f&sg n|marraine&f ?
%mor:	co|ah
%mor:	pro:sub|il v:mdl|falloir&PRES&3s pro:rel|que
	pro:sub|je$v|aider-PRES&SUB&13s ?|chl ?
%mor:	pro:sub|elle pro:y|y v|arriver-IMP&2s neg|pas ?
%mor:	det:poss|mon&m&sg n|oeil&m
%mor:	part|taire-PP&m det:art|le&m&sg n|mets&m adv:place|là ?
%mor:	adv|d'accord
%mor:	co|bah pro:y|y v:aux|avoir&PRES&3s prep|que prep|de&les n|bord&m-PL
%mor:	v|attendre-IMP&2s
%mor:	?|1
%mor:	det:art|un&m&sg n|coin&m
%mor:	det:art|le&m&sg n|coin&m
%mor:	part|taire-PP&m v:mdl|vouloir&PRES&12s det:art|les&pl
	n|feuille&f-PL det:poss|ma&sg n|chéri&f ?
%mor:	co|mh v|attendre-IMP&2s
%mor:	prep|sur det:art|le&m&sg n|piano&m
%mor:	co|ah co|oui=yes adv|mais part|taire-PP&m v:mdl|aller&PRES&2s
	neg|pas pro:y|y v|arriver-INF
%mor:	co|non=no co|non=no
%mor:	part|taire-PP&m n|joue&f-PL neg|pas prep|de n|piano&m
%mor:	v|tenir-IMP&2s
%mor:	co|hop
%mor:	det:art|les&pl
%mor:	co|bah pro:int|quoi det:poss|mon&m&sg n|ange&m ?
%mor:	det:art|les&pl pro:int|quoi ?
%mor:	conj|ou adv|alors pro:y|y v:aux|avoir&PRES&3s prep|de&les
	prep|de&le n|papier&m adv|comme pro:dem|ça adv|si part|taire-PP&m
	v:mdl|vouloir&PRES&12s
%mor:	prep|pour det:poss|ta&f&sg n|marraine&f ?
%mor:	adv|d'accord
%mor:	part|taire-PP&m v|venir-IMP&2s ?
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s pro:obj|le v|donner-INF prep|à
	det:poss|ta&f&sg n|marraine&f ?
%mor:	?|qu'estce prep|que part|taire-PP&m v:mdllex|faire-IMP&2s ?
%mor:	co|mh
%mor:	pro:sub|il v:aux|être&PRES&3s pro:int|où det:art|le&m&sg n|jeu&m
	prep|de&les n|tampon&m-PL ?
%mor:	co|ah co|oui=yes pro:dem|ce$v:exist|être&PRES&3s det:art|un&m&sg
	n|dessin&m pro:dem|ça
%mor:	pro:sub|je v|croire&IMPF&12s conj|que
	pro:dem|ce$v:exist|être&IMPF&3s prep|pour n|car&m
%mor:	pro:sub|je v:mdl|aller&PRES&1s v|chercher-INF det:art|les&pl
	n|tampon&m-PL
%mor:	v|attendre-IMP&2s
%mor:	v|venir-IMP&2s
%mor:	pro:sub|il prep|en n|manque&m pro|un&m&sg ?
%mor:	pro:obj|vous pro:obj|le$v:poss|avoir&PRES&2p part|jeter-PP&m
	pro:dem|ce n|matin&m
%mor:	co|oui=yes n|deux&m adj|second&f-PL^adj|seconde&m-PL ?|ana
%mor:	v|tenir-IMP&2s
%mor:	co|attention
%mor:	part|taire-PP&m v:mdl|aller&PRES&2s
%mor:	neg|ne pro:obj|le v|renverser-PRES&SUB&13s neg|pas
%mor:	adv|trop n|tard&m
%mor:	det:art|un&m&sg n|lapin&m ?
%mor:	v|venir-IMP&2s adv:place|là ?|ninette
%mor:	v|venir-IMP&2s adv:place|là ?|ana
%mor:	v|venir-IMP&2s det:art|les&pl v|mettre-INF adv:place|là
%mor:	co|ah pro:y|y v:aux|avoir&PRES&3s det:art|un&m&sg n|lapin&m ?|làbas
	?
%mor:	v|venir-IMP&2s
%mor:	v|venir-IMP&2s
%mor:	v|amener-IMP&2s det:art|le&m&sg n|jeu&m
%mor:	pro:sub|on v:mdl|aller&PRES&3s v:mdl|faire-INF prep|sur
	det:art|la&f&sg n|table&f ?|ana
%mor:	co|bah v|venir-PRES&12s v|donner-INF prep|à ?|chl
%mor:	adv|mais co|oui=yes pro|toi&sg adv|aussi part|taire-PP&m
	v|venir-IMP&2s
%mor:	part|taire-PP&m n|joue&f-PL prep|avec pro|moi&sg pro|toi&sg
%mor:	part|taire-PP&m v:aux|avoir&PRES&2s neg|pas det:art|une&f&sg
	n|chaise&f ?
%mor:	co|oh
%mor:	co|oh
