NAME,ROME,UTTERANCE,COMMENT,DIRECTED,,
NIC,Nicola  Sister,xxx .,,?,,
Location: Dining area,,,,,,
Activities: Meal lunch,,,,,,
NIC,Nicola  Sister,is this one for Benjamin ?,,MOT,,
MOT,Mother,mhm .,,NIC,,
CHI,Benjamin Target_Child,xxx .,,NA,,
NIC,Nicola  Sister,xxx (3.) .,,NA,,
NIC,Nicola  Sister,I've nearly finished mine (9.) .,%com: scraping of plates,?,,
FAT,Father,stand up Benjamin (4.) .,,CHI,,
FAT,Father,have this piece of toast (2.) .,,CHI,,
CHI,Benjamin Target_Child,thank_you (5.) .,,FAT,,
CHI,Benjamin Target_Child,xxx .,,NA,,
CHI,Benjamin Target_Child,I'm not hungry enough (6.) .,,FAT,,
CHI,Benjamin Target_Child,I don't have toast (3.) .,,FAT,,
MOT,Mother,here you are young lady .,,NIC,,
NIC,Nicola  Sister,xxx .,,NA,,
MOT,Mother,here's some .,,CHI,,
CHI,Benjamin Target_Child,that's [/] that's like yours [= piece of toast] .,,MOT,,
MOT,Mother,xxx .,,NA,,
CHI,Benjamin Target_Child,yes .,,MOT,,
CHI,Benjamin Target_Child,I like them .,,MOT,,
MOT,Mother,oh .,,CHI,,
MOT,Mother,you're being good (2.) .,,CHI,,
MOT,Mother,xxx .,,NA,,
MOT,Mother,hurry up Benjamin Gregory .,,CHI,,
CHI,Benjamin Target_Child,you wanted those shoes .,,MOT,,
MOT,Mother,mhm (14.) ?,,CHI,,
MOT,Mother,xxx (2.) .,,FAT,,
FAT,Father,yes xxx .,,MOT,,
MOT,Mother,mhm (3.) ?,,?,,
Location: Living room,,,,,,
Activities: Free play alone,,,,,,
Situation: B has water in a teapot. he is drinking from a tea cup. Nicole is speaking to Mother in the kitchen,,,,,,
CHI,Benjamin Target_Child,careful (7.) .,,SELF,CHECK,
MOT,Mother,put the pram away in the hall (8.) .,,NIC,,
CHI,Benjamin Target_Child,juice (11.) .,,SELF,CHECK,
CHI,Benjamin Target_Child,car .,,SELF,CHECK,
CHI,Benjamin Target_Child,car (7.) .,,SELF,CHECK,
Location: Garden,,,,,,
Activities: Free play with another child/Talk as the main activity,,,,,,
CHI,Benjamin Target_Child,nice (2.) .,,SELF,CHECK,
CHI,Benjamin Target_Child,it [//] its (1.) dirty (4.) .,,SELF,CHECK,
NIC,Nicola  Sister,lets [/] lets go out in the mud .,,CHI,,
NIC,Nicola  Sister,lets go out in the mud .,,CHI,,
CHI,Benjamin Target_Child,its (1.) not dried (2.) .,,NIC,,
CHI,Benjamin Target_Child,not dried (2.) .,,SELF,CHECK,
CHI,Benjamin Target_Child,not dried (4.) .,,SELF,CHECK,
CHI,Benjamin Target_Child,not dried (5.) .,,SELF,CHECK,
MOT,Mother,0 .,,NA,,
CHI,Benjamin Target_Child,0 .,,NA,,
NIC,Nicola  Sister,its [/] its still very dry Mummy .,,MOT,,
MOT,Mother,I told you xxx (3.) .,,NIC,,
NIC,Nicola  Sister,that ones dry xxx (3.) .,,MOT,,
CHI,Benjamin Target_Child,it is dried (2.) .,,SELF,CHECK,
CHI,Benjamin Target_Child,it is dried (8.) .,,SELF,CHECK,
CHI,Benjamin Target_Child,digger (13.) .,,SELF,CHECK,
CHI,Benjamin Target_Child,that does work .,,SELF,CHECK,
CHI,Benjamin Target_Child,train (15.) .,,SELF,CHECK,
Location: Living room,,,,,,
Activities: Free play alone,,,,,,
CHI,Benjamin Target_Child,xxx .,,NA,,
NIC,Nicola  Sister,xxx .,,NA,,
NIC,Nicola  Sister,I found another balloon didn't I (4.) ?,,SELF,CHECK,
NIC,Nicola  Sister,found another balloon (3.) .,,SELF,CHECK,
NIC,Nicola  Sister,that's Slinky [= toy] isn't it (8.) ?,,SELF,CHECK,
NIC,Nicola  Sister,xxx (4.) .,,SELF,CHECK,
NIC,Nicola  Sister,that socks your xxx isn't it (2.) ?,,SELF,CHECK,
NIC,Nicola  Sister,you've another one to wear haven't you ?,,SELF,CHECK,
NIC,Nicola  Sister,and some tights .,,SELF,CHECK,
NIC,Nicola  Sister,xxx (3.) .,,SELF,CHECK,
CHI,Benjamin Target_Child,my ball .,,SELF,CHECK,
NIC,Nicola  Sister,what (1.) is (1.) this (1.) sock doing in here (3.) ?,,SELF,CHECK,
NIC,Nicola  Sister,xxx sock (3.) .,,SELF,CHECK,
CHI,Benjamin Target_Child,silly sock .,,NIC,,
NIC,Nicola  Sister,I found a sock in the toy cupboard (13.) .,,SELF,CHECK,
NIC,Nicola  Sister,I just want to sort my toys out (3.) .,,SELF,CHECK,
NIC,Nicola  Sister,my toysiepoysies@c (2.) .,,SELF,CHECK,
NIC,Nicola  Sister,toysiepoysies@c.,,SELF,CHECK,
NIC,Nicola  Sister,toysiepoysies@c (3.) .,,SELF,CHECK,
CHI,Benjamin Target_Child,0 .,,NA,,
NIC,Nicola  Sister,toysiepoysies@c.,,SELF,CHECK,
CHI,Benjamin Target_Child,I'm going to get wood .,,SELF,CHECK,
CHI,Benjamin Target_Child,and chop (5.) .,,SELF,CHECK,
Location: Living room,,,,,,
Activities: Free play alone,,,,,,
CHI,Benjamin Target_Child,its birthday time (3.) .,,SELF,CHECK,
CHI,Benjamin Target_Child,no (5.) .,,SELF,CHECK,
CHI,Benjamin Target_Child,Dougal (4.) .,,SELF,CHECK,
CHI,Benjamin Target_Child,I do it (18.) .,,SELF,CHECK,
CHI,Benjamin Target_Child,co(ke) coke (4.) .,,SELF,CHECK,
CHI,Benjamin Target_Child,money (9.) .,,SELF,CHECK,
CHI,Benjamin Target_Child,daddy gives me lots_of money (4.) .,,SELF,CHECK,
CHI,Benjamin Target_Child,xxx (3.) .,,SELF,CHECK,
CHI,Benjamin Target_Child,diggers (3.) .,,SELF,CHECK,
CHI,Benjamin Target_Child,car in the garage (3.) .,,SELF,CHECK,
CHI,Benjamin Target_Child,xxx (3.) .,,SELF,CHECK,
CHI,Benjamin Target_Child,where's (1.) the paint gone ?,,SELF,CHECK,
CHI,Benjamin Target_Child,where's paint (11.) ?,,SELF,CHECK,
Location: Garden,,,,,,
Activities: Free play with another child,,,,,,
Situation: They are coming in from playing in the garden,,,,,,
NIC,Nicola  Sister,0 [=! sings] .,,NA,,
CHI,Benjamin Target_Child,I don't know <where my car> [/] where my car is (9.) .,,SELF,CHECK,
CHI,Benjamin Target_Child,I'm bringing my car .,,SELF,CHECK,
CHI,Benjamin Target_Child,xxx .,,NA,,
CHI,Benjamin Target_Child,I'm bringing your car in .,,NIC,,
NIC,Nicola  Sister,but I don't want it in .,,CHI,,
CHI,Benjamin Target_Child,wheel mine in (4.) .,,NIC,,
NIC,Nicola  Sister,get in [= into the pedal car] (4.) .,,CHI,,
CHI,Benjamin Target_Child,that's your +/.,,NIC,,
NIC,Nicola  Sister,xxx bring it in (3.) .,,CHI,,
CHI,Benjamin Target_Child,0 [=! raspberry] (6.) .,,NIC,,
NIC,Nicola  Sister,0 [=! shouts] (4.) .,,CHI,,
CHI,Benjamin Target_Child,0 [=! raspberry] .,,NIC,,
NIC,Nicola  Sister,you cant see my new xxx .,,CHI,,
CHI,Benjamin Target_Child,its in there .,,NIC,,
CHI,Benjamin Target_Child,its there (3.) .,,NIC,,
NIC,Nicola  Sister,where's Dougal ?,,CHI,,
CHI,Benjamin Target_Child,there .,,NIC,,
NIC,Nicola  Sister,is he lost in there ?,,CHI,,
CHI,Benjamin Target_Child,he's there (25.) .,,NIC,,
Location: Garden,,,,,,
Activities: Talk as the main activity,,,,,,
NIC,Nicola  Sister,0 .,,NA,,
MOT,Mother,get down .,,?,,
MOT,Mother,xxx .,,NA,,
MOT,Mother,xxx .,,NA,,
CHI,Benjamin Target_Child,xxx (1.) .,,NA,,
CHI,Benjamin Target_Child,look (5.) .,,?,,
CHI,Benjamin Target_Child,xxx (4.) .,,NA,,
CHI,Benjamin Target_Child,look .,,NIC,,
NIC,Nicola  Sister,there's an airplane [>] .,,CHI,,
CHI,Benjamin Target_Child,look [<] .,,NIC,,
NIC,Nicola  Sister,there .,,CHI,,
NIC,Nicola  Sister,in the sky .,,CHI,,
CHI,Benjamin Target_Child,look Suzanne (4.) .,%com: suzanne must be a friend,SUZ,,
NIC,Nicola  Sister,look (9.) .,,SUZ,,
CHI,Benjamin Target_Child,cuckoo .,,?,,
CHI,Benjamin Target_Child,look look (2.) .,,SUZ,,
CHI,Benjamin Target_Child,look (2.) .,,SUZ,,
CHI,Benjamin Target_Child,look .,,SUZ,,
CHI,Benjamin Target_Child,look Suzanne (3.) .,,SUZ,,
CHI,Benjamin Target_Child,look Suzanne (3.) .,,SUZ,,
CHI,Benjamin Target_Child,look Suzanne .,,SUZ,,
NIC,Nicola  Sister,did you see the airplane ?,,SUZ,,
SUZ,Suzanne Family_Friend,hm: ?,,NIC,,
NIC,Nicola  Sister,did you see the airplane ?,,SUZ,,
CHI,Benjamin Target_Child,look (2.) .,,SUZ,,
CHI,Benjamin Target_Child,look (2.) .,,SUZ,,
NIC,Nicola  Sister,did you (2.) ?,,SUZ,,
SUZ,Suzanne Family_Friend,what's that (4.) ?,,NIC,,
NIC,Nicola  Sister,don't say if you did .,,SUZ,,
CHI,Benjamin Target_Child,look .,,SUZ,,
SUZ,Suzanne Family_Friend,I'm going in the house .,,NIC,,
NIC,Nicola  Sister,goodbye (2.) .,,SUZ,,
CHI,Benjamin Target_Child,look .,,SUZ,,
CHI,Benjamin Target_Child,look .,,SUZ,,
CHI,Benjamin Target_Child,look Suzanne .,,SUZ,,
NIC,Nicola  Sister,look Suzanne (12.) .,,SUZ,,
NIC,Nicola  Sister,0 [=! shouts] .,,NA,,
CHI,Benjamin Target_Child,xxx .,,NA,,
Location: Garden and Kitchen,,,,,,
Activities: Free Play alone,,,,,,
CHI,Benjamin Target_Child,xxx .,,NA,,
NIC,Nicola  Sister,there's a wasp in your house (16.) .,,?,,
NIC,Nicola  Sister,0 [=! sings hums] [>] (8.) .,,?,,
NIC,Nicola  Sister,0 [=! sings Happy Birthday] .,,?,,
CHI,Benjamin Target_Child,there's stairs .,,?,,
CHI,Benjamin Target_Child,xxx (5.) .,,NA,,
NIC,Nicola  Sister,stones (3.) ?,,?,,
NIC,Nicola  Sister,that's all (4.) .,,?,,
Location: Living room,,,,,,
Activities: Snack,,,,,,
Situation: Mother and Visitor chat,,,,,,
NIC,Nicola  Sister,my Grandma (i)s coming tomorrow (3.) .,%com: trying to interrupt,A,,
NIC,Nicola  Sister,isn't she ?,,A,,
NIC,Nicola  Sister,my Grandma (i)s coming (5.) .,%com: mother and Visitor continue chatting,A,,
NIC,Nicola  Sister,my Grandma (i)s going to come .,,A,,
MOT,Mother,we've got a_lot_of these +/.,,VIS,,
NIC,Nicola  Sister,when is my Grandma coming ?,,MOT,,
MOT,Mother,in two weeks time love .,,NIC,,
NIC,Nicola  Sister,my Grandma (i)s going to come .,,?,,
MOT,Mother,Benjamin .,,CHI,,
CHI,Benjamin Target_Child,0 .,,NA,,
VIS,Visitor,your mum or his mum (4.) ?,,MOT,,
MOT,Mother,johns mum (14.) .,,VIS,,
Location: Living room,,,,,,
Activities: Other non+play/Toilet,,,,,,
Situation: Mother and Visitor chat,,,,,,
MOT,Mother,xxx (2.) .,,VIS,,
VIS,Visitor,tata then children .,,VIS,,
MOT,Mother,xxx .,,VIS,,
MOT,Mother,I've got one or two actually .,,VIS,,
MOT,Mother,beautiful shapes .,,VIS,,
MOT,Mother,xxx at all .,,VIS,,
VIS,Visitor,when its a bit nearer Christmas . .,,MOT,,
VIS,Visitor,ill come and give you my order (2.) .,,MOT,,
CHI,Benjamin Target_Child,that ones wet .,,?,,
MOT,Mother,xxx .,,NA,,
CHI,Benjamin Target_Child,that ones wet .,,?,,
MOT,Mother,<where's your pottie> [>] ?,,CHI,,
VIS,Visitor,xxx [<] .,,NA,,
MOT,Mother,don't stand there .,,CHI,,
MOT,Mother,go upstairs (3.) .,,CHI,,
CHI,Benjamin Target_Child,0 .,,NA,,
VIS,Visitor,don't trip over the train (4.) .,,CHI,,
CHI,Benjamin Target_Child,0 .,,NA,,
NIC,Nicola  Sister,xxx (3.) .,,NA,,
VIS,Visitor,what did she say ?,,MOT,,
VIS,Visitor,she cant go (2.) ?,,MOT,,
VIS,Visitor,go on .,,CHI,,
VIS,Visitor,off you go then .,,CHI,,
VIS,Visitor,byebye then Benjamin .,,CHI,,
MOT,Mother,ill be up in two minutes .,,CHI,,
CHI,Benjamin Target_Child,0 [=! whimpers] .,,NA,,
VIS,Visitor,go on hurry up and xxx .,,CHI,,
MOT,Mother,ill be up in two minutes .,,CHI,,
MOT,Mother,go on .,,CHI,,
MOT,Mother,mummie will come up with you .,,CHI,,
VIS,Visitor,ill go on home .,,MOT,,
CHI,Benjamin Target_Child,I want a sweet .,%com: wants Smarties from Visitor,VIS,,
NIC,Nicola  Sister,0 [=! cries] .,,NA,,
VIS,Visitor,want a sweet ?,,CHI,,
MOT,Mother,I beg your pardon .,,VIS,,
MOT,Mother,what a whiny little voice .,,?,,
VIS,Visitor,are they all_gone then (2.) ?,,MOT,,
VIS,Visitor,they're all_gone they're all_gone .,,MOT,,
MOT,Mother,xxx I shall have a girl xxx .,,?,,
VIS,Visitor,one yellow one .,,CHI,,
VIS,Visitor,<all_gone now> [>] .,,CHI,,
MOT,Mother,xxx [<] .,,NA,,
VIS,Visitor,I'd better save some for Matty and Robert .,,CHI,,
VIS,Visitor,there you are (2.) .,,CHI,,
VIS,Visitor,byebye .,,CHI,,
MOT,Mother,xxx .,,NA,,
MOT,Mother,take it .,,CHI,,
VIS,Visitor,ill bring the xxx to you later on .,,MOT,,
MOT,Mother,xxx .,,NA,,
VIS,Visitor,tata .,,MOT,,
MOT,Mother,kill that wasp .,,?,,
MOT,Mother,want you (10.) ?,,CHI,,
MOT,Mother,go on .,,CHI,,
MOT,Mother,upstairs .,,CHI,,
MOT,Mother,ill come with you .,,CHI,,
MOT,Mother,mind that (2.) .,,CHI,,
MOT,Mother,Nicola .,,NIC,,
MOT,Mother,indoors (2.) .,,NIC,,
NIC,Nicola  Sister,xxx (5.) .,,NA,,
Location: Living room,,,,,,
Activities: Watching TV,,,,,,
NIC,Nicola  Sister,smarties .,%com: watching the advertisement on TV,?,,
CHI,Benjamin Target_Child,smarties (2.) .,,?,,
CHI,Benjamin Target_Child,smarties .,,?,,
CHI,Benjamin Target_Child,like (1.) Smarties (4.) .,,?,,
CHI,Benjamin Target_Child,smarties (14.) .,,?,,
NIC,Nicola  Sister,smarties (2.) .,,?,,
CHI,Benjamin Target_Child,smarties (30.) .,,?,,
Location: Living room,,,,,,
Activities: Watching TV,,,,,,
NIC,Nicola  Sister,I don't want this one [= TV program] .,,MOT,,
NIC,Nicola  Sister,can I change over the picture ?,,MOT,,
NIC,Nicola  Sister,please (3.) ?,,MOT,,
NIC,Nicola  Sister,I don't want this one .,,MOT,,
MOT,Mother,xxx .,,NA,,
NIC,Nicola  Sister,xxx .,,NA,,
MOT,Mother,xxx .,,NA,,
NIC,Nicola  Sister,I want Play_School .,,MOT,,
MOT,Mother,Play_Schools not on now darling .,,NIC,,
MOT,Mother,its too late (3.) .,,NIC,,
CHI,Benjamin Target_Child,0 [=! whimpers] .,,NA,,
MOT,Mother,Benjamin .,,CHI,,
MOT,Mother,don't kick me (2.) .,,CHI,,
MOT,Mother,big fat bully (3.) .,,CHI,,
CHI,Benjamin Target_Child,0 [=! whimpers] .,,MOT,,
MOT,Mother,what's this fat leg for anyway ?,,CHI,,
CHI,Benjamin Target_Child,0 [=! squeals like a dog] .,,MOT,,
MOT,Mother,what's it for ?,,CHI,,
CHI,Benjamin Target_Child,0 [=! squeals] .,,MOT,,
MOT,Mother,what's it for ?,,CHI,,
CHI,Benjamin Target_Child,0 [=! squeals] [>] .,,MOT,,
MOT,Mother,<what's it for> [<] ?,,CHI,,
CHI,Benjamin Target_Child,zzz [>] .,,MOT,,
MOT,Mother,<what's it for> [<] ?,,CHI,,
MOT,Mother,<tickle^lickle^lickle [: tickle]> [>] (8.) .,,CHI,,
CHI,Benjamin Target_Child,0 [=! laughs and squeals] [<] .,,MOT,,
MOT,Mother,what's this ?,,CHI,,
MOT,Mother,oh .,,CHI,,
CHI,Benjamin Target_Child,&=laughs .,,MOT,,
MOT,Mother,oh tickle him .,,CHI,,
MOT,Mother,oh tickle him (5.) .,,CHI,,
MOT,Mother,what's this ?,,CHI,,
MOT,Mother,big fat bottom (2.) .,,CHI,,
CHI,Benjamin Target_Child,&=laughs .,,MOT,,
MOT,Mother,big fat leg .,,CHI,,
MOT,Mother,and a skinny little knee (6.) .,,CHI,,
MOT,Mother,no .,,CHI,,
MOT,Mother,you're not going to kick anyway .,,CHI,,
MOT,Mother,are you (2.) .,,CHI,,
MOT,Mother,you're too grown up to kick (4.) .,,CHI,,
MOT,Mother,so (i)s Benjamin really (21.) .,,CHI,,
CHI,Benjamin Target_Child,0 .,,MOT,,
Location: Dining area,,,,,,
Activities: Meal tea,,,,,,
MOT,Mother,xxx (10.) .,,NA,,
CHI,Benjamin Target_Child,0 [=! whimpers] .,,NA,,
FAT,Father,d(o) you like that ?,,NIC,,
NIC,Nicola  Sister,I used to like that but I don't think Ill have any more .,,FAT,,
NIC,Nicola  Sister,(be)cause I like these [= vegetables] now (2.) .,,FAT,,
NIC,Nicola  Sister,I like these now (11.) .,,FAT,,
MOT,Mother,what are you wanting Benjamin ?,,CHI,,
CHI,Benjamin Target_Child,I want this .,,MOT,,
MOT,Mother,come on .,,CHI,,
CHI,Benjamin Target_Child,no (3.) .,,MOT,,
MOT,Mother,xxx (2.) .,,NA,,
NIC,Nicola  Sister,I've eat [= eaten] all that up (6.) .,,?,,
MOT,Mother,xxx (4.) .,,NA,,
NIC,Nicola  Sister,that's mine [= plate] isn't it (5.) ?,,?,,
CHI,Benjamin Target_Child,I don't like that (6.) .,,?,,
CHI,Benjamin Target_Child,I don't like it (2.) .,,?,,
NIC,Nicola  Sister,xxx it (10.) ?,,NA,,
Location: Living room,,,,,,
Activities: Free play and Imaginary Role Play with anther child,,,,,,
Situation: TV is on throughout,,,,,,
NIC,Nicola  Sister,xxx (2.) .,,NA,,
NIC,Nicola  Sister,look [= at the TV] .,,CHI,,
NIC,Nicola  Sister,look (14.) .,,CHI,,
CHI,Benjamin Target_Child,0 [=! giggles and roars] [>] .,,NIC,,
NIC,Nicola  Sister,0 [=! giggles and roars] [<] .,,CHI,,
NIC,Nicola  Sister,have you seen my bone ?,,CHI,,
CHI,Benjamin Target_Child,no .,,NIC,,
CHI,Benjamin Target_Child,no (2.) .,,NIC,,
NIC,Nicola  Sister,xxx .,,CHI,,
CHI,Benjamin Target_Child,xxx (2.) .,,NIC,,
CHI,Benjamin Target_Child,xxx .,,NIC,,
NIC,Nicola  Sister,be a doggie (7.) .,,CHI,,
NIC,Nicola  Sister,0 [=! giggles] (2.) .,,CHI,,
NIC,Nicola  Sister,xxx [>] .,,CHI,,
CHI,Benjamin Target_Child,<where's my bone> [<] ?,,NIC,,
NIC,Nicola  Sister,yours is stink bomb .,,CHI,,
NIC,Nicola  Sister,yours is stink pot .,,CHI,,
CHI,Benjamin Target_Child,where's my bone ?,,NIC,,
NIC,Nicola  Sister,xxx .,,CHI,,
MOT,Mother,where's his bone .,,NIC,,
MOT,Mother,xxx .,,NA,,
MOT,Mother,oh .,,?,,
NIC,Nicola  Sister,0 [=! giggles] .,,NA,,
MOT,Mother,xxx .,,NA,,
NIC,Nicola  Sister,0 [=! squeals] .,,NA,,
NIC,Nicola  Sister,0 [=! giggles] (2.) .,,NA,,
NIC,Nicola  Sister,where's my bone ?,,MOT,,
CHI,Benjamin Target_Child,xxx (6.) .,,NA,,
NIC,Nicola  Sister,0 [=! squeals] .,,NA,,
CHI,Benjamin Target_Child,where's my bone (10.) ?,,?,,
CHI,Benjamin Target_Child,here's my bone .,,?,,
NIC,Nicola  Sister,I like big bones (2.) .,,CHI,,
NIC,Nicola  Sister,be a doggie (3.) .,,CHI,,
Location: Living room,,,,,,
Activities: Free play with another child,,,,,,
Situation: Radio is on,,,,,,
NIC,Nicola  Sister,do you want these [= pens] (2.) ?,%com: they intend drawing,CHI,,
CHI,Benjamin Target_Child,yes .,,NIC,,
NIC,Nicola  Sister,what (5.) ?,,CHI,,
CHI,Benjamin Target_Child,xxx .,,NA,,
NIC,Nicola  Sister,xxx .,,NA,,
NIC,Nicola  Sister,I've got all sorts of colors (2.) .,,CHI,,
CHI,Benjamin Target_Child,want these colors (4.) .,,NIC,,
CHI,Benjamin Target_Child,this one doesn't work (2.) .,,NIC,,
CHI,Benjamin Target_Child,got blue (4.) .,,NIC,,
CHI,Benjamin Target_Child,this blue doesn't work (2.) .,,NIC,,
NIC,Nicola  Sister,yes it does .,,CHI,,
NIC,Nicola  Sister,I've used mine .,,CHI,,
NIC,Nicola  Sister,blue does work .,,CHI,,
NIC,Nicola  Sister,that blue does work (4.) .,,CHI,,
NIC,Nicola  Sister,I like this one .,,CHI,,
NIC,Nicola  Sister,black .,,CHI,,
NIC,Nicola  Sister,xxx (3.) .,,CHI,,
NIC,Nicola  Sister,xxx (5.) .,,CHI,,
CHI,Benjamin Target_Child,that pen wont .,,NIC,,
CHI,Benjamin Target_Child,it wont work .,,NIC,,
NIC,Nicola  Sister,no .,,CHI,,
NIC,Nicola  Sister,it wont work (3.) .,,CHI,,
CHI,Benjamin Target_Child,but this one will .,,NIC,,
CHI,Benjamin Target_Child,this is orange .,,NIC,,
NIC,Nicola  Sister,xxx (6.) .,,NA,,
CHI,Benjamin Target_Child,pink .,,NIC,,
CHI,Benjamin Target_Child,xxx .,,NA,,
CHI,Benjamin Target_Child,orange (7.) .,,NIC,,
Location: Living room,,,,,,
NIC,Nicola  Sister,xxx .,,NA,,
NIC,Nicola  Sister,xxx (4.) .,,NA,,
NIC,Nicola  Sister,got dirty hands (2.) .,,?,,
MOT,Mother,where all the rest of the tops ?,,CHI,,
CHI,Benjamin Target_Child,don't know .,,MOT,,
MOT,Mother,are you sure ?,,CHI,,
NIC,Nicola  Sister,I'm sure .,,NIC,,
MOT,Mother,they all had tops when I put them out didn't they ?,,CHI,,
CHI,Benjamin Target_Child,mhm (4.) .,,CHI,,
NIC,Nicola  Sister,now they're all_gone .,,MOT,,
MOT,Mother,come on (8.) .,,CHI,,
CHI,Benjamin Target_Child,I [/] I [/] I <do writing> [>] .,,?,,
NIC,Nicola  Sister,xxx [<] .,,NA,,
FAT,Father,xxx .,,NA,,
CHI,Benjamin Target_Child,I do writing .,,?,,
NIC,Nicola  Sister,xxx .,%com: n and M are talking in .,NA,,
CHI,Benjamin Target_Child,I do like to use purple .,,FAT,,
FAT,Father,you like the purple best don't you ?,,CHI,,
CHI,Benjamin Target_Child,my hands black .,,FAT,,
FAT,Father,you don't have black .,,CHI,,
CHI,Benjamin Target_Child,yes .,,FAT,,
CHI,Benjamin Target_Child,I like black (5.) .,,FAT,,
CHI,Benjamin Target_Child,where's +...,,FAT,,
CHI,Benjamin Target_Child,where are them ?,,FAT,,
MOT,Mother,don't sit on them .,,CHI,,
CHI,Benjamin Target_Child,in there ?,,?,,
NIC,Nicola  Sister,xxx .,,NA,,
CHI,Benjamin Target_Child,in there ?,,?,,
NIC,Nicola  Sister,xxx (4.) .,,NA,,
CHI,Benjamin Target_Child,in there ?,,?,,
CHI,Benjamin Target_Child,in there (10.) ?,,?,,
CHI,Benjamin Target_Child,<I use> [/] I use orange .,,?,,
CHI,Benjamin Target_Child,I do (2.) .,,?,,
FAT,Father,you told us didn't you ? ?,,CHI,,
CHI,Benjamin Target_Child,yes I did (2.) .,,FAT,,
CHI,Benjamin Target_Child,I did say black .,,FAT,,
End,,,,,,
"Participants: CHI Benjamin Target_Child, MOT Mother,  NIC Nicola Sister",,,,,,
Comment: Nil,,,,,,
Location: Living room,,,,,,
Activities: Free play with another child,,,,,,
"Situation: The family has just been to the shops. The children have sweet ""cigarettes"" which they pretend to smoke",,,,,,
NIC,Nicola  Sister,parcel on the top ?,,CHI,,
NIC,Nicola  Sister,I'm going to blow smoke at you (6.) .,,CHI,,
CHI,Benjamin Target_Child,0 .,,NA,,
NIC,Nicola  Sister,0 [=! sneezes twice] .,,NA,,
NIC,Nicola  Sister,0 [=! giggles] (4.) .,,NA,,
NIC,Nicola  Sister,0 [=! sings] .,,NA,,
CHI,Benjamin Target_Child,blow smoke at you (2.) .,,NIC,,
NIC,Nicola  Sister,I just don't like that smoke (4.) .,,CHI,,
NIC,Nicola  Sister,xxx do I (7.) ?,,CHI,,
NIC,Nicola  Sister,xxx up do I (9.) ?,,CHI,,
CHI,Benjamin Target_Child,0 .,,NA,,
CHI,Benjamin Target_Child,0 .,,NA,,
NIC,Nicola  Sister,xxx .,,NA,,
NIC,Nicola  Sister,xxx (6.) .,,NA,,
NIC,Nicola  Sister,I'm smoking (2.) .,,?,,
MOT,Mother,oh (2.) .,,?,,
NIC,Nicola  Sister,you shouldn't smoke .,%com: repeating what Father says to Mother,?,,
NIC,Nicola  Sister,shouldn't you ?,,?,,
CHI,Benjamin Target_Child,0 .,,NA,,
NIC,Nicola  Sister,you shouldn't smoke (2.) .,,?,,
NIC,Nicola  Sister,you shouldn't smoke (6.) .,,?,,
Location: Living room,,,,,,
Activities: Helping,,,,,,
Situation: They are tidying up the toy cupboard,,,,,,
MOT,Mother,see if it's up on the settee .,%com: children have lost something,CHI,,
