"utterance_id" "speaker_id" "speaker_role_raw" "utterance" "Comment" "X" "Comments" "session_id" "annotation1" "annotator_name1" "annotator1_comment" "annotation2" "annotator_name2" "annotator2_comment" "Diff_annotations" "keychild" "speaker" "role_adressee" "register"
31 "OBS" "Investigator" "voilà ." "%sit CHI attrape sa poupée" "" "%sit CHI attrape sa poupée " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "investigator" "Keychild" "CDS"
32 "MOT" "mother" "il faut que tu racontes à Aliyah tout ce qu'on a fait pendant les vacances ." "%sit CHI se redresse sur les genoux et regarde MOT " "" "%sit CHI se redresse sur les genoux et regarde MOT  " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
34 "MOT" "mother" "on était où en vacances ?" "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
35 "MOT" "mother" "où est-ce qu'on est allé (.) avec Anouk ?" "%sit CHI balance sa poupée et la fait tomber sur le fauteuil" "" "%sit CHI balance sa poupée et la fait tomber sur le fauteuil " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
39 "OBS" "Investigator" "mais c'est qui Anouk ?" "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "investigator" "Keychild" "CDS"
40 "OBS" "Investigator" "Anaé (.) c'est qui Anouk ?" "%sit CHI ramasse sa poupée et regarde OBS" "" "%sit CHI ramasse sa poupée et regarde OBS " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "investigator" "Keychild" "CDS"
41 "MOT" "mother" "<tu dis à Aliyah> [>] ?" "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
42 "OBS" "Investigator" "<je la connais pas moi> [<] !" "%sit CHI se relève avec sa poupée en main" "" "%sit CHI se relève avec sa poupée en main " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "investigator" "Keychild" "CDS"
43 "MOT" "mother" "c'est qui Anouk ?" "%sit CHI regarde MOT" "" "%sit CHI regarde MOT " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
44 "MOT" "mother" "c'est ta ..?" "%sit CHI avance vers MOT avec sa poupée en main" "" "%sit CHI avance vers MOT avec sa poupée en main " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
46 "MOT" "mother" "tu l'as attrapée ouais c'est qui Anouk ?" "%act MOT regarde CHI" "" "%act MOT regarde CHI " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
47 "MOT" "mother" "c'est ta cousine !" "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
49 "MOT" "mother" "et où est-ce qu'on est allé avec Anouk ?" "%sit CHI joue avec la poupée dans la bibliothèque" "" "%sit CHI joue avec la poupée dans la bibliothèque " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
51 "MOT" "mother" "on est allé où avec Anouk ?" "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
53 "MOT" "mother" "< on est allé à la mer ?" "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
55 "MOT" "mother" "oui ?" "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
58 "MOT" "mother" "< qu'est-ce qui s(e) passe ?" "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
59 "MOT" "mother" "qu'est-ce qu'il y a ?" "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
61 "MOT" "mother" "et qu'est-ce qu'il y a là ?" "%sit CHI joue avec la poussette" "" "%sit CHI joue avec la poussette " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
63 "MOT" "mother" "boh@i ." "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
64 "MOT" "mother" "qu'est-ce que tu promènes dans ta poussette ?" "%sit CHI a pris deux livres dont l'un est ouvert ce qui est difficile à tenir en main" "" "%sit CHI a pris deux livres dont l'un est ouvert ce qui est difficile à tenir en main " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
66 "MOT" "mother" "xxx ." "%sit un des deux livres tombe" "" "%sit un des deux livres tombe " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
67 "MOT" "mother" "qu'est-ce que c'est ?" "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
69 "MOT" "mother" "un liv(re) de quoi ?" "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
72 "MOT" "mother" "tu veux le lire ?" "%act MOT regarde CHI" "%sit CHI regarde MOT puis le livre" "%act MOT regarde CHI %sit CHI regarde MOT puis le livre" "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
74 "MOT" "mother" "c'est toi qui me le lis ?" "%sit CHI commence à ouvrir le livre" "" "%sit CHI commence à ouvrir le livre " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
75 "MOT" "mother" "tu me le racontes ?" "%sit CHI ouvre le livre" "" "%sit CHI ouvre le livre " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
76 "MOT" "mother" "vas y mets toi sur la table tu fais attention aux thés parce qu'ils sont très chauds ." "%act MOT débarrasse la table pour que CHI s'y installe" "%sit CHI se dirige vers la table" "%act MOT débarrasse la table pour que CHI s'y installe %sit CHI se dirige vers la table" "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
77 "MOT" "mother" "vas y mets toi là ." "%xpnt show la table avec la main en la touchant de la paume" "" "%xpnt show la table avec la main en la touchant de la paume " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
79 "MOT" "mother" "<c'est quoi> [=! sourit] ?" "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
81 "MOT" "mother" "c'est l'histoire de quoi alors ?" "%sit CHI tourne les pages du livre" "" "%sit CHI tourne les pages du livre " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
82 "MOT" "mother" "c'est déjà fini ?" "%sit CHI continue de tourner les pages du livre le referme et le donne à MOT" "" "%sit CHI continue de tourner les pages du livre le referme et le donne à MOT " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
83 "MOT" "mother" "merci ." "%act MOT prend le livre" "" "%act MOT prend le livre " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
84 "MOT" "mother" "tu préfères celui-là ?" "%act MOT regarde CHI" "%sit CHI ramasse le livre qui était tombé par terre" "%act MOT regarde CHI %sit CHI ramasse le livre qui était tombé par terre" "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
86 "MOT" "mother" "ouais [=! hoche la tête] ?" "%act MOT regarde CHI" "" "%act MOT regarde CHI " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
87 "MOT" "mother" "comment il s'appelle celui-là ?" "%act MOT pose le premier livre que CHI lui avait donné" "%sit CHI se dirige vers la table avec l'autre livre" "%act MOT pose le premier livre que CHI lui avait donné %sit CHI se dirige vers la table avec l'autre livre" "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
89 "MOT" "mother" "tu lis à maman ?" "%sit CHI ouvre le livre" "" "%sit CHI ouvre le livre " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
90 "MOT" "mother" "vas y !" "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
92 "MOT" "mother" "oui [=! sourit] [=! hoche la tête] ." "%act MOT regarde CHI" "" "%act MOT regarde CHI " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
93 "MOT" "mother" "qu'est-ce qu'il fait le lapin ?" "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
99 "MOT" "mother" "qu'est-ce que c'est ça ?" "%act MOT regarde CHI en fronçant les sourcils" "%sit CHI regarde MOT" "%act MOT regarde CHI en fronçant les sourcils %sit CHI regarde MOT" "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
100 "MOT" "mother" "on en a vu plein en vacances c'est le ..?" "%act MOT regarde CHI" "" "%act MOT regarde CHI " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
102 "MOT" "mother" "m(outon) ..?" "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
104 "MOT" "mother" "[=! hoche la tête] voilà [=! sourit] ." "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
109 "MOT" "mother" "et l'écureuil oui [=! rigole] ." "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
112 "MOT" "mother" "<hum hum> [=! sourit] [=! hoche la tête] ." "%act MOT regarde CHI" "" "%act MOT regarde CHI " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
116 "MOT" "mother" "han@i ." "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
118 "MOT" "mother" "la grosse bête elle se (.) réveille et ..?" "%act MOT regarde CHI" "%sit CHI regarde MOT/Anae/215cha" "%act MOT regarde CHI %sit CHI regarde MOT/Anae/215cha" "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
120 "MOT" "mother" "et boum [=! rit] ." "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
122 "MOT" "mother" "oh [<] ils lui font peur (.) et elle tombe la grosse bête ." "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
123 "MOT" "mother" "et elle redescend ." "com intonation descendante" "" "com intonation descendante " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
126 "MOT" "mother" "c'est [/] c'est lequel celui-là ?" "%act MOT donne le livre à CHI" "%sit CHI ouvre le livre" "%act MOT donne le livre à CHI %sit CHI ouvre le livre" "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
130 "OBS" "Investigator" "c'est la bête <qui monte> [/] qui monte ." "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "investigator" "Keychild" "CDS"
131 "MOT" "mother" "tu crois que c'est la bête <qui monte> [/] qui monte celui-là ?" "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
132 "MOT" "mother" "non ." "com prononciation prolongée du non" "" "com prononciation prolongée du non " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
134 "MOT" "mother" "oui oui a un bonnet bleu ." "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
137 "MOT" "mother" "il est où son bonnet ?" "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
139 "MOT" "mother" "<hum hum> [=! sourit] [=! hoche la tête] ." "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
140 "MOT" "mother" "oh qu'est-ce que c'est ça ?" "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
143 "MOT" "mother" "qu'est-ce que c'est ?" "%act MOT regarde CHI" "" "%act MOT regarde CHI " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
146 "MOT" "mother" "une che(nille) ..?" "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
148 "MOT" "mother" "ah oui [=! sourit] ." "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
150 "MOT" "mother" "oh ." "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
151 "MOT" "mother" "qu'est-ce qui s'est passé là ?" "%sit CHI a toujours son index pointé sur le dessin" "" "%sit CHI a toujours son index pointé sur le dessin " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
152 "MOT" "mother" "qui est-ce qui a dessiné sur le livre ?" "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
155 "MOT" "mother" "qui est-ce qui a dessiné sur le livre ?" "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
156 "MOT" "mother" "là !" "%xpnt show le dessin avec l'index gauche" "" "%xpnt show le dessin avec l'index gauche " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
158 "MOT" "mother" "nan je crois que c'est Mara ." "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
162 "MOT" "mother" "<c'est Mara qui a dessiné sur ton livre> [=! rit] ." "%sit MOT prend sa tasse de thé" "" "%sit MOT prend sa tasse de thé " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
163 "MOT" "mother" "oh il est coquin !" "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
164 "MOT" "mother" "c'est quelle couleur ça ?" "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
166 "MOT" "mother" "<ah bon> [>] ?" "%sit MOT dépose sa tasse de thé sur la table" "" "%sit MOT dépose sa tasse de thé sur la table " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
168 "MOT" "mother" "non ça c'est vert ." "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
170 "MOT" "mother" "tu veux pas un autre plutôt ?" "%act MOT regarde vers la bibliothèque" "" "%act MOT regarde vers la bibliothèque " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
171 "MOT" "mother" "va chercher un autre ." "%act MOT regarde CHI" "" "%act MOT regarde CHI " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
173 "MOT" "mother" "c'est un coloriage celui-là ." "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
175 "MOT" "mother" "hum ." "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
176 "MOT" "mother" "c'est pour faire le coloriage ." "%sit CHI se dirige vers la table" "" "%sit CHI se dirige vers la table " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
180 "MOT" "mother" "oh !" "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
181 "MOT" "mother" "et ça qu'est-ce que c'est ?" "%act MOT prend sa tasse de café" "%sit CHI dépose le jeu sur la table" "%act MOT prend sa tasse de café %sit CHI dépose le jeu sur la table" "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
183 "MOT" "mother" "<nan ça> [=! rit] ." "%xpnt show le jeu avec l'index gauche" "" "%xpnt show le jeu avec l'index gauche " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
185 "MOT" "mother" "c'est un puzzle ?" "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
186 "MOT" "mother" "c'est le puzzle de qui ?" "%act MOT fait de la place sur la table" "" "%act MOT fait de la place sur la table " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
188 "MOT" "mother" "<qu'est-ce qu'il y a dessus> [=! sourit] ?" "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
190 "MOT" "mother" "Petit Ours Brun ." "com prosodie chantante" "" "com prosodie chantante " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
191 "MOT" "mother" "alors on met les cartes ?" "%act MOT prend la boîte" "" "%act MOT prend la boîte " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
194 "MOT" "mother" "hum hum ." "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
195 "MOT" "mother" "tu veux lesquelles toi ?" "%act MOT enlève les planches de la boîte" "" "%act MOT enlève les planches de la boîte " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
197 "MOT" "mother" "euh moi je veux bien celle-là ." "%act MOT regarde la planche que CHI a en mains" "" "%act MOT regarde la planche que CHI a en mains " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
198 "MOT" "mother" "merci ." "%sit CHI donne une planche à MOT" "" "%sit CHI donne une planche à MOT " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
199 "MOT" "mother" "pour qui celle-là ?" "%act MOT regarde la planche que CHI a en mains" "" "%act MOT regarde la planche que CHI a en mains " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
202 "MOT" "mother" "hum hum ." "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
205 "MOT" "mother" "pour qui ?" "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
208 "MOT" "mother" "pour ..?" "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
210 "MOT" "mother" "ouais pour toi ." "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
212 "MOT" "mother" "et euh une autre pour moi ?" "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
213 "MOT" "mother" "ou une pour Arthur ?" "%sit CHI tend une planche à MOT" "" "%sit CHI tend une planche à MOT " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
215 "MOT" "mother" "alors tu lui dis Arthur viens jouer avec nous ." "%act MOT débarrasse la table pour que BR1 puisse s'installer" "" "%act MOT débarrasse la table pour que BR1 puisse s'installer " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
217 "MOT" "mother" "allez tu te mets là ." "%xpnt show la table de la main en tapotant dessus" "%act MOT tape sur la table plusieurs fois la table avec sa paume" "%xpnt show la table de la main en tapotant dessus %act MOT tape sur la table plusieurs fois la table avec sa paume" "Anae/215.cha" "BR1" "clara" "" "" "" "" "" "Anae" "mother" "Other child" "OCDS"
218 "MOT" "mother" "alors on prend une carte au milieu ." "%act MOT remet les cartes dans la boîte" "" "%act MOT remet les cartes dans la boîte " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
219 "MOT" "mother" "et on dit pour qui c'est ." "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
221 "MOT" "mother" "alors ." "%act MOT prend une carte dans la boîte" "" "%act MOT prend une carte dans la boîte " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
222 "MOT" "mother" "Petit Ours Brun ..." "%act MOT montre la carte à CHI" "" "%act MOT montre la carte à CHI " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
223 "MOT" "mother" "qu'est-ce qu'il fait là ?" "%xpnt show la carte de l'index droit en tapotant dessus" "%act MOT met la carte devant CHI et la touche plusieurs fois du doigt" "%xpnt show la carte de l'index droit en tapotant dessus %act MOT met la carte devant CHI et la touche plusieurs fois du doigt" "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
226 "MOT" "mother" "c'est à toi celui-là ?" "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
228 "MOT" "mother" "il va où ?" "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
232 "MOT" "mother" "oui ." "%sit CHI pose la carte sur la planche" "" "%sit CHI pose la carte sur la planche " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
233 "MOT" "mother" "qu'est-ce qui fait Petit Ours Brun là ?" "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
234 "MOT" "mother" "il est où ?" "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
236 "MOT" "mother" "oui [=! rit] il est où ?" "%xpnt show le dessin de l'index droit" "" "%xpnt show le dessin de l'index droit " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
237 "MOT" "mother" "regarde qu'est-ce que c'est derrière ?" "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
239 "MOT" "mother" "<c'est la mer> [=! sourit] ?" "%act MOT regarde CHI" "" "%act MOT regarde CHI " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
241 "MOT" "mother" "< <et il marche dans le sable> [=! sourit] ." "" "" " " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
242 "MOT" "mother" "toi aussi tu es allée à la mer ." "%act MOT regarde CHI" "" "%act MOT regarde CHI " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
243 "MOT" "mother" "qu'est-ce qu'on fait à la mer ?" "%act MOT regarde CHI" "" "%act MOT regarde CHI " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
245 "MOT" "mother" "on nage comment ?" "%act MOT regarde CHI" "" "%act MOT regarde CHI " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
246 "MOT" "mother" "tu nous montres comment tu nages ?" "%act MOT regarde CHI" "" "%act MOT regarde CHI " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
247 "BR1" "Brother1" "avec les mains ." "" "" " " "Anae/215.cha" "MOT" "clara" "" "" "" "" "" "Anae" "child" "Mother" "ADS"
248 "MOT" "mother" "comment tu nages avec tes mains ?" "%act MOT regarde CHI" "" "%act MOT regarde CHI " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
250 "MOT" "mother" "c'est à moi celle-là ?" "%act MOT prend la planche" "" "%act MOT prend la planche " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
251 "MOT" "mother" "alors une autre carte ." "%act MOT prend une autre carte dans la boîte" "" "%act MOT prend une autre carte dans la boîte " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
253 "MOT" "mother" "Petit Ours Brun dans une bouée ." "%act MOT regarde la carte puis sa planche" "" "%act MOT regarde la carte puis sa planche " "Anae/215.cha" "1" "clara" "" "" "" "" "" "Anae" "mother" "Keychild" "CDS"
